Symbol,Date,Open,High,Low,Close,Volume
ABGSEC,2024-07-10 00:00:00+05:30,100.33,120.0,100.33,111.78,95
ABGSEC,2024-07-11 00:00:00+05:30,104.7,104.7,100.0,100.42,26339
ABGSEC,2024-07-12 00:00:00+05:30,101.0,101.0,100.23,100.46,4073
ABGSEC,2024-07-15 00:00:00+05:30,100.44,100.44,100.0,100.13,1030
ABGSEC,2024-07-16 00:00:00+05:30,100.58,100.58,100.05,100.26,2940
ABGSEC,2024-07-18 00:00:00+05:30,100.56,100.57,100.28,100.53,95
ABGSEC,2024-07-19 00:00:00+05:30,100.53,100.53,100.28,100.45,212
ABGSEC,2024-07-22 00:00:00+05:30,100.76,100.76,100.3,100.3,1866
ABGSEC,2024-07-23 00:00:00+05:30,100.3,101.25,99.66,100.99,333
ABGSEC,2024-07-24 00:00:00+05:30,100.9,100.9,100.36,100.67,20211
ABGSEC,2024-07-25 00:00:00+05:30,100.46,100.84,100.46,100.55,149
ABGSEC,2024-07-26 00:00:00+05:30,100.66,101.16,100.65,100.8,345
ABGSEC,2024-07-29 00:00:00+05:30,100.8,101.25,100.7,101.05,21214
ABGSEC,2024-07-30 00:00:00+05:30,101.05,101.17,100.84,101.15,11331
ABGSEC,2024-07-31 00:00:00+05:30,101.18,101.18,100.77,101.08,389
ABGSEC,2024-08-01 00:00:00+05:30,101.34,101.34,100.9,101.29,256
ABGSEC,2024-08-02 00:00:00+05:30,101.29,101.4,100.85,100.9,2826
ABGSEC,2024-08-05 00:00:00+05:30,101.34,101.88,100.9,101.19,449
ABGSEC,2024-08-06 00:00:00+05:30,101.19,101.5,101.12,101.15,1227
ABGSEC,2024-08-07 00:00:00+05:30,101.15,101.15,101.15,101.15,29
ABGSEC,2024-08-08 00:00:00+05:30,101.23,101.6,101.2,101.2,134
ABGSEC,2024-08-09 00:00:00+05:30,101.64,101.64,101.21,101.56,405
ABGSEC,2024-08-12 00:00:00+05:30,101.54,101.6,101.25,101.26,67815
ABGSEC,2024-08-13 00:00:00+05:30,101.25,101.64,101.21,101.21,403
ABGSEC,2024-08-14 00:00:00+05:30,101.85,101.85,101.4,101.85,122
