Symbol,Date,Open,High,Low,Close,Volume
AEROENTER,2022-11-21 00:00:00+05:30,57.7,59.9,56.5,59.65,993926
AEROENTER,2022-11-22 00:00:00+05:30,60.5,64.0,59.0,60.3,902732
AEROENTER,2022-11-23 00:00:00+05:30,61.5,65.0,60.15,62.8,1236381
AEROENTER,2022-11-24 00:00:00+05:30,63.95,65.9,63.1,63.7,200851
AEROENTER,2022-11-25 00:00:00+05:30,64.5,69.0,64.45,67.1,1302713
AEROENTER,2022-11-28 00:00:00+05:30,68.4,71.95,67.3,71.0,1369024
AEROENTER,2022-11-29 00:00:00+05:30,71.4,72.9,70.0,71.95,866789
AEROENTER,2022-11-30 00:00:00+05:30,72.65,73.8,69.95,70.3,236733
AEROENTER,2022-12-01 00:00:00+05:30,69.0,70.0,64.2,66.1,257428
AEROENTER,2022-12-02 00:00:00+05:30,65.85,69.6,63.1,68.3,186082
AEROENTER,2022-12-05 00:00:00+05:30,69.3,70.9,69.0,69.45,81003
AEROENTER,2022-12-06 00:00:00+05:30,70.15,70.7,68.2,68.75,58730
AEROENTER,2022-12-07 00:00:00+05:30,68.5,69.9,67.05,67.45,48530
AEROENTER,2022-12-08 00:00:00+05:30,67.5,69.85,66.4,68.1,70330
AEROENTER,2022-12-09 00:00:00+05:30,69.1,69.1,66.0,66.35,73561
AEROENTER,2022-12-12 00:00:00+05:30,66.35,72.0,65.7,69.95,263008
AEROENTER,2022-12-13 00:00:00+05:30,71.5,71.5,68.95,69.7,67109
AEROENTER,2022-12-14 00:00:00+05:30,70.7,70.7,67.6,68.25,48781
AEROENTER,2022-12-15 00:00:00+05:30,68.8,71.4,67.25,68.55,131513
AEROENTER,2022-12-16 00:00:00+05:30,69.0,69.7,67.45,68.35,700882
AEROENTER,2022-12-19 00:00:00+05:30,68.95,70.0,67.65,69.1,166477
AEROENTER,2022-12-20 00:00:00+05:30,70.15,70.6,68.5,70.05,147354
AEROENTER,2022-12-21 00:00:00+05:30,70.75,72.45,66.15,68.95,176089
AEROENTER,2022-12-22 00:00:00+05:30,68.4,68.4,63.2,64.3,135368
