Symbol,Date,Open,High,Low,Close,Volume
AIRAN,2017-03-24 09:15:00+05:30,54.0,54.0,51.35,54.0,2376000
AIRAN,2017-03-27 09:15:00+05:30,55.7,64.6,55.5,64.6,1209000
AIRAN,2017-03-28 09:15:00+05:30,66.3,77.5,66.3,77.5,336000
AIRAN,2017-03-29 09:15:00+05:30,80.0,85.25,80.0,83.6,504000
AIRAN,2017-03-30 09:15:00+05:30,88.95,89.0,75.25,75.25,591000
AIRAN,2017-03-31 09:15:00+05:30,72.0,72.0,67.75,67.75,198000
AIRAN,2017-04-03 09:15:00+05:30,61.0,74.0,61.0,72.8,270000
AIRAN,2017-04-05 09:22:00+05:30,73.0,73.0,69.9,70.95,63000
AIRAN,2017-04-06 09:35:00+05:30,70.1,71.9,68.35,68.65,36000
AIRAN,2017-04-07 10:03:00+05:30,67.8,72.0,67.8,68.9,36000
AIRAN,2017-04-10 09:34:00+05:30,67.9,70.0,67.25,69.9,48000
AIRAN,2017-04-11 09:16:00+05:30,63.55,70.1,63.55,68.25,33000
AIRAN,2017-04-12 09:35:00+05:30,68.0,69.3,65.5,67.95,36000
AIRAN,2017-04-13 09:18:00+05:30,69.0,69.0,65.3,66.3,21000
AIRAN,2017-04-17 11:04:00+05:30,66.1,67.1,65.0,66.8,42000
AIRAN,2017-04-18 10:53:00+05:30,67.0,67.0,65.6,65.6,18000
AIRAN,2017-04-19 09:51:00+05:30,65.0,65.0,63.7,63.8,24000
AIRAN,2017-04-20 09:28:00+05:30,67.0,67.0,65.0,65.0,18000
AIRAN,2017-04-21 10:11:00+05:30,64.5,66.0,64.0,65.75,90000
AIRAN,2017-04-24 09:41:00+05:30,65.5,66.9,65.5,66.0,12000
AIRAN,2017-04-25 10:46:00+05:30,66.0,69.0,66.0,68.7,51000
AIRAN,2017-04-26 10:23:00+05:30,69.9,70.5,68.3,69.0,33000
AIRAN,2017-04-27 14:59:00+05:30,68.5,68.5,68.5,68.5,9000
AIRAN,2017-04-28 09:16:00+05:30,67.25,73.5,67.25,70.65,84000
AIRAN,2017-05-02 09:17:00+05:30,70.8,71.95,70.7,71.8,27000
AIRAN,2017-05-03 09:15:00+05:30,71.0,77.95,64.65,77.35,108000
AIRAN,2017-05-04 09:19:00+05:30,79.5,84.8,78.2,83.45,75000
AIRAN,2017-05-05 09:20:00+05:30,85.0,91.0,83.0,89.2,126000
AIRAN,2017-05-08 09:16:00+05:30,91.2,93.65,88.05,93.65,129000
AIRAN,2017-05-09 09:33:00+05:30,96.6,96.95,94.8,96.25,51000
AIRAN,2017-05-10 09:35:00+05:30,96.65,96.65,91.45,91.45,117000
AIRAN,2017-05-11 09:39:00+05:30,91.45,92.0,86.9,92.0,30000
AIRAN,2017-05-12 09:28:00+05:30,92.0,94.0,91.0,93.4,33000
AIRAN,2017-05-15 09:27:00+05:30,93.25,96.0,93.25,96.0,9000
AIRAN,2017-05-16 09:28:00+05:30,96.0,96.0,93.2,95.0,18000
AIRAN,2017-05-17 14:56:00+05:30,93.25,93.3,93.25,93.3,6000
AIRAN,2017-05-18 09:24:00+05:30,90.0,95.5,90.0,94.5,84000
AIRAN,2017-05-19 09:20:00+05:30,93.0,94.4,90.5,93.7,78000
AIRAN,2017-05-22 10:03:00+05:30,96.85,96.9,94.15,94.3,21000
AIRAN,2017-05-23 09:22:00+05:30,93.5,98.65,93.5,98.55,105000
