Symbol,Date,Open,High,Low,Close,Volume
AJOONI,2016-04-27 12:19:00+05:30,376.9,376.9,376.9,376.9,773524
AJOONI,2016-08-19 14:47:00+05:30,471.7,471.7,471.7,471.7,3
AJOONI,2016-09-02 12:29:00+05:30,493.75,493.75,493.75,493.75,3204
AJOONI,2016-12-12 10:31:00+05:30,443.5,443.5,443.5,443.5,161027
AJOONI,2017-02-09 13:52:00+05:30,503.45,503.9,503.15,503.45,23675
AJOONI,2017-02-14 13:34:00+05:30,499.05,499.05,499.05,499.05,280458
AJOONI,2017-05-10 09:40:00+05:30,568.7,568.7,568.7,568.7,92340
AJOONI,2017-06-07 09:25:00+05:30,568.7,568.7,568.65,568.7,2059
AJOONI,2017-07-17 14:33:00+05:30,557.75,557.75,557.75,557.75,34026
AJOONI,2017-10-17 15:17:00+05:30,557.75,557.75,557.75,557.75,0
AJOONI,2018-02-14 10:53:00+05:30,646.25,646.25,646.25,646.25,1218697
AJOONI,2018-02-19 10:45:00+05:30,640.1,640.1,640.1,640.1,26654
AJOONI,2021-05-07 00:00:00+05:30,6.5,6.85,6.5,6.75,636593
AJOONI,2021-05-10 00:00:00+05:30,7.0,7.0,6.7,6.8,438220
AJOONI,2021-05-11 00:00:00+05:30,6.75,7.0,6.7,6.95,1064220
AJOONI,2021-05-12 00:00:00+05:30,7.05,7.1,6.85,7.05,1383765
AJOONI,2021-05-14 00:00:00+05:30,7.1,7.25,7.05,7.25,899702
AJOONI,2021-05-17 00:00:00+05:30,7.4,7.6,7.25,7.6,1714898
AJOONI,2021-05-18 00:00:00+05:30,7.95,8.0,7.7,8.0,2302194
AJOONI,2021-05-19 00:00:00+05:30,8.15,8.4,8.15,8.4,1910009
AJOONI,2021-05-20 00:00:00+05:30,41.95,43.55,41.95,43.4,191419
AJOONI,2021-05-21 00:00:00+05:30,44.3,45.1,43.55,44.9,127067
AJOONI,2021-05-24 00:00:00+05:30,45.9,47.1,45.5,47.1,319510
AJOONI,2021-05-25 00:00:00+05:30,47.45,49.4,47.45,49.4,317218
AJOONI,2021-05-26 00:00:00+05:30,51.85,51.85,49.6,51.85,310496
AJOONI,2021-05-27 00:00:00+05:30,52.85,54.4,52.1,54.4,346683
AJOONI,2021-05-28 00:00:00+05:30,55.6,57.15,55.1,57.05,295717
AJOONI,2021-05-31 00:00:00+05:30,58.25,58.85,54.2,54.2,332169
AJOONI,2021-06-01 00:00:00+05:30,51.55,51.55,51.55,51.55,6829
AJOONI,2021-06-02 00:00:00+05:30,49.0,49.0,49.0,49.0,7351
AJOONI,2021-06-03 00:00:00+05:30,46.5,46.5,46.5,46.5,16024
AJOONI,2021-06-04 00:00:00+05:30,44.2,46.5,44.2,44.2,670368
AJOONI,2021-06-07 00:00:00+05:30,42.05,46.4,42.05,46.3,278482
AJOONI,2021-06-08 00:00:00+05:30,46.05,46.1,44.0,44.0,78060
AJOONI,2021-06-09 00:00:00+05:30,41.85,41.85,41.85,41.85,30556
AJOONI,2021-06-10 00:00:00+05:30,39.75,39.75,39.75,39.75,60253
AJOONI,2021-06-11 00:00:00+05:30,37.8,38.95,37.8,37.8,181577
AJOONI,2021-06-14 00:00:00+05:30,35.95,39.65,35.95,39.65,398755
AJOONI,2021-06-15 00:00:00+05:30,41.4,41.6,40.45,41.6,63354
AJOONI,2021-06-16 00:00:00+05:30,43.3,43.7,39.65,41.0,178151
AJOONI,2021-06-17 00:00:00+05:30,41.9,41.9,39.65,39.8,57790
AJOONI,2021-06-18 00:00:00+05:30,40.8,40.8,39.3,39.6,53696
AJOONI,2021-06-21 00:00:00+05:30,41.15,41.55,39.3,41.55,189660
AJOONI,2021-06-22 00:00:00+05:30,43.45,43.55,41.2,42.7,107562
AJOONI,2021-06-23 00:00:00+05:30,44.65,44.65,41.95,42.65,59333
AJOONI,2021-06-24 00:00:00+05:30,43.55,44.3,41.95,42.6,32914
AJOONI,2021-06-25 00:00:00+05:30,43.45,43.45,41.8,41.9,78642
AJOONI,2021-06-28 00:00:00+05:30,43.9,43.9,43.15,43.9,411372
AJOONI,2021-06-29 00:00:00+05:30,45.1,46.0,44.1,45.9,200557
AJOONI,2021-06-30 00:00:00+05:30,47.8,48.2,46.0,48.1,208843
AJOONI,2021-07-01 00:00:00+05:30,49.35,49.35,46.65,48.95,180150
AJOONI,2021-07-02 00:00:00+05:30,49.7,50.05,47.85,48.5,156716
AJOONI,2021-07-05 00:00:00+05:30,48.6,49.35,46.1,46.1,141773
AJOONI,2021-07-06 00:00:00+05:30,43.8,43.8,43.8,43.8,19518
AJOONI,2021-07-07 00:00:00+05:30,41.6,44.6,41.6,43.95,197330
AJOONI,2021-07-08 00:00:00+05:30,41.9,44.3,41.9,43.1,85601
AJOONI,2021-07-09 00:00:00+05:30,43.55,43.85,42.0,43.55,37643
AJOONI,2021-07-12 00:00:00+05:30,44.3,45.45,43.65,44.35,136280
AJOONI,2021-07-13 00:00:00+05:30,45.25,45.4,42.75,43.8,51206
AJOONI,2021-07-14 00:00:00+05:30,43.9,44.3,42.15,43.75,43242
AJOONI,2021-07-15 00:00:00+05:30,43.35,44.3,41.95,42.3,44305
AJOONI,2021-07-16 00:00:00+05:30,42.3,43.3,40.25,42.65,53139
AJOONI,2021-07-19 00:00:00+05:30,42.65,42.75,41.35,41.7,41951
AJOONI,2021-07-20 00:00:00+05:30,8.25,8.35,7.95,8.15,407903
AJOONI,2021-07-22 00:00:00+05:30,8.35,8.35,7.95,8.1,201176
AJOONI,2021-07-23 00:00:00+05:30,8.25,8.55,8.0,8.55,337854
AJOONI,2021-07-26 00:00:00+05:30,9.0,9.0,8.35,8.4,241726
AJOONI,2021-07-27 00:00:00+05:30,8.75,8.75,8.25,8.4,466351
AJOONI,2021-07-28 00:00:00+05:30,8.45,8.85,8.3,8.7,950272
AJOONI,2021-07-29 00:00:00+05:30,8.75,9.1,8.4,9.1,1612197
AJOONI,2021-07-30 00:00:00+05:30,9.5,9.5,9.05,9.4,1329851
AJOONI,2021-08-02 00:00:00+05:30,9.7,9.8,9.05,9.6,777708
AJOONI,2021-08-03 00:00:00+05:30,10.05,10.05,9.15,9.2,781514
AJOONI,2021-08-04 00:00:00+05:30,9.5,9.65,8.75,8.75,274088
AJOONI,2021-08-05 00:00:00+05:30,9.05,9.05,8.35,8.6,400803
AJOONI,2021-08-06 00:00:00+05:30,8.95,8.95,8.6,8.75,82159
AJOONI,2021-08-09 00:00:00+05:30,9.4,9.55,9.05,9.3,780403
AJOONI,2021-08-10 00:00:00+05:30,9.5,9.7,8.85,9.05,921029
AJOONI,2021-08-11 00:00:00+05:30,9.35,9.35,8.55,9.2,389123
AJOONI,2021-08-12 00:00:00+05:30,9.2,9.35,8.75,8.85,73760
AJOONI,2021-08-13 00:00:00+05:30,9.15,9.15,8.75,8.8,72178
AJOONI,2021-08-16 00:00:00+05:30,8.8,9.15,8.65,8.75,60538
AJOONI,2021-08-17 00:00:00+05:30,8.75,9.0,8.4,8.9,189305
