Symbol,Date,Open,High,Low,Close,Volume
ALANKIT,2015-06-30 00:00:00+05:30,11.01,11.3,11.01,11.2,3708620
ALANKIT,2015-07-01 00:00:00+05:30,11.21,11.37,11.21,11.28,2062660
ALANKIT,2015-07-02 00:00:00+05:30,11.26,11.3,11.24,11.25,2542340
ALANKIT,2015-07-03 00:00:00+05:30,11.35,11.35,11.1,11.3,2132440
ALANKIT,2015-07-06 00:00:00+05:30,11.15,11.52,11.05,11.46,2388640
ALANKIT,2015-07-07 00:00:00+05:30,11.54,11.58,11.18,11.22,2467700
ALANKIT,2015-07-08 00:00:00+05:30,11.2,11.2,11.06,11.06,2087080
ALANKIT,2015-07-09 00:00:00+05:30,11.08,11.1,10.79,10.87,3080660
ALANKIT,2015-07-10 00:00:00+05:30,10.88,10.94,10.79,10.82,3246980
ALANKIT,2015-07-13 00:00:00+05:30,10.84,10.86,10.51,10.76,3158860
ALANKIT,2015-07-14 00:00:00+05:30,10.76,10.8,10.64,10.69,2340060
ALANKIT,2015-07-15 00:00:00+05:30,10.7,10.8,10.66,10.76,2389680
ALANKIT,2015-07-16 00:00:00+05:30,10.8,10.87,10.75,10.78,2964740
ALANKIT,2015-07-17 00:00:00+05:30,10.76,10.81,10.73,10.8,2584160
ALANKIT,2015-07-20 00:00:00+05:30,10.8,10.9,10.76,10.87,2519620
ALANKIT,2015-07-21 00:00:00+05:30,10.87,10.9,10.76,10.84,2304720
ALANKIT,2015-07-22 00:00:00+05:30,10.83,10.95,10.78,10.9,2856440
ALANKIT,2015-07-23 00:00:00+05:30,10.97,10.97,10.88,10.92,3120080
ALANKIT,2015-07-24 00:00:00+05:30,10.98,11.0,10.88,10.92,3717240
ALANKIT,2015-07-27 00:00:00+05:30,10.9,10.99,10.83,10.83,2825680
ALANKIT,2015-07-28 00:00:00+05:30,10.79,10.87,10.75,10.77,3309180
ALANKIT,2015-07-29 00:00:00+05:30,10.81,10.93,10.8,10.88,3063280
ALANKIT,2015-07-30 00:00:00+05:30,10.93,10.97,10.81,10.93,2719020
ALANKIT,2015-07-31 00:00:00+05:30,11.0,11.2,10.91,11.18,2502640
ALANKIT,2015-08-03 00:00:00+05:30,11.19,11.24,11.13,11.18,3090500
ALANKIT,2015-08-04 00:00:00+05:30,11.22,11.29,11.07,11.1,3967600
ALANKIT,2015-08-05 00:00:00+05:30,11.14,11.15,11.06,11.13,3591220
ALANKIT,2015-08-06 00:00:00+05:30,11.13,11.19,11.09,11.17,3712480
ALANKIT,2015-08-07 00:00:00+05:30,11.2,11.2,11.06,11.09,3618060
ALANKIT,2015-08-10 00:00:00+05:30,11.05,11.2,11.05,11.18,4352280
ALANKIT,2015-08-11 00:00:00+05:30,11.2,11.2,10.95,10.98,3412800
