Symbol,Date,Open,High,Low,Close,Volume
ALPL30IETF,2020-08-18 00:00:00+05:30,11.95,11.96,11.84,11.92,61680
ALPL30IETF,2020-08-19 00:00:00+05:30,14.0,14.0,11.7,11.98,166210
ALPL30IETF,2020-08-20 00:00:00+05:30,11.81,11.98,11.81,11.89,18160
ALPL30IETF,2020-08-21 00:00:00+05:30,12.0,12.08,11.98,11.99,24340
ALPL30IETF,2020-08-24 00:00:00+05:30,11.99,12.06,11.95,12.02,12850
ALPL30IETF,2020-08-25 00:00:00+05:30,12.1,12.1,11.91,11.91,18570
ALPL30IETF,2020-08-26 00:00:00+05:30,11.9,11.96,11.9,11.96,3870
ALPL30IETF,2020-08-27 00:00:00+05:30,11.61,12.5,11.6,11.95,18180
ALPL30IETF,2020-08-28 00:00:00+05:30,11.91,12.0,11.91,11.92,45570
ALPL30IETF,2020-08-31 00:00:00+05:30,11.95,11.95,11.55,11.6,47930
ALPL30IETF,2020-09-01 00:00:00+05:30,11.7,11.7,11.6,11.6,3020
ALPL30IETF,2020-09-02 00:00:00+05:30,11.8,11.84,11.74,11.75,18510
ALPL30IETF,2020-09-03 00:00:00+05:30,11.75,11.9,11.75,11.86,26890
ALPL30IETF,2020-09-04 00:00:00+05:30,11.8,12.34,11.76,11.85,18520
ALPL30IETF,2020-09-07 00:00:00+05:30,11.82,11.82,11.62,11.65,173260
ALPL30IETF,2020-09-08 00:00:00+05:30,11.71,11.81,11.7,11.7,65550
ALPL30IETF,2020-09-09 00:00:00+05:30,11.7,11.79,11.58,11.67,112190
ALPL30IETF,2020-09-10 00:00:00+05:30,12.0,12.1,11.62,11.8,14100
ALPL30IETF,2020-09-11 00:00:00+05:30,11.8,11.88,11.8,11.86,16940
ALPL30IETF,2020-09-14 00:00:00+05:30,11.92,12.0,11.91,11.95,44140
ALPL30IETF,2020-09-15 00:00:00+05:30,12.05,12.09,12.0,12.05,11650
ALPL30IETF,2020-09-16 00:00:00+05:30,12.2,12.2,11.76,12.12,35300
ALPL30IETF,2020-09-17 00:00:00+05:30,13.0,13.0,11.8,12.16,27800
ALPL30IETF,2020-09-18 00:00:00+05:30,12.02,12.69,9.99,12.28,71050
ALPL30IETF,2020-09-21 00:00:00+05:30,12.28,12.34,11.96,11.99,14720
ALPL30IETF,2020-09-22 00:00:00+05:30,11.85,12.4,11.78,11.93,18510
ALPL30IETF,2020-09-23 00:00:00+05:30,13.96,13.96,11.72,11.92,11190
ALPL30IETF,2020-09-24 00:00:00+05:30,11.8,11.92,11.62,11.73,5520
ALPL30IETF,2020-09-25 00:00:00+05:30,11.83,11.95,11.74,11.94,7020
ALPL30IETF,2020-09-28 00:00:00+05:30,13.46,13.46,10.11,12.0,13930
ALPL30IETF,2020-09-29 00:00:00+05:30,12.05,12.1,12.02,12.04,2040
ALPL30IETF,2020-09-30 00:00:00+05:30,11.9,12.12,11.76,12.08,1374110
ALPL30IETF,2020-10-01 00:00:00+05:30,14.0,14.0,12.08,12.17,17530
ALPL30IETF,2020-10-05 00:00:00+05:30,12.17,13.96,11.77,12.21,37960
ALPL30IETF,2020-10-06 00:00:00+05:30,12.3,12.34,12.23,12.28,2480
ALPL30IETF,2020-10-07 00:00:00+05:30,12.0,12.4,12.0,12.26,32000
ALPL30IETF,2020-10-08 00:00:00+05:30,12.4,12.44,12.26,12.38,12710
ALPL30IETF,2020-10-09 00:00:00+05:30,12.48,12.48,12.37,12.44,6030
ALPL30IETF,2020-10-12 00:00:00+05:30,12.44,12.44,12.4,12.4,1740
ALPL30IETF,2020-10-13 00:00:00+05:30,12.4,12.56,12.4,12.44,8220
ALPL30IETF,2020-10-14 00:00:00+05:30,12.4,12.4,12.28,12.31,5360
ALPL30IETF,2020-10-15 00:00:00+05:30,12.34,12.36,12.11,12.2,69640
ALPL30IETF,2020-10-16 00:00:00+05:30,12.19,12.29,12.16,12.27,17880
ALPL30IETF,2020-10-19 00:00:00+05:30,12.29,12.3,12.25,12.3,6490
ALPL30IETF,2020-10-20 00:00:00+05:30,12.67,13.08,11.93,12.29,7380
ALPL30IETF,2020-10-21 00:00:00+05:30,12.3,12.37,12.2,12.25,17290
ALPL30IETF,2020-10-22 00:00:00+05:30,12.4,12.4,12.16,12.21,56430
ALPL30IETF,2020-10-23 00:00:00+05:30,12.35,12.35,12.3,12.3,740
ALPL30IETF,2020-10-26 00:00:00+05:30,13.9,13.9,12.14,12.15,68640
ALPL30IETF,2020-10-27 00:00:00+05:30,12.15,12.39,12.15,12.39,25970
ALPL30IETF,2020-10-28 00:00:00+05:30,12.33,12.43,12.3,12.31,1970
ALPL30IETF,2020-10-29 00:00:00+05:30,12.4,12.6,12.2,12.32,124670
ALPL30IETF,2020-10-30 00:00:00+05:30,12.32,12.41,12.27,12.31,9330
ALPL30IETF,2020-11-02 00:00:00+05:30,12.41,12.41,12.13,12.19,5570
ALPL30IETF,2020-11-03 00:00:00+05:30,12.2,12.4,12.15,12.28,6790
ALPL30IETF,2020-11-04 00:00:00+05:30,12.4,12.6,12.3,12.36,12620
ALPL30IETF,2020-11-05 00:00:00+05:30,12.41,12.49,12.4,12.43,17480
ALPL30IETF,2020-11-06 00:00:00+05:30,12.4,12.56,12.4,12.5,365710
ALPL30IETF,2020-11-09 00:00:00+05:30,12.6,12.72,12.55,12.68,12570
ALPL30IETF,2020-11-10 00:00:00+05:30,12.36,12.68,12.32,12.33,13510
ALPL30IETF,2020-11-11 00:00:00+05:30,12.5,12.68,12.38,12.48,5070
ALPL30IETF,2020-11-12 00:00:00+05:30,12.53,12.68,12.53,12.55,2630
ALPL30IETF,2020-11-13 00:00:00+05:30,12.69,12.69,12.58,12.63,8210
ALPL30IETF,2020-11-14 00:00:00+05:30,12.69,12.69,12.56,12.67,49970
ALPL30IETF,2020-11-17 00:00:00+05:30,12.65,12.65,12.58,12.61,3640
ALPL30IETF,2020-11-18 00:00:00+05:30,12.6,12.64,12.58,12.59,6420
ALPL30IETF,2020-11-19 00:00:00+05:30,12.69,12.74,12.58,12.66,130730
ALPL30IETF,2020-11-20 00:00:00+05:30,12.97,12.97,12.56,12.7,10860
ALPL30IETF,2020-11-23 00:00:00+05:30,12.7,12.87,12.7,12.85,112250
ALPL30IETF,2020-11-24 00:00:00+05:30,12.87,12.92,12.85,12.92,16110
ALPL30IETF,2020-11-25 00:00:00+05:30,12.92,12.96,12.71,12.8,27310
ALPL30IETF,2020-11-26 00:00:00+05:30,12.8,12.8,12.65,12.74,14430
ALPL30IETF,2020-11-27 00:00:00+05:30,12.86,12.98,12.86,12.95,8320
ALPL30IETF,2020-12-01 00:00:00+05:30,12.97,13.0,12.86,13.0,23390
ALPL30IETF,2020-12-02 00:00:00+05:30,13.0,13.08,12.92,13.08,4640
ALPL30IETF,2020-12-03 00:00:00+05:30,13.0,13.2,12.9,13.2,14510
ALPL30IETF,2020-12-04 00:00:00+05:30,13.3,13.4,13.18,13.18,15670
ALPL30IETF,2020-12-07 00:00:00+05:30,14.72,14.72,13.0,13.34,15640
ALPL30IETF,2020-12-08 00:00:00+05:30,13.4,13.41,13.22,13.31,38930
ALPL30IETF,2020-12-09 00:00:00+05:30,13.31,13.4,13.31,13.38,11820
ALPL30IETF,2020-12-10 00:00:00+05:30,13.32,13.42,13.29,13.41,44920
ALPL30IETF,2020-12-11 00:00:00+05:30,13.42,13.45,13.3,13.4,16000
ALPL30IETF,2020-12-14 00:00:00+05:30,13.8,13.8,13.1,13.51,3560
ALPL30IETF,2020-12-15 00:00:00+05:30,13.3,13.7,13.3,13.47,10600
ALPL30IETF,2020-12-16 00:00:00+05:30,13.48,13.6,13.46,13.58,5750
ALPL30IETF,2020-12-17 00:00:00+05:30,13.6,13.65,13.52,13.59,15270
ALPL30IETF,2020-12-18 00:00:00+05:30,13.6,13.7,13.58,13.68,8070
ALPL30IETF,2020-12-21 00:00:00+05:30,14.7,14.7,13.2,13.27,295260
ALPL30IETF,2020-12-22 00:00:00+05:30,13.27,13.54,13.1,13.46,112060
ALPL30IETF,2020-12-23 00:00:00+05:30,13.8,13.8,13.5,13.68,50020
ALPL30IETF,2020-12-24 00:00:00+05:30,13.8,13.8,13.58,13.73,25630
ALPL30IETF,2020-12-28 00:00:00+05:30,13.5,13.79,13.5,13.79,23360
ALPL30IETF,2020-12-29 00:00:00+05:30,13.79,13.9,13.7,13.74,5080
ALPL30IETF,2020-12-30 00:00:00+05:30,13.8,13.85,13.71,13.83,2720
ALPL30IETF,2020-12-31 00:00:00+05:30,13.84,13.87,13.74,13.82,2030
ALPL30IETF,2021-01-01 00:00:00+05:30,13.86,13.92,13.81,13.9,6330
ALPL30IETF,2021-01-04 00:00:00+05:30,15.8,15.8,13.9,14.05,76570
ALPL30IETF,2021-01-05 00:00:00+05:30,14.1,14.14,13.96,14.09,13910
ALPL30IETF,2021-01-06 00:00:00+05:30,14.92,15.8,13.72,14.06,120470
ALPL30IETF,2021-01-07 00:00:00+05:30,15.32,15.32,14.06,14.12,19730
ALPL30IETF,2021-01-08 00:00:00+05:30,14.9,14.9,14.16,14.35,14120
ALPL30IETF,2021-01-11 00:00:00+05:30,15.2,15.2,13.89,14.56,145980
