Symbol,Date,Open,High,Low,Close,Volume
AMBICAAGAR,2007-01-02 00:00:00+05:30,10.4,10.4,9.9,10.1,31658
AMBICAAGAR,2007-01-03 00:00:00+05:30,10.45,10.85,10.2,10.5,21871
AMBICAAGAR,2007-01-04 00:00:00+05:30,10.8,10.8,10.35,10.6,11152
AMBICAAGAR,2007-01-05 00:00:00+05:30,10.55,11.5,10.55,10.95,59928
AMBICAAGAR,2007-01-08 00:00:00+05:30,11.2,13.15,10.9,12.95,169262
AMBICAAGAR,2007-01-09 00:00:00+05:30,13.15,13.5,12.05,12.15,91607
AMBICAAGAR,2007-01-10 00:00:00+05:30,11.9,12.0,11.4,11.65,13567
AMBICAAGAR,2007-01-11 00:00:00+05:30,11.5,11.7,11.25,11.55,15746
AMBICAAGAR,2007-01-12 00:00:00+05:30,11.95,11.95,11.05,11.55,21065
AMBICAAGAR,2007-01-15 00:00:00+05:30,11.7,11.95,11.4,11.55,6674
AMBICAAGAR,2007-01-16 00:00:00+05:30,11.55,13.35,11.25,13.1,89074
AMBICAAGAR,2007-01-17 00:00:00+05:30,13.7,13.7,12.25,12.5,38453
AMBICAAGAR,2007-01-18 00:00:00+05:30,12.4,12.8,12.1,12.3,17000
AMBICAAGAR,2007-01-19 00:00:00+05:30,12.6,12.6,11.8,11.9,12875
AMBICAAGAR,2007-01-22 00:00:00+05:30,12.0,12.5,11.5,12.45,42590
AMBICAAGAR,2007-01-23 00:00:00+05:30,11.8,12.75,11.8,12.05,14054
AMBICAAGAR,2007-01-24 00:00:00+05:30,12.15,12.15,11.5,11.55,8650
AMBICAAGAR,2007-01-25 00:00:00+05:30,11.8,12.3,11.7,12.15,6206
AMBICAAGAR,2007-01-29 00:00:00+05:30,11.75,12.25,11.65,11.75,7389
AMBICAAGAR,2007-01-31 00:00:00+05:30,11.6,11.9,11.4,11.5,5182
AMBICAAGAR,2007-02-01 00:00:00+05:30,11.9,12.0,11.5,11.7,3319
AMBICAAGAR,2007-02-02 00:00:00+05:30,11.5,12.5,11.5,11.9,17469
AMBICAAGAR,2007-02-05 00:00:00+05:30,11.95,12.25,11.75,11.85,15755
AMBICAAGAR,2007-02-06 00:00:00+05:30,12.3,12.3,11.75,11.8,6575
AMBICAAGAR,2007-02-07 00:00:00+05:30,12.0,12.25,11.9,12.0,5858
AMBICAAGAR,2007-02-08 00:00:00+05:30,12.4,12.8,11.7,11.85,6540
AMBICAAGAR,2007-02-09 00:00:00+05:30,11.6,11.6,10.8,11.05,28092
AMBICAAGAR,2007-02-12 00:00:00+05:30,10.9,11.1,10.4,10.55,7645
AMBICAAGAR,2007-02-13 00:00:00+05:30,10.5,11.2,10.5,10.6,8213
AMBICAAGAR,2007-02-14 00:00:00+05:30,10.5,10.9,10.1,10.65,3400
AMBICAAGAR,2007-02-15 00:00:00+05:30,11.15,11.15,10.8,10.9,4010
AMBICAAGAR,2007-02-19 00:00:00+05:30,10.35,11.2,10.3,10.6,7326
AMBICAAGAR,2007-02-20 00:00:00+05:30,10.4,11.2,10.4,10.85,4850
AMBICAAGAR,2007-02-21 00:00:00+05:30,10.9,10.9,10.5,10.75,1946
AMBICAAGAR,2007-02-22 00:00:00+05:30,10.5,10.5,10.1,10.2,3186
AMBICAAGAR,2007-02-23 00:00:00+05:30,10.55,10.55,9.5,9.65,17704
AMBICAAGAR,2007-02-26 00:00:00+05:30,8.7,10.35,8.7,9.95,2463
AMBICAAGAR,2007-02-27 00:00:00+05:30,9.75,10.2,9.75,9.8,4884
AMBICAAGAR,2007-02-28 00:00:00+05:30,9.6,10.25,9.6,9.85,4460
AMBICAAGAR,2007-03-01 00:00:00+05:30,10.35,10.35,9.6,9.75,9043
AMBICAAGAR,2007-03-02 00:00:00+05:30,9.6,10.05,9.6,9.75,5832
AMBICAAGAR,2007-03-05 00:00:00+05:30,8.85,9.5,8.85,9.1,6850
AMBICAAGAR,2007-03-06 00:00:00+05:30,8.2,9.05,8.2,9.0,14866
AMBICAAGAR,2007-03-07 00:00:00+05:30,9.0,9.5,8.65,8.8,6322
AMBICAAGAR,2007-03-08 00:00:00+05:30,8.75,9.1,8.75,8.9,4844
AMBICAAGAR,2007-03-09 00:00:00+05:30,8.9,9.2,8.75,8.8,9592
AMBICAAGAR,2007-03-12 00:00:00+05:30,9.25,9.5,9.05,9.05,12949
AMBICAAGAR,2007-03-13 00:00:00+05:30,9.2,9.5,9.0,9.3,7460
AMBICAAGAR,2007-03-14 00:00:00+05:30,9.25,9.35,9.0,9.2,4328
AMBICAAGAR,2007-03-15 00:00:00+05:30,9.25,9.45,8.9,9.15,2756
AMBICAAGAR,2007-03-16 00:00:00+05:30,9.0,9.0,8.5,8.6,9943
AMBICAAGAR,2007-03-19 00:00:00+05:30,9.0,9.75,8.95,9.5,20034
AMBICAAGAR,2007-03-20 00:00:00+05:30,9.9,9.9,8.6,9.55,46327
AMBICAAGAR,2007-03-21 00:00:00+05:30,9.9,9.9,9.0,9.15,15241
AMBICAAGAR,2007-03-22 00:00:00+05:30,9.15,9.5,9.15,9.45,17776
AMBICAAGAR,2007-03-23 00:00:00+05:30,9.25,9.65,9.15,9.45,7929
AMBICAAGAR,2007-03-26 00:00:00+05:30,9.5,9.65,9.1,9.1,3355
AMBICAAGAR,2007-03-28 00:00:00+05:30,9.5,9.5,8.9,9.0,15027
AMBICAAGAR,2007-03-29 00:00:00+05:30,9.2,9.4,8.85,8.95,7403
AMBICAAGAR,2007-03-30 00:00:00+05:30,8.9,9.2,8.8,9.15,7608
AMBICAAGAR,2007-04-02 00:00:00+05:30,8.8,8.9,8.8,8.9,641
AMBICAAGAR,2007-04-03 00:00:00+05:30,8.8,9.2,8.8,8.85,2913
AMBICAAGAR,2007-04-04 00:00:00+05:30,9.0,9.3,8.95,9.15,3331
AMBICAAGAR,2007-04-05 00:00:00+05:30,9.25,9.25,8.9,9.15,55
AMBICAAGAR,2007-04-09 00:00:00+05:30,9.35,10.5,9.35,9.95,16236
AMBICAAGAR,2007-04-10 00:00:00+05:30,10.25,10.25,9.8,10.05,7906
AMBICAAGAR,2007-04-11 00:00:00+05:30,10.0,10.5,10.0,10.2,4751
AMBICAAGAR,2007-04-12 00:00:00+05:30,10.7,10.7,9.6,9.95,1600
AMBICAAGAR,2007-04-13 00:00:00+05:30,9.8,10.25,9.8,10.05,2550
AMBICAAGAR,2007-04-16 00:00:00+05:30,9.8,10.55,9.8,10.5,12273
AMBICAAGAR,2007-04-17 00:00:00+05:30,10.1,10.1,10.0,10.0,600
AMBICAAGAR,2007-04-18 00:00:00+05:30,9.75,10.9,9.75,10.4,7388
AMBICAAGAR,2007-04-19 00:00:00+05:30,10.25,11.0,10.2,10.85,14076
AMBICAAGAR,2007-04-20 00:00:00+05:30,11.0,11.4,10.7,10.7,5631
AMBICAAGAR,2007-04-23 00:00:00+05:30,10.6,10.8,10.5,10.5,2052
AMBICAAGAR,2007-04-24 00:00:00+05:30,10.0,10.5,10.0,10.15,3452
AMBICAAGAR,2007-04-25 00:00:00+05:30,10.5,10.5,10.5,10.5,101
AMBICAAGAR,2007-04-26 00:00:00+05:30,10.3,10.4,10.0,10.1,2952
AMBICAAGAR,2007-04-27 00:00:00+05:30,10.35,12.15,10.15,11.6,116387
AMBICAAGAR,2007-04-30 00:00:00+05:30,11.95,13.4,11.95,12.3,161841
AMBICAAGAR,2007-05-03 00:00:00+05:30,12.8,13.25,12.0,12.35,76304
AMBICAAGAR,2007-05-04 00:00:00+05:30,12.15,12.4,11.25,11.4,53119
AMBICAAGAR,2007-05-07 00:00:00+05:30,12.0,12.0,11.1,11.3,11972
AMBICAAGAR,2007-05-08 00:00:00+05:30,11.2,11.7,11.0,11.05,10326
AMBICAAGAR,2007-05-09 00:00:00+05:30,10.8,11.1,10.8,10.8,6466
AMBICAAGAR,2007-05-10 00:00:00+05:30,10.95,11.0,10.4,10.4,17819
AMBICAAGAR,2007-05-11 00:00:00+05:30,10.25,10.4,10.05,10.1,16518
AMBICAAGAR,2007-05-14 00:00:00+05:30,10.25,10.9,10.25,10.45,27123
AMBICAAGAR,2007-05-15 00:00:00+05:30,10.8,11.4,10.6,10.9,24004
AMBICAAGAR,2007-05-16 00:00:00+05:30,10.75,11.1,10.75,11.1,9977
AMBICAAGAR,2007-05-17 00:00:00+05:30,11.4,13.0,11.4,12.05,103604
AMBICAAGAR,2007-05-18 00:00:00+05:30,12.5,13.0,12.0,12.35,75009
AMBICAAGAR,2007-05-21 00:00:00+05:30,14.5,14.5,11.85,12.05,46294
AMBICAAGAR,2007-05-22 00:00:00+05:30,13.0,13.4,11.9,12.85,67316
AMBICAAGAR,2007-05-23 00:00:00+05:30,13.3,13.5,12.35,12.7,72752
AMBICAAGAR,2007-05-24 00:00:00+05:30,13.5,13.5,12.5,12.6,22692
AMBICAAGAR,2007-05-25 00:00:00+05:30,12.5,14.7,12.5,13.25,121372
AMBICAAGAR,2007-05-28 00:00:00+05:30,13.45,14.45,13.25,13.45,53620
AMBICAAGAR,2007-05-29 00:00:00+05:30,13.85,13.85,12.75,12.85,23215
AMBICAAGAR,2007-05-30 00:00:00+05:30,12.5,13.6,12.4,12.45,17377
AMBICAAGAR,2007-05-31 00:00:00+05:30,13.4,13.4,12.75,13.1,42000
AMBICAAGAR,2007-06-01 00:00:00+05:30,13.8,15.1,12.85,13.1,33963
AMBICAAGAR,2007-06-04 00:00:00+05:30,14.4,14.4,12.7,13.05,19449
AMBICAAGAR,2007-06-05 00:00:00+05:30,12.5,13.95,12.5,12.9,16497
AMBICAAGAR,2007-06-06 00:00:00+05:30,12.95,13.5,12.75,12.9,36829
AMBICAAGAR,2007-06-07 00:00:00+05:30,13.5,13.8,12.8,12.95,31976
AMBICAAGAR,2007-06-08 00:00:00+05:30,13.0,13.75,12.9,13.0,60612
AMBICAAGAR,2007-06-11 00:00:00+05:30,13.45,13.85,13.0,13.15,49336
AMBICAAGAR,2007-06-12 00:00:00+05:30,13.45,13.5,12.55,12.85,14008
AMBICAAGAR,2007-06-13 00:00:00+05:30,13.0,13.45,12.65,12.8,10172
AMBICAAGAR,2007-06-14 00:00:00+05:30,12.9,13.5,12.5,12.7,18813
AMBICAAGAR,2007-06-15 00:00:00+05:30,12.75,13.0,12.55,12.8,16836
AMBICAAGAR,2007-06-18 00:00:00+05:30,12.1,12.95,12.1,12.6,6786
AMBICAAGAR,2007-06-19 00:00:00+05:30,12.9,13.1,12.65,12.9,11366
AMBICAAGAR,2007-06-20 00:00:00+05:30,12.95,13.75,12.6,13.05,21803
AMBICAAGAR,2007-06-21 00:00:00+05:30,13.35,13.35,12.75,12.95,28575
AMBICAAGAR,2007-06-22 00:00:00+05:30,12.9,13.35,12.65,12.65,8188
AMBICAAGAR,2007-06-25 00:00:00+05:30,13.3,13.3,12.4,12.6,4601
AMBICAAGAR,2007-06-26 00:00:00+05:30,12.6,13.0,12.5,12.6,10492
AMBICAAGAR,2007-06-27 00:00:00+05:30,12.45,13.25,12.4,12.65,5054
AMBICAAGAR,2007-06-28 00:00:00+05:30,12.95,13.15,12.6,12.8,11232
AMBICAAGAR,2007-06-29 00:00:00+05:30,13.0,14.4,12.3,12.45,27398
AMBICAAGAR,2007-07-02 00:00:00+05:30,12.9,12.9,12.5,12.6,8534
AMBICAAGAR,2007-07-03 00:00:00+05:30,12.9,13.5,12.6,12.95,35001
AMBICAAGAR,2007-07-04 00:00:00+05:30,13.4,13.5,12.6,12.9,23798
AMBICAAGAR,2007-07-05 00:00:00+05:30,13.0,13.1,12.55,12.6,9904
AMBICAAGAR,2007-07-06 00:00:00+05:30,13.25,13.25,12.65,12.7,4317
AMBICAAGAR,2007-07-09 00:00:00+05:30,12.85,13.45,12.6,12.7,32009
AMBICAAGAR,2007-07-10 00:00:00+05:30,12.95,13.0,12.6,12.6,5261
AMBICAAGAR,2007-07-11 00:00:00+05:30,12.5,13.0,12.5,12.7,2750
AMBICAAGAR,2007-07-12 00:00:00+05:30,12.9,13.1,12.6,12.8,14258
AMBICAAGAR,2007-07-13 00:00:00+05:30,13.5,14.5,12.9,13.05,63285
AMBICAAGAR,2007-07-16 00:00:00+05:30,13.65,14.0,13.0,13.15,28320
AMBICAAGAR,2007-07-17 00:00:00+05:30,13.2,13.5,12.8,12.85,21046
AMBICAAGAR,2007-07-18 00:00:00+05:30,13.1,13.7,12.6,12.7,14792
AMBICAAGAR,2007-07-19 00:00:00+05:30,13.0,13.65,12.85,13.1,35212
AMBICAAGAR,2007-07-20 00:00:00+05:30,13.6,13.6,12.75,12.8,7851
AMBICAAGAR,2007-07-23 00:00:00+05:30,11.9,13.65,11.9,12.8,11010
AMBICAAGAR,2007-07-24 00:00:00+05:30,13.15,13.15,12.5,12.55,8149
AMBICAAGAR,2007-07-25 00:00:00+05:30,12.9,13.5,12.25,12.3,10549
AMBICAAGAR,2007-07-26 00:00:00+05:30,12.8,13.0,12.2,12.3,12523
AMBICAAGAR,2007-07-27 00:00:00+05:30,12.4,12.45,11.7,11.8,24012
AMBICAAGAR,2007-07-30 00:00:00+05:30,12.8,12.8,12.0,12.55,26456
AMBICAAGAR,2007-07-31 00:00:00+05:30,12.95,13.1,12.25,12.4,20497
AMBICAAGAR,2007-08-01 00:00:00+05:30,12.75,12.75,11.85,11.95,17988
AMBICAAGAR,2007-08-02 00:00:00+05:30,12.4,12.8,11.75,12.0,5374
AMBICAAGAR,2007-08-03 00:00:00+05:30,12.45,12.5,11.65,11.75,8810
AMBICAAGAR,2007-08-06 00:00:00+05:30,11.95,12.1,11.35,11.55,7352
AMBICAAGAR,2007-08-07 00:00:00+05:30,12.9,13.5,11.5,11.6,14387
AMBICAAGAR,2007-08-08 00:00:00+05:30,12.5,12.5,11.5,11.75,15058
AMBICAAGAR,2007-08-09 00:00:00+05:30,12.25,12.8,11.5,11.8,23835
AMBICAAGAR,2007-08-10 00:00:00+05:30,11.8,12.0,11.45,11.6,8818
AMBICAAGAR,2007-08-13 00:00:00+05:30,12.35,12.45,11.8,12.25,15562
AMBICAAGAR,2007-08-14 00:00:00+05:30,11.1,13.2,11.1,13.05,120746
AMBICAAGAR,2007-08-16 00:00:00+05:30,13.0,14.2,12.6,12.95,67790
AMBICAAGAR,2007-08-17 00:00:00+05:30,13.9,13.95,12.1,12.45,26228
AMBICAAGAR,2007-08-20 00:00:00+05:30,13.4,13.5,12.55,12.7,11569
AMBICAAGAR,2007-08-21 00:00:00+05:30,12.5,12.9,11.75,12.1,9150
AMBICAAGAR,2007-08-22 00:00:00+05:30,12.65,12.7,11.5,11.7,14682
AMBICAAGAR,2007-08-23 00:00:00+05:30,11.8,12.4,11.5,11.5,26451
AMBICAAGAR,2007-08-24 00:00:00+05:30,11.55,12.15,11.55,11.85,11282
AMBICAAGAR,2007-08-27 00:00:00+05:30,12.3,12.9,12.05,12.5,28375
AMBICAAGAR,2007-08-28 00:00:00+05:30,12.85,14.45,12.6,14.3,205859
AMBICAAGAR,2007-08-29 00:00:00+05:30,12.65,15.9,12.65,15.0,174683
AMBICAAGAR,2007-08-30 00:00:00+05:30,15.4,15.4,14.1,14.65,92325
AMBICAAGAR,2007-08-31 00:00:00+05:30,14.15,14.7,14.05,14.15,19963
AMBICAAGAR,2007-09-03 00:00:00+05:30,14.5,17.0,14.5,17.0,77276
AMBICAAGAR,2007-09-04 00:00:00+05:30,19.95,20.4,19.4,20.4,619432
AMBICAAGAR,2007-09-05 00:00:00+05:30,22.2,22.45,21.6,22.45,314181
AMBICAAGAR,2007-09-06 00:00:00+05:30,24.6,24.6,20.35,21.7,531678
AMBICAAGAR,2007-09-07 00:00:00+05:30,22.2,22.4,20.45,20.75,175689
AMBICAAGAR,2007-09-10 00:00:00+05:30,20.05,21.75,19.05,20.05,181997
AMBICAAGAR,2007-09-11 00:00:00+05:30,20.5,20.9,19.55,19.7,93448
AMBICAAGAR,2007-09-12 00:00:00+05:30,19.9,21.2,19.45,20.1,233182
AMBICAAGAR,2007-09-13 00:00:00+05:30,19.65,20.6,19.6,19.75,51649
AMBICAAGAR,2007-09-14 00:00:00+05:30,19.95,20.7,18.6,18.9,65446
AMBICAAGAR,2007-09-17 00:00:00+05:30,18.5,19.2,17.5,17.8,52250
AMBICAAGAR,2007-09-18 00:00:00+05:30,18.15,18.7,17.7,18.35,61197
AMBICAAGAR,2007-09-19 00:00:00+05:30,18.5,18.75,18.0,18.1,48247
AMBICAAGAR,2007-09-20 00:00:00+05:30,17.85,18.5,17.8,17.85,37293
AMBICAAGAR,2007-09-21 00:00:00+05:30,18.05,18.05,17.25,17.5,44376
AMBICAAGAR,2007-09-24 00:00:00+05:30,17.55,18.0,16.35,16.6,68038
AMBICAAGAR,2007-09-25 00:00:00+05:30,17.5,17.5,16.55,17.0,44756
AMBICAAGAR,2007-09-26 00:00:00+05:30,17.0,17.45,16.6,17.35,42689
AMBICAAGAR,2007-09-27 00:00:00+05:30,17.3,18.3,17.0,17.6,72663
AMBICAAGAR,2007-09-28 00:00:00+05:30,17.8,17.8,17.1,17.15,31782
AMBICAAGAR,2007-10-01 00:00:00+05:30,17.45,18.9,17.45,18.9,99772
AMBICAAGAR,2007-10-03 00:00:00+05:30,20.45,20.45,18.25,18.85,139617
AMBICAAGAR,2007-10-04 00:00:00+05:30,18.85,19.1,18.1,18.5,46012
AMBICAAGAR,2007-10-05 00:00:00+05:30,18.2,18.45,17.45,17.55,38160
AMBICAAGAR,2007-10-08 00:00:00+05:30,17.5,17.9,16.1,16.25,37006
AMBICAAGAR,2007-10-09 00:00:00+05:30,16.3,17.45,15.5,17.05,55092
AMBICAAGAR,2007-10-10 00:00:00+05:30,17.0,17.75,16.5,16.55,24512
AMBICAAGAR,2007-10-11 00:00:00+05:30,17.8,17.8,16.5,16.65,16275
AMBICAAGAR,2007-10-12 00:00:00+05:30,16.2,16.9,16.2,16.45,17466
AMBICAAGAR,2007-10-15 00:00:00+05:30,16.85,16.95,16.5,16.55,17907
AMBICAAGAR,2007-10-16 00:00:00+05:30,16.5,16.85,16.0,16.1,27277
