Symbol,Date,Open,High,Low,Close,Volume
AMJLAND,2003-01-01 00:00:00+05:30,3.02,3.02,3.02,3.02,3599
AMJLAND,2003-01-02 00:00:00+05:30,3.0,3.07,3.0,3.04,9824
AMJLAND,2003-01-03 00:00:00+05:30,3.0,3.03,2.97,3.03,12819
AMJLAND,2003-01-06 00:00:00+05:30,2.91,3.07,2.91,2.96,21514
AMJLAND,2003-01-07 00:00:00+05:30,2.8,3.2,2.8,3.2,1389
AMJLAND,2003-01-08 00:00:00+05:30,3.02,3.2,3.02,3.2,1149
AMJLAND,2003-01-09 00:00:00+05:30,3.0,3.03,2.99,3.02,3559
AMJLAND,2003-01-10 00:00:00+05:30,3.07,3.32,3.07,3.23,6779
AMJLAND,2003-01-13 00:00:00+05:30,3.11,3.11,3.11,3.11,499
AMJLAND,2003-01-14 00:00:00+05:30,3.11,3.11,3.11,3.11,999
AMJLAND,2003-01-15 00:00:00+05:30,3.14,3.28,3.14,3.26,11004
AMJLAND,2003-01-16 00:00:00+05:30,3.17,3.27,3.17,3.27,999
AMJLAND,2003-01-17 00:00:00+05:30,3.41,3.43,3.25,3.36,9874
AMJLAND,2003-01-20 00:00:00+05:30,3.52,3.52,3.3,3.34,6069
AMJLAND,2003-01-21 00:00:00+05:30,3.44,3.44,3.37,3.39,6999
AMJLAND,2003-01-22 00:00:00+05:30,3.37,3.39,3.33,3.36,9999
AMJLAND,2003-01-23 00:00:00+05:30,3.33,3.37,3.33,3.35,4249
AMJLAND,2003-01-24 00:00:00+05:30,3.17,3.29,3.17,3.23,13414
AMJLAND,2003-01-27 00:00:00+05:30,3.12,3.36,3.06,3.09,7504
AMJLAND,2003-01-28 00:00:00+05:30,3.01,3.01,3.01,3.01,119
AMJLAND,2003-01-29 00:00:00+05:30,3.03,3.03,2.94,3.0,1499
AMJLAND,2003-01-30 00:00:00+05:30,3.29,3.29,3.01,3.01,1004
AMJLAND,2003-01-31 00:00:00+05:30,3.14,3.15,3.14,3.14,1494
AMJLAND,2003-02-03 00:00:00+05:30,2.88,3.0,2.87,3.0,4749
AMJLAND,2003-02-04 00:00:00+05:30,3.01,3.01,3.01,3.01,1999
AMJLAND,2003-02-05 00:00:00+05:30,3.02,3.09,3.02,3.08,4499
AMJLAND,2003-02-06 00:00:00+05:30,3.03,3.03,3.03,3.03,499
AMJLAND,2003-02-07 00:00:00+05:30,3.14,3.14,3.14,3.14,999
AMJLAND,2003-02-10 00:00:00+05:30,3.14,3.14,2.92,2.92,819
AMJLAND,2003-02-11 00:00:00+05:30,3.0,3.0,2.92,2.92,6499
AMJLAND,2003-02-12 00:00:00+05:30,3.0,3.0,2.92,2.92,0
AMJLAND,2003-02-14 00:00:00+05:30,3.06,3.06,3.0,3.0,1749
AMJLAND,2003-02-17 00:00:00+05:30,3.18,3.18,3.18,3.18,499
AMJLAND,2003-02-18 00:00:00+05:30,3.0,3.0,3.0,3.0,999
AMJLAND,2003-02-19 00:00:00+05:30,3.0,3.0,3.0,3.0,499
AMJLAND,2003-02-20 00:00:00+05:30,3.07,3.07,3.07,3.07,749
AMJLAND,2003-02-21 00:00:00+05:30,2.93,2.93,2.93,2.93,49
AMJLAND,2003-02-24 00:00:00+05:30,3.07,3.16,3.07,3.08,2044
AMJLAND,2003-02-25 00:00:00+05:30,3.07,3.07,2.96,2.97,2249
AMJLAND,2003-02-26 00:00:00+05:30,3.03,3.03,2.97,3.01,2509
AMJLAND,2003-02-27 00:00:00+05:30,3.03,3.03,2.97,3.01,0
AMJLAND,2003-02-28 00:00:00+05:30,3.06,3.11,3.06,3.11,2499
AMJLAND,2003-03-03 00:00:00+05:30,2.94,3.07,2.94,2.94,1249
AMJLAND,2003-03-04 00:00:00+05:30,2.85,2.99,2.85,2.87,1009
AMJLAND,2003-03-05 00:00:00+05:30,2.85,2.85,2.85,2.85,999
AMJLAND,2003-03-06 00:00:00+05:30,2.79,2.85,2.78,2.85,10999
AMJLAND,2003-03-07 00:00:00+05:30,2.65,2.77,2.65,2.77,52499
AMJLAND,2003-03-10 00:00:00+05:30,2.65,2.83,2.58,2.76,56264
AMJLAND,2003-03-11 00:00:00+05:30,2.65,2.65,2.65,2.65,499
AMJLAND,2003-03-12 00:00:00+05:30,2.91,2.91,2.7,2.7,1509
AMJLAND,2003-03-13 00:00:00+05:30,2.59,2.76,2.56,2.76,50339
AMJLAND,2003-03-17 00:00:00+05:30,2.52,2.55,2.52,2.55,49999
AMJLAND,2003-03-19 00:00:00+05:30,2.57,2.59,2.57,2.59,49999
AMJLAND,2003-03-20 00:00:00+05:30,2.58,2.83,2.58,2.63,58249
AMJLAND,2003-03-21 00:00:00+05:30,2.41,2.41,2.41,2.41,7254
AMJLAND,2003-03-24 00:00:00+05:30,2.55,2.55,2.55,2.55,499
AMJLAND,2003-03-25 00:00:00+05:30,2.62,2.62,2.58,2.58,2999
AMJLAND,2003-03-26 00:00:00+05:30,2.41,2.58,2.41,2.58,25749
AMJLAND,2003-03-27 00:00:00+05:30,2.41,2.58,2.41,2.58,0
AMJLAND,2003-03-28 00:00:00+05:30,2.55,2.55,2.55,2.55,2499
AMJLAND,2003-03-31 00:00:00+05:30,2.37,2.73,2.37,2.73,200999
AMJLAND,2003-04-01 00:00:00+05:30,2.62,2.7,2.55,2.67,6749
AMJLAND,2003-04-02 00:00:00+05:30,2.62,2.7,2.55,2.67,0
AMJLAND,2003-04-03 00:00:00+05:30,2.7,2.92,2.61,2.92,13034
AMJLAND,2003-04-04 00:00:00+05:30,2.98,2.98,2.74,2.74,1219
AMJLAND,2003-04-07 00:00:00+05:30,2.98,2.98,2.74,2.74,0
AMJLAND,2003-04-08 00:00:00+05:30,2.98,2.98,2.74,2.74,0
AMJLAND,2003-04-09 00:00:00+05:30,2.98,2.98,2.74,2.74,0
AMJLAND,2003-04-10 00:00:00+05:30,2.66,2.66,2.63,2.63,2499
AMJLAND,2003-04-11 00:00:00+05:30,2.66,2.66,2.63,2.63,0
AMJLAND,2003-04-15 00:00:00+05:30,2.46,2.46,2.45,2.45,24999
AMJLAND,2003-04-16 00:00:00+05:30,2.83,2.88,2.7,2.88,5499
AMJLAND,2003-04-17 00:00:00+05:30,2.67,2.74,2.67,2.73,3119
AMJLAND,2003-04-21 00:00:00+05:30,2.67,2.74,2.67,2.73,0
AMJLAND,2003-04-22 00:00:00+05:30,2.77,2.77,2.77,2.77,999
AMJLAND,2003-04-23 00:00:00+05:30,2.74,2.74,2.74,2.74,749
AMJLAND,2003-04-24 00:00:00+05:30,2.94,3.0,2.79,2.79,3999
AMJLAND,2003-04-25 00:00:00+05:30,2.92,2.95,2.92,2.93,17499
AMJLAND,2003-04-28 00:00:00+05:30,2.96,3.0,2.96,3.0,2499
AMJLAND,2003-04-29 00:00:00+05:30,2.81,2.82,2.73,2.76,5749
AMJLAND,2003-04-30 00:00:00+05:30,2.81,2.82,2.73,2.76,0
AMJLAND,2003-05-02 00:00:00+05:30,2.8,2.85,2.8,2.85,2774
AMJLAND,2003-05-05 00:00:00+05:30,2.8,2.85,2.8,2.85,0
AMJLAND,2003-05-06 00:00:00+05:30,2.85,3.03,2.85,2.86,3904
AMJLAND,2003-05-07 00:00:00+05:30,2.77,2.91,2.77,2.82,10749
AMJLAND,2003-05-08 00:00:00+05:30,2.9,2.93,2.9,2.93,4499
AMJLAND,2003-05-09 00:00:00+05:30,2.74,3.06,2.74,3.03,3019
AMJLAND,2003-05-12 00:00:00+05:30,2.74,3.06,2.74,3.03,0
AMJLAND,2003-05-13 00:00:00+05:30,2.86,3.12,2.86,3.03,14999
AMJLAND,2003-05-14 00:00:00+05:30,3.17,3.18,3.07,3.14,9749
AMJLAND,2003-05-15 00:00:00+05:30,3.23,3.33,3.23,3.29,10914
AMJLAND,2003-05-16 00:00:00+05:30,3.42,3.42,3.22,3.38,8509
AMJLAND,2003-05-19 00:00:00+05:30,3.29,3.44,3.29,3.38,1179
AMJLAND,2003-05-20 00:00:00+05:30,3.29,3.44,3.29,3.38,0
AMJLAND,2003-05-21 00:00:00+05:30,3.44,3.44,3.37,3.38,6499
AMJLAND,2003-05-22 00:00:00+05:30,3.18,3.48,3.18,3.31,7009
AMJLAND,2003-05-23 00:00:00+05:30,3.89,3.89,3.37,3.39,16269
AMJLAND,2003-05-26 00:00:00+05:30,3.56,3.56,3.47,3.52,4749
AMJLAND,2003-05-27 00:00:00+05:30,3.67,3.7,3.53,3.53,9549
AMJLAND,2003-05-28 00:00:00+05:30,3.33,3.56,3.33,3.56,3424
AMJLAND,2003-05-29 00:00:00+05:30,3.74,3.74,3.35,3.35,29
AMJLAND,2003-05-30 00:00:00+05:30,3.47,3.55,3.39,3.55,5994
AMJLAND,2003-06-02 00:00:00+05:30,4.07,4.07,3.5,3.52,514
AMJLAND,2003-06-03 00:00:00+05:30,3.48,3.52,3.48,3.52,2999
AMJLAND,2003-06-04 00:00:00+05:30,3.58,3.59,3.48,3.52,7064
AMJLAND,2003-06-05 00:00:00+05:30,3.59,3.59,3.52,3.59,7999
AMJLAND,2003-06-06 00:00:00+05:30,3.65,3.67,3.65,3.65,5999
AMJLAND,2003-06-09 00:00:00+05:30,3.74,3.74,3.62,3.62,10949
AMJLAND,2003-06-10 00:00:00+05:30,3.78,3.78,3.46,3.52,22999
AMJLAND,2003-06-11 00:00:00+05:30,3.33,3.45,3.33,3.44,4749
AMJLAND,2003-06-12 00:00:00+05:30,3.5,3.52,3.49,3.52,7004
AMJLAND,2003-06-13 00:00:00+05:30,3.35,3.56,3.35,3.45,4499
AMJLAND,2003-06-16 00:00:00+05:30,3.44,3.59,3.44,3.59,12324
AMJLAND,2003-06-17 00:00:00+05:30,3.59,3.69,3.57,3.68,27229
AMJLAND,2003-06-18 00:00:00+05:30,3.86,3.89,3.67,3.67,7639
AMJLAND,2003-06-19 00:00:00+05:30,3.38,3.73,3.38,3.64,2584
AMJLAND,2003-06-20 00:00:00+05:30,4.03,4.03,3.48,3.64,3839
AMJLAND,2003-06-23 00:00:00+05:30,3.8,3.8,3.61,3.61,1749
AMJLAND,2003-06-24 00:00:00+05:30,3.67,3.67,3.53,3.63,4249
