Symbol,Date,Open,High,Low,Close,Volume
ANDHRSUGAR,2003-01-27 00:00:00+05:30,4.5,4.6,4.3,4.5,36015
ANDHRSUGAR,2003-01-28 00:00:00+05:30,4.5,4.55,4.45,4.5,4760
ANDHRSUGAR,2003-01-29 00:00:00+05:30,4.4,4.6,4.4,4.5,8175
ANDHRSUGAR,2003-01-30 00:00:00+05:30,4.4,4.65,4.4,4.65,14850
ANDHRSUGAR,2003-01-31 00:00:00+05:30,4.6,4.8,4.6,4.7,37125
ANDHRSUGAR,2003-02-03 00:00:00+05:30,4.8,4.8,4.7,4.7,7000
ANDHRSUGAR,2003-02-04 00:00:00+05:30,4.7,4.7,4.55,4.55,65850
ANDHRSUGAR,2003-02-05 00:00:00+05:30,4.55,4.55,4.35,4.4,197255
ANDHRSUGAR,2003-02-06 00:00:00+05:30,4.5,4.6,4.5,4.6,83300
ANDHRSUGAR,2003-02-07 00:00:00+05:30,4.55,4.55,4.55,4.55,2600
ANDHRSUGAR,2003-02-10 00:00:00+05:30,4.4,4.6,4.4,4.5,24700
ANDHRSUGAR,2003-02-11 00:00:00+05:30,4.5,4.55,4.5,4.5,9750
ANDHRSUGAR,2003-02-12 00:00:00+05:30,4.45,4.5,4.4,4.45,51500
ANDHRSUGAR,2003-02-14 00:00:00+05:30,4.45,4.55,4.4,4.4,32250
ANDHRSUGAR,2003-02-17 00:00:00+05:30,4.5,4.55,4.4,4.55,78310
ANDHRSUGAR,2003-02-18 00:00:00+05:30,4.65,4.7,4.6,4.65,21405
ANDHRSUGAR,2003-02-19 00:00:00+05:30,4.7,4.8,4.6,4.75,117565
ANDHRSUGAR,2003-02-20 00:00:00+05:30,4.75,4.75,4.65,4.75,10500
ANDHRSUGAR,2003-02-21 00:00:00+05:30,4.75,4.8,4.7,4.7,13750
ANDHRSUGAR,2003-02-24 00:00:00+05:30,4.8,4.8,4.75,4.75,44740
ANDHRSUGAR,2003-02-25 00:00:00+05:30,4.75,4.95,4.7,4.75,21840
ANDHRSUGAR,2003-02-26 00:00:00+05:30,4.85,4.85,4.7,4.8,15830
ANDHRSUGAR,2003-02-27 00:00:00+05:30,4.75,4.8,4.6,4.65,48055
ANDHRSUGAR,2003-02-28 00:00:00+05:30,5.0,5.0,4.75,4.8,108225
ANDHRSUGAR,2003-03-03 00:00:00+05:30,4.8,4.8,4.6,4.65,81010
ANDHRSUGAR,2003-03-04 00:00:00+05:30,4.8,4.8,4.6,4.6,16505
ANDHRSUGAR,2003-03-05 00:00:00+05:30,4.55,4.6,4.45,4.5,99505
ANDHRSUGAR,2003-03-06 00:00:00+05:30,4.5,4.6,4.4,4.45,121010
ANDHRSUGAR,2003-03-07 00:00:00+05:30,4.45,4.45,4.4,4.4,45280
ANDHRSUGAR,2003-03-10 00:00:00+05:30,4.45,4.45,4.3,4.3,21650
ANDHRSUGAR,2003-03-11 00:00:00+05:30,4.4,4.45,4.35,4.4,103500
ANDHRSUGAR,2003-03-12 00:00:00+05:30,4.5,4.5,4.35,4.4,43300
ANDHRSUGAR,2003-03-13 00:00:00+05:30,4.4,4.45,4.35,4.35,152550
ANDHRSUGAR,2003-03-17 00:00:00+05:30,4.25,4.45,4.25,4.35,59570
ANDHRSUGAR,2003-03-19 00:00:00+05:30,4.4,4.5,4.4,4.4,47805
ANDHRSUGAR,2003-03-20 00:00:00+05:30,4.4,4.45,4.35,4.35,109550
ANDHRSUGAR,2003-03-21 00:00:00+05:30,4.4,4.4,4.3,4.3,109545
ANDHRSUGAR,2003-03-24 00:00:00+05:30,4.3,4.3,4.3,4.3,92900
ANDHRSUGAR,2003-03-25 00:00:00+05:30,4.25,4.45,4.25,4.4,27020
ANDHRSUGAR,2003-03-26 00:00:00+05:30,4.4,4.4,4.3,4.3,57375
ANDHRSUGAR,2003-03-27 00:00:00+05:30,4.4,4.4,4.3,4.4,12750
ANDHRSUGAR,2003-03-28 00:00:00+05:30,4.3,4.4,4.3,4.35,16040
ANDHRSUGAR,2003-03-31 00:00:00+05:30,4.3,4.4,4.3,4.3,21250
ANDHRSUGAR,2003-04-01 00:00:00+05:30,4.35,4.35,4.35,4.35,10500
ANDHRSUGAR,2003-04-02 00:00:00+05:30,4.2,4.4,4.2,4.35,12130
ANDHRSUGAR,2003-04-03 00:00:00+05:30,4.45,4.45,4.45,4.45,6005
ANDHRSUGAR,2003-04-04 00:00:00+05:30,4.45,4.5,4.45,4.45,12960
ANDHRSUGAR,2003-04-07 00:00:00+05:30,4.55,4.6,4.5,4.6,27605
ANDHRSUGAR,2003-04-08 00:00:00+05:30,4.7,4.85,4.6,4.7,27700
ANDHRSUGAR,2003-04-09 00:00:00+05:30,4.6,4.65,4.55,4.65,18375
ANDHRSUGAR,2003-04-10 00:00:00+05:30,4.65,4.7,4.55,4.7,19635
ANDHRSUGAR,2003-04-11 00:00:00+05:30,4.35,4.8,4.35,4.55,14425
ANDHRSUGAR,2003-04-15 00:00:00+05:30,4.6,4.65,4.5,4.65,17500
ANDHRSUGAR,2003-04-16 00:00:00+05:30,4.7,4.7,4.45,4.6,42850
ANDHRSUGAR,2003-04-17 00:00:00+05:30,4.6,4.8,4.6,4.65,5450
ANDHRSUGAR,2003-04-21 00:00:00+05:30,4.9,4.9,4.7,4.75,35450
ANDHRSUGAR,2003-04-22 00:00:00+05:30,4.8,4.8,4.75,4.75,11510
ANDHRSUGAR,2003-04-23 00:00:00+05:30,4.75,4.75,4.75,4.75,9175
ANDHRSUGAR,2003-04-24 00:00:00+05:30,4.75,4.85,4.75,4.8,7700
ANDHRSUGAR,2003-04-25 00:00:00+05:30,4.8,4.85,4.8,4.85,24525
ANDHRSUGAR,2003-04-28 00:00:00+05:30,4.65,4.75,4.6,4.7,41500
ANDHRSUGAR,2003-04-29 00:00:00+05:30,5.0,5.1,4.85,5.0,80880
