Symbol,Date,Open,High,Low,Close,Volume
APOLLO,2018-01-22 09:44:00+05:30,46.5,48.0,44.2,44.2,10382040
APOLLO,2018-01-23 09:15:00+05:30,41.95,41.95,41.95,41.95,245980
APOLLO,2018-01-24 09:15:00+05:30,39.9,39.9,39.9,39.9,137650
APOLLO,2018-01-25 09:15:00+05:30,37.9,37.9,37.9,37.9,169900
APOLLO,2018-01-29 09:15:00+05:30,38.0,39.45,36.0,36.2,8274710
APOLLO,2018-01-30 09:15:00+05:30,35.1,35.5,34.35,34.35,903380
APOLLO,2018-01-31 09:15:00+05:30,32.65,36.1,32.65,35.75,5742230
APOLLO,2018-02-01 09:15:00+05:30,36.4,36.45,34.0,34.0,1940190
APOLLO,2018-02-02 09:15:00+05:30,32.3,33.2,32.3,32.3,959490
APOLLO,2018-02-05 09:15:00+05:30,30.65,32.25,30.65,31.4,1603120
APOLLO,2018-02-06 09:15:00+05:30,29.0,31.4,28.5,30.85,2479790
APOLLO,2018-02-07 09:15:00+05:30,31.45,34.05,31.25,32.75,4490090
APOLLO,2018-02-08 09:15:00+05:30,33.0,33.85,32.1,32.4,2170110
APOLLO,2018-02-09 09:15:00+05:30,31.5,33.15,31.1,32.25,1768470
APOLLO,2018-02-12 09:15:00+05:30,32.6,32.85,32.15,32.25,918380
APOLLO,2018-02-14 09:15:00+05:30,31.7,31.75,30.8,30.95,1774690
APOLLO,2018-02-15 09:15:00+05:30,31.0,31.45,30.85,31.15,1097230
APOLLO,2018-02-16 09:15:00+05:30,31.3,31.4,30.1,30.25,987520
APOLLO,2018-02-19 09:15:00+05:30,30.6,30.6,29.5,29.65,730390
APOLLO,2018-02-20 09:15:00+05:30,29.65,29.9,28.8,28.85,715600
APOLLO,2018-02-21 09:15:00+05:30,29.1,29.4,28.05,28.15,719580
APOLLO,2018-02-22 09:15:00+05:30,28.2,33.2,27.55,32.1,9993880
APOLLO,2018-02-23 09:15:00+05:30,32.1,32.85,31.0,31.25,3119570
APOLLO,2018-02-26 09:15:00+05:30,31.45,32.35,31.0,31.1,1241680
APOLLO,2018-02-27 09:15:00+05:30,31.35,31.45,30.2,30.35,947060
APOLLO,2018-02-28 09:15:00+05:30,30.25,31.4,29.65,30.35,1170190
APOLLO,2018-03-01 09:15:00+05:30,30.35,30.95,30.0,30.15,816400
APOLLO,2018-03-05 09:15:00+05:30,30.0,30.4,29.6,29.8,765800
APOLLO,2018-03-06 09:15:00+05:30,30.1,30.3,28.4,28.75,842410
APOLLO,2018-03-07 09:15:00+05:30,28.6,29.3,27.95,28.15,820190
APOLLO,2018-03-08 09:15:00+05:30,28.4,28.7,27.6,28.15,615350
APOLLO,2018-03-09 09:15:00+05:30,28.45,28.6,27.8,27.9,422600
APOLLO,2018-03-12 09:15:00+05:30,28.2,28.35,27.5,27.75,505200
APOLLO,2018-03-13 09:15:00+05:30,27.5,28.45,27.5,28.0,691460
APOLLO,2018-03-14 09:15:00+05:30,28.0,28.0,27.55,27.75,323210
APOLLO,2018-03-15 09:15:00+05:30,27.95,29.15,27.8,28.25,1023930
APOLLO,2018-03-16 09:15:00+05:30,28.4,28.55,28.1,28.2,507700
APOLLO,2018-03-19 09:16:00+05:30,28.2,28.35,27.5,27.6,531860
APOLLO,2018-03-20 09:15:00+05:30,27.5,28.0,27.5,27.6,409410
APOLLO,2018-03-21 09:15:00+05:30,27.7,28.3,27.4,27.55,483180
APOLLO,2018-03-22 09:15:00+05:30,27.8,27.8,26.8,26.9,459260
APOLLO,2018-03-23 09:15:00+05:30,26.0,26.4,25.6,25.8,745070
APOLLO,2018-03-26 09:15:00+05:30,25.6,26.45,25.0,25.1,622470
APOLLO,2018-03-27 09:15:00+05:30,25.4,26.15,25.2,25.3,589250
APOLLO,2018-03-28 09:15:00+05:30,25.2,25.5,24.4,24.5,739790
