Symbol,Date,Open,High,Low,Close,Volume
ARVINDFASN,2019-03-08 00:00:00+05:30,577.0,605.8,577.0,605.8,25407
ARVINDFASN,2019-03-11 00:00:00+05:30,636.05,636.05,636.05,636.05,9650
ARVINDFASN,2019-03-12 00:00:00+05:30,667.85,667.85,667.85,667.85,6666
ARVINDFASN,2019-03-13 00:00:00+05:30,701.25,701.25,701.25,701.25,887367
ARVINDFASN,2019-03-14 00:00:00+05:30,736.3,736.3,736.3,736.3,5275
ARVINDFASN,2019-03-15 00:00:00+05:30,773.1,773.1,773.1,773.1,12052
ARVINDFASN,2019-03-18 00:00:00+05:30,811.7,811.7,811.7,811.7,5559
ARVINDFASN,2019-03-19 00:00:00+05:30,852.3,852.3,852.3,852.3,4404
ARVINDFASN,2019-03-20 00:00:00+05:30,894.85,894.85,894.85,894.85,39433
ARVINDFASN,2019-03-22 00:00:00+05:30,939.55,939.55,939.55,939.55,30455
ARVINDFASN,2019-03-25 00:00:00+05:30,999.8,1033.5,948.35,1033.5,3507433
ARVINDFASN,2019-03-26 00:00:00+05:30,1041.8,1063.95,977.7,993.35,814997
ARVINDFASN,2019-03-27 00:00:00+05:30,989.05,1010.65,971.5,980.45,291687
ARVINDFASN,2019-03-28 00:00:00+05:30,981.15,1001.75,972.15,997.6,171722
ARVINDFASN,2019-03-29 00:00:00+05:30,1001.0,1029.1,992.0,1018.55,232558
ARVINDFASN,2019-04-01 00:00:00+05:30,1020.3,1030.1,1003.7,1016.15,169399
ARVINDFASN,2019-04-02 00:00:00+05:30,1016.4,1026.6,1007.45,1023.2,111954
ARVINDFASN,2019-04-03 00:00:00+05:30,1020.3,1021.2,974.45,978.4,338133
ARVINDFASN,2019-04-04 00:00:00+05:30,986.15,986.15,949.5,964.55,96567
ARVINDFASN,2019-04-05 00:00:00+05:30,972.5,972.5,929.6,953.15,144929
ARVINDFASN,2019-04-08 00:00:00+05:30,947.1,963.7,937.35,945.85,55392
ARVINDFASN,2019-04-09 00:00:00+05:30,941.7,951.0,937.35,945.65,54207
