Symbol,Date,Open,High,Low,Close,Volume
ATALREAL,2020-10-15 00:00:00+05:30,4.7,4.7,4.45,4.45,72000
ATALREAL,2020-10-16 00:00:00+05:30,4.55,4.55,4.25,4.25,1632000
ATALREAL,2020-10-19 00:00:00+05:30,4.4,4.4,4.4,4.4,144000
ATALREAL,2020-10-21 00:00:00+05:30,4.2,4.2,4.2,4.2,48000
ATALREAL,2020-10-23 00:00:00+05:30,3.95,3.95,3.95,3.95,48000
ATALREAL,2020-10-26 00:00:00+05:30,3.85,3.85,3.8,3.8,72000
ATALREAL,2020-10-27 00:00:00+05:30,3.6,3.8,3.6,3.8,48000
ATALREAL,2020-11-02 00:00:00+05:30,3.4,3.4,3.4,3.4,48000
ATALREAL,2020-11-05 00:00:00+05:30,3.2,3.2,3.2,3.2,24000
ATALREAL,2020-11-11 00:00:00+05:30,3.25,3.25,3.25,3.25,24000
ATALREAL,2020-11-19 00:00:00+05:30,3.15,3.15,3.15,3.15,24000
ATALREAL,2020-11-24 00:00:00+05:30,3.0,3.0,3.0,3.0,24000
ATALREAL,2020-12-01 00:00:00+05:30,2.95,2.95,2.95,2.95,24000
ATALREAL,2020-12-02 00:00:00+05:30,2.75,3.05,2.75,3.05,120000
ATALREAL,2020-12-03 00:00:00+05:30,2.95,2.95,2.95,2.95,24000
ATALREAL,2020-12-08 00:00:00+05:30,2.75,2.75,2.75,2.75,24000
ATALREAL,2020-12-10 00:00:00+05:30,2.6,2.6,2.6,2.6,24000
ATALREAL,2020-12-11 00:00:00+05:30,2.65,2.65,2.65,2.65,24000
ATALREAL,2020-12-24 00:00:00+05:30,2.55,2.55,2.55,2.55,24000
ATALREAL,2021-01-08 00:00:00+05:30,2.55,2.55,2.55,2.55,24000
ATALREAL,2021-01-11 00:00:00+05:30,2.45,2.45,2.45,2.45,24000
ATALREAL,2021-01-13 00:00:00+05:30,2.4,2.4,2.25,2.25,120000
ATALREAL,2021-01-29 00:00:00+05:30,2.45,2.45,2.45,2.45,48000
