Symbol,Date,Open,High,Low,Close,Volume
ATLASCYCLE,2024-12-27 00:00:00+05:30,63.0,66.15,63.0,66.15,28212
ATLASCYCLE,2024-12-30 00:00:00+05:30,69.45,69.45,69.45,69.45,9032
ATLASCYCLE,2024-12-31 00:00:00+05:30,72.92,72.92,72.92,72.92,8124
ATLASCYCLE,2025-01-01 00:00:00+05:30,76.56,76.56,76.56,76.56,3681
ATLASCYCLE,2025-01-02 00:00:00+05:30,80.38,80.38,80.38,80.38,4618
ATLASCYCLE,2025-01-03 00:00:00+05:30,84.39,84.39,84.39,84.39,9069
ATLASCYCLE,2025-01-06 00:00:00+05:30,88.6,88.6,88.6,88.6,9137
ATLASCYCLE,2025-01-07 00:00:00+05:30,93.03,93.03,93.03,93.03,12415
ATLASCYCLE,2025-01-08 00:00:00+05:30,97.68,97.68,97.68,97.68,5311
ATLASCYCLE,2025-01-09 00:00:00+05:30,102.56,102.56,102.56,102.56,4976
ATLASCYCLE,2025-01-10 00:00:00+05:30,112.81,112.81,112.81,112.81,32204
ATLASCYCLE,2025-01-13 00:00:00+05:30,124.09,124.09,124.09,124.09,37233
ATLASCYCLE,2025-01-14 00:00:00+05:30,130.29,130.29,130.29,130.29,13756
ATLASCYCLE,2025-01-15 00:00:00+05:30,136.8,136.8,136.8,136.8,6492
ATLASCYCLE,2025-01-16 00:00:00+05:30,143.64,143.64,143.64,143.64,6215
ATLASCYCLE,2025-01-17 00:00:00+05:30,150.82,150.82,150.82,150.82,5423
ATLASCYCLE,2025-01-20 00:00:00+05:30,158.36,158.36,158.36,158.36,7196
ATLASCYCLE,2025-01-21 00:00:00+05:30,166.27,166.27,166.27,166.27,6469
ATLASCYCLE,2025-01-22 00:00:00+05:30,169.59,169.59,169.59,169.59,156022
ATLASCYCLE,2025-01-23 00:00:00+05:30,166.19,172.98,166.19,172.98,82578
ATLASCYCLE,2025-01-24 00:00:00+05:30,176.39,176.39,169.52,169.52,54517
ATLASCYCLE,2025-01-27 00:00:00+05:30,166.2,166.2,166.12,166.12,2062
ATLASCYCLE,2025-01-28 00:00:00+05:30,162.79,162.79,162.79,162.79,1269
ATLASCYCLE,2025-01-29 00:00:00+05:30,159.53,159.53,159.53,159.53,1065
ATLASCYCLE,2025-01-30 00:00:00+05:30,156.33,156.33,156.33,156.33,712
ATLASCYCLE,2025-01-31 00:00:00+05:30,153.2,153.2,153.2,153.2,904
ATLASCYCLE,2025-02-01 00:00:00+05:30,150.13,150.13,150.13,150.13,206
ATLASCYCLE,2025-02-03 00:00:00+05:30,147.12,147.12,147.12,147.12,497
ATLASCYCLE,2025-02-04 00:00:00+05:30,144.17,144.17,144.17,144.17,753
ATLASCYCLE,2025-02-05 00:00:00+05:30,141.28,141.28,141.28,141.28,2441
ATLASCYCLE,2025-02-06 00:00:00+05:30,138.45,138.45,138.45,138.45,1246
ATLASCYCLE,2025-02-07 00:00:00+05:30,135.68,135.68,135.68,135.68,798
ATLASCYCLE,2025-02-10 00:00:00+05:30,132.96,132.96,132.96,132.96,1247
ATLASCYCLE,2025-02-11 00:00:00+05:30,130.3,130.3,130.3,130.3,224
ATLASCYCLE,2025-02-12 00:00:00+05:30,127.69,127.69,127.69,127.69,532
ATLASCYCLE,2025-02-13 00:00:00+05:30,125.13,125.13,125.13,125.13,318
ATLASCYCLE,2025-02-14 00:00:00+05:30,122.62,122.62,122.62,122.62,416
ATLASCYCLE,2025-02-17 00:00:00+05:30,120.16,120.16,120.16,120.16,594
ATLASCYCLE,2025-02-18 00:00:00+05:30,117.75,117.75,117.75,117.75,352
ATLASCYCLE,2025-02-19 00:00:00+05:30,115.39,115.39,115.39,115.39,877
ATLASCYCLE,2025-02-20 00:00:00+05:30,113.08,113.08,113.08,113.08,338
ATLASCYCLE,2025-02-21 00:00:00+05:30,110.81,110.81,110.81,110.81,489
ATLASCYCLE,2025-02-24 00:00:00+05:30,108.59,108.59,108.59,108.59,252
ATLASCYCLE,2025-02-25 00:00:00+05:30,106.41,106.41,106.41,106.41,223
ATLASCYCLE,2025-02-27 00:00:00+05:30,104.28,104.28,104.28,104.28,150
ATLASCYCLE,2025-02-28 00:00:00+05:30,102.19,102.19,102.19,102.19,1517
ATLASCYCLE,2025-03-03 00:00:00+05:30,97.08,97.08,97.08,97.08,4389
ATLASCYCLE,2025-03-04 00:00:00+05:30,92.22,101.93,92.22,92.77,95068
ATLASCYCLE,2025-03-05 00:00:00+05:30,88.13,97.4,88.13,97.34,101659
ATLASCYCLE,2025-03-06 00:00:00+05:30,102.2,102.2,95.2,102.2,50821
