Symbol,Date,Open,High,Low,Close,Volume
AURIGROW,2020-12-24 00:00:00+05:30,1.6,1.6,1.6,1.6,191667
AURIGROW,2020-12-28 00:00:00+05:30,1.7,1.7,1.7,1.7,17533
AURIGROW,2020-12-29 00:00:00+05:30,1.8,1.8,1.65,1.75,234111
AURIGROW,2020-12-30 00:00:00+05:30,1.8,1.8,1.7,1.8,152622
AURIGROW,2020-12-31 00:00:00+05:30,1.9,1.9,1.75,1.85,195822
AURIGROW,2021-01-01 00:00:00+05:30,1.95,1.95,1.8,1.9,18533
AURIGROW,2021-01-04 00:00:00+05:30,2.0,2.0,1.85,1.85,19978
AURIGROW,2021-01-05 00:00:00+05:30,1.85,1.9,1.8,1.85,39333
AURIGROW,2021-01-06 00:00:00+05:30,1.95,1.95,1.8,1.8,84356
AURIGROW,2021-01-07 00:00:00+05:30,1.75,1.9,1.7,1.85,64356
AURIGROW,2021-01-08 00:00:00+05:30,1.8,1.95,1.8,1.8,196200
AURIGROW,2021-01-11 00:00:00+05:30,1.8,1.9,1.8,1.85,9422
AURIGROW,2021-01-12 00:00:00+05:30,1.75,1.9,1.75,1.8,97044
AURIGROW,2021-01-13 00:00:00+05:30,1.85,1.85,1.7,1.7,129333
AURIGROW,2021-01-14 00:00:00+05:30,1.6,1.7,1.6,1.65,23400
AURIGROW,2021-01-15 00:00:00+05:30,1.7,1.7,1.55,1.55,32222
AURIGROW,2021-01-18 00:00:00+05:30,1.55,1.6,1.5,1.5,7578
AURIGROW,2021-01-19 00:00:00+05:30,1.55,1.55,1.5,1.55,11178
AURIGROW,2021-01-20 00:00:00+05:30,1.55,1.55,1.45,1.55,96156
AURIGROW,2021-01-21 00:00:00+05:30,1.65,1.65,1.65,1.65,32667
AURIGROW,2021-01-22 00:00:00+05:30,1.75,1.75,1.75,1.75,68800
AURIGROW,2021-01-25 00:00:00+05:30,1.8,1.85,1.65,1.7,20067
AURIGROW,2021-01-27 00:00:00+05:30,1.8,1.8,1.8,1.8,467
AURIGROW,2021-01-28 00:00:00+05:30,1.7,1.8,1.7,1.7,5089
AURIGROW,2021-01-29 00:00:00+05:30,1.65,1.65,1.6,1.6,1200
AURIGROW,2021-02-01 00:00:00+05:30,1.6,1.65,1.6,1.65,3089
AURIGROW,2021-02-02 00:00:00+05:30,1.65,1.65,1.55,1.55,67
AURIGROW,2021-02-04 00:00:00+05:30,1.55,1.55,1.55,1.55,10911
AURIGROW,2021-02-05 00:00:00+05:30,1.65,1.65,1.55,1.55,1133
AURIGROW,2021-02-08 00:00:00+05:30,1.65,1.7,1.65,1.7,25356
AURIGROW,2021-02-09 00:00:00+05:30,1.9,1.9,1.55,1.8,84378
AURIGROW,2021-02-10 00:00:00+05:30,1.65,2.0,1.65,1.9,51422
