Symbol,Date,Open,High,Low,Close,Volume
AVTNPL,2007-01-10 00:00:00+05:30,7.9,7.9,6.0,6.54,1125899
AVTNPL,2007-01-11 00:00:00+05:30,6.65,7.0,6.55,6.71,152839
AVTNPL,2007-01-12 00:00:00+05:30,6.83,7.12,6.66,6.81,109139
AVTNPL,2007-01-15 00:00:00+05:30,6.68,6.95,6.68,6.79,9299
AVTNPL,2007-01-16 00:00:00+05:30,6.56,6.6,6.56,6.6,9119
AVTNPL,2007-01-17 00:00:00+05:30,6.31,7.0,6.3,6.5,271859
AVTNPL,2007-01-18 00:00:00+05:30,6.5,6.74,6.5,6.53,20719
AVTNPL,2007-01-19 00:00:00+05:30,6.3,6.53,6.05,6.13,137979
AVTNPL,2007-01-22 00:00:00+05:30,6.3,6.9,5.56,6.18,392299
AVTNPL,2007-01-23 00:00:00+05:30,6.25,6.3,6.0,6.16,94119
AVTNPL,2007-01-24 00:00:00+05:30,6.05,6.27,6.0,6.07,87379
AVTNPL,2007-01-25 00:00:00+05:30,5.8,6.13,5.8,5.92,156199
AVTNPL,2007-01-29 00:00:00+05:30,5.8,6.1,5.8,5.86,9039
AVTNPL,2007-01-31 00:00:00+05:30,6.15,6.2,5.9,5.93,20519
AVTNPL,2007-02-01 00:00:00+05:30,6.2,7.12,6.15,7.08,306279
AVTNPL,2007-02-02 00:00:00+05:30,7.35,7.39,6.57,6.73,446759
AVTNPL,2007-02-05 00:00:00+05:30,6.51,7.15,6.51,6.87,226319
AVTNPL,2007-02-06 00:00:00+05:30,7.2,7.2,6.65,6.71,31279
AVTNPL,2007-02-07 00:00:00+05:30,7.0,7.0,6.4,6.5,38319
AVTNPL,2007-02-08 00:00:00+05:30,6.5,6.65,6.45,6.56,23139
AVTNPL,2007-02-09 00:00:00+05:30,6.45,6.7,6.25,6.5,24639
AVTNPL,2007-02-12 00:00:00+05:30,6.75,6.75,6.25,6.31,13359
AVTNPL,2007-02-13 00:00:00+05:30,6.25,6.5,6.19,6.39,14999
AVTNPL,2007-02-14 00:00:00+05:30,6.25,6.36,6.05,6.09,9479
AVTNPL,2007-02-15 00:00:00+05:30,6.25,6.5,6.25,6.3,13039
AVTNPL,2007-02-19 00:00:00+05:30,6.35,6.5,6.35,6.41,19299
AVTNPL,2007-02-20 00:00:00+05:30,6.25,6.35,6.25,6.26,17799
AVTNPL,2007-02-21 00:00:00+05:30,6.35,6.5,6.1,6.22,12139
AVTNPL,2007-02-22 00:00:00+05:30,6.4,6.4,5.91,6.03,12319
AVTNPL,2007-02-23 00:00:00+05:30,5.9,5.9,5.75,5.76,4799
AVTNPL,2007-02-26 00:00:00+05:30,5.6,5.6,5.5,5.5,13999
AVTNPL,2007-02-27 00:00:00+05:30,5.55,5.8,5.32,5.32,13839
AVTNPL,2007-02-28 00:00:00+05:30,5.6,5.75,5.36,5.52,31999
AVTNPL,2007-03-01 00:00:00+05:30,5.52,5.62,5.52,5.59,10039
AVTNPL,2007-03-02 00:00:00+05:30,5.6,5.6,5.36,5.4,7839
AVTNPL,2007-03-05 00:00:00+05:30,5.36,5.5,5.0,5.15,28579
AVTNPL,2007-03-06 00:00:00+05:30,5.45,5.45,5.0,5.0,12699
AVTNPL,2007-03-07 00:00:00+05:30,5.45,5.45,4.75,4.95,5679
AVTNPL,2007-03-08 00:00:00+05:30,5.05,5.5,4.9,5.3,24199
AVTNPL,2007-03-09 00:00:00+05:30,5.35,5.35,5.05,5.3,12479
AVTNPL,2007-03-12 00:00:00+05:30,5.11,5.2,5.1,5.2,4439
AVTNPL,2007-03-13 00:00:00+05:30,5.4,5.47,5.28,5.41,5499
AVTNPL,2007-03-14 00:00:00+05:30,4.71,5.5,4.66,5.21,23139
AVTNPL,2007-03-15 00:00:00+05:30,5.5,5.5,5.33,5.33,10019
AVTNPL,2007-03-16 00:00:00+05:30,5.22,5.66,5.22,5.28,97759
AVTNPL,2007-03-19 00:00:00+05:30,5.11,5.45,5.11,5.45,2519
AVTNPL,2007-03-20 00:00:00+05:30,5.33,5.53,5.15,5.18,31439
AVTNPL,2007-03-21 00:00:00+05:30,4.75,5.24,4.75,5.12,14839
AVTNPL,2007-03-22 00:00:00+05:30,5.25,5.29,5.1,5.25,27959
AVTNPL,2007-03-23 00:00:00+05:30,5.08,5.24,5.08,5.1,9039
AVTNPL,2007-03-26 00:00:00+05:30,5.1,5.3,5.0,5.05,11579
AVTNPL,2007-03-28 00:00:00+05:30,5.1,5.1,4.88,4.99,19179
AVTNPL,2007-03-29 00:00:00+05:30,5.1,5.1,4.95,4.97,6119
AVTNPL,2007-03-30 00:00:00+05:30,5.1,5.17,4.83,5.03,12579
AVTNPL,2007-04-02 00:00:00+05:30,5.1,5.17,4.83,5.03,0
AVTNPL,2007-04-03 00:00:00+05:30,5.05,5.05,4.9,4.9,4739
AVTNPL,2007-04-04 00:00:00+05:30,5.04,5.04,4.66,4.92,4679
AVTNPL,2007-04-05 00:00:00+05:30,5.05,5.05,4.8,4.88,71779
AVTNPL,2007-04-09 00:00:00+05:30,5.0,5.0,4.83,4.95,21999
AVTNPL,2007-04-10 00:00:00+05:30,5.05,5.09,5.0,5.09,3499
AVTNPL,2007-04-11 00:00:00+05:30,5.0,5.14,4.63,5.07,11639
AVTNPL,2007-04-12 00:00:00+05:30,5.0,5.21,5.0,5.04,8999
AVTNPL,2007-04-13 00:00:00+05:30,5.05,5.05,5.0,5.01,499
AVTNPL,2007-04-16 00:00:00+05:30,5.0,5.3,5.0,5.22,14239
AVTNPL,2007-04-17 00:00:00+05:30,5.2,5.45,5.2,5.21,11699
AVTNPL,2007-04-18 00:00:00+05:30,5.25,5.4,5.16,5.25,2459
AVTNPL,2007-04-19 00:00:00+05:30,5.0,5.48,4.9,5.33,23359
AVTNPL,2007-04-20 00:00:00+05:30,5.33,5.71,5.33,5.54,74179
AVTNPL,2007-04-23 00:00:00+05:30,5.15,5.87,5.15,5.36,15359
AVTNPL,2007-04-24 00:00:00+05:30,5.26,5.4,5.18,5.27,9899
AVTNPL,2007-04-25 00:00:00+05:30,5.2,5.33,5.15,5.25,24999
AVTNPL,2007-04-26 00:00:00+05:30,5.11,5.25,5.1,5.1,10819
AVTNPL,2007-04-27 00:00:00+05:30,5.06,5.06,5.0,5.0,4219
AVTNPL,2007-04-30 00:00:00+05:30,5.29,5.42,5.11,5.42,39239
AVTNPL,2007-05-03 00:00:00+05:30,5.45,5.6,5.43,5.45,63639
AVTNPL,2007-05-04 00:00:00+05:30,5.3,5.4,5.25,5.38,14399
AVTNPL,2007-05-07 00:00:00+05:30,5.11,5.27,5.1,5.12,7299
AVTNPL,2007-05-08 00:00:00+05:30,5.25,5.44,5.1,5.14,30959
