Symbol,Date,Open,High,Low,Close,Volume
BAGFILMS,2003-10-17 00:00:00+05:30,14.8,15.65,12.1,12.45,1202142
BAGFILMS,2003-10-20 00:00:00+05:30,14.0,14.0,10.5,10.7,446121
BAGFILMS,2003-10-21 00:00:00+05:30,10.95,12.5,10.3,11.05,373018
BAGFILMS,2003-10-22 00:00:00+05:30,11.15,11.4,10.65,10.75,115689
BAGFILMS,2003-10-23 00:00:00+05:30,10.9,10.95,10.25,10.45,91016
BAGFILMS,2003-10-24 00:00:00+05:30,10.7,10.7,10.0,10.45,57393
BAGFILMS,2003-10-27 00:00:00+05:30,10.9,10.9,10.4,10.45,26519
BAGFILMS,2003-10-28 00:00:00+05:30,10.7,10.7,10.0,10.1,44437
BAGFILMS,2003-10-29 00:00:00+05:30,10.1,10.25,8.9,9.05,81355
BAGFILMS,2003-10-30 00:00:00+05:30,9.5,9.5,8.9,9.05,48573
BAGFILMS,2003-10-31 00:00:00+05:30,8.85,9.3,8.5,8.7,78122
BAGFILMS,2003-11-03 00:00:00+05:30,9.9,10.4,9.0,10.3,245837
BAGFILMS,2003-11-04 00:00:00+05:30,10.75,11.0,9.55,9.8,95862
BAGFILMS,2003-11-05 00:00:00+05:30,9.8,9.95,9.5,9.8,26132
BAGFILMS,2003-11-06 00:00:00+05:30,10.45,10.45,9.6,9.75,41493
BAGFILMS,2003-11-07 00:00:00+05:30,9.9,10.75,9.7,10.15,142625
BAGFILMS,2003-11-10 00:00:00+05:30,9.95,10.2,9.9,9.9,14180
BAGFILMS,2003-11-11 00:00:00+05:30,10.1,10.35,9.9,9.95,45537
BAGFILMS,2003-11-12 00:00:00+05:30,9.85,10.6,9.75,9.85,40768
BAGFILMS,2003-11-13 00:00:00+05:30,10.15,10.15,9.5,9.7,43977
BAGFILMS,2003-11-14 00:00:00+05:30,9.7,9.75,9.4,9.45,30543
BAGFILMS,2003-11-17 00:00:00+05:30,9.35,9.45,9.0,9.25,28352
BAGFILMS,2003-11-18 00:00:00+05:30,9.25,9.6,9.25,9.4,26230
BAGFILMS,2003-11-19 00:00:00+05:30,9.25,9.35,8.95,8.95,35418
BAGFILMS,2003-11-20 00:00:00+05:30,7.6,9.2,7.6,8.8,41325
BAGFILMS,2003-11-21 00:00:00+05:30,8.1,8.9,8.1,8.8,19099
BAGFILMS,2003-11-24 00:00:00+05:30,9.0,9.35,8.75,8.9,71150
BAGFILMS,2003-11-25 00:00:00+05:30,8.95,9.1,8.75,8.95,24450
BAGFILMS,2003-11-27 00:00:00+05:30,9.25,9.3,8.9,8.95,95844
BAGFILMS,2003-11-28 00:00:00+05:30,9.1,10.75,9.0,10.75,349236
BAGFILMS,2003-12-01 00:00:00+05:30,11.8,12.9,10.8,12.9,901253
BAGFILMS,2003-12-02 00:00:00+05:30,13.85,14.75,12.25,14.05,1446113
BAGFILMS,2003-12-03 00:00:00+05:30,14.4,14.85,13.75,14.0,638945
BAGFILMS,2003-12-04 00:00:00+05:30,14.5,14.55,13.05,13.3,300902
BAGFILMS,2003-12-05 00:00:00+05:30,13.6,13.65,12.75,12.9,335668
BAGFILMS,2003-12-08 00:00:00+05:30,13.05,14.2,13.0,13.7,438651
BAGFILMS,2003-12-09 00:00:00+05:30,14.0,14.9,14.0,14.8,624009
BAGFILMS,2003-12-10 00:00:00+05:30,14.9,15.5,14.5,14.55,385594
BAGFILMS,2003-12-11 00:00:00+05:30,15.1,15.2,13.65,14.0,252788
BAGFILMS,2003-12-12 00:00:00+05:30,14.9,14.9,13.5,13.65,147500
BAGFILMS,2003-12-15 00:00:00+05:30,14.7,14.7,14.0,14.15,199906
BAGFILMS,2003-12-16 00:00:00+05:30,14.3,14.35,13.2,13.5,145147
BAGFILMS,2003-12-17 00:00:00+05:30,13.85,13.95,13.0,13.15,174571
BAGFILMS,2003-12-18 00:00:00+05:30,13.4,14.35,13.15,13.8,470287
BAGFILMS,2003-12-19 00:00:00+05:30,14.35,14.35,13.5,13.55,253341
BAGFILMS,2003-12-22 00:00:00+05:30,13.5,13.75,13.05,13.2,168225
BAGFILMS,2003-12-23 00:00:00+05:30,13.65,13.65,12.3,12.55,227449
BAGFILMS,2003-12-24 00:00:00+05:30,13.15,13.2,12.5,12.7,151675
BAGFILMS,2003-12-26 00:00:00+05:30,12.35,13.5,12.35,13.3,224258
BAGFILMS,2003-12-29 00:00:00+05:30,13.55,13.65,13.0,13.1,232133
BAGFILMS,2003-12-30 00:00:00+05:30,13.45,13.5,12.4,12.55,172501
BAGFILMS,2003-12-31 00:00:00+05:30,13.0,13.0,12.2,12.25,147003
BAGFILMS,2004-01-01 00:00:00+05:30,12.25,12.9,12.0,12.75,165004
BAGFILMS,2004-01-02 00:00:00+05:30,12.5,13.5,12.5,13.25,341481
BAGFILMS,2004-01-05 00:00:00+05:30,12.55,14.5,12.55,13.3,331833
BAGFILMS,2004-01-06 00:00:00+05:30,13.65,13.65,12.75,12.85,152638
BAGFILMS,2004-01-07 00:00:00+05:30,12.95,12.95,12.1,12.35,127241
BAGFILMS,2004-01-08 00:00:00+05:30,12.4,13.4,12.4,13.1,152437
BAGFILMS,2004-01-09 00:00:00+05:30,13.9,14.2,12.55,12.7,117495
BAGFILMS,2004-01-12 00:00:00+05:30,13.4,13.5,12.5,12.6,97440
BAGFILMS,2004-01-13 00:00:00+05:30,12.7,13.0,12.2,12.3,89858
BAGFILMS,2004-01-14 00:00:00+05:30,12.7,12.9,12.45,12.55,116227
BAGFILMS,2004-01-15 00:00:00+05:30,12.85,12.9,12.25,12.3,98162
BAGFILMS,2004-01-16 00:00:00+05:30,12.5,12.55,11.2,11.45,150749
BAGFILMS,2004-01-19 00:00:00+05:30,11.3,11.75,10.5,11.05,137652
