Symbol,Date,Open,High,Low,Close,Volume
BBNPPGOLD,2023-12-19 00:00:00+05:30,62.2,62.2,61.35,61.95,1606
BBNPPGOLD,2023-12-20 00:00:00+05:30,63.5,63.5,61.8,62.3,501726
BBNPPGOLD,2023-12-21 00:00:00+05:30,63.85,63.95,61.8,62.25,1027
BBNPPGOLD,2023-12-22 00:00:00+05:30,63.8,63.8,61.9,62.05,232
BBNPPGOLD,2023-12-26 00:00:00+05:30,63.6,63.6,62.4,62.85,472
BBNPPGOLD,2023-12-27 00:00:00+05:30,64.45,64.45,62.85,63.05,501378
BBNPPGOLD,2023-12-28 00:00:00+05:30,63.05,63.45,63.05,63.4,86
BBNPPGOLD,2023-12-29 00:00:00+05:30,63.4,63.4,62.6,62.8,2000627
BBNPPGOLD,2024-01-01 00:00:00+05:30,64.4,64.4,62.85,63.15,1003325
BBNPPGOLD,2024-01-02 00:00:00+05:30,64.35,64.35,62.85,63.3,315474
BBNPPGOLD,2024-01-03 00:00:00+05:30,56.0,63.35,56.0,63.15,1009112
BBNPPGOLD,2024-01-04 00:00:00+05:30,64.75,64.75,62.2,62.45,1009048
BBNPPGOLD,2024-01-05 00:00:00+05:30,62.45,63.15,62.05,62.55,1191
BBNPPGOLD,2024-01-08 00:00:00+05:30,64.15,65.0,61.95,62.1,270
BBNPPGOLD,2024-01-09 00:00:00+05:30,62.05,62.25,61.6,62.25,1035750
BBNPPGOLD,2024-01-10 00:00:00+05:30,62.25,62.25,61.85,62.05,287623
BBNPPGOLD,2024-01-11 00:00:00+05:30,63.9,64.0,61.8,61.8,596
BBNPPGOLD,2024-01-12 00:00:00+05:30,61.95,62.15,61.9,62.1,578
BBNPPGOLD,2024-01-15 00:00:00+05:30,62.05,62.4,61.4,62.35,1785
BBNPPGOLD,2024-01-16 00:00:00+05:30,62.25,62.45,62.2,62.35,277
BBNPPGOLD,2024-01-17 00:00:00+05:30,62.0,62.05,61.75,61.75,109717
BBNPPGOLD,2024-01-18 00:00:00+05:30,61.75,61.8,59.05,59.35,965
BBNPPGOLD,2024-01-19 00:00:00+05:30,63.3,63.3,61.55,62.1,12801
BBNPPGOLD,2024-01-20 00:00:00+05:30,62.1,62.1,62.05,62.1,114
BBNPPGOLD,2024-01-23 00:00:00+05:30,62.1,62.2,61.4,62.1,1277
BBNPPGOLD,2024-01-24 00:00:00+05:30,62.1,62.2,61.85,62.15,310075
BBNPPGOLD,2024-01-25 00:00:00+05:30,62.1,62.2,61.85,61.95,85066
BBNPPGOLD,2024-01-29 00:00:00+05:30,65.5,65.5,61.95,62.05,341
BBNPPGOLD,2024-01-30 00:00:00+05:30,62.1,62.4,62.05,62.25,1150
BBNPPGOLD,2024-01-31 00:00:00+05:30,62.25,62.3,62.1,62.25,2499
BBNPPGOLD,2024-02-01 00:00:00+05:30,63.8,63.8,61.9,62.35,682
BBNPPGOLD,2024-02-02 00:00:00+05:30,60.8,62.85,60.8,62.85,2838
BBNPPGOLD,2024-02-05 00:00:00+05:30,62.85,62.85,62.05,62.2,10848
BBNPPGOLD,2024-02-06 00:00:00+05:30,63.75,63.75,61.95,62.2,1355
BBNPPGOLD,2024-02-07 00:00:00+05:30,62.35,62.4,62.15,62.15,1843
BBNPPGOLD,2024-02-08 00:00:00+05:30,62.4,62.8,62.35,62.35,135
BBNPPGOLD,2024-02-09 00:00:00+05:30,62.4,62.4,61.8,62.0,335
BBNPPGOLD,2024-02-12 00:00:00+05:30,62.0,62.15,61.85,62.05,365
BBNPPGOLD,2024-02-13 00:00:00+05:30,62.2,62.6,62.0,62.1,6548
BBNPPGOLD,2024-02-14 00:00:00+05:30,62.1,62.1,60.45,60.95,8270
BBNPPGOLD,2024-02-15 00:00:00+05:30,60.7,62.7,60.7,62.55,830
BBNPPGOLD,2024-02-16 00:00:00+05:30,62.8,62.8,61.45,61.65,774
BBNPPGOLD,2024-02-19 00:00:00+05:30,61.7,61.7,61.5,61.65,485
BBNPPGOLD,2024-02-20 00:00:00+05:30,61.8,61.85,61.5,61.65,159
BBNPPGOLD,2024-02-21 00:00:00+05:30,61.8,62.0,61.65,61.9,195
BBNPPGOLD,2024-02-22 00:00:00+05:30,61.9,62.0,61.6,61.7,60
BBNPPGOLD,2024-02-23 00:00:00+05:30,61.7,62.0,61.55,61.65,4359
BBNPPGOLD,2024-02-26 00:00:00+05:30,61.65,62.0,61.65,61.95,482
BBNPPGOLD,2024-02-27 00:00:00+05:30,62.0,62.0,61.2,61.9,813
BBNPPGOLD,2024-02-28 00:00:00+05:30,62.0,62.0,61.6,61.7,1103
BBNPPGOLD,2024-02-29 00:00:00+05:30,65.0,65.0,61.0,61.9,1118
BBNPPGOLD,2024-03-01 00:00:00+05:30,62.0,62.8,62.0,62.4,1187
BBNPPGOLD,2024-03-02 00:00:00+05:30,62.7,63.95,62.4,62.75,5212
BBNPPGOLD,2024-03-04 00:00:00+05:30,65.5,65.5,62.85,63.1,2449
BBNPPGOLD,2024-03-05 00:00:00+05:30,63.2,64.2,63.2,63.9,6646
BBNPPGOLD,2024-03-06 00:00:00+05:30,64.0,64.3,63.9,64.05,862
BBNPPGOLD,2024-03-07 00:00:00+05:30,64.2,65.0,64.2,64.7,1272
