Symbol,Date,Open,High,Low,Close,Volume
BIGBLOC,2016-09-02 09:44:00+05:30,3.0,3.15,2.85,3.15,285860
BIGBLOC,2016-09-06 09:18:00+05:30,3.2,3.2,3.2,3.2,18400
BIGBLOC,2016-09-07 10:06:00+05:30,3.35,3.35,3.35,3.35,11600
BIGBLOC,2016-09-08 09:22:00+05:30,3.38,3.52,3.38,3.52,17890
BIGBLOC,2016-09-09 09:22:00+05:30,3.6,3.7,3.6,3.7,72020
BIGBLOC,2016-09-12 09:25:00+05:30,3.75,3.88,3.52,3.6,135680
BIGBLOC,2016-09-14 09:15:00+05:30,3.75,3.75,3.42,3.65,83850
BIGBLOC,2016-09-15 09:55:00+05:30,3.62,3.62,3.45,3.62,28030
BIGBLOC,2016-09-16 09:51:00+05:30,3.55,3.6,3.5,3.55,17320
BIGBLOC,2016-09-19 09:49:00+05:30,3.6,3.65,3.6,3.6,87520
BIGBLOC,2016-09-20 09:15:00+05:30,3.75,4.32,3.6,4.32,957540
BIGBLOC,2016-09-21 09:15:00+05:30,4.45,5.15,4.2,4.8,1990060
BIGBLOC,2016-09-22 09:15:00+05:30,4.6,4.85,4.5,4.55,608630
BIGBLOC,2016-09-23 09:17:00+05:30,4.5,4.68,4.25,4.48,257660
BIGBLOC,2016-09-26 09:15:00+05:30,4.38,5.35,4.38,5.35,2905880
BIGBLOC,2016-09-27 09:15:00+05:30,5.32,5.35,4.82,4.82,1540960
BIGBLOC,2016-09-28 09:15:00+05:30,4.8,4.98,4.6,4.6,448530
BIGBLOC,2016-09-29 09:15:00+05:30,4.6,4.7,4.15,4.25,466790
BIGBLOC,2016-09-30 09:16:00+05:30,4.18,4.68,3.98,4.58,661720
BIGBLOC,2016-10-03 09:15:00+05:30,4.55,4.88,4.38,4.6,291960
BIGBLOC,2016-10-04 09:17:00+05:30,4.65,4.7,4.55,4.6,339680
BIGBLOC,2016-10-05 09:15:00+05:30,4.6,5.05,4.6,5.02,597780
BIGBLOC,2016-10-06 09:15:00+05:30,5.08,5.2,5.0,5.02,513410
BIGBLOC,2016-10-07 09:16:00+05:30,5.05,5.4,5.0,5.2,558950
BIGBLOC,2016-10-10 09:15:00+05:30,5.3,5.65,5.3,5.5,510640
BIGBLOC,2016-10-13 09:18:00+05:30,5.55,6.0,5.5,5.88,773830
BIGBLOC,2016-10-14 09:17:00+05:30,6.02,6.18,6.0,6.12,660400
BIGBLOC,2016-10-17 09:17:00+05:30,6.2,6.42,6.05,6.42,1028640
BIGBLOC,2016-10-18 09:15:00+05:30,6.45,6.7,6.2,6.65,976440
BIGBLOC,2016-10-19 09:18:00+05:30,6.65,6.9,6.55,6.88,1044220
BIGBLOC,2016-10-20 09:16:00+05:30,6.88,7.05,6.85,6.98,603660
BIGBLOC,2016-10-21 09:15:00+05:30,7.15,7.25,6.88,7.2,749420
BIGBLOC,2016-10-24 09:16:00+05:30,7.4,7.45,7.15,7.2,1498190
BIGBLOC,2016-10-25 09:17:00+05:30,7.25,7.45,6.85,7.08,1887860
BIGBLOC,2016-10-26 09:16:00+05:30,7.1,7.28,6.9,6.95,581760
BIGBLOC,2016-10-27 09:18:00+05:30,7.05,7.05,6.75,6.8,801900
BIGBLOC,2016-10-28 09:15:00+05:30,6.7,6.8,6.45,6.45,333840
BIGBLOC,2016-11-01 09:16:00+05:30,5.82,5.82,5.82,5.82,13690
BIGBLOC,2016-11-02 09:15:00+05:30,5.55,5.55,5.55,5.55,17250
BIGBLOC,2016-11-03 09:16:00+05:30,5.28,5.28,5.28,5.28,82560
BIGBLOC,2016-11-04 09:15:00+05:30,5.3,5.3,5.0,5.0,3890
BIGBLOC,2016-11-07 09:21:00+05:30,4.8,5.1,4.75,4.8,1040490
BIGBLOC,2016-11-08 09:15:00+05:30,4.58,5.05,4.58,5.05,276890
BIGBLOC,2016-11-09 13:18:00+05:30,4.8,4.8,4.8,4.8,7400
BIGBLOC,2016-11-10 09:15:00+05:30,4.55,4.8,4.55,4.55,341670
BIGBLOC,2016-11-11 09:43:00+05:30,4.5,4.5,4.32,4.32,17120
BIGBLOC,2016-11-15 09:15:00+05:30,4.12,4.12,4.12,4.12,27730
BIGBLOC,2016-11-16 09:16:00+05:30,4.3,4.3,3.92,3.92,8210
BIGBLOC,2016-11-17 09:15:00+05:30,3.72,3.72,3.72,3.72,297660
BIGBLOC,2016-11-18 09:18:00+05:30,3.52,3.8,3.52,3.58,680610
BIGBLOC,2016-11-21 09:15:00+05:30,3.42,3.7,3.42,3.5,76310
BIGBLOC,2016-11-22 09:44:00+05:30,3.65,3.65,3.5,3.62,10820
BIGBLOC,2016-11-23 09:15:00+05:30,3.8,3.8,3.6,3.72,71180
BIGBLOC,2016-11-24 09:16:00+05:30,3.82,3.82,3.62,3.68,68690
BIGBLOC,2016-11-25 09:37:00+05:30,3.68,3.85,3.68,3.85,39300
BIGBLOC,2016-11-28 09:17:00+05:30,3.9,4.05,3.9,4.05,41090
BIGBLOC,2016-11-29 09:15:00+05:30,4.2,4.25,4.1,4.22,113460
BIGBLOC,2016-11-30 09:29:00+05:30,4.35,4.45,4.2,4.38,92130
BIGBLOC,2016-12-01 09:15:00+05:30,4.6,4.6,4.42,4.52,76250
BIGBLOC,2016-12-02 09:28:00+05:30,4.4,4.5,4.38,4.42,55900
BIGBLOC,2016-12-05 09:16:00+05:30,4.5,4.62,4.42,4.62,98690
BIGBLOC,2016-12-06 09:20:00+05:30,4.6,4.85,4.6,4.85,66020
BIGBLOC,2016-12-07 09:15:00+05:30,4.9,5.1,4.85,4.92,65810
BIGBLOC,2016-12-08 09:23:00+05:30,5.0,5.1,4.95,5.0,56320
BIGBLOC,2016-12-09 09:18:00+05:30,5.15,5.15,4.95,4.95,89080
BIGBLOC,2016-12-12 09:17:00+05:30,5.05,5.05,4.85,4.85,75740
BIGBLOC,2016-12-13 09:15:00+05:30,5.05,5.08,4.65,4.7,182820
BIGBLOC,2016-12-14 09:15:00+05:30,4.9,4.9,4.75,4.75,138320
BIGBLOC,2016-12-15 09:30:00+05:30,4.8,4.98,4.75,4.98,131160
BIGBLOC,2016-12-16 09:17:00+05:30,4.98,5.22,4.95,5.2,196700
BIGBLOC,2016-12-19 09:15:00+05:30,5.22,5.28,5.1,5.15,123350
BIGBLOC,2016-12-20 09:20:00+05:30,5.15,5.22,4.9,4.9,164080
BIGBLOC,2016-12-21 09:15:00+05:30,4.95,4.95,4.88,4.88,203230
BIGBLOC,2016-12-22 09:22:00+05:30,4.9,4.9,4.7,4.72,224940
BIGBLOC,2016-12-23 09:15:00+05:30,4.75,4.85,4.7,4.8,207960
BIGBLOC,2016-12-26 09:16:00+05:30,4.7,4.9,4.7,4.8,96550
BIGBLOC,2016-12-27 09:22:00+05:30,4.8,5.05,4.7,4.9,132950
BIGBLOC,2016-12-28 09:23:00+05:30,5.0,5.15,4.95,5.1,146600
BIGBLOC,2016-12-29 09:20:00+05:30,5.18,5.2,5.1,5.2,205070
BIGBLOC,2016-12-30 09:25:00+05:30,5.2,5.3,5.15,5.3,134350
BIGBLOC,2017-01-02 09:25:00+05:30,5.4,5.4,5.2,5.3,208490
BIGBLOC,2017-01-03 09:23:00+05:30,5.3,5.4,5.3,5.32,134280
BIGBLOC,2017-01-04 09:17:00+05:30,5.3,5.4,5.3,5.32,105400
BIGBLOC,2017-01-05 09:39:00+05:30,5.3,5.45,5.3,5.38,153130
BIGBLOC,2017-01-06 09:21:00+05:30,5.4,5.65,5.4,5.6,189950
BIGBLOC,2017-01-09 09:15:00+05:30,5.88,5.88,5.42,5.68,227440
BIGBLOC,2017-01-10 09:15:00+05:30,5.7,5.8,5.6,5.62,189290
BIGBLOC,2017-01-11 10:22:00+05:30,5.68,5.85,5.42,5.55,177810
BIGBLOC,2017-01-12 09:16:00+05:30,5.62,5.78,5.62,5.72,146080
BIGBLOC,2017-01-13 09:16:00+05:30,5.98,6.0,5.7,5.85,199950
BIGBLOC,2017-01-16 09:16:00+05:30,5.9,6.12,5.9,5.92,107340
BIGBLOC,2017-01-17 09:21:00+05:30,6.2,6.2,5.92,5.98,224130
BIGBLOC,2017-01-18 09:16:00+05:30,6.2,6.28,5.9,6.22,180230
BIGBLOC,2017-01-19 09:36:00+05:30,6.25,6.25,5.92,6.02,231640
BIGBLOC,2017-01-20 10:41:00+05:30,6.02,6.22,5.88,6.2,186330
BIGBLOC,2017-01-23 09:16:00+05:30,6.35,6.35,6.08,6.1,264500
BIGBLOC,2017-01-24 09:29:00+05:30,6.1,6.4,6.1,6.2,272540
BIGBLOC,2017-01-25 09:31:00+05:30,6.5,6.5,6.18,6.22,249690
BIGBLOC,2017-01-27 09:36:00+05:30,6.28,6.28,5.95,6.12,255370
BIGBLOC,2017-01-30 09:15:00+05:30,6.4,6.4,6.05,6.28,270810
BIGBLOC,2017-01-31 09:15:00+05:30,6.52,6.52,6.15,6.25,328080
