Symbol,Date,Open,High,Low,Close,Volume
BMWVENTLTD,2025-10-01 00:00:00+05:30,78.0,78.0,74.1,74.1,1451832
BMWVENTLTD,2025-10-03 00:00:00+05:30,70.39,70.39,70.39,70.39,262947
BMWVENTLTD,2025-10-06 00:00:00+05:30,66.87,68.3,66.87,66.87,1218253
BMWVENTLTD,2025-10-07 00:00:00+05:30,63.52,63.52,63.52,63.52,212378
BMWVENTLTD,2025-10-08 00:00:00+05:30,60.34,63.0,60.34,60.57,2668963
BMWVENTLTD,2025-10-09 00:00:00+05:30,58.81,60.34,57.54,57.71,806756
BMWVENTLTD,2025-10-10 00:00:00+05:30,57.54,60.59,55.7,60.59,700476
BMWVENTLTD,2025-10-13 00:00:00+05:30,62.0,63.61,60.89,63.61,324467
BMWVENTLTD,2025-10-14 00:00:00+05:30,64.45,65.9,60.52,60.94,468852
BMWVENTLTD,2025-10-15 00:00:00+05:30,60.93,63.45,58.55,61.0,205597
BMWVENTLTD,2025-10-16 00:00:00+05:30,61.96,64.0,60.7,61.11,438290
BMWVENTLTD,2025-10-17 00:00:00+05:30,61.7,61.7,59.05,60.04,277368
BMWVENTLTD,2025-10-20 00:00:00+05:30,60.05,60.99,58.62,59.36,208564
BMWVENTLTD,2025-10-21 00:00:00+05:30,59.48,61.01,59.48,60.6,117905
BMWVENTLTD,2025-10-23 00:00:00+05:30,60.6,61.2,59.9,60.03,255385
BMWVENTLTD,2025-10-24 00:00:00+05:30,60.33,61.0,59.95,60.75,240280
BMWVENTLTD,2025-10-27 00:00:00+05:30,61.04,62.26,61.04,61.39,396898
BMWVENTLTD,2025-10-28 00:00:00+05:30,61.68,70.42,61.16,67.15,4022428
BMWVENTLTD,2025-10-29 00:00:00+05:30,66.52,69.54,65.01,66.14,886802
BMWVENTLTD,2025-10-30 00:00:00+05:30,66.14,66.16,64.61,65.06,454390
BMWVENTLTD,2025-10-31 00:00:00+05:30,65.49,66.98,64.7,66.02,436597
BMWVENTLTD,2025-11-03 00:00:00+05:30,64.7,69.9,64.7,69.25,1100375
BMWVENTLTD,2025-11-04 00:00:00+05:30,66.81,71.1,66.81,69.25,641551
BMWVENTLTD,2025-11-06 00:00:00+05:30,69.47,69.89,66.21,67.03,320089
BMWVENTLTD,2025-11-07 00:00:00+05:30,66.5,67.28,65.53,66.72,248187
BMWVENTLTD,2025-11-10 00:00:00+05:30,68.0,68.9,65.65,67.21,507240
BMWVENTLTD,2025-11-11 00:00:00+05:30,67.21,67.9,65.6,66.52,300918
BMWVENTLTD,2025-11-12 00:00:00+05:30,66.99,66.99,65.4,65.66,208920
BMWVENTLTD,2025-11-13 00:00:00+05:30,65.16,70.8,65.16,68.38,937571
BMWVENTLTD,2025-11-14 00:00:00+05:30,68.0,70.37,68.0,69.7,560754
BMWVENTLTD,2025-11-17 00:00:00+05:30,69.7,72.58,68.2,71.42,1064175
BMWVENTLTD,2025-11-18 00:00:00+05:30,72.11,73.0,70.61,72.16,586808
BMWVENTLTD,2025-11-19 00:00:00+05:30,72.0,73.0,67.64,71.45,1132159
BMWVENTLTD,2025-11-20 00:00:00+05:30,72.2,73.2,69.0,71.3,403977
BMWVENTLTD,2025-11-21 00:00:00+05:30,70.92,71.77,69.42,70.36,270134
BMWVENTLTD,2025-11-24 00:00:00+05:30,69.65,70.0,67.1,67.41,298700
BMWVENTLTD,2025-11-25 00:00:00+05:30,67.01,68.49,65.15,65.47,284483
BMWVENTLTD,2025-11-26 00:00:00+05:30,65.47,66.0,64.31,64.7,305362
BMWVENTLTD,2025-11-27 00:00:00+05:30,65.7,66.06,64.5,65.03,179300
BMWVENTLTD,2025-11-28 00:00:00+05:30,65.05,65.53,63.35,64.77,335499
