Symbol,Date,Open,High,Low,Close,Volume
BSLSENETFG,2021-10-06 00:00:00+05:30,66.5,66.5,56.1,56.8,7820
BSLSENETFG,2021-10-07 00:00:00+05:30,57.4,57.7,56.25,56.75,4630
BSLSENETFG,2021-10-08 00:00:00+05:30,56.5,57.4,56.5,57.4,550
BSLSENETFG,2021-10-11 00:00:00+05:30,57.7,58.3,57.0,57.3,11880
BSLSENETFG,2021-10-12 00:00:00+05:30,57.9,57.9,57.0,57.05,2810
BSLSENETFG,2021-10-13 00:00:00+05:30,58.2,58.2,56.9,57.45,4060
BSLSENETFG,2021-10-14 00:00:00+05:30,57.9,58.6,57.55,58.4,2250
BSLSENETFG,2021-10-18 00:00:00+05:30,58.4,59.5,58.2,58.75,2480
BSLSENETFG,2021-10-19 00:00:00+05:30,59.6,59.6,58.65,58.8,1290
BSLSENETFG,2021-10-20 00:00:00+05:30,58.8,59.4,58.4,58.8,2390
BSLSENETFG,2021-10-21 00:00:00+05:30,58.6,58.6,57.65,57.65,18670
BSLSENETFG,2021-10-22 00:00:00+05:30,58.6,58.6,57.6,57.7,5140
BSLSENETFG,2021-10-25 00:00:00+05:30,58.1,58.1,58.0,58.05,40
BSLSENETFG,2021-10-26 00:00:00+05:30,58.7,58.7,58.15,58.15,640
BSLSENETFG,2021-10-27 00:00:00+05:30,58.35,58.85,58.35,58.4,170
BSLSENETFG,2021-10-28 00:00:00+05:30,58.8,58.8,56.75,57.05,6540
BSLSENETFG,2021-10-29 00:00:00+05:30,56.9,57.4,56.9,56.9,1560
BSLSENETFG,2021-11-01 00:00:00+05:30,57.4,57.4,57.2,57.2,90
BSLSENETFG,2021-11-02 00:00:00+05:30,57.4,57.75,57.4,57.4,30
BSLSENETFG,2021-11-03 00:00:00+05:30,58.0,58.0,57.25,57.25,130
BSLSENETFG,2021-11-04 00:00:00+05:30,58.0,58.35,57.0,57.05,1570
BSLSENETFG,2021-11-08 00:00:00+05:30,58.3,58.3,57.0,57.9,390
BSLSENETFG,2021-11-09 00:00:00+05:30,57.6,57.85,57.6,57.6,120
BSLSENETFG,2021-11-10 00:00:00+05:30,57.55,57.9,57.2,57.9,1080
BSLSENETFG,2021-11-11 00:00:00+05:30,57.0,58.0,56.95,57.25,90
BSLSENETFG,2021-11-12 00:00:00+05:30,57.15,57.8,57.15,57.8,840
BSLSENETFG,2021-11-15 00:00:00+05:30,58.4,58.5,57.5,58.25,900
BSLSENETFG,2021-11-16 00:00:00+05:30,58.1,58.1,57.6,57.6,260
BSLSENETFG,2021-11-17 00:00:00+05:30,57.6,57.65,57.6,57.65,230
BSLSENETFG,2021-11-18 00:00:00+05:30,57.3,57.35,56.35,56.7,380
BSLSENETFG,2021-11-22 00:00:00+05:30,56.5,56.5,55.75,55.75,590
BSLSENETFG,2021-11-23 00:00:00+05:30,55.8,56.25,55.3,56.25,60
BSLSENETFG,2021-11-24 00:00:00+05:30,56.3,56.45,55.8,55.85,13400
BSLSENETFG,2021-11-25 00:00:00+05:30,56.0,56.99,55.51,56.35,10878
BSLSENETFG,2021-11-26 00:00:00+05:30,56.5,56.9,54.39,54.76,7992
BSLSENETFG,2021-11-29 00:00:00+05:30,55.0,55.7,53.5,54.88,3120
BSLSENETFG,2021-11-30 00:00:00+05:30,55.0,55.7,53.8,54.53,1067
