Symbol,Date,Open,High,Low,Close,Volume
CEMPRO,2003-01-01 00:00:00+05:30,15.25,15.69,15.25,15.46,0
CEMPRO,2003-01-02 00:00:00+05:30,15.33,15.55,15.33,15.44,2753
CEMPRO,2003-01-03 00:00:00+05:30,15.23,15.23,15.22,15.22,2041
CEMPRO,2003-01-06 00:00:00+05:30,15.33,15.33,15.11,15.11,4384
CEMPRO,2003-01-07 00:00:00+05:30,15.33,15.33,15.11,15.11,0
CEMPRO,2003-01-08 00:00:00+05:30,15.33,15.33,15.18,15.33,22743
CEMPRO,2003-01-09 00:00:00+05:30,15.47,15.47,15.47,15.47,685
CEMPRO,2003-01-10 00:00:00+05:30,15.19,15.19,15.18,15.18,1178
CEMPRO,2003-01-13 00:00:00+05:30,15.18,15.33,15.11,15.33,2466
CEMPRO,2003-01-14 00:00:00+05:30,15.18,15.69,15.18,15.69,424
CEMPRO,2003-01-15 00:00:00+05:30,15.11,15.11,15.11,15.11,685
CEMPRO,2003-01-16 00:00:00+05:30,14.91,15.25,14.91,15.25,1370
CEMPRO,2003-01-17 00:00:00+05:30,14.89,15.04,14.89,15.04,4110
CEMPRO,2003-01-20 00:00:00+05:30,14.89,15.04,14.89,15.04,0
CEMPRO,2003-01-21 00:00:00+05:30,14.89,15.04,14.89,15.04,0
CEMPRO,2003-01-22 00:00:00+05:30,15.04,15.33,15.04,15.33,11248
CEMPRO,2003-01-23 00:00:00+05:30,15.18,15.18,15.18,15.18,685
CEMPRO,2003-01-24 00:00:00+05:30,15.18,15.18,15.18,15.18,0
CEMPRO,2003-01-27 00:00:00+05:30,14.35,14.35,14.35,14.35,685
CEMPRO,2003-01-28 00:00:00+05:30,15.25,15.25,15.25,15.25,685
CEMPRO,2003-01-29 00:00:00+05:30,14.6,14.6,14.4,14.4,479
CEMPRO,2003-01-30 00:00:00+05:30,14.6,14.6,14.4,14.4,0
CEMPRO,2003-01-31 00:00:00+05:30,14.6,14.6,14.4,14.4,0
CEMPRO,2003-02-03 00:00:00+05:30,14.31,14.31,14.31,14.31,685
CEMPRO,2003-02-04 00:00:00+05:30,14.03,14.96,14.03,14.96,9179
CEMPRO,2003-02-05 00:00:00+05:30,14.6,14.96,14.6,14.96,1712
CEMPRO,2003-02-06 00:00:00+05:30,16.35,16.35,16.35,16.35,13
CEMPRO,2003-02-07 00:00:00+05:30,17.52,17.52,14.75,14.89,1548
CEMPRO,2003-02-10 00:00:00+05:30,14.96,14.96,14.6,14.74,6918
CEMPRO,2003-02-11 00:00:00+05:30,14.6,14.88,14.6,14.61,3082
CEMPRO,2003-02-12 00:00:00+05:30,14.23,14.6,14.23,14.6,164
CEMPRO,2003-02-14 00:00:00+05:30,14.31,14.6,14.31,14.54,14111
CEMPRO,2003-02-17 00:00:00+05:30,14.85,14.85,14.85,14.85,685
CEMPRO,2003-02-18 00:00:00+05:30,14.52,14.6,14.52,14.58,4315
