Symbol,Date,Open,High,Low,Close,Volume
CONSUMBEES,2015-01-01 00:00:00+05:30,34.79,34.79,34.79,34.79,5
CONSUMBEES,2015-01-02 00:00:00+05:30,34.79,34.79,34.79,34.79,18
CONSUMBEES,2015-01-05 00:00:00+05:30,34.79,34.85,30.86,32.88,244
CONSUMBEES,2015-01-06 00:00:00+05:30,34.85,34.85,30.5,31.22,244
CONSUMBEES,2015-01-07 00:00:00+05:30,33.29,34.5,33.29,33.29,858
CONSUMBEES,2015-01-08 00:00:00+05:30,34.29,34.29,33.5,33.5,12
CONSUMBEES,2015-01-09 00:00:00+05:30,34.29,34.29,34.0,34.29,1308
CONSUMBEES,2015-01-12 00:00:00+05:30,34.29,34.29,34.04,34.04,38
CONSUMBEES,2015-01-13 00:00:00+05:30,34.29,34.29,34.29,34.29,5
CONSUMBEES,2015-01-14 00:00:00+05:30,34.29,34.29,34.29,34.29,6
CONSUMBEES,2015-01-15 00:00:00+05:30,34.29,34.29,34.2,34.22,98
CONSUMBEES,2015-01-16 00:00:00+05:30,41.0,41.25,31.1,34.89,2153
CONSUMBEES,2015-01-19 00:00:00+05:30,34.0,39.92,34.0,34.1,348
CONSUMBEES,2015-01-20 00:00:00+05:30,38.93,40.0,36.0,37.03,548
CONSUMBEES,2015-01-21 00:00:00+05:30,38.0,39.79,32.4,36.97,561
CONSUMBEES,2015-01-22 00:00:00+05:30,41.69,41.69,33.04,34.9,284
CONSUMBEES,2015-01-23 00:00:00+05:30,37.45,37.45,35.04,35.04,53
CONSUMBEES,2015-01-27 00:00:00+05:30,38.99,38.99,34.5,38.29,55
CONSUMBEES,2015-01-28 00:00:00+05:30,37.5,39.0,37.5,39.0,23
CONSUMBEES,2015-01-29 00:00:00+05:30,37.5,39.95,37.0,37.0,268
CONSUMBEES,2015-01-30 00:00:00+05:30,37.0,37.0,37.0,37.0,3
CONSUMBEES,2015-02-02 00:00:00+05:30,39.9,40.95,34.54,37.5,330
CONSUMBEES,2015-02-03 00:00:00+05:30,37.0,37.0,34.54,36.56,143
CONSUMBEES,2015-02-04 00:00:00+05:30,36.5,37.45,36.5,37.45,6
CONSUMBEES,2015-02-05 00:00:00+05:30,37.0,40.0,34.04,34.78,62
CONSUMBEES,2015-02-06 00:00:00+05:30,34.0,39.94,34.0,36.5,1183
CONSUMBEES,2015-02-09 00:00:00+05:30,38.0,39.94,35.5,35.5,143
CONSUMBEES,2015-02-10 00:00:00+05:30,36.0,36.0,36.0,36.0,3
CONSUMBEES,2015-02-11 00:00:00+05:30,38.0,38.0,34.5,35.99,69
CONSUMBEES,2015-02-12 00:00:00+05:30,37.0,37.5,37.0,37.5,6
CONSUMBEES,2015-02-13 00:00:00+05:30,38.0,38.0,38.0,38.0,6
CONSUMBEES,2015-02-16 00:00:00+05:30,38.0,39.94,38.0,39.29,274
CONSUMBEES,2015-02-18 00:00:00+05:30,39.92,39.92,33.65,33.9,67556
CONSUMBEES,2015-02-19 00:00:00+05:30,38.97,39.95,35.01,39.95,324
CONSUMBEES,2015-02-20 00:00:00+05:30,38.5,38.5,35.54,37.97,556
CONSUMBEES,2015-02-23 00:00:00+05:30,38.0,38.0,36.5,36.5,173
CONSUMBEES,2015-02-24 00:00:00+05:30,35.1,36.0,32.5,34.53,784
CONSUMBEES,2015-02-25 00:00:00+05:30,35.0,35.0,33.9,35.0,159
CONSUMBEES,2015-02-26 00:00:00+05:30,36.75,36.75,34.25,36.74,713
CONSUMBEES,2015-02-27 00:00:00+05:30,36.5,37.9,35.56,35.56,577
CONSUMBEES,2015-03-02 00:00:00+05:30,35.65,41.0,35.6,37.51,769
CONSUMBEES,2015-03-03 00:00:00+05:30,37.5,37.5,37.5,37.5,3
CONSUMBEES,2015-03-04 00:00:00+05:30,36.0,36.5,34.5,36.5,1186
CONSUMBEES,2015-03-05 00:00:00+05:30,39.0,39.9,36.1,38.26,217
CONSUMBEES,2015-03-09 00:00:00+05:30,38.26,40.0,36.0,36.0,658
CONSUMBEES,2015-03-10 00:00:00+05:30,39.85,39.85,34.65,37.0,747
CONSUMBEES,2015-03-16 00:00:00+05:30,37.0,37.0,37.0,37.0,75
CONSUMBEES,2015-03-26 00:00:00+05:30,33.6,33.6,32.0,32.0,374
CONSUMBEES,2015-03-27 00:00:00+05:30,37.0,37.0,32.1,35.99,14
CONSUMBEES,2015-04-01 00:00:00+05:30,35.04,35.04,35.04,35.04,1000
CONSUMBEES,2015-04-09 00:00:00+05:30,33.25,33.25,33.25,33.25,1
CONSUMBEES,2015-04-10 00:00:00+05:30,34.04,35.5,34.04,35.25,511
CONSUMBEES,2015-04-13 00:00:00+05:30,37.0,37.29,37.0,37.29,325
CONSUMBEES,2015-04-15 00:00:00+05:30,35.0,36.95,34.61,36.95,232
CONSUMBEES,2015-04-16 00:00:00+05:30,36.99,36.99,36.5,36.5,26
CONSUMBEES,2015-04-17 00:00:00+05:30,34.5,34.5,34.01,34.01,561
CONSUMBEES,2015-04-20 00:00:00+05:30,33.21,33.21,32.79,33.0,282
CONSUMBEES,2015-04-21 00:00:00+05:30,33.2,36.86,33.2,34.6,654
CONSUMBEES,2015-04-22 00:00:00+05:30,35.0,35.0,35.0,35.0,560
CONSUMBEES,2015-04-23 00:00:00+05:30,34.25,34.25,32.65,32.65,150
CONSUMBEES,2015-04-24 00:00:00+05:30,32.65,33.0,32.54,32.61,953
CONSUMBEES,2015-04-27 00:00:00+05:30,34.75,34.75,32.15,32.15,135
CONSUMBEES,2015-04-28 00:00:00+05:30,32.65,32.65,32.6,32.6,2
CONSUMBEES,2015-04-29 00:00:00+05:30,32.26,32.26,32.0,32.15,412
CONSUMBEES,2015-04-30 00:00:00+05:30,32.0,32.0,27.23,29.11,2223
CONSUMBEES,2015-05-04 00:00:00+05:30,35.0,35.0,32.5,34.31,871
CONSUMBEES,2015-05-05 00:00:00+05:30,31.55,32.9,30.7,31.2,159
CONSUMBEES,2015-05-06 00:00:00+05:30,31.4,31.5,31.4,31.5,348
CONSUMBEES,2015-05-07 00:00:00+05:30,31.5,31.5,29.21,29.74,1380
CONSUMBEES,2015-05-08 00:00:00+05:30,31.45,34.9,31.45,33.1,1376
CONSUMBEES,2015-05-11 00:00:00+05:30,34.0,34.99,34.0,34.97,142
CONSUMBEES,2015-05-12 00:00:00+05:30,32.01,32.01,32.01,32.01,50
CONSUMBEES,2015-05-13 00:00:00+05:30,31.1,32.0,31.05,32.0,53
CONSUMBEES,2015-05-15 00:00:00+05:30,31.55,31.55,31.55,31.55,207
CONSUMBEES,2015-05-18 00:00:00+05:30,32.0,32.0,32.0,32.0,401
CONSUMBEES,2015-05-19 00:00:00+05:30,32.99,32.99,32.99,32.99,10
CONSUMBEES,2015-05-20 00:00:00+05:30,33.88,33.89,33.88,33.88,2
CONSUMBEES,2015-05-21 00:00:00+05:30,30.51,31.3,30.15,31.29,1171
CONSUMBEES,2015-05-22 00:00:00+05:30,32.97,32.97,32.97,32.97,2
CONSUMBEES,2015-05-25 00:00:00+05:30,33.79,33.79,30.56,30.56,85
CONSUMBEES,2015-05-26 00:00:00+05:30,30.5,30.89,29.0,29.6,2284
CONSUMBEES,2015-05-27 00:00:00+05:30,31.89,31.89,30.1,30.1,76
CONSUMBEES,2015-05-29 00:00:00+05:30,32.29,32.29,31.0,31.42,677
CONSUMBEES,2015-06-01 00:00:00+05:30,32.99,33.25,30.0,32.0,213
CONSUMBEES,2015-06-02 00:00:00+05:30,31.75,33.0,30.42,31.74,611
CONSUMBEES,2015-06-03 00:00:00+05:30,32.81,32.81,32.81,32.81,71
CONSUMBEES,2015-06-04 00:00:00+05:30,31.0,31.0,31.0,31.0,1
CONSUMBEES,2015-06-08 00:00:00+05:30,33.89,33.89,32.99,32.99,375
CONSUMBEES,2015-06-09 00:00:00+05:30,30.55,30.55,30.55,30.55,300
CONSUMBEES,2015-06-12 00:00:00+05:30,33.85,33.86,33.85,33.85,10
CONSUMBEES,2015-06-17 00:00:00+05:30,33.5,33.84,33.0,33.0,116
CONSUMBEES,2015-06-18 00:00:00+05:30,32.5,32.94,32.5,32.94,101
CONSUMBEES,2015-06-19 00:00:00+05:30,33.83,33.83,33.83,33.83,140
CONSUMBEES,2015-06-22 00:00:00+05:30,33.85,33.86,32.51,33.84,490
CONSUMBEES,2015-06-23 00:00:00+05:30,31.0,31.0,30.02,30.02,225
CONSUMBEES,2015-06-24 00:00:00+05:30,33.0,33.85,33.0,33.84,465
CONSUMBEES,2015-06-25 00:00:00+05:30,33.49,33.85,33.49,33.85,18
CONSUMBEES,2015-06-26 00:00:00+05:30,33.79,33.85,33.72,33.83,224
CONSUMBEES,2015-06-29 00:00:00+05:30,33.85,33.85,33.0,33.0,525
CONSUMBEES,2015-06-30 00:00:00+05:30,32.0,33.85,32.0,33.61,1618
CONSUMBEES,2015-07-02 00:00:00+05:30,32.0,33.79,32.0,33.79,64
CONSUMBEES,2015-07-03 00:00:00+05:30,33.79,33.79,33.79,33.79,310
CONSUMBEES,2015-07-06 00:00:00+05:30,31.5,33.79,31.5,33.79,253
CONSUMBEES,2015-07-07 00:00:00+05:30,32.36,32.36,32.35,32.35,150
CONSUMBEES,2015-07-08 00:00:00+05:30,32.45,32.45,32.45,32.45,125
CONSUMBEES,2015-07-09 00:00:00+05:30,33.79,33.79,33.11,33.2,240
CONSUMBEES,2015-07-13 00:00:00+05:30,33.5,33.79,33.5,33.79,202
CONSUMBEES,2015-07-14 00:00:00+05:30,33.79,33.79,33.79,33.79,245
CONSUMBEES,2015-07-16 00:00:00+05:30,33.79,34.5,33.79,34.5,1303
CONSUMBEES,2015-07-17 00:00:00+05:30,34.9,35.4,34.6,35.0,4220
CONSUMBEES,2015-07-20 00:00:00+05:30,35.5,35.5,35.4,35.49,1756
CONSUMBEES,2015-07-21 00:00:00+05:30,32.51,36.0,32.51,32.72,196
CONSUMBEES,2015-07-22 00:00:00+05:30,35.25,35.25,35.25,35.25,292
CONSUMBEES,2015-07-23 00:00:00+05:30,35.54,36.0,35.54,36.0,1194
