Symbol,Date,Open,High,Low,Close,Volume
DCMNVL,2019-07-16 00:00:00+05:30,54.9,54.9,52.2,52.2,2122
DCMNVL,2019-07-17 00:00:00+05:30,49.6,49.6,49.6,49.6,25
DCMNVL,2019-07-18 00:00:00+05:30,47.15,47.15,47.15,47.15,100
DCMNVL,2019-07-19 00:00:00+05:30,44.8,44.8,44.8,44.8,2542
DCMNVL,2019-07-22 00:00:00+05:30,42.6,42.6,42.6,42.6,161
DCMNVL,2019-07-23 00:00:00+05:30,40.5,40.5,40.5,40.5,239
DCMNVL,2019-07-24 00:00:00+05:30,38.5,38.95,38.5,38.5,6277
DCMNVL,2019-07-25 00:00:00+05:30,36.6,36.6,36.6,36.6,26251
DCMNVL,2019-07-26 00:00:00+05:30,34.8,36.0,34.8,35.25,12599
DCMNVL,2019-07-29 00:00:00+05:30,33.65,33.65,33.5,33.5,8936
DCMNVL,2019-07-30 00:00:00+05:30,33.45,33.45,29.0,30.7,11177
DCMNVL,2019-07-31 00:00:00+05:30,30.1,30.5,26.2,28.7,12771
DCMNVL,2019-08-01 00:00:00+05:30,25.2,31.5,25.2,29.5,10129
DCMNVL,2019-08-02 00:00:00+05:30,31.0,31.0,27.5,29.0,1031
DCMNVL,2019-08-05 00:00:00+05:30,27.0,29.0,25.0,27.5,1780
DCMNVL,2019-08-06 00:00:00+05:30,30.5,32.0,27.65,28.95,1903
DCMNVL,2019-08-07 00:00:00+05:30,28.05,31.85,27.7,31.45,8547
DCMNVL,2019-08-08 00:00:00+05:30,25.2,30.0,25.2,25.55,22282
DCMNVL,2019-08-09 00:00:00+05:30,23.05,30.65,23.0,30.45,35247
DCMNVL,2019-08-13 00:00:00+05:30,31.05,35.0,30.0,30.55,7988
DCMNVL,2019-08-14 00:00:00+05:30,30.55,31.9,28.65,29.05,5082
DCMNVL,2019-08-16 00:00:00+05:30,23.3,31.85,23.3,29.8,3900
DCMNVL,2019-08-19 00:00:00+05:30,27.75,31.35,27.75,28.0,9534
DCMNVL,2019-08-20 00:00:00+05:30,29.0,29.0,27.1,28.6,1217
DCMNVL,2019-08-21 00:00:00+05:30,28.6,29.75,26.0,28.0,4692
