Symbol,Date,Open,High,Low,Close,Volume
DEVX,2025-09-17 00:00:00+05:30,61.0,64.05,59.0,64.05,6168175
DEVX,2025-09-18 00:00:00+05:30,63.25,63.25,60.84,60.84,2140022
DEVX,2025-09-19 00:00:00+05:30,59.0,59.69,57.79,57.79,1059436
DEVX,2025-09-22 00:00:00+05:30,54.9,60.44,54.9,59.88,1823405
DEVX,2025-09-23 00:00:00+05:30,58.5,58.9,56.88,56.88,713918
DEVX,2025-09-24 00:00:00+05:30,55.01,56.99,54.03,54.03,395548
DEVX,2025-09-25 00:00:00+05:30,53.7,56.73,52.0,54.99,1171624
DEVX,2025-09-26 00:00:00+05:30,56.69,56.69,52.24,53.16,308290
DEVX,2025-09-29 00:00:00+05:30,53.1,54.16,52.11,53.45,125967
DEVX,2025-09-30 00:00:00+05:30,53.25,53.25,51.25,51.79,207620
DEVX,2025-10-01 00:00:00+05:30,52.98,52.98,49.51,51.28,634755
DEVX,2025-10-03 00:00:00+05:30,52.43,52.8,50.1,52.04,278559
DEVX,2025-10-06 00:00:00+05:30,52.04,52.04,50.62,50.95,331000
DEVX,2025-10-07 00:00:00+05:30,51.0,54.0,51.0,51.87,600199
DEVX,2025-10-08 00:00:00+05:30,51.95,53.53,49.41,50.73,370623
DEVX,2025-10-09 00:00:00+05:30,51.0,51.16,49.56,50.32,228305
DEVX,2025-10-10 00:00:00+05:30,50.54,50.8,49.8,50.3,136465
DEVX,2025-10-13 00:00:00+05:30,50.3,50.3,49.1,49.19,141142
DEVX,2025-10-14 00:00:00+05:30,49.79,49.79,46.49,48.04,390207
DEVX,2025-10-15 00:00:00+05:30,48.01,48.66,44.3,44.67,923285
DEVX,2025-10-16 00:00:00+05:30,44.89,46.4,42.91,43.37,1351422
DEVX,2025-10-17 00:00:00+05:30,43.37,44.2,42.52,42.73,353491
DEVX,2025-10-20 00:00:00+05:30,43.8,43.8,40.48,42.45,460982
DEVX,2025-10-21 00:00:00+05:30,42.8,46.0,42.66,45.24,256434
DEVX,2025-10-23 00:00:00+05:30,45.24,47.7,45.07,45.41,511084
DEVX,2025-10-24 00:00:00+05:30,45.0,46.14,43.5,45.03,575558
DEVX,2025-10-27 00:00:00+05:30,45.0,45.28,43.12,43.49,262652
DEVX,2025-10-28 00:00:00+05:30,43.5,44.95,42.03,42.92,363714
DEVX,2025-10-29 00:00:00+05:30,43.3,43.3,42.3,42.77,167745
DEVX,2025-10-30 00:00:00+05:30,42.66,43.4,42.6,43.08,100218
DEVX,2025-10-31 00:00:00+05:30,43.08,44.93,42.56,43.87,339930
DEVX,2025-11-03 00:00:00+05:30,43.88,45.0,43.64,44.7,185142
DEVX,2025-11-04 00:00:00+05:30,44.95,44.95,44.08,44.53,258480
DEVX,2025-11-06 00:00:00+05:30,44.5,45.35,43.6,44.06,424057
DEVX,2025-11-07 00:00:00+05:30,43.6,44.75,43.0,44.49,273938
DEVX,2025-11-10 00:00:00+05:30,44.99,44.99,43.25,43.52,122233
DEVX,2025-11-11 00:00:00+05:30,43.74,44.24,43.1,43.71,106142
DEVX,2025-11-12 00:00:00+05:30,43.99,44.0,43.41,43.52,79995
DEVX,2025-11-13 00:00:00+05:30,43.47,43.89,42.8,43.05,126445
DEVX,2025-11-14 00:00:00+05:30,43.66,43.66,42.4,42.64,109705
DEVX,2025-11-17 00:00:00+05:30,42.5,42.97,40.37,40.98,194688
DEVX,2025-11-18 00:00:00+05:30,41.04,41.68,40.75,41.07,116327
DEVX,2025-11-19 00:00:00+05:30,40.85,41.55,40.61,40.87,155542
DEVX,2025-11-20 00:00:00+05:30,40.41,43.49,40.41,42.3,167632
DEVX,2025-11-21 00:00:00+05:30,42.3,50.28,41.6,46.66,1190215
DEVX,2025-11-24 00:00:00+05:30,46.5,48.6,45.69,47.48,592861
DEVX,2025-11-25 00:00:00+05:30,46.9,47.0,45.81,46.77,126978
DEVX,2025-11-26 00:00:00+05:30,47.0,47.0,45.81,46.21,92111
DEVX,2025-11-27 00:00:00+05:30,46.3,47.0,45.52,46.58,44611
DEVX,2025-11-28 00:00:00+05:30,47.0,47.1,44.0,45.21,142905
