Symbol,Date,Open,High,Low,Close,Volume
DGCONTENT,2019-06-18 00:00:00+05:30,16.0,16.0,15.2,15.2,35352
DGCONTENT,2019-06-19 00:00:00+05:30,15.25,15.8,14.45,14.9,30377
DGCONTENT,2019-06-20 00:00:00+05:30,14.2,15.0,14.2,14.2,21337
DGCONTENT,2019-06-21 00:00:00+05:30,13.5,14.9,13.5,14.5,17213
DGCONTENT,2019-06-24 00:00:00+05:30,14.5,14.65,13.8,13.8,27740
DGCONTENT,2019-06-25 00:00:00+05:30,13.2,14.0,13.15,13.2,8845
DGCONTENT,2019-06-26 00:00:00+05:30,13.2,13.85,12.55,13.55,5714
DGCONTENT,2019-06-27 00:00:00+05:30,13.55,14.0,13.0,13.25,9230
DGCONTENT,2019-06-28 00:00:00+05:30,13.3,13.6,13.25,13.3,9412
DGCONTENT,2019-07-01 00:00:00+05:30,12.65,13.0,12.65,12.65,7312
DGCONTENT,2019-07-02 00:00:00+05:30,12.1,13.9,12.1,13.15,5790
DGCONTENT,2019-07-03 00:00:00+05:30,12.2,13.0,12.0,12.4,4671
DGCONTENT,2019-07-04 00:00:00+05:30,11.2,14.0,11.0,13.1,6741
DGCONTENT,2019-07-05 00:00:00+05:30,12.5,13.75,12.5,12.75,9396
DGCONTENT,2019-07-08 00:00:00+05:30,10.6,12.5,10.6,12.3,14656
DGCONTENT,2019-07-09 00:00:00+05:30,11.8,12.3,11.1,12.2,17122
DGCONTENT,2019-07-10 00:00:00+05:30,11.5,11.9,11.5,11.85,12480
DGCONTENT,2019-07-11 00:00:00+05:30,11.7,14.2,11.6,12.35,7400
DGCONTENT,2019-07-12 00:00:00+05:30,12.35,13.5,12.0,12.35,2473
DGCONTENT,2019-07-15 00:00:00+05:30,11.8,12.95,11.5,11.8,3160
DGCONTENT,2019-07-16 00:00:00+05:30,11.0,13.1,11.0,11.6,2842
DGCONTENT,2019-07-17 00:00:00+05:30,10.8,12.0,10.8,11.55,15166
DGCONTENT,2019-07-18 00:00:00+05:30,11.05,12.5,11.05,12.3,1908
DGCONTENT,2019-07-19 00:00:00+05:30,12.5,12.5,10.85,11.35,59928
DGCONTENT,2019-07-22 00:00:00+05:30,10.8,11.0,10.35,11.0,98364
DGCONTENT,2019-07-23 00:00:00+05:30,11.0,11.0,10.6,10.7,3129
DGCONTENT,2019-07-24 00:00:00+05:30,10.7,10.7,9.5,10.7,1769
DGCONTENT,2019-07-25 00:00:00+05:30,9.55,11.0,9.55,10.3,6911
DGCONTENT,2019-07-26 00:00:00+05:30,10.25,11.0,9.5,10.25,4945
DGCONTENT,2019-07-29 00:00:00+05:30,9.55,10.5,9.55,10.05,4392
DGCONTENT,2019-07-30 00:00:00+05:30,10.05,10.95,8.05,8.8,37244
DGCONTENT,2019-07-31 00:00:00+05:30,8.3,8.95,8.05,8.3,6649
DGCONTENT,2019-08-01 00:00:00+05:30,8.3,9.0,7.9,8.6,3092
DGCONTENT,2019-08-02 00:00:00+05:30,7.8,9.0,7.75,7.85,10435
DGCONTENT,2019-08-05 00:00:00+05:30,7.5,8.5,7.4,7.95,3651
DGCONTENT,2019-08-06 00:00:00+05:30,7.3,8.7,7.3,8.45,2250
DGCONTENT,2019-08-07 00:00:00+05:30,8.45,9.25,7.7,8.5,7673
DGCONTENT,2019-08-08 00:00:00+05:30,8.5,9.0,8.0,8.05,5500
DGCONTENT,2019-08-09 00:00:00+05:30,8.0,8.5,8.0,8.05,1206
DGCONTENT,2019-08-13 00:00:00+05:30,8.05,8.8,7.4,8.05,32092
DGCONTENT,2019-08-14 00:00:00+05:30,8.0,8.0,7.35,7.8,2624
DGCONTENT,2019-08-16 00:00:00+05:30,7.1,8.0,7.1,7.8,132765
DGCONTENT,2019-08-19 00:00:00+05:30,7.75,7.75,7.2,7.25,5833
DGCONTENT,2019-08-20 00:00:00+05:30,7.1,7.95,6.8,7.6,9520
DGCONTENT,2019-08-21 00:00:00+05:30,7.5,7.6,7.0,7.5,15171
DGCONTENT,2019-08-22 00:00:00+05:30,6.85,7.3,6.75,6.9,5945
DGCONTENT,2019-08-23 00:00:00+05:30,6.45,6.95,6.25,6.3,2396
DGCONTENT,2019-08-26 00:00:00+05:30,6.3,6.5,6.0,6.35,1523
DGCONTENT,2019-08-27 00:00:00+05:30,6.35,6.35,5.75,5.85,136236
