Symbol,Date,Open,High,Low,Close,Volume
DNAMEDIA,2017-12-11 09:44:00+05:30,10.0,10.0,9.5,9.5,58375
DNAMEDIA,2017-12-12 09:15:00+05:30,9.05,9.05,9.05,9.05,23744
DNAMEDIA,2017-12-13 09:15:00+05:30,8.6,8.6,8.6,8.6,47144
DNAMEDIA,2017-12-14 09:15:00+05:30,8.2,8.2,8.2,8.2,37310
DNAMEDIA,2017-12-15 09:15:00+05:30,7.8,7.8,7.8,7.8,36060
DNAMEDIA,2017-12-18 09:15:00+05:30,7.45,7.45,7.45,7.45,10321
DNAMEDIA,2017-12-19 09:15:00+05:30,7.1,7.8,7.1,7.1,1098657
DNAMEDIA,2017-12-20 09:15:00+05:30,7.0,7.45,6.75,7.3,2367063
DNAMEDIA,2017-12-21 09:15:00+05:30,7.5,7.65,7.25,7.65,754053
DNAMEDIA,2017-12-22 09:15:00+05:30,8.0,8.0,8.0,8.0,88778
DNAMEDIA,2017-12-26 09:15:00+05:30,8.95,9.6,8.25,9.6,1170619
DNAMEDIA,2017-12-27 09:15:00+05:30,10.15,11.5,9.4,11.5,1282408
DNAMEDIA,2017-12-28 09:15:00+05:30,12.2,12.65,11.9,12.65,572543
DNAMEDIA,2017-12-29 09:15:00+05:30,13.9,13.9,12.25,13.9,736867
DNAMEDIA,2018-01-01 09:15:00+05:30,14.4,14.4,12.55,12.85,892402
DNAMEDIA,2018-01-02 09:15:00+05:30,12.7,13.5,11.75,13.35,432184
DNAMEDIA,2018-01-03 09:15:00+05:30,13.4,14.4,12.6,13.3,323023
DNAMEDIA,2018-01-04 09:15:00+05:30,13.3,14.1,13.0,13.75,259031
DNAMEDIA,2018-01-05 09:15:00+05:30,13.8,13.8,13.0,13.25,224649
DNAMEDIA,2018-01-08 09:17:00+05:30,13.4,13.5,12.85,13.0,301137
DNAMEDIA,2018-01-09 09:15:00+05:30,12.9,13.5,12.25,13.35,255244
DNAMEDIA,2018-01-10 09:15:00+05:30,13.5,13.5,13.0,13.1,172189
DNAMEDIA,2018-01-11 09:15:00+05:30,13.1,13.5,12.05,12.15,446982
DNAMEDIA,2018-01-12 09:15:00+05:30,12.35,12.95,12.0,12.1,219973
DNAMEDIA,2018-01-15 09:15:00+05:30,12.05,12.35,11.2,11.8,85592
DNAMEDIA,2018-01-16 09:15:00+05:30,11.9,11.9,10.7,11.2,124570
DNAMEDIA,2018-01-17 09:15:00+05:30,11.7,11.7,10.25,11.4,110809
DNAMEDIA,2018-01-18 09:15:00+05:30,11.0,11.6,10.55,10.75,114210
DNAMEDIA,2018-01-19 09:15:00+05:30,10.75,11.0,9.7,9.95,186074
DNAMEDIA,2018-01-22 09:15:00+05:30,9.7,10.25,9.7,10.05,82534
DNAMEDIA,2018-01-23 09:15:00+05:30,10.2,10.55,9.85,10.15,80324
DNAMEDIA,2018-01-24 09:15:00+05:30,10.4,10.4,9.8,9.95,67275
DNAMEDIA,2018-01-25 09:18:00+05:30,9.65,9.85,9.5,9.5,424913
DNAMEDIA,2018-01-29 09:15:00+05:30,9.45,9.65,9.05,9.05,85210
DNAMEDIA,2018-01-30 09:15:00+05:30,8.6,9.45,8.6,9.1,151409
DNAMEDIA,2018-01-31 09:15:00+05:30,8.8,9.45,8.65,8.8,100827
DNAMEDIA,2018-02-01 09:15:00+05:30,8.8,9.2,8.6,9.2,63949
DNAMEDIA,2018-02-02 09:15:00+05:30,9.0,9.4,8.75,8.75,94949
DNAMEDIA,2018-02-05 09:15:00+05:30,8.8,8.8,8.35,8.55,111733
DNAMEDIA,2018-02-06 09:15:00+05:30,8.15,8.65,8.15,8.55,86005
DNAMEDIA,2018-02-07 09:15:00+05:30,8.8,9.4,8.55,8.7,91690
DNAMEDIA,2018-02-08 09:19:00+05:30,8.7,9.05,8.5,8.9,55999
DNAMEDIA,2018-02-09 09:15:00+05:30,8.6,8.95,8.3,8.8,33673
DNAMEDIA,2018-02-12 09:15:00+05:30,9.05,9.05,8.6,8.7,53597
DNAMEDIA,2018-02-14 09:15:00+05:30,8.95,9.0,8.3,8.7,96237
DNAMEDIA,2018-02-15 09:15:00+05:30,8.35,8.7,8.35,8.45,39612
DNAMEDIA,2018-02-16 09:16:00+05:30,8.45,8.6,8.3,8.5,23198
DNAMEDIA,2018-02-19 09:15:00+05:30,8.25,8.6,8.0,8.25,65680
DNAMEDIA,2018-02-20 09:15:00+05:30,8.2,8.2,7.85,7.95,62515
DNAMEDIA,2018-02-21 09:18:00+05:30,7.9,8.2,7.6,7.9,50075
