Symbol,Date,Open,High,Low,Close,Volume
EBBETF0430,2020-01-02 00:00:00+05:30,1004.9,1004.9,1000.4,1001.54,33373
EBBETF0430,2020-01-03 00:00:00+05:30,1002.0,1002.0,1001.35,1001.69,49471
EBBETF0430,2020-01-06 00:00:00+05:30,1000.0,1002.0,1000.0,1000.61,35691
EBBETF0430,2020-01-07 00:00:00+05:30,1001.05,1002.8,1001.05,1001.99,13057
EBBETF0430,2020-01-08 00:00:00+05:30,1002.0,1002.98,1001.51,1002.71,20287
EBBETF0430,2020-01-09 00:00:00+05:30,1002.71,1004.19,1002.02,1003.29,50657
EBBETF0430,2020-01-10 00:00:00+05:30,1002.6,1003.95,1000.75,1003.05,31714
EBBETF0430,2020-01-13 00:00:00+05:30,1003.0,1003.33,1002.5,1002.58,9361
EBBETF0430,2020-01-14 00:00:00+05:30,1002.79,1002.79,1001.0,1001.41,10945
EBBETF0430,2020-01-15 00:00:00+05:30,1000.0,1001.41,999.01,1000.68,26339
EBBETF0430,2020-01-16 00:00:00+05:30,1000.68,1001.14,999.11,1001.0,55240
EBBETF0430,2020-01-17 00:00:00+05:30,1000.25,1002.99,1000.25,1001.56,3306
EBBETF0430,2020-01-20 00:00:00+05:30,1001.6,1003.0,1001.6,1002.91,43371
EBBETF0430,2020-01-21 00:00:00+05:30,1003.0,1003.68,1002.0,1003.03,7600
EBBETF0430,2020-01-22 00:00:00+05:30,1002.1,1003.95,1002.1,1003.24,24121
EBBETF0430,2020-01-23 00:00:00+05:30,1002.0,1005.49,1002.0,1005.0,34660
EBBETF0430,2020-01-24 00:00:00+05:30,1004.5,1006.95,1004.5,1005.65,50217
EBBETF0430,2020-01-27 00:00:00+05:30,1005.75,1006.9,1005.0,1006.29,5975
EBBETF0430,2020-01-28 00:00:00+05:30,1006.05,1006.37,1004.0,1005.92,24818
EBBETF0430,2020-01-29 00:00:00+05:30,1005.02,1006.84,1005.02,1006.0,18598
EBBETF0430,2020-01-30 00:00:00+05:30,1006.0,1006.0,1004.35,1004.41,25107
EBBETF0430,2020-01-31 00:00:00+05:30,1004.06,1004.99,1003.75,1003.99,27004
