Symbol,Date,Open,High,Low,Close,Volume
EMULTIMQ,2024-11-07 00:00:00+05:30,46.63,53.9,46.23,47.14,11144
EMULTIMQ,2024-11-08 00:00:00+05:30,49.26,49.7,46.0,47.35,51386
EMULTIMQ,2024-11-11 00:00:00+05:30,47.26,47.26,45.7,46.72,91801
EMULTIMQ,2024-11-12 00:00:00+05:30,47.37,47.37,45.44,45.62,64388
EMULTIMQ,2024-11-13 00:00:00+05:30,46.53,46.53,44.21,45.04,97996
EMULTIMQ,2024-11-14 00:00:00+05:30,45.05,45.05,44.02,44.44,100937
EMULTIMQ,2024-11-18 00:00:00+05:30,45.33,45.33,44.19,44.36,73564
EMULTIMQ,2024-11-19 00:00:00+05:30,45.55,46.3,44.55,45.65,11373
EMULTIMQ,2024-11-21 00:00:00+05:30,45.65,45.65,43.89,44.86,93976
EMULTIMQ,2024-11-22 00:00:00+05:30,43.96,45.36,43.96,45.23,39669
EMULTIMQ,2024-11-25 00:00:00+05:30,45.75,46.3,45.0,46.07,24266
EMULTIMQ,2024-11-26 00:00:00+05:30,46.07,46.08,45.59,45.98,8372
EMULTIMQ,2024-11-27 00:00:00+05:30,45.98,46.52,45.72,46.41,28563
EMULTIMQ,2024-11-28 00:00:00+05:30,46.41,46.83,46.13,46.64,33382
EMULTIMQ,2024-11-29 00:00:00+05:30,46.65,46.87,46.12,46.73,18499
EMULTIMQ,2024-12-02 00:00:00+05:30,45.8,47.0,45.8,46.92,13279
EMULTIMQ,2024-12-03 00:00:00+05:30,47.7,47.97,46.1,47.47,41991
EMULTIMQ,2024-12-04 00:00:00+05:30,47.47,47.98,47.11,47.51,26806
EMULTIMQ,2024-12-05 00:00:00+05:30,47.64,48.49,47.34,47.89,14849
EMULTIMQ,2024-12-06 00:00:00+05:30,48.28,48.97,47.51,48.46,16111
EMULTIMQ,2024-12-09 00:00:00+05:30,48.9,49.29,47.84,48.56,51134
EMULTIMQ,2024-12-10 00:00:00+05:30,49.57,49.57,48.12,48.66,33709
EMULTIMQ,2024-12-11 00:00:00+05:30,47.2,48.68,47.2,48.39,15265
EMULTIMQ,2024-12-12 00:00:00+05:30,49.47,49.47,48.03,48.26,16564
EMULTIMQ,2024-12-13 00:00:00+05:30,48.27,48.69,47.45,48.33,18493
EMULTIMQ,2024-12-16 00:00:00+05:30,48.33,48.55,47.99,48.53,10141
EMULTIMQ,2024-12-17 00:00:00+05:30,49.47,49.47,48.03,48.06,15893
EMULTIMQ,2024-12-18 00:00:00+05:30,49.27,49.27,47.2,47.69,46799
EMULTIMQ,2024-12-19 00:00:00+05:30,47.69,47.9,46.75,47.28,51740
EMULTIMQ,2024-12-20 00:00:00+05:30,47.28,48.47,45.82,46.32,46242
EMULTIMQ,2024-12-23 00:00:00+05:30,47.25,47.57,45.5,45.93,72982
EMULTIMQ,2024-12-24 00:00:00+05:30,46.18,46.83,45.66,45.78,36738
EMULTIMQ,2024-12-26 00:00:00+05:30,46.7,46.9,45.25,46.74,34789
EMULTIMQ,2024-12-27 00:00:00+05:30,46.7,46.83,45.85,45.95,127555
EMULTIMQ,2024-12-30 00:00:00+05:30,46.7,46.7,45.0,45.21,76045
EMULTIMQ,2024-12-31 00:00:00+05:30,45.44,45.95,44.93,45.69,16052
EMULTIMQ,2025-01-01 00:00:00+05:30,45.7,46.88,45.05,45.73,19504
EMULTIMQ,2025-01-02 00:00:00+05:30,45.74,46.44,45.27,45.99,24369
EMULTIMQ,2025-01-03 00:00:00+05:30,45.99,48.0,45.58,46.38,182381
EMULTIMQ,2025-01-06 00:00:00+05:30,46.97,46.97,44.75,44.94,169820
EMULTIMQ,2025-01-07 00:00:00+05:30,45.96,45.96,44.76,44.95,54723
EMULTIMQ,2025-01-08 00:00:00+05:30,45.37,45.37,43.85,44.22,334985
EMULTIMQ,2025-01-09 00:00:00+05:30,44.96,44.96,43.75,44.0,70842
EMULTIMQ,2025-01-10 00:00:00+05:30,43.99,44.77,43.23,43.8,78896
EMULTIMQ,2025-01-13 00:00:00+05:30,44.68,44.68,41.66,42.91,179350
EMULTIMQ,2025-01-14 00:00:00+05:30,43.66,43.8,41.5,41.78,213791
EMULTIMQ,2025-01-15 00:00:00+05:30,42.59,42.59,41.34,42.08,57813
EMULTIMQ,2025-01-16 00:00:00+05:30,42.51,42.63,41.98,42.37,48342
EMULTIMQ,2025-01-17 00:00:00+05:30,42.46,42.92,42.02,42.48,65072
EMULTIMQ,2025-01-20 00:00:00+05:30,44.6,44.6,42.0,42.69,54760
EMULTIMQ,2025-01-21 00:00:00+05:30,42.99,42.99,41.39,41.65,110364
EMULTIMQ,2025-01-22 00:00:00+05:30,42.2,42.2,40.35,41.03,152854
EMULTIMQ,2025-01-23 00:00:00+05:30,41.03,41.99,40.77,41.7,61337
EMULTIMQ,2025-01-24 00:00:00+05:30,41.98,41.98,41.02,41.2,32808
EMULTIMQ,2025-01-27 00:00:00+05:30,41.99,42.0,39.67,40.65,142052
EMULTIMQ,2025-01-28 00:00:00+05:30,40.65,40.65,38.57,39.19,249067
EMULTIMQ,2025-01-29 00:00:00+05:30,39.4,40.2,39.4,40.14,36817
EMULTIMQ,2025-01-30 00:00:00+05:30,39.48,40.5,39.48,39.98,77212
EMULTIMQ,2025-01-31 00:00:00+05:30,40.18,40.97,40.13,40.66,68082
EMULTIMQ,2025-02-01 00:00:00+05:30,40.83,40.95,39.53,40.79,86391
EMULTIMQ,2025-02-03 00:00:00+05:30,40.37,40.37,39.39,39.82,66414
EMULTIMQ,2025-02-04 00:00:00+05:30,40.3,40.6,39.87,40.37,46855
EMULTIMQ,2025-02-05 00:00:00+05:30,40.8,41.1,40.6,40.91,40678
EMULTIMQ,2025-02-06 00:00:00+05:30,40.91,41.41,40.27,40.4,66141
EMULTIMQ,2025-02-07 00:00:00+05:30,40.41,41.13,39.88,40.43,62635
