Symbol,Date,Open,High,Low,Close,Volume
FILATFASH,2024-05-06 00:00:00+05:30,2.67,2.74,2.52,2.59,4677235
FILATFASH,2024-05-07 00:00:00+05:30,2.61,2.61,2.48,2.55,3208535
FILATFASH,2024-05-08 00:00:00+05:30,2.49,2.57,2.46,2.48,3663735
FILATFASH,2024-05-09 00:00:00+05:30,2.55,2.59,2.38,2.49,5108405
FILATFASH,2024-05-10 00:00:00+05:30,2.54,2.7,2.43,2.6,15181625
FILATFASH,2024-05-13 00:00:00+05:30,2.67,2.69,2.38,2.41,18707795
FILATFASH,2024-05-14 00:00:00+05:30,2.48,2.52,2.42,2.47,7141345
FILATFASH,2024-05-15 00:00:00+05:30,2.57,2.57,2.43,2.44,4617325
FILATFASH,2024-05-16 00:00:00+05:30,2.49,2.51,2.4,2.41,4713905
FILATFASH,2024-05-17 00:00:00+05:30,2.45,2.47,2.37,2.4,6127470
FILATFASH,2024-05-18 00:00:00+05:30,2.42,2.43,2.37,2.39,2105325
FILATFASH,2024-05-21 00:00:00+05:30,2.44,2.44,2.32,2.34,8682105
FILATFASH,2024-05-22 00:00:00+05:30,2.36,2.37,2.3,2.34,4300000
FILATFASH,2024-05-23 00:00:00+05:30,2.36,2.7,2.34,2.63,44533880
FILATFASH,2024-05-24 00:00:00+05:30,2.69,2.82,2.5,2.79,50010200
FILATFASH,2024-05-27 00:00:00+05:30,2.85,2.86,2.47,2.58,42843195
FILATFASH,2024-05-28 00:00:00+05:30,2.6,2.6,2.41,2.44,13680945
FILATFASH,2024-05-29 00:00:00+05:30,2.46,2.51,2.37,2.39,15861735
FILATFASH,2024-05-30 00:00:00+05:30,2.41,2.45,2.37,2.39,14409110
FILATFASH,2024-05-31 00:00:00+05:30,2.4,2.4,2.26,2.31,11713640
FILATFASH,2024-06-03 00:00:00+05:30,2.48,2.48,2.09,2.12,69943855
FILATFASH,2024-06-04 00:00:00+05:30,2.14,2.25,1.7,2.04,43747455
FILATFASH,2024-06-05 00:00:00+05:30,2.1,2.14,1.93,2.05,13053360
FILATFASH,2024-06-06 00:00:00+05:30,2.1,2.22,2.06,2.19,18046465
FILATFASH,2024-06-07 00:00:00+05:30,2.2,2.29,2.11,2.14,15891110
FILATFASH,2024-06-10 00:00:00+05:30,2.2,2.25,2.1,2.19,14558035
FILATFASH,2024-06-11 00:00:00+05:30,2.22,2.23,2.12,2.19,13545440
FILATFASH,2024-06-12 00:00:00+05:30,2.22,2.4,2.08,2.13,74628615
FILATFASH,2024-06-13 00:00:00+05:30,2.14,2.22,2.14,2.16,15547040
FILATFASH,2024-06-14 00:00:00+05:30,2.19,2.25,2.1,2.13,78008800
FILATFASH,2024-06-18 00:00:00+05:30,2.18,2.19,2.06,2.08,28389280
FILATFASH,2024-06-19 00:00:00+05:30,2.08,2.17,1.97,1.99,64426010
FILATFASH,2024-06-20 00:00:00+05:30,2.02,2.06,1.91,1.91,70279840
FILATFASH,2024-06-21 00:00:00+05:30,1.94,1.94,1.77,1.79,84953545
FILATFASH,2024-06-24 00:00:00+05:30,1.8,1.82,1.68,1.7,61192100
FILATFASH,2024-06-25 00:00:00+05:30,1.69,1.8,1.62,1.74,94332375
FILATFASH,2024-06-26 00:00:00+05:30,1.77,1.85,1.63,1.64,83062325
FILATFASH,2024-06-27 00:00:00+05:30,1.67,1.67,1.52,1.55,73322985
FILATFASH,2024-06-28 00:00:00+05:30,1.56,1.69,1.55,1.64,73243785
FILATFASH,2024-07-01 00:00:00+05:30,1.69,1.69,1.56,1.59,42222310
FILATFASH,2024-07-02 00:00:00+05:30,1.6,1.63,1.56,1.57,38756705
FILATFASH,2024-07-03 00:00:00+05:30,1.58,1.64,1.54,1.61,65416245
FILATFASH,2024-07-04 00:00:00+05:30,1.62,1.62,1.52,1.52,87280940
FILATFASH,2024-07-05 00:00:00+05:30,1.53,1.59,1.49,1.54,61991715
FILATFASH,2024-07-08 00:00:00+05:30,1.56,1.58,1.49,1.51,43475435
FILATFASH,2024-07-09 00:00:00+05:30,1.52,1.52,1.44,1.45,53169585
FILATFASH,2024-07-10 00:00:00+05:30,1.46,1.48,1.39,1.43,56617695
FILATFASH,2024-07-11 00:00:00+05:30,1.44,1.54,1.43,1.51,59433955
