Symbol,Date,Open,High,Low,Close,Volume
FLEXIADD,2025-10-16 00:00:00+05:30,10.56,11.9,10.5,10.66,270745
FLEXIADD,2025-10-17 00:00:00+05:30,10.66,10.74,10.63,10.65,77212
FLEXIADD,2025-10-20 00:00:00+05:30,10.91,10.91,10.67,10.72,181552
FLEXIADD,2025-10-21 00:00:00+05:30,10.72,11.55,10.72,10.76,185121
FLEXIADD,2025-10-23 00:00:00+05:30,11.02,11.2,10.54,10.67,248295
FLEXIADD,2025-10-24 00:00:00+05:30,10.79,10.85,10.68,10.79,407126
FLEXIADD,2025-10-27 00:00:00+05:30,11.05,11.05,10.82,10.89,175406
FLEXIADD,2025-10-28 00:00:00+05:30,11.05,11.05,10.8,10.84,443568
FLEXIADD,2025-10-29 00:00:00+05:30,11.04,11.04,10.76,10.82,300528
FLEXIADD,2025-10-30 00:00:00+05:30,10.88,10.91,10.78,10.81,232980
FLEXIADD,2025-10-31 00:00:00+05:30,10.88,10.97,10.73,10.73,177007
FLEXIADD,2025-11-03 00:00:00+05:30,10.79,10.8,10.68,10.75,289533
FLEXIADD,2025-11-04 00:00:00+05:30,11.01,11.01,10.62,10.64,215926
FLEXIADD,2025-11-06 00:00:00+05:30,10.72,10.72,10.57,10.6,189255
FLEXIADD,2025-11-07 00:00:00+05:30,10.6,10.66,10.48,10.61,79743
FLEXIADD,2025-11-10 00:00:00+05:30,10.74,10.75,10.61,10.7,71680
FLEXIADD,2025-11-11 00:00:00+05:30,10.9,10.95,10.64,10.76,82896
FLEXIADD,2025-11-12 00:00:00+05:30,10.81,11.0,10.76,10.9,238020
FLEXIADD,2025-11-13 00:00:00+05:30,10.89,10.93,10.79,10.88,413378
FLEXIADD,2025-11-14 00:00:00+05:30,10.86,10.88,10.78,10.83,52888
FLEXIADD,2025-11-17 00:00:00+05:30,10.88,10.94,10.85,10.92,93268
FLEXIADD,2025-11-18 00:00:00+05:30,10.91,10.92,10.81,10.83,169263
FLEXIADD,2025-11-19 00:00:00+05:30,10.88,10.92,10.81,10.91,85527
FLEXIADD,2025-11-20 00:00:00+05:30,10.94,10.97,10.9,10.92,112443
FLEXIADD,2025-11-21 00:00:00+05:30,10.95,10.95,10.68,10.83,105908
FLEXIADD,2025-11-24 00:00:00+05:30,11.04,11.04,10.66,10.78,309511
FLEXIADD,2025-11-25 00:00:00+05:30,10.98,10.98,10.74,10.74,270376
FLEXIADD,2025-11-26 00:00:00+05:30,10.79,10.92,10.79,10.84,105460
FLEXIADD,2025-11-27 00:00:00+05:30,10.84,10.91,10.7,10.87,76451
FLEXIADD,2025-11-28 00:00:00+05:30,10.93,11.06,10.79,10.82,251524
