Symbol,Date,Open,High,Low,Close,Volume
GABRIEL,2005-04-20 00:00:00+05:30,9.78,10.52,9.78,10.41,61159
GABRIEL,2005-04-21 00:00:00+05:30,10.47,10.58,9.78,10.28,53199
GABRIEL,2005-04-22 00:00:00+05:30,10.58,10.62,10.39,10.44,94119
GABRIEL,2005-04-25 00:00:00+05:30,10.81,10.81,10.42,10.58,17079
GABRIEL,2005-04-26 00:00:00+05:30,10.81,10.81,10.52,10.53,25839
GABRIEL,2005-04-27 00:00:00+05:30,10.47,10.47,10.38,10.38,6699
GABRIEL,2005-04-28 00:00:00+05:30,10.41,10.52,10.41,10.51,6499
GABRIEL,2005-04-29 00:00:00+05:30,10.52,10.81,10.09,10.18,18079
GABRIEL,2005-05-02 00:00:00+05:30,10.13,10.18,10.13,10.18,4999
GABRIEL,2005-05-03 00:00:00+05:30,10.18,10.71,10.18,10.64,85519
GABRIEL,2005-05-04 00:00:00+05:30,10.42,12.01,10.42,11.63,356419
GABRIEL,2005-05-05 00:00:00+05:30,11.73,11.85,11.04,11.13,272839
GABRIEL,2005-05-06 00:00:00+05:30,11.79,11.79,10.93,11.13,93899
GABRIEL,2005-05-09 00:00:00+05:30,10.99,11.79,10.99,11.43,173499
GABRIEL,2005-05-10 00:00:00+05:30,11.21,11.67,11.21,11.44,238439
GABRIEL,2005-05-11 00:00:00+05:30,11.5,12.05,11.39,11.97,532079
GABRIEL,2005-05-12 00:00:00+05:30,12.15,12.76,12.15,12.61,1054619
GABRIEL,2005-05-13 00:00:00+05:30,12.65,12.65,12.02,12.15,536479
GABRIEL,2005-05-16 00:00:00+05:30,12.65,12.65,12.02,12.52,518719
GABRIEL,2005-05-17 00:00:00+05:30,12.94,13.46,12.42,12.8,1545179
GABRIEL,2005-05-18 00:00:00+05:30,13.05,13.34,12.82,13.15,873659
GABRIEL,2005-05-19 00:00:00+05:30,13.33,13.44,12.71,12.9,610019
GABRIEL,2005-05-20 00:00:00+05:30,13.02,13.85,12.71,13.24,1864279
GABRIEL,2005-05-23 00:00:00+05:30,13.46,13.63,13.17,13.38,436519
GABRIEL,2005-05-24 00:00:00+05:30,13.65,13.65,12.95,13.02,398239
GABRIEL,2005-05-25 00:00:00+05:30,13.28,13.63,13.0,13.03,669639
GABRIEL,2005-05-26 00:00:00+05:30,13.14,13.51,12.95,13.29,560699
GABRIEL,2005-05-27 00:00:00+05:30,14.09,14.09,13.05,13.23,770019
GABRIEL,2005-05-30 00:00:00+05:30,13.38,13.38,12.67,12.79,204319
GABRIEL,2005-05-31 00:00:00+05:30,13.12,14.89,12.77,13.78,8437199
GABRIEL,2005-06-01 00:00:00+05:30,13.86,14.22,13.54,13.74,4064859
GABRIEL,2005-06-02 00:00:00+05:30,13.8,13.86,13.28,13.39,1426599
GABRIEL,2005-06-03 00:00:00+05:30,13.4,14.03,13.26,13.69,1335299
GABRIEL,2005-06-06 00:00:00+05:30,13.86,14.04,13.58,13.63,935099
