Symbol,Date,Open,High,Low,Close,Volume
GANGAFORGE,2021-07-06 00:00:00+05:30,10.0,10.0,9.8,9.85,408760
GANGAFORGE,2021-07-07 00:00:00+05:30,10.05,10.05,9.9,10.0,376630
GANGAFORGE,2021-07-08 00:00:00+05:30,10.1,10.1,9.9,9.9,484440
GANGAFORGE,2021-07-09 00:00:00+05:30,9.95,9.95,9.8,9.9,324650
GANGAFORGE,2021-07-12 00:00:00+05:30,9.95,10.25,9.7,10.15,424860
GANGAFORGE,2021-07-13 00:00:00+05:30,10.65,10.65,10.3,10.45,648330
GANGAFORGE,2021-07-14 00:00:00+05:30,10.7,10.7,10.55,10.6,566250
GANGAFORGE,2021-07-15 00:00:00+05:30,10.7,10.85,10.65,10.8,766900
GANGAFORGE,2021-07-16 00:00:00+05:30,10.85,10.9,10.7,10.8,509210
GANGAFORGE,2021-07-19 00:00:00+05:30,10.8,10.8,10.55,10.6,442080
GANGAFORGE,2021-07-20 00:00:00+05:30,10.75,10.75,10.45,10.55,595430
GANGAFORGE,2021-07-22 00:00:00+05:30,10.6,10.85,10.6,10.75,451510
GANGAFORGE,2021-07-23 00:00:00+05:30,10.8,10.95,10.8,10.9,510020
GANGAFORGE,2021-07-26 00:00:00+05:30,11.1,11.1,10.85,11.0,665070
GANGAFORGE,2021-07-27 00:00:00+05:30,11.2,11.2,11.05,11.05,698490
GANGAFORGE,2021-07-28 00:00:00+05:30,11.2,11.2,10.85,11.05,318830
GANGAFORGE,2021-07-29 00:00:00+05:30,11.15,11.25,11.05,11.25,494200
GANGAFORGE,2021-07-30 00:00:00+05:30,11.55,11.55,11.2,11.3,557720
GANGAFORGE,2021-08-02 00:00:00+05:30,11.4,11.5,11.3,11.45,394110
GANGAFORGE,2021-08-03 00:00:00+05:30,11.5,11.8,11.4,11.7,1082190
GANGAFORGE,2021-08-04 00:00:00+05:30,12.0,12.0,11.75,11.8,439320
GANGAFORGE,2021-08-05 00:00:00+05:30,11.75,11.75,11.55,11.6,538920
GANGAFORGE,2021-08-06 00:00:00+05:30,11.6,11.7,11.55,11.65,538730
GANGAFORGE,2021-08-09 00:00:00+05:30,11.8,11.9,11.4,11.85,948470
GANGAFORGE,2021-08-10 00:00:00+05:30,11.85,12.2,11.85,12.1,464560
GANGAFORGE,2021-08-11 00:00:00+05:30,12.35,12.4,11.65,12.0,936860
GANGAFORGE,2021-08-12 00:00:00+05:30,11.5,12.2,11.5,12.1,697440
GANGAFORGE,2021-08-13 00:00:00+05:30,12.3,12.5,12.1,12.45,450290
GANGAFORGE,2021-08-16 00:00:00+05:30,12.7,12.75,12.45,12.6,838140
GANGAFORGE,2021-08-17 00:00:00+05:30,12.65,12.95,12.6,12.8,903840
GANGAFORGE,2021-08-18 00:00:00+05:30,12.9,13.1,12.85,12.95,1348290
GANGAFORGE,2021-08-20 00:00:00+05:30,13.5,13.5,12.7,12.9,598770
GANGAFORGE,2021-08-23 00:00:00+05:30,12.95,13.15,12.75,12.9,612320
GANGAFORGE,2021-08-24 00:00:00+05:30,12.95,13.2,12.85,13.15,1212000
GANGAFORGE,2021-08-25 00:00:00+05:30,13.2,13.3,13.15,13.3,901920
GANGAFORGE,2021-08-26 00:00:00+05:30,13.3,13.35,13.2,13.3,823960
GANGAFORGE,2021-08-27 00:00:00+05:30,13.35,13.5,13.3,13.45,1032460
GANGAFORGE,2021-08-30 00:00:00+05:30,13.6,13.9,13.6,13.8,1500030
GANGAFORGE,2021-08-31 00:00:00+05:30,13.95,14.1,13.85,14.05,1139870
GANGAFORGE,2021-09-01 00:00:00+05:30,14.05,14.35,14.0,14.1,1067710
GANGAFORGE,2021-09-02 00:00:00+05:30,14.2,14.25,14.05,14.2,1066150
GANGAFORGE,2021-09-03 00:00:00+05:30,14.3,14.3,14.15,14.3,1019160
GANGAFORGE,2021-09-06 00:00:00+05:30,14.4,14.5,14.25,14.4,1051190
GANGAFORGE,2021-09-07 00:00:00+05:30,14.5,14.5,14.4,14.5,898350
GANGAFORGE,2021-09-08 00:00:00+05:30,14.6,14.6,14.4,14.55,1900640
GANGAFORGE,2021-09-09 00:00:00+05:30,14.6,14.7,14.6,14.65,1803710
GANGAFORGE,2021-09-13 00:00:00+05:30,14.95,15.4,14.9,15.05,1184330
GANGAFORGE,2021-09-14 00:00:00+05:30,15.4,15.8,15.15,15.3,1233199
GANGAFORGE,2021-09-15 00:00:00+05:30,15.5,16.05,14.55,14.55,1841460
GANGAFORGE,2021-09-16 00:00:00+05:30,14.2,15.15,13.85,14.55,726934
GANGAFORGE,2021-09-17 00:00:00+05:30,15.1,15.15,13.85,13.9,682998
GANGAFORGE,2021-09-20 00:00:00+05:30,13.9,14.1,13.65,13.75,684280
GANGAFORGE,2021-09-21 00:00:00+05:30,13.7,14.35,13.7,14.25,988593
GANGAFORGE,2021-09-22 00:00:00+05:30,14.45,14.75,13.9,14.45,1066283
GANGAFORGE,2021-09-23 00:00:00+05:30,14.7,15.1,14.4,15.05,1298504
GANGAFORGE,2021-09-24 00:00:00+05:30,15.5,15.65,15.2,15.4,1327169
GANGAFORGE,2021-09-27 00:00:00+05:30,15.85,15.85,14.95,15.2,1358931
GANGAFORGE,2021-09-28 00:00:00+05:30,15.35,15.6,14.75,14.9,761464
