Symbol,Date,Open,High,Low,Close,Volume
GARFIBRES,2007-04-03 00:00:00+05:30,15.8,16.6,14.4,16.1,204860
GARFIBRES,2007-04-04 00:00:00+05:30,16.6,17.0,15.4,15.9,36425
GARFIBRES,2007-04-05 00:00:00+05:30,16.2,16.2,15.2,15.75,21335
GARFIBRES,2007-04-09 00:00:00+05:30,16.2,16.2,15.8,16.0,36750
GARFIBRES,2007-04-10 00:00:00+05:30,16.0,16.6,16.0,16.35,27995
GARFIBRES,2007-04-11 00:00:00+05:30,16.15,17.0,16.15,16.5,50370
GARFIBRES,2007-04-12 00:00:00+05:30,16.2,17.2,16.2,17.15,201020
GARFIBRES,2007-04-13 00:00:00+05:30,17.0,17.4,17.0,17.2,57670
GARFIBRES,2007-04-16 00:00:00+05:30,17.6,19.7,17.6,19.15,223700
GARFIBRES,2007-04-17 00:00:00+05:30,19.6,19.6,19.0,19.0,329360
GARFIBRES,2007-04-18 00:00:00+05:30,18.8,19.4,17.8,18.15,40695
GARFIBRES,2007-04-19 00:00:00+05:30,18.05,19.0,18.0,18.5,12260
GARFIBRES,2007-04-20 00:00:00+05:30,19.0,19.0,18.2,18.6,33555
GARFIBRES,2007-04-23 00:00:00+05:30,19.05,20.3,18.8,19.1,33455
GARFIBRES,2007-04-24 00:00:00+05:30,19.5,21.4,19.25,21.0,280300
GARFIBRES,2007-04-25 00:00:00+05:30,21.8,24.0,20.6,23.2,294540
GARFIBRES,2007-04-26 00:00:00+05:30,24.0,24.2,22.2,22.5,314070
GARFIBRES,2007-04-27 00:00:00+05:30,22.4,22.4,20.85,21.8,92450
GARFIBRES,2007-04-30 00:00:00+05:30,22.0,23.15,21.25,22.85,130795
GARFIBRES,2007-05-03 00:00:00+05:30,23.65,24.55,23.3,24.2,827910
GARFIBRES,2007-05-04 00:00:00+05:30,24.5,26.65,24.3,26.2,2220180
GARFIBRES,2007-05-07 00:00:00+05:30,27.2,27.2,24.4,24.85,452560
GARFIBRES,2007-05-08 00:00:00+05:30,24.55,25.7,23.6,24.35,261170
GARFIBRES,2007-05-09 00:00:00+05:30,24.4,25.1,24.05,24.45,91075
GARFIBRES,2007-05-10 00:00:00+05:30,25.0,26.1,24.5,25.1,306725
GARFIBRES,2007-05-11 00:00:00+05:30,24.1,25.75,24.1,25.15,181350
GARFIBRES,2007-05-14 00:00:00+05:30,25.6,26.1,24.85,25.05,121320
GARFIBRES,2007-05-15 00:00:00+05:30,24.9,25.2,24.65,24.8,26970
GARFIBRES,2007-05-16 00:00:00+05:30,24.5,25.7,24.2,25.3,98045
GARFIBRES,2007-05-17 00:00:00+05:30,25.4,27.0,25.4,26.2,462890
GARFIBRES,2007-05-18 00:00:00+05:30,26.05,26.6,25.65,26.0,197450
GARFIBRES,2007-05-21 00:00:00+05:30,26.0,26.0,24.65,25.0,92050
GARFIBRES,2007-05-22 00:00:00+05:30,24.85,25.2,24.2,24.25,26970
GARFIBRES,2007-05-23 00:00:00+05:30,24.9,24.9,23.85,24.25,51590
GARFIBRES,2007-05-24 00:00:00+05:30,23.85,25.8,23.85,25.2,196880
GARFIBRES,2007-05-25 00:00:00+05:30,24.8,27.7,24.4,27.5,878015
GARFIBRES,2007-05-28 00:00:00+05:30,28.0,28.0,26.0,26.25,196555
GARFIBRES,2007-05-29 00:00:00+05:30,26.55,28.9,26.2,27.8,327440
GARFIBRES,2007-05-30 00:00:00+05:30,27.7,30.6,27.4,29.35,1140895
GARFIBRES,2007-05-31 00:00:00+05:30,30.2,30.6,29.4,29.9,443005
GARFIBRES,2007-06-01 00:00:00+05:30,30.55,30.55,29.3,29.95,522240
GARFIBRES,2007-06-04 00:00:00+05:30,30.4,31.0,28.6,29.8,433365
GARFIBRES,2007-06-05 00:00:00+05:30,29.6,29.8,28.4,28.7,215955
GARFIBRES,2007-06-06 00:00:00+05:30,29.1,29.75,28.0,28.4,266730
GARFIBRES,2007-06-07 00:00:00+05:30,28.6,29.55,27.25,27.7,209630
GARFIBRES,2007-06-08 00:00:00+05:30,27.7,29.0,27.2,27.45,49395
GARFIBRES,2007-06-11 00:00:00+05:30,28.4,28.4,26.4,26.65,89230
GARFIBRES,2007-06-12 00:00:00+05:30,27.2,27.2,25.35,25.8,176520
GARFIBRES,2007-06-13 00:00:00+05:30,26.15,26.15,25.0,25.15,35395
GARFIBRES,2007-06-14 00:00:00+05:30,25.8,26.4,25.65,26.4,103760
GARFIBRES,2007-06-15 00:00:00+05:30,27.6,27.75,27.25,27.4,61065
GARFIBRES,2007-06-18 00:00:00+05:30,28.05,28.6,26.4,26.8,72320
GARFIBRES,2007-06-19 00:00:00+05:30,25.8,28.05,25.8,28.05,29735
GARFIBRES,2007-06-20 00:00:00+05:30,28.0,29.45,28.0,29.2,212460
GARFIBRES,2007-06-21 00:00:00+05:30,29.65,29.8,29.2,29.4,106725
GARFIBRES,2007-06-22 00:00:00+05:30,29.4,29.75,29.1,29.1,27725
GARFIBRES,2007-06-25 00:00:00+05:30,29.2,30.55,29.2,30.0,371040
GARFIBRES,2007-06-26 00:00:00+05:30,30.6,30.8,30.0,30.0,142790
GARFIBRES,2007-06-27 00:00:00+05:30,30.0,31.55,29.7,31.15,152625
GARFIBRES,2007-06-28 00:00:00+05:30,31.0,32.7,30.6,32.7,145740
GARFIBRES,2007-06-29 00:00:00+05:30,33.0,34.0,32.0,32.05,75575
GARFIBRES,2007-07-02 00:00:00+05:30,31.25,32.2,31.0,31.0,33320
GARFIBRES,2007-07-03 00:00:00+05:30,31.9,32.0,30.0,30.8,30625
GARFIBRES,2007-07-04 00:00:00+05:30,30.5,31.0,30.0,30.1,293410
GARFIBRES,2007-07-05 00:00:00+05:30,30.2,30.35,29.4,30.0,142110
GARFIBRES,2007-07-06 00:00:00+05:30,30.4,31.5,30.0,31.0,39920
GARFIBRES,2007-07-09 00:00:00+05:30,31.0,31.55,30.0,30.0,19235
GARFIBRES,2007-07-10 00:00:00+05:30,30.2,30.8,30.0,30.15,88530
GARFIBRES,2007-07-11 00:00:00+05:30,31.4,31.4,30.0,30.4,7455
GARFIBRES,2007-07-12 00:00:00+05:30,30.05,31.3,30.0,30.0,32060
GARFIBRES,2007-07-13 00:00:00+05:30,31.1,31.1,30.0,30.3,32575
GARFIBRES,2007-07-16 00:00:00+05:30,30.0,31.6,30.0,30.25,99365
GARFIBRES,2007-07-17 00:00:00+05:30,30.6,31.3,30.35,31.0,52365
GARFIBRES,2007-07-18 00:00:00+05:30,30.0,31.75,30.0,30.45,87190
GARFIBRES,2007-07-19 00:00:00+05:30,30.4,31.0,30.4,30.4,25175
GARFIBRES,2007-07-20 00:00:00+05:30,31.6,31.95,30.4,30.65,34250
GARFIBRES,2007-07-23 00:00:00+05:30,31.0,32.2,30.85,31.8,112865
GARFIBRES,2007-07-24 00:00:00+05:30,32.8,32.8,31.4,31.55,154690
GARFIBRES,2007-07-25 00:00:00+05:30,31.95,31.95,31.0,31.3,72585
GARFIBRES,2007-07-26 00:00:00+05:30,32.35,32.35,31.2,31.25,6725
GARFIBRES,2007-07-27 00:00:00+05:30,31.4,31.4,29.7,30.45,44975
GARFIBRES,2007-07-30 00:00:00+05:30,29.0,30.8,29.0,30.4,11115
GARFIBRES,2007-07-31 00:00:00+05:30,30.4,31.9,30.4,31.6,49275
GARFIBRES,2007-08-01 00:00:00+05:30,32.0,32.0,30.05,30.05,24950
