Symbol,Date,Open,High,Low,Close,Volume
GATECHDVR,2017-10-10 09:17:00+05:30,5.7,5.7,5.65,5.65,51494
GATECHDVR,2017-10-12 15:00:00+05:30,5.4,5.4,5.4,5.4,5
GATECHDVR,2017-10-13 09:47:00+05:30,5.15,5.65,5.15,5.25,454508
GATECHDVR,2017-10-16 09:18:00+05:30,5.25,5.25,5.0,5.0,34811
GATECHDVR,2017-10-17 09:31:00+05:30,4.75,5.25,4.75,5.25,13349
GATECHDVR,2017-10-18 09:42:00+05:30,5.0,5.2,5.0,5.0,8072
GATECHDVR,2017-10-23 09:17:00+05:30,4.55,4.95,4.55,4.8,27783
GATECHDVR,2017-10-24 09:18:00+05:30,4.6,4.6,4.6,4.6,3959
GATECHDVR,2017-10-25 09:15:00+05:30,4.8,4.8,4.4,4.4,2003
GATECHDVR,2017-10-26 09:46:00+05:30,4.2,4.2,4.2,4.2,4187
GATECHDVR,2017-10-27 09:25:00+05:30,4.0,4.0,4.0,4.0,137345
GATECHDVR,2017-10-30 10:35:00+05:30,3.8,3.8,3.8,3.8,3939
GATECHDVR,2017-10-31 09:19:00+05:30,3.65,3.85,3.65,3.65,285735
GATECHDVR,2017-11-01 09:22:00+05:30,3.65,3.8,3.5,3.55,17266
GATECHDVR,2017-11-02 09:22:00+05:30,3.5,3.65,3.5,3.5,8234
GATECHDVR,2017-11-03 09:31:00+05:30,3.5,3.65,3.35,3.5,6050
GATECHDVR,2017-11-06 09:16:00+05:30,3.5,3.5,3.35,3.35,6623
GATECHDVR,2017-11-07 09:20:00+05:30,3.45,3.45,3.2,3.2,4610
GATECHDVR,2017-11-08 09:15:00+05:30,3.1,3.1,3.05,3.05,27496
GATECHDVR,2017-11-09 09:30:00+05:30,2.9,3.0,2.9,2.9,4822
GATECHDVR,2017-11-10 09:33:00+05:30,3.0,3.0,2.8,2.95,37317
GATECHDVR,2017-11-13 09:39:00+05:30,2.95,2.95,2.85,2.85,62880
GATECHDVR,2017-11-14 10:28:00+05:30,2.85,2.9,2.75,2.85,5504
GATECHDVR,2017-11-15 09:45:00+05:30,2.85,2.85,2.75,2.85,51797
