Symbol,Date,Open,High,Low,Close,Volume
GATEWAY,2022-03-22 00:00:00+05:30,68.95,72.35,68.95,72.35,111351
GATEWAY,2022-03-23 00:00:00+05:30,73.4,74.9,68.75,68.75,1379448
GATEWAY,2022-03-24 00:00:00+05:30,65.35,72.1,65.35,69.65,1485373
GATEWAY,2022-03-25 00:00:00+05:30,70.2,71.1,67.05,69.95,582339
GATEWAY,2022-03-28 00:00:00+05:30,70.4,70.4,67.45,68.5,517596
GATEWAY,2022-03-29 00:00:00+05:30,68.45,71.75,67.1,70.05,1306472
GATEWAY,2022-03-30 00:00:00+05:30,70.95,71.75,67.15,67.6,1612893
GATEWAY,2022-03-31 00:00:00+05:30,67.4,68.0,64.6,66.7,1771077
GATEWAY,2022-04-01 00:00:00+05:30,67.4,70.0,67.1,70.0,2339092
GATEWAY,2022-04-04 00:00:00+05:30,70.85,73.5,70.0,73.35,614508
GATEWAY,2022-04-05 00:00:00+05:30,79.45,87.0,75.55,76.8,2244983
GATEWAY,2022-04-06 00:00:00+05:30,76.65,77.0,73.4,74.85,1239969
GATEWAY,2022-04-07 00:00:00+05:30,75.95,78.15,75.0,77.3,671895
GATEWAY,2022-04-08 00:00:00+05:30,78.0,81.0,76.6,78.65,657183
GATEWAY,2022-04-11 00:00:00+05:30,78.65,79.0,76.95,77.5,405209
GATEWAY,2022-04-12 00:00:00+05:30,77.1,77.5,74.1,74.7,1186899
GATEWAY,2022-04-13 00:00:00+05:30,75.9,77.5,75.5,76.05,472692
GATEWAY,2022-04-18 00:00:00+05:30,78.5,78.8,76.7,77.2,525124
GATEWAY,2022-04-19 00:00:00+05:30,78.1,82.8,77.4,80.05,5223483
GATEWAY,2022-04-20 00:00:00+05:30,82.0,82.5,77.65,79.2,1284964
GATEWAY,2022-04-21 00:00:00+05:30,80.0,83.0,79.6,82.4,834905
GATEWAY,2022-04-22 00:00:00+05:30,82.65,82.65,80.05,81.45,483759
GATEWAY,2022-04-25 00:00:00+05:30,80.0,81.3,77.95,78.9,435364
GATEWAY,2022-04-26 00:00:00+05:30,80.7,80.7,71.3,76.3,2449194
GATEWAY,2022-04-27 00:00:00+05:30,77.0,77.8,72.6,75.05,2566750
GATEWAY,2022-04-28 00:00:00+05:30,76.9,76.9,73.9,75.2,680314
GATEWAY,2022-04-29 00:00:00+05:30,76.3,76.9,73.95,74.55,440409
GATEWAY,2022-05-02 00:00:00+05:30,74.95,75.5,73.0,73.8,263031
GATEWAY,2022-05-04 00:00:00+05:30,75.3,77.5,74.65,76.25,820684
GATEWAY,2022-05-05 00:00:00+05:30,77.0,77.6,73.65,74.35,250989
GATEWAY,2022-05-06 00:00:00+05:30,73.05,74.0,72.15,72.8,663956
GATEWAY,2022-05-09 00:00:00+05:30,71.3,73.95,70.1,72.65,1583059
GATEWAY,2022-05-10 00:00:00+05:30,72.0,73.55,71.4,72.25,639607
GATEWAY,2022-05-11 00:00:00+05:30,73.0,73.8,70.65,72.6,464671
GATEWAY,2022-05-12 00:00:00+05:30,73.2,73.2,70.25,71.3,259032
GATEWAY,2022-05-13 00:00:00+05:30,73.6,74.4,70.0,72.8,370516
GATEWAY,2022-05-16 00:00:00+05:30,72.8,74.0,71.25,73.5,243629
GATEWAY,2022-05-17 00:00:00+05:30,73.0,73.75,72.5,73.55,132480
GATEWAY,2022-05-18 00:00:00+05:30,74.6,74.65,72.7,74.2,263659
GATEWAY,2022-05-19 00:00:00+05:30,72.0,74.6,71.6,74.25,283589
GATEWAY,2022-05-20 00:00:00+05:30,74.25,75.5,73.15,75.1,1372003
GATEWAY,2022-05-23 00:00:00+05:30,76.0,78.4,74.2,77.95,1478610
GATEWAY,2022-05-24 00:00:00+05:30,78.95,78.95,73.9,74.7,1829315
GATEWAY,2022-05-25 00:00:00+05:30,78.0,78.0,71.2,73.6,848069
GATEWAY,2022-05-26 00:00:00+05:30,73.8,76.5,73.5,75.95,267710
GATEWAY,2022-05-27 00:00:00+05:30,77.0,77.0,74.1,74.95,1054166
GATEWAY,2022-05-30 00:00:00+05:30,75.0,76.0,74.7,75.25,587619
GATEWAY,2022-05-31 00:00:00+05:30,76.4,76.4,75.0,75.5,159926
GATEWAY,2022-06-01 00:00:00+05:30,76.0,76.0,72.0,73.0,230811
GATEWAY,2022-06-02 00:00:00+05:30,74.1,75.5,73.15,74.4,751022
GATEWAY,2022-06-03 00:00:00+05:30,73.45,75.0,73.05,73.25,131338
GATEWAY,2022-06-06 00:00:00+05:30,73.25,73.55,71.25,72.9,128218
GATEWAY,2022-06-07 00:00:00+05:30,73.6,73.6,71.55,72.45,102195
GATEWAY,2022-06-08 00:00:00+05:30,73.0,73.55,72.1,72.9,415930
