Symbol,Date,Open,High,Low,Close,Volume
GIPCL,2003-01-27 00:00:00+05:30,18.25,19.25,17.9,18.1,57648
GIPCL,2003-01-28 00:00:00+05:30,18.25,18.45,17.8,18.05,36150
GIPCL,2003-01-29 00:00:00+05:30,18.1,18.35,17.95,18.0,17053
GIPCL,2003-01-30 00:00:00+05:30,18.0,18.4,17.85,18.1,21571
GIPCL,2003-01-31 00:00:00+05:30,18.0,18.0,17.75,17.85,20800
GIPCL,2003-02-03 00:00:00+05:30,18.1,18.65,18.1,18.55,24440
GIPCL,2003-02-04 00:00:00+05:30,18.7,19.3,18.5,18.65,42868
GIPCL,2003-02-05 00:00:00+05:30,18.75,19.9,18.6,19.15,78119
GIPCL,2003-02-06 00:00:00+05:30,19.35,19.8,19.2,19.3,45852
GIPCL,2003-02-07 00:00:00+05:30,19.5,21.2,19.2,20.5,286829
GIPCL,2003-02-10 00:00:00+05:30,21.0,21.55,20.6,21.0,260925
GIPCL,2003-02-11 00:00:00+05:30,21.4,21.45,20.4,20.55,106841
GIPCL,2003-02-12 00:00:00+05:30,20.7,20.7,19.65,19.95,57430
GIPCL,2003-02-14 00:00:00+05:30,19.6,19.75,19.05,19.1,54549
GIPCL,2003-02-17 00:00:00+05:30,19.8,20.45,19.75,20.25,133281
GIPCL,2003-02-18 00:00:00+05:30,20.85,21.2,20.2,20.55,138939
GIPCL,2003-02-19 00:00:00+05:30,20.85,21.6,20.5,21.15,175275
GIPCL,2003-02-20 00:00:00+05:30,21.95,22.2,21.35,21.6,286713
GIPCL,2003-02-21 00:00:00+05:30,21.5,21.7,20.9,21.1,70524
GIPCL,2003-02-24 00:00:00+05:30,21.2,21.75,21.1,21.2,78527
GIPCL,2003-02-25 00:00:00+05:30,21.0,21.25,20.25,20.4,70595
GIPCL,2003-02-26 00:00:00+05:30,20.75,20.75,20.2,20.4,41990
GIPCL,2003-02-27 00:00:00+05:30,20.25,21.2,20.2,20.95,81543
GIPCL,2003-02-28 00:00:00+05:30,21.0,21.9,19.6,19.85,238321
GIPCL,2003-03-03 00:00:00+05:30,20.2,20.5,19.5,19.7,54280
GIPCL,2003-03-04 00:00:00+05:30,20.0,20.25,19.0,19.1,41503
GIPCL,2003-03-05 00:00:00+05:30,18.8,19.1,18.3,18.75,40814
GIPCL,2003-03-06 00:00:00+05:30,18.55,18.7,18.3,18.35,41100
GIPCL,2003-03-07 00:00:00+05:30,18.05,18.05,17.65,17.85,35595
GIPCL,2003-03-10 00:00:00+05:30,17.95,18.0,17.15,17.2,21312
GIPCL,2003-03-11 00:00:00+05:30,16.8,17.5,16.8,17.4,29840
GIPCL,2003-03-12 00:00:00+05:30,17.45,17.8,17.25,17.3,19116
GIPCL,2003-03-13 00:00:00+05:30,17.45,17.5,16.85,17.05,45874
GIPCL,2003-03-17 00:00:00+05:30,16.5,16.9,16.3,16.7,52400
GIPCL,2003-03-19 00:00:00+05:30,16.65,17.0,16.35,16.45,38019
GIPCL,2003-03-20 00:00:00+05:30,16.6,17.05,16.45,16.6,65401
GIPCL,2003-03-21 00:00:00+05:30,16.9,17.2,16.8,16.95,55294
GIPCL,2003-03-24 00:00:00+05:30,17.0,17.0,16.55,16.65,20842
GIPCL,2003-03-25 00:00:00+05:30,16.25,16.6,16.15,16.35,52898
GIPCL,2003-03-26 00:00:00+05:30,16.4,16.65,16.1,16.25,56571
GIPCL,2003-03-27 00:00:00+05:30,16.25,16.25,15.4,15.75,90829
GIPCL,2003-03-28 00:00:00+05:30,15.75,15.95,15.6,15.7,20639
GIPCL,2003-03-31 00:00:00+05:30,15.5,15.65,15.2,15.3,24302
GIPCL,2003-04-01 00:00:00+05:30,15.5,15.6,15.1,15.25,27497
GIPCL,2003-04-02 00:00:00+05:30,15.6,15.9,15.45,15.9,38026
GIPCL,2003-04-03 00:00:00+05:30,15.9,16.9,15.85,16.75,48859
GIPCL,2003-04-04 00:00:00+05:30,16.5,17.5,16.3,17.15,48581
GIPCL,2003-04-07 00:00:00+05:30,17.4,17.9,17.2,17.8,68219
GIPCL,2003-04-08 00:00:00+05:30,17.85,18.2,17.3,18.0,44631
GIPCL,2003-04-09 00:00:00+05:30,18.0,18.6,17.55,17.65,69244
GIPCL,2003-04-10 00:00:00+05:30,17.55,17.55,17.05,17.1,37199
GIPCL,2003-04-11 00:00:00+05:30,17.6,17.7,17.1,17.15,36636
GIPCL,2003-04-15 00:00:00+05:30,17.75,17.75,17.1,17.35,18152
GIPCL,2003-04-16 00:00:00+05:30,17.8,17.8,17.15,17.45,17406
GIPCL,2003-04-17 00:00:00+05:30,17.2,17.5,17.1,17.3,21289
GIPCL,2003-04-21 00:00:00+05:30,17.3,18.2,17.3,18.0,44902
GIPCL,2003-04-22 00:00:00+05:30,18.25,18.35,17.75,17.95,33599
GIPCL,2003-04-23 00:00:00+05:30,18.2,18.2,17.75,17.8,28125
GIPCL,2003-04-24 00:00:00+05:30,17.9,18.0,17.65,17.95,20927
GIPCL,2003-04-25 00:00:00+05:30,17.7,17.95,17.6,17.85,32738
GIPCL,2003-04-28 00:00:00+05:30,17.6,17.95,17.6,17.85,16123
GIPCL,2003-04-29 00:00:00+05:30,17.9,18.4,17.85,18.2,39348
GIPCL,2003-04-30 00:00:00+05:30,18.15,18.75,18.15,18.55,72109
GIPCL,2003-05-02 00:00:00+05:30,18.9,19.4,18.55,19.15,86460
GIPCL,2003-05-05 00:00:00+05:30,19.75,20.8,19.35,20.45,180815
GIPCL,2003-05-06 00:00:00+05:30,21.2,21.2,19.75,19.9,128975
GIPCL,2003-05-07 00:00:00+05:30,20.4,20.45,19.3,19.4,29647
GIPCL,2003-05-08 00:00:00+05:30,19.15,19.3,18.95,19.0,25028
GIPCL,2003-05-09 00:00:00+05:30,18.95,19.0,18.55,18.85,26363
GIPCL,2003-05-12 00:00:00+05:30,19.2,19.25,18.8,18.9,18421
GIPCL,2003-05-13 00:00:00+05:30,19.15,20.05,19.0,19.75,67291
GIPCL,2003-05-14 00:00:00+05:30,19.85,20.25,19.75,19.9,82064
GIPCL,2003-05-15 00:00:00+05:30,20.0,21.0,19.95,20.35,126006
GIPCL,2003-05-16 00:00:00+05:30,21.1,21.5,20.6,21.05,199358
GIPCL,2003-05-19 00:00:00+05:30,21.4,21.4,20.35,20.5,92918
GIPCL,2003-05-20 00:00:00+05:30,20.1,20.35,19.8,20.15,45900
GIPCL,2003-05-21 00:00:00+05:30,20.5,20.85,20.0,20.15,67332
GIPCL,2003-05-22 00:00:00+05:30,20.5,21.5,20.5,20.95,124724
GIPCL,2003-05-23 00:00:00+05:30,20.95,21.8,20.95,21.55,132470
GIPCL,2003-05-26 00:00:00+05:30,22.35,22.35,21.7,22.0,133389
GIPCL,2003-05-27 00:00:00+05:30,22.3,22.8,21.55,21.7,136649
GIPCL,2003-05-28 00:00:00+05:30,21.6,22.0,21.3,21.65,44136
GIPCL,2003-05-29 00:00:00+05:30,21.75,21.85,21.05,21.25,65699
GIPCL,2003-05-30 00:00:00+05:30,21.8,23.6,21.1,23.35,452155
GIPCL,2003-06-02 00:00:00+05:30,23.7,24.9,22.8,23.75,354693
GIPCL,2003-06-03 00:00:00+05:30,22.25,23.9,22.25,23.05,98305
GIPCL,2003-06-04 00:00:00+05:30,23.2,24.5,22.8,23.6,270786
GIPCL,2003-06-05 00:00:00+05:30,23.65,24.4,22.9,23.25,191418
GIPCL,2003-06-06 00:00:00+05:30,23.3,23.65,22.7,22.8,73490
GIPCL,2003-06-09 00:00:00+05:30,23.4,24.9,23.05,24.7,397182
GIPCL,2003-06-10 00:00:00+05:30,24.85,26.7,24.2,25.0,927575
GIPCL,2003-06-11 00:00:00+05:30,25.5,28.4,25.45,27.85,1480717
GIPCL,2003-06-12 00:00:00+05:30,29.4,29.4,27.4,27.7,972510
GIPCL,2003-06-13 00:00:00+05:30,28.2,28.2,26.5,26.7,361209
GIPCL,2003-06-16 00:00:00+05:30,26.9,26.95,25.85,26.05,184883
GIPCL,2003-06-17 00:00:00+05:30,25.1,27.4,25.1,26.65,226200
GIPCL,2003-06-18 00:00:00+05:30,26.95,27.9,26.0,26.55,319079
GIPCL,2003-06-19 00:00:00+05:30,26.85,27.4,26.25,26.5,163386
GIPCL,2003-06-20 00:00:00+05:30,26.4,27.0,26.15,26.45,222479
GIPCL,2003-06-23 00:00:00+05:30,26.75,27.5,25.7,25.85,284674
GIPCL,2003-06-24 00:00:00+05:30,26.25,26.8,25.8,26.15,166948
GIPCL,2003-06-25 00:00:00+05:30,26.45,26.8,25.15,25.35,291811
GIPCL,2003-06-26 00:00:00+05:30,25.75,26.4,25.5,25.9,285517
GIPCL,2003-06-27 00:00:00+05:30,26.2,27.25,25.5,26.75,452877
GIPCL,2003-06-30 00:00:00+05:30,27.35,28.7,27.35,28.0,774020
GIPCL,2003-07-01 00:00:00+05:30,28.6,29.35,27.5,28.65,519711
GIPCL,2003-07-02 00:00:00+05:30,29.0,29.5,28.15,28.45,347074
GIPCL,2003-07-03 00:00:00+05:30,28.3,29.7,28.3,28.6,270966
GIPCL,2003-07-04 00:00:00+05:30,28.8,28.9,27.55,27.95,136884
GIPCL,2003-07-07 00:00:00+05:30,28.7,28.7,27.6,28.25,203279
GIPCL,2003-07-08 00:00:00+05:30,28.8,28.8,26.8,27.1,146476
GIPCL,2003-07-09 00:00:00+05:30,27.5,27.5,26.05,26.2,137051
GIPCL,2003-07-10 00:00:00+05:30,26.1,26.95,25.5,26.05,69305
GIPCL,2003-07-11 00:00:00+05:30,26.25,27.65,25.7,26.8,165832
GIPCL,2003-07-14 00:00:00+05:30,27.4,27.4,26.05,26.15,85241
GIPCL,2003-07-15 00:00:00+05:30,26.25,26.6,25.5,25.95,73264
