Symbol,Date,Open,High,Low,Close,Volume
GLOBE,2020-10-07 00:00:00+05:30,9.15,9.15,8.7,9.0,5017896
GLOBE,2020-10-08 00:00:00+05:30,9.4,9.4,9.4,9.4,1259227
GLOBE,2020-10-09 00:00:00+05:30,9.5,9.6,9.4,9.4,1579865
GLOBE,2020-10-12 00:00:00+05:30,9.6,9.6,9.25,9.35,721987
GLOBE,2020-10-13 00:00:00+05:30,9.2,9.2,8.95,9.0,228365
GLOBE,2020-10-14 00:00:00+05:30,8.95,9.3,8.7,8.85,72118
GLOBE,2020-10-15 00:00:00+05:30,8.85,9.3,8.45,9.3,1978950
GLOBE,2020-10-16 00:00:00+05:30,9.35,9.5,9.35,9.35,529836
GLOBE,2020-10-19 00:00:00+05:30,9.4,9.6,9.1,9.25,551768
GLOBE,2020-10-20 00:00:00+05:30,9.25,9.45,9.1,9.15,452921
GLOBE,2020-10-21 00:00:00+05:30,9.3,9.6,9.1,9.6,940348
GLOBE,2020-10-22 00:00:00+05:30,9.6,9.9,9.2,9.35,334530
GLOBE,2020-10-23 00:00:00+05:30,9.35,9.6,9.2,9.2,139474
GLOBE,2020-10-26 00:00:00+05:30,9.25,9.55,9.15,9.15,129146
GLOBE,2020-10-27 00:00:00+05:30,9.15,9.65,9.05,9.1,87603
GLOBE,2020-10-28 00:00:00+05:30,9.3,9.4,8.9,8.95,233334
GLOBE,2020-10-29 00:00:00+05:30,9.0,9.25,8.55,8.65,84008
GLOBE,2020-10-30 00:00:00+05:30,8.75,8.95,8.35,8.6,154551
GLOBE,2020-11-02 00:00:00+05:30,8.7,8.95,8.3,8.45,405976
GLOBE,2020-11-03 00:00:00+05:30,8.75,8.85,8.35,8.8,443869
GLOBE,2020-11-04 00:00:00+05:30,9.05,9.05,8.8,8.85,51376
GLOBE,2020-11-05 00:00:00+05:30,8.85,8.9,8.7,8.75,80028
GLOBE,2020-11-06 00:00:00+05:30,8.8,9.0,8.65,8.7,96680
GLOBE,2020-11-09 00:00:00+05:30,8.95,9.1,8.7,8.75,95697
