Symbol,Date,Open,High,Low,Close,Volume
GOLDBEES,2007-03-19 00:00:00+05:30,10.0,11.05,9.4,9.48,6643600
GOLDBEES,2007-03-20 00:00:00+05:30,9.58,9.58,9.4,9.42,2608300
GOLDBEES,2007-03-21 00:00:00+05:30,9.48,9.48,9.44,9.46,1271700
GOLDBEES,2007-03-22 00:00:00+05:30,9.5,9.52,9.46,9.5,1038100
GOLDBEES,2007-03-23 00:00:00+05:30,9.5,9.51,9.45,9.47,1391600
GOLDBEES,2007-03-26 00:00:00+05:30,9.45,9.45,9.4,9.41,641400
GOLDBEES,2007-03-28 00:00:00+05:30,9.45,9.48,9.41,9.44,469600
GOLDBEES,2007-03-29 00:00:00+05:30,9.45,9.48,9.42,9.47,368400
GOLDBEES,2007-03-30 00:00:00+05:30,9.48,9.48,9.45,9.47,276600
GOLDBEES,2007-04-02 00:00:00+05:30,9.5,9.51,9.42,9.45,194400
GOLDBEES,2007-04-03 00:00:00+05:30,9.46,9.46,9.3,9.4,1820200
GOLDBEES,2007-04-04 00:00:00+05:30,9.41,9.41,9.38,9.4,372200
GOLDBEES,2007-04-05 00:00:00+05:30,9.49,9.49,9.45,9.46,470400
GOLDBEES,2007-04-09 00:00:00+05:30,9.45,9.47,9.44,9.46,225200
GOLDBEES,2007-04-10 00:00:00+05:30,9.46,9.53,9.46,9.49,206000
GOLDBEES,2007-04-11 00:00:00+05:30,9.37,9.51,9.37,9.49,212900
GOLDBEES,2007-04-12 00:00:00+05:30,9.5,9.51,9.47,9.48,291200
GOLDBEES,2007-04-13 00:00:00+05:30,9.48,9.51,9.47,9.48,249300
GOLDBEES,2007-04-16 00:00:00+05:30,9.52,9.58,9.48,9.49,603200
GOLDBEES,2007-04-17 00:00:00+05:30,9.49,9.57,9.42,9.43,829100
GOLDBEES,2007-04-18 00:00:00+05:30,9.42,9.48,9.42,9.46,270900
GOLDBEES,2007-04-19 00:00:00+05:30,9.54,9.65,9.5,9.51,3656100
GOLDBEES,2007-04-20 00:00:00+05:30,9.7,9.7,9.45,9.47,4033500
GOLDBEES,2007-04-23 00:00:00+05:30,9.47,9.52,9.45,9.46,245900
GOLDBEES,2007-04-24 00:00:00+05:30,9.46,9.47,9.31,9.35,1254000
GOLDBEES,2007-04-25 00:00:00+05:30,9.35,9.37,9.26,9.28,707100
GOLDBEES,2007-04-26 00:00:00+05:30,9.3,9.3,9.21,9.22,809700
GOLDBEES,2007-04-27 00:00:00+05:30,9.2,9.2,9.09,9.1,1575200
GOLDBEES,2007-04-30 00:00:00+05:30,9.2,9.24,9.15,9.22,341100
GOLDBEES,2007-05-03 00:00:00+05:30,9.21,9.21,9.13,9.15,701800
GOLDBEES,2007-05-04 00:00:00+05:30,9.18,9.19,9.12,9.17,920300
GOLDBEES,2007-05-07 00:00:00+05:30,9.4,9.4,9.18,9.21,241600
