Symbol,Date,Open,High,Low,Close,Volume
GOLDETFADD,2023-05-08 00:00:00+05:30,62.8,63.0,59.0,61.0,1545
GOLDETFADD,2023-05-09 00:00:00+05:30,61.15,61.3,60.85,61.3,906
GOLDETFADD,2023-05-10 00:00:00+05:30,62.85,62.85,61.0,61.05,1387
GOLDETFADD,2023-05-11 00:00:00+05:30,61.0,61.35,61.0,61.35,242
GOLDETFADD,2023-05-12 00:00:00+05:30,61.0,71.7,60.55,70.25,40785
GOLDETFADD,2023-05-15 00:00:00+05:30,63.7,63.7,60.8,61.1,8027
GOLDETFADD,2023-05-16 00:00:00+05:30,61.05,61.35,60.9,61.1,12644
GOLDETFADD,2023-05-17 00:00:00+05:30,61.0,61.0,60.2,60.55,2500
GOLDETFADD,2023-05-18 00:00:00+05:30,60.45,60.5,60.45,60.5,102
GOLDETFADD,2023-05-19 00:00:00+05:30,62.05,62.05,59.75,59.8,9278
GOLDETFADD,2023-05-22 00:00:00+05:30,60.0,60.85,60.0,60.7,287
GOLDETFADD,2023-05-23 00:00:00+05:30,60.6,60.6,60.0,60.35,1786
GOLDETFADD,2023-05-24 00:00:00+05:30,60.55,60.6,60.3,60.6,598
GOLDETFADD,2023-05-25 00:00:00+05:30,60.4,60.4,59.6,59.9,491
GOLDETFADD,2023-05-26 00:00:00+05:30,60.15,60.8,59.9,60.15,802
GOLDETFADD,2023-05-29 00:00:00+05:30,60.05,60.05,59.4,59.7,986
GOLDETFADD,2023-05-30 00:00:00+05:30,59.65,60.4,59.5,59.75,3314
GOLDETFADD,2023-05-31 00:00:00+05:30,59.95,60.4,59.9,60.0,100532
GOLDETFADD,2023-06-01 00:00:00+05:30,60.05,60.05,59.55,59.6,7583
GOLDETFADD,2023-06-02 00:00:00+05:30,60.0,60.25,59.95,60.25,1008
GOLDETFADD,2023-06-05 00:00:00+05:30,60.25,60.25,59.0,59.0,1703
GOLDETFADD,2023-06-06 00:00:00+05:30,59.2,59.9,59.2,59.55,430
GOLDETFADD,2023-06-07 00:00:00+05:30,59.6,59.95,59.6,59.8,169
GOLDETFADD,2023-06-08 00:00:00+05:30,59.85,59.9,59.35,59.5,2029
GOLDETFADD,2023-06-09 00:00:00+05:30,59.65,59.7,59.5,59.7,425
GOLDETFADD,2023-06-12 00:00:00+05:30,59.8,60.4,59.6,59.65,586
GOLDETFADD,2023-06-13 00:00:00+05:30,60.0,60.0,59.1,59.75,1784
GOLDETFADD,2023-06-14 00:00:00+05:30,59.4,59.4,59.05,59.15,1229
GOLDETFADD,2023-06-15 00:00:00+05:30,59.35,59.55,58.55,58.8,1574
GOLDETFADD,2023-06-16 00:00:00+05:30,59.0,59.2,58.8,59.1,777
GOLDETFADD,2023-06-19 00:00:00+05:30,60.6,60.6,58.2,58.95,16735
GOLDETFADD,2023-06-20 00:00:00+05:30,59.2,59.8,59.0,59.2,610
GOLDETFADD,2023-06-21 00:00:00+05:30,59.05,59.25,58.0,58.15,1994
GOLDETFADD,2023-06-22 00:00:00+05:30,58.4,58.6,58.25,58.3,3322
GOLDETFADD,2023-06-23 00:00:00+05:30,58.35,58.35,58.2,58.25,43
GOLDETFADD,2023-06-26 00:00:00+05:30,58.25,58.25,58.2,58.2,15
GOLDETFADD,2023-06-27 00:00:00+05:30,58.25,58.5,58.15,58.15,310
GOLDETFADD,2023-06-28 00:00:00+05:30,58.15,58.2,57.8,58.1,3212
GOLDETFADD,2023-06-30 00:00:00+05:30,58.05,58.05,57.7,57.95,410
GOLDETFADD,2023-07-03 00:00:00+05:30,58.2,58.4,57.75,58.0,2930
GOLDETFADD,2023-07-04 00:00:00+05:30,65.0,65.0,57.4,58.35,973
GOLDETFADD,2023-07-05 00:00:00+05:30,58.35,58.4,58.0,58.35,458
GOLDETFADD,2023-07-06 00:00:00+05:30,58.3,58.4,58.3,58.4,1084
GOLDETFADD,2023-07-07 00:00:00+05:30,58.3,58.4,57.9,58.25,1758
GOLDETFADD,2023-07-10 00:00:00+05:30,58.25,58.75,58.25,58.5,562
GOLDETFADD,2023-07-11 00:00:00+05:30,60.0,60.0,58.25,58.7,2790
GOLDETFADD,2023-07-12 00:00:00+05:30,58.75,58.9,58.7,58.9,100
GOLDETFADD,2023-07-13 00:00:00+05:30,59.0,59.4,58.9,59.15,657
GOLDETFADD,2023-07-14 00:00:00+05:30,59.15,59.25,59.0,59.25,1005
GOLDETFADD,2023-07-17 00:00:00+05:30,59.1,59.15,58.9,59.05,171
GOLDETFADD,2023-07-18 00:00:00+05:30,59.05,59.25,59.0,59.2,821
GOLDETFADD,2023-07-19 00:00:00+05:30,60.7,60.7,59.35,59.7,5294
GOLDETFADD,2023-07-20 00:00:00+05:30,59.7,59.7,59.7,59.7,78
GOLDETFADD,2023-07-21 00:00:00+05:30,59.75,59.75,59.05,59.15,3727
GOLDETFADD,2023-07-24 00:00:00+05:30,59.15,59.25,59.15,59.25,1298
GOLDETFADD,2023-07-25 00:00:00+05:30,60.75,60.75,58.9,58.9,558
GOLDETFADD,2023-07-26 00:00:00+05:30,60.4,60.4,58.95,59.3,450470
GOLDETFADD,2023-07-27 00:00:00+05:30,60.0,60.0,59.35,59.5,14
GOLDETFADD,2023-07-28 00:00:00+05:30,59.4,59.4,59.0,59.05,403
GOLDETFADD,2023-07-31 00:00:00+05:30,60.6,60.6,59.05,59.05,595
GOLDETFADD,2023-08-01 00:00:00+05:30,59.35,59.6,59.3,59.3,5202
GOLDETFADD,2023-08-02 00:00:00+05:30,59.3,61.0,58.95,59.3,4589
GOLDETFADD,2023-08-03 00:00:00+05:30,59.25,59.25,58.7,59.2,842
GOLDETFADD,2023-08-04 00:00:00+05:30,59.25,59.25,59.05,59.25,102
GOLDETFADD,2023-08-07 00:00:00+05:30,59.3,59.3,58.9,59.3,25108
GOLDETFADD,2023-08-08 00:00:00+05:30,59.2,59.25,58.9,59.0,159
GOLDETFADD,2023-08-09 00:00:00+05:30,60.5,60.5,58.85,58.85,54
GOLDETFADD,2023-08-10 00:00:00+05:30,60.35,60.35,58.45,58.45,1256
GOLDETFADD,2023-08-11 00:00:00+05:30,60.3,60.3,58.45,58.5,1166
GOLDETFADD,2023-08-14 00:00:00+05:30,59.95,59.95,58.5,58.75,22
GOLDETFADD,2023-08-16 00:00:00+05:30,58.6,58.8,58.3,58.75,34
GOLDETFADD,2023-08-17 00:00:00+05:30,60.25,60.25,58.15,58.35,5543
GOLDETFADD,2023-08-18 00:00:00+05:30,58.35,58.4,58.25,58.3,168
GOLDETFADD,2023-08-21 00:00:00+05:30,58.3,58.4,58.2,58.2,659
GOLDETFADD,2023-08-22 00:00:00+05:30,58.25,58.4,58.2,58.4,567
GOLDETFADD,2023-08-23 00:00:00+05:30,58.55,58.55,58.4,58.5,2075
GOLDETFADD,2023-08-24 00:00:00+05:30,58.55,59.2,58.5,58.6,1380
GOLDETFADD,2023-08-25 00:00:00+05:30,58.75,58.9,58.5,58.6,902
GOLDETFADD,2023-08-28 00:00:00+05:30,61.25,61.25,58.2,58.6,5628
GOLDETFADD,2023-08-29 00:00:00+05:30,60.15,60.15,58.5,58.75,766
GOLDETFADD,2023-08-30 00:00:00+05:30,60.3,60.3,58.9,59.05,817
GOLDETFADD,2023-08-31 00:00:00+05:30,59.15,59.3,59.15,59.3,229
GOLDETFADD,2023-09-01 00:00:00+05:30,59.35,59.6,59.0,59.15,5888
GOLDETFADD,2023-09-04 00:00:00+05:30,59.15,59.8,59.15,59.35,412
GOLDETFADD,2023-09-05 00:00:00+05:30,59.35,59.35,58.9,59.05,5430
GOLDETFADD,2023-09-06 00:00:00+05:30,61.75,61.75,58.6,58.9,1913
GOLDETFADD,2023-09-07 00:00:00+05:30,59.0,59.0,58.6,59.0,389
GOLDETFADD,2023-09-08 00:00:00+05:30,60.55,60.55,58.9,59.0,1627
GOLDETFADD,2023-09-11 00:00:00+05:30,59.0,59.2,58.4,58.9,982
GOLDETFADD,2023-09-12 00:00:00+05:30,59.0,59.2,58.6,59.1,5322
GOLDETFADD,2023-09-13 00:00:00+05:30,59.15,59.15,58.4,58.45,488
GOLDETFADD,2023-09-14 00:00:00+05:30,58.75,59.0,58.4,58.65,112
GOLDETFADD,2023-09-15 00:00:00+05:30,58.05,64.9,55.95,58.7,19758
GOLDETFADD,2023-09-18 00:00:00+05:30,58.1,59.4,57.65,58.8,2458
GOLDETFADD,2023-09-20 00:00:00+05:30,58.15,60.1,55.15,58.9,1653
GOLDETFADD,2023-09-21 00:00:00+05:30,59.3,59.5,58.7,59.05,404
