Symbol,Date,Open,High,Low,Close,Volume
GOLDETF,2015-01-01 00:00:00+05:30,5.05,5.05,5.05,5.05,10
GOLDETF,2015-01-02 00:00:00+05:30,4.8,5.3,4.8,5.3,2488
GOLDETF,2015-01-05 00:00:00+05:30,5.55,5.55,5.55,5.55,342
GOLDETF,2015-01-06 00:00:00+05:30,5.8,5.8,5.8,5.8,328
GOLDETF,2015-01-07 00:00:00+05:30,6.05,6.05,6.05,6.05,1
GOLDETF,2015-01-08 00:00:00+05:30,6.0,6.0,6.0,6.0,21
GOLDETF,2015-01-15 00:00:00+05:30,6.0,6.0,6.0,6.0,60
GOLDETF,2015-01-16 00:00:00+05:30,6.3,6.3,6.3,6.3,200
GOLDETF,2015-01-21 00:00:00+05:30,6.3,6.3,6.0,6.0,1648
GOLDETF,2015-01-22 00:00:00+05:30,5.7,5.7,5.7,5.7,1035
GOLDETF,2015-01-23 00:00:00+05:30,5.7,5.7,5.45,5.45,713
GOLDETF,2015-01-28 00:00:00+05:30,5.45,5.45,5.2,5.2,450
GOLDETF,2015-01-29 00:00:00+05:30,4.95,5.0,4.95,5.0,303
GOLDETF,2015-02-04 00:00:00+05:30,5.0,5.0,5.0,5.0,350
GOLDETF,2015-02-05 00:00:00+05:30,4.84,5.05,4.84,5.05,57
GOLDETF,2015-02-06 00:00:00+05:30,5.09,5.09,5.09,5.09,200
GOLDETF,2015-02-10 00:00:00+05:30,5.09,5.09,5.09,5.09,110
GOLDETF,2015-02-12 00:00:00+05:30,4.9,5.09,4.9,5.09,2227
GOLDETF,2015-02-13 00:00:00+05:30,5.09,5.09,5.09,5.09,300
GOLDETF,2015-02-16 00:00:00+05:30,5.35,5.35,5.35,5.35,35
GOLDETF,2015-02-18 00:00:00+05:30,5.2,5.2,5.2,5.2,4000
GOLDETF,2015-02-19 00:00:00+05:30,5.0,5.05,5.0,5.05,105
GOLDETF,2015-02-20 00:00:00+05:30,5.3,5.3,5.3,5.3,15
GOLDETF,2015-02-23 00:00:00+05:30,5.55,5.55,5.55,5.55,400
GOLDETF,2015-02-24 00:00:00+05:30,5.8,5.8,5.55,5.7,2260
GOLDETF,2015-02-25 00:00:00+05:30,5.7,5.7,5.7,5.7,150
GOLDETF,2015-02-27 00:00:00+05:30,5.5,5.6,5.5,5.6,571
GOLDETF,2015-03-04 00:00:00+05:30,5.7,5.7,5.7,5.7,3
GOLDETF,2015-03-05 00:00:00+05:30,5.5,5.5,5.5,5.5,1000
GOLDETF,2015-03-09 00:00:00+05:30,5.75,5.75,5.75,5.75,200
GOLDETF,2015-03-11 00:00:00+05:30,5.9,6.0,5.9,6.0,54
GOLDETF,2015-03-12 00:00:00+05:30,5.9,5.9,5.9,5.9,453
GOLDETF,2015-03-13 00:00:00+05:30,5.65,6.1,5.65,5.65,3043
GOLDETF,2015-03-16 00:00:00+05:30,5.45,5.45,5.45,5.45,2149
GOLDETF,2015-03-18 00:00:00+05:30,5.2,5.2,5.2,5.2,324
GOLDETF,2015-03-19 00:00:00+05:30,4.95,5.0,4.95,5.0,223
GOLDETF,2015-03-20 00:00:00+05:30,4.8,4.9,4.8,4.9,25
GOLDETF,2015-03-23 00:00:00+05:30,4.75,4.75,4.75,4.75,694
GOLDETF,2015-03-26 00:00:00+05:30,4.95,4.95,4.95,4.95,500
GOLDETF,2015-03-30 00:00:00+05:30,4.8,5.15,4.8,4.84,1212
GOLDETF,2015-04-01 00:00:00+05:30,4.7,4.7,4.7,4.7,500
GOLDETF,2015-04-06 00:00:00+05:30,4.7,4.7,4.7,4.7,5
GOLDETF,2015-04-08 00:00:00+05:30,4.84,4.84,4.75,4.75,500
GOLDETF,2015-04-09 00:00:00+05:30,4.59,4.59,4.59,4.59,24
GOLDETF,2015-04-10 00:00:00+05:30,4.65,4.65,4.65,4.65,600
GOLDETF,2015-04-13 00:00:00+05:30,4.84,4.84,4.8,4.8,19
GOLDETF,2015-04-16 00:00:00+05:30,5.0,5.0,5.0,5.0,40
GOLDETF,2015-04-20 00:00:00+05:30,5.05,5.25,5.05,5.15,917
GOLDETF,2015-04-23 00:00:00+05:30,4.9,4.9,4.9,4.9,200
GOLDETF,2015-04-24 00:00:00+05:30,4.75,4.75,4.75,4.75,300
GOLDETF,2015-04-27 00:00:00+05:30,4.65,4.9,4.65,4.9,840
GOLDETF,2015-04-29 00:00:00+05:30,4.8,4.8,4.8,4.8,1100
GOLDETF,2015-04-30 00:00:00+05:30,4.8,4.8,4.75,4.75,1016
GOLDETF,2015-05-04 00:00:00+05:30,4.75,4.84,4.75,4.84,4119
GOLDETF,2015-05-05 00:00:00+05:30,4.75,5.05,4.75,5.05,1870
GOLDETF,2015-05-06 00:00:00+05:30,4.8,4.8,4.8,4.8,130
GOLDETF,2015-05-07 00:00:00+05:30,4.7,4.7,4.59,4.7,802
GOLDETF,2015-05-08 00:00:00+05:30,4.59,4.59,4.59,4.59,293
GOLDETF,2015-05-11 00:00:00+05:30,4.5,4.8,4.5,4.8,630
GOLDETF,2015-05-12 00:00:00+05:30,5.0,5.0,5.0,5.0,3010
GOLDETF,2015-05-13 00:00:00+05:30,5.0,5.0,5.0,5.0,200
GOLDETF,2015-05-14 00:00:00+05:30,4.84,4.84,4.84,4.84,1778
GOLDETF,2015-05-15 00:00:00+05:30,4.8,4.8,4.8,4.8,1000
GOLDETF,2015-05-18 00:00:00+05:30,4.8,4.8,4.8,4.8,188
GOLDETF,2015-05-19 00:00:00+05:30,4.8,4.8,4.8,4.8,1505
GOLDETF,2015-05-20 00:00:00+05:30,4.8,4.8,4.8,4.8,195
GOLDETF,2015-05-21 00:00:00+05:30,4.8,4.8,4.8,4.8,120
GOLDETF,2015-05-25 00:00:00+05:30,4.8,4.84,4.8,4.84,601
GOLDETF,2015-05-26 00:00:00+05:30,5.05,5.05,5.05,5.05,1
GOLDETF,2015-05-27 00:00:00+05:30,4.8,4.8,4.8,4.8,50
GOLDETF,2015-06-01 00:00:00+05:30,4.8,5.0,4.8,4.8,2160
