Symbol,Date,Open,High,Low,Close,Volume
GPTINFRA,2016-07-11 09:15:00+05:30,31.25,31.25,29.9,30.0,31968
GPTINFRA,2016-07-12 09:45:00+05:30,30.25,30.7,29.1,30.7,108896
GPTINFRA,2016-07-13 09:53:00+05:30,30.6,31.25,29.8,30.4,111688
GPTINFRA,2016-07-14 09:23:00+05:30,30.5,31.25,30.0,30.25,107736
GPTINFRA,2016-07-15 09:31:00+05:30,30.25,30.9,28.1,30.0,106744
GPTINFRA,2016-07-18 09:16:00+05:30,30.0,31.0,30.0,30.75,104584
GPTINFRA,2016-07-19 09:18:00+05:30,30.4,30.5,29.5,30.5,108240
GPTINFRA,2016-07-20 09:30:00+05:30,30.2,30.5,28.2,30.2,103120
GPTINFRA,2016-07-21 09:21:00+05:30,30.2,30.2,29.6,29.6,97472
GPTINFRA,2016-07-22 09:15:00+05:30,30.0,31.1,29.75,30.25,117552
GPTINFRA,2016-07-25 09:22:00+05:30,31.3,31.3,30.05,30.2,118232
GPTINFRA,2016-07-26 09:24:00+05:30,30.25,31.1,29.75,29.75,98656
GPTINFRA,2016-07-27 09:27:00+05:30,30.0,31.1,28.9,29.6,124336
GPTINFRA,2016-07-28 09:15:00+05:30,30.0,30.5,29.0,29.4,126728
GPTINFRA,2016-07-29 09:16:00+05:30,29.5,30.25,29.5,29.9,101856
GPTINFRA,2016-08-01 09:17:00+05:30,30.0,30.75,25.2,28.5,134648
GPTINFRA,2016-08-02 09:15:00+05:30,30.0,30.75,27.5,28.8,211976
GPTINFRA,2016-08-03 09:18:00+05:30,29.1,29.7,28.6,29.6,313792
GPTINFRA,2016-08-04 09:23:00+05:30,29.5,30.5,28.1,30.1,296544
GPTINFRA,2016-08-05 09:23:00+05:30,30.25,31.1,29.4,29.7,243672
GPTINFRA,2016-08-08 09:25:00+05:30,29.9,30.9,29.25,29.8,161168
GPTINFRA,2016-08-09 09:29:00+05:30,30.0,30.5,29.3,30.1,176872
GPTINFRA,2016-08-10 09:20:00+05:30,30.0,31.05,29.6,30.7,148088
GPTINFRA,2016-08-11 09:19:00+05:30,30.6,31.75,30.0,30.7,156256
GPTINFRA,2016-08-12 09:35:00+05:30,30.75,31.25,28.9,29.4,117824
GPTINFRA,2016-08-16 09:20:00+05:30,30.25,31.1,29.4,30.5,591392
GPTINFRA,2016-08-17 09:23:00+05:30,30.6,30.9,30.1,30.3,111752
GPTINFRA,2016-08-18 09:16:00+05:30,29.4,30.9,29.4,30.6,210328
GPTINFRA,2016-08-19 09:20:00+05:30,30.3,32.25,30.3,31.5,223584
GPTINFRA,2016-08-22 09:23:00+05:30,31.9,31.9,29.9,31.5,153616
GPTINFRA,2016-08-23 09:21:00+05:30,31.9,32.2,30.2,31.3,117288
GPTINFRA,2016-08-24 09:19:00+05:30,31.25,31.85,31.0,31.6,119720
GPTINFRA,2016-08-25 09:21:00+05:30,31.6,32.4,31.3,31.6,122520
GPTINFRA,2016-08-26 09:26:00+05:30,31.9,32.6,28.8,32.0,253752
GPTINFRA,2016-08-29 09:22:00+05:30,31.3,32.5,30.6,31.2,111728
GPTINFRA,2016-08-30 09:29:00+05:30,31.25,32.85,31.25,32.0,147880
GPTINFRA,2016-08-31 09:20:00+05:30,33.1,33.1,30.1,32.05,119224
GPTINFRA,2016-09-01 09:32:00+05:30,31.9,31.9,31.25,31.55,103520
GPTINFRA,2016-09-02 09:18:00+05:30,31.6,32.75,30.4,31.7,67440
GPTINFRA,2016-09-06 09:18:00+05:30,31.75,33.1,31.4,32.85,110952
GPTINFRA,2016-09-07 09:25:00+05:30,32.9,34.75,31.9,33.6,348616
GPTINFRA,2016-09-08 09:17:00+05:30,33.1,34.25,33.0,33.7,75472
GPTINFRA,2016-09-09 09:24:00+05:30,33.1,33.75,32.6,33.35,98224
GPTINFRA,2016-09-12 09:20:00+05:30,32.5,34.1,32.5,33.3,42432
GPTINFRA,2016-09-14 09:17:00+05:30,33.0,34.25,33.0,34.0,96816
GPTINFRA,2016-09-15 09:15:00+05:30,35.25,35.75,28.8,34.0,289944
GPTINFRA,2016-09-16 09:19:00+05:30,34.25,35.4,34.15,35.0,158280
GPTINFRA,2016-09-19 09:15:00+05:30,34.4,35.4,34.4,35.25,410544
GPTINFRA,2016-09-20 09:26:00+05:30,35.0,35.6,34.9,35.3,120808
GPTINFRA,2016-09-21 09:30:00+05:30,35.3,36.2,34.6,35.7,205432
GPTINFRA,2016-09-22 09:26:00+05:30,36.05,36.4,35.6,35.7,83720
GPTINFRA,2016-09-23 09:21:00+05:30,35.6,36.1,34.75,35.5,73264
GPTINFRA,2016-09-26 09:29:00+05:30,36.35,36.35,35.1,35.6,107560
GPTINFRA,2016-09-27 09:22:00+05:30,35.6,36.0,35.5,35.8,72224
GPTINFRA,2016-09-28 09:30:00+05:30,36.0,36.0,35.5,35.8,64792
GPTINFRA,2016-09-29 09:15:00+05:30,38.4,38.4,34.3,35.55,97680
GPTINFRA,2016-09-30 09:23:00+05:30,36.0,36.1,34.95,35.6,79496
GPTINFRA,2016-10-03 09:27:00+05:30,35.5,38.0,35.1,35.75,80984
GPTINFRA,2016-10-04 09:21:00+05:30,36.25,36.3,35.55,36.0,40376
GPTINFRA,2016-10-05 10:22:00+05:30,35.75,36.75,35.6,36.2,61544
GPTINFRA,2016-10-06 09:21:00+05:30,36.0,36.1,35.4,35.7,55816
GPTINFRA,2016-10-07 09:15:00+05:30,35.6,36.0,35.4,35.55,71744
GPTINFRA,2016-10-10 09:27:00+05:30,35.9,36.0,35.5,36.0,46584
GPTINFRA,2016-10-13 09:29:00+05:30,35.75,36.0,34.1,34.7,621040
GPTINFRA,2016-10-14 09:16:00+05:30,35.0,35.5,34.5,35.0,94400
GPTINFRA,2016-10-17 09:27:00+05:30,35.1,36.2,33.1,35.5,200456
GPTINFRA,2016-10-18 09:28:00+05:30,35.6,35.9,34.75,35.15,59504
GPTINFRA,2016-10-19 09:37:00+05:30,35.25,35.3,34.55,35.0,104904
GPTINFRA,2016-10-20 09:19:00+05:30,35.1,35.1,33.25,34.7,66576
GPTINFRA,2016-10-21 09:23:00+05:30,35.0,35.1,34.1,34.2,56224
GPTINFRA,2016-10-24 09:21:00+05:30,35.6,35.65,34.6,35.15,50000
GPTINFRA,2016-10-25 09:25:00+05:30,35.6,35.7,34.6,34.9,42512
GPTINFRA,2016-10-26 09:19:00+05:30,35.1,35.1,33.75,34.35,59952
GPTINFRA,2016-10-27 09:15:00+05:30,34.9,34.9,33.5,34.0,74392
GPTINFRA,2016-10-28 09:28:00+05:30,34.4,34.4,33.75,33.95,44104
GPTINFRA,2016-11-01 09:32:00+05:30,34.75,35.25,34.4,34.85,56080
GPTINFRA,2016-11-02 09:28:00+05:30,34.8,34.8,33.6,33.8,59264
GPTINFRA,2016-11-03 09:27:00+05:30,33.8,35.4,33.6,34.3,75232
GPTINFRA,2016-11-04 09:16:00+05:30,33.9,34.4,31.1,33.25,50952
GPTINFRA,2016-11-07 09:28:00+05:30,33.75,34.1,33.45,33.5,44584
GPTINFRA,2016-11-08 09:30:00+05:30,34.0,34.0,32.9,33.4,59664
GPTINFRA,2016-11-09 09:17:00+05:30,29.4,31.25,26.75,31.2,30288
GPTINFRA,2016-11-10 09:57:00+05:30,31.15,31.9,31.15,31.55,38000
GPTINFRA,2016-11-11 09:21:00+05:30,32.5,32.5,30.0,30.35,20088
GPTINFRA,2016-11-15 09:23:00+05:30,30.25,33.1,27.65,28.7,177992
GPTINFRA,2016-11-16 09:26:00+05:30,29.0,30.4,26.9,28.9,204680
GPTINFRA,2016-11-17 09:19:00+05:30,29.0,30.6,27.6,28.2,90432
GPTINFRA,2016-11-18 09:18:00+05:30,28.3,29.4,28.1,28.1,44408
GPTINFRA,2016-11-21 09:17:00+05:30,28.25,28.55,24.25,25.35,47808
GPTINFRA,2016-11-22 09:31:00+05:30,25.25,27.3,24.6,26.2,45016
GPTINFRA,2016-11-23 09:22:00+05:30,26.25,27.4,26.25,27.0,40608
GPTINFRA,2016-11-24 09:21:00+05:30,27.1,30.55,25.9,28.1,35504
GPTINFRA,2016-11-25 09:16:00+05:30,28.4,33.75,28.4,31.3,75304
GPTINFRA,2016-11-28 09:15:00+05:30,31.4,33.1,27.6,30.25,89560
GPTINFRA,2016-11-29 09:25:00+05:30,30.3,31.1,29.9,30.55,50856
GPTINFRA,2016-11-30 09:38:00+05:30,30.0,30.75,30.0,30.25,52600
GPTINFRA,2016-12-01 09:34:00+05:30,30.3,30.7,29.9,29.9,52896
GPTINFRA,2016-12-02 09:20:00+05:30,30.4,30.4,27.75,29.4,912
GPTINFRA,2016-12-05 09:28:00+05:30,27.6,29.75,27.6,29.25,134104
GPTINFRA,2016-12-06 09:24:00+05:30,30.0,30.0,27.5,28.55,2336
GPTINFRA,2016-12-07 10:23:00+05:30,29.1,29.25,27.1,27.2,1040
GPTINFRA,2016-12-08 09:16:00+05:30,29.75,30.0,26.9,29.9,61392
GPTINFRA,2016-12-09 09:27:00+05:30,30.0,30.0,28.5,29.85,70424
GPTINFRA,2016-12-12 09:23:00+05:30,29.75,30.0,29.2,30.0,40320
GPTINFRA,2016-12-13 09:21:00+05:30,29.85,30.0,29.1,30.0,41360
GPTINFRA,2016-12-14 09:27:00+05:30,29.6,29.6,28.3,28.55,56152
GPTINFRA,2016-12-15 09:22:00+05:30,28.5,30.0,27.9,29.85,43456
GPTINFRA,2016-12-16 09:18:00+05:30,29.75,29.8,26.9,29.0,62736
