Symbol,Date,Open,High,Low,Close,Volume
GROWWLOVOL,2025-06-17 00:00:00+05:30,10.13,10.14,10.01,10.04,163666
GROWWLOVOL,2025-06-18 00:00:00+05:30,10.24,10.5,9.0,10.0,169437
GROWWLOVOL,2025-06-19 00:00:00+05:30,10.0,10.37,9.8,9.97,172868
GROWWLOVOL,2025-06-20 00:00:00+05:30,10.17,10.17,9.7,9.98,99728
GROWWLOVOL,2025-06-23 00:00:00+05:30,9.88,10.25,9.83,9.98,108319
GROWWLOVOL,2025-06-24 00:00:00+05:30,10.18,10.35,9.7,10.05,81166
GROWWLOVOL,2025-06-25 00:00:00+05:30,10.3,10.3,9.85,10.13,76319
GROWWLOVOL,2025-06-26 00:00:00+05:30,10.3,11.5,9.95,10.6,115469
GROWWLOVOL,2025-06-27 00:00:00+05:30,10.5,10.5,10.1,10.43,357154
GROWWLOVOL,2025-06-30 00:00:00+05:30,10.5,10.5,10.21,10.25,417349
GROWWLOVOL,2025-07-01 00:00:00+05:30,10.5,10.5,10.2,10.24,119793
GROWWLOVOL,2025-07-02 00:00:00+05:30,10.38,10.38,10.16,10.2,77476
GROWWLOVOL,2025-07-03 00:00:00+05:30,10.2,10.3,10.15,10.17,130463
GROWWLOVOL,2025-07-04 00:00:00+05:30,10.42,10.42,10.16,10.2,104585
GROWWLOVOL,2025-07-07 00:00:00+05:30,10.2,10.35,10.15,10.2,56263
GROWWLOVOL,2025-07-08 00:00:00+05:30,10.24,10.25,10.1,10.19,81358
GROWWLOVOL,2025-07-09 00:00:00+05:30,10.17,10.32,10.1,10.21,192863
GROWWLOVOL,2025-07-10 00:00:00+05:30,10.29,10.29,10.13,10.16,51399
GROWWLOVOL,2025-07-11 00:00:00+05:30,10.11,10.2,10.05,10.12,51083
GROWWLOVOL,2025-07-14 00:00:00+05:30,10.34,10.35,10.0,10.07,65278
GROWWLOVOL,2025-07-15 00:00:00+05:30,10.04,10.28,10.0,10.16,51520
GROWWLOVOL,2025-07-16 00:00:00+05:30,10.17,10.22,10.0,10.15,113273
GROWWLOVOL,2025-07-17 00:00:00+05:30,10.27,10.28,10.13,10.13,44044
GROWWLOVOL,2025-07-18 00:00:00+05:30,10.1,10.22,10.0,10.12,130705
GROWWLOVOL,2025-07-21 00:00:00+05:30,10.01,10.35,10.0,10.08,74179
GROWWLOVOL,2025-07-22 00:00:00+05:30,10.3,10.3,10.0,10.1,67521
GROWWLOVOL,2025-07-23 00:00:00+05:30,10.21,10.22,10.05,10.11,37857
GROWWLOVOL,2025-07-24 00:00:00+05:30,10.15,10.3,10.05,10.06,48347
GROWWLOVOL,2025-07-25 00:00:00+05:30,10.25,10.25,9.96,10.01,106303
GROWWLOVOL,2025-07-28 00:00:00+05:30,9.96,10.1,9.82,9.95,77385
GROWWLOVOL,2025-07-29 00:00:00+05:30,10.09,10.1,9.83,9.98,50322
GROWWLOVOL,2025-07-30 00:00:00+05:30,10.04,10.05,9.94,9.98,52973
GROWWLOVOL,2025-07-31 00:00:00+05:30,9.78,10.0,9.72,9.96,36388
GROWWLOVOL,2025-08-01 00:00:00+05:30,10.0,10.04,9.8,9.88,42297
GROWWLOVOL,2025-08-04 00:00:00+05:30,9.81,9.97,9.8,9.95,30260
GROWWLOVOL,2025-08-05 00:00:00+05:30,10.09,10.1,9.82,9.94,22158
GROWWLOVOL,2025-08-06 00:00:00+05:30,9.98,10.1,9.82,9.83,31961
GROWWLOVOL,2025-08-07 00:00:00+05:30,9.83,9.92,9.77,9.87,33631
GROWWLOVOL,2025-08-08 00:00:00+05:30,9.85,10.09,9.79,9.83,187684
GROWWLOVOL,2025-08-11 00:00:00+05:30,9.87,10.05,9.77,9.82,35210
GROWWLOVOL,2025-08-12 00:00:00+05:30,9.82,10.05,9.82,9.84,15228
GROWWLOVOL,2025-08-13 00:00:00+05:30,9.84,10.05,9.65,9.92,26648
GROWWLOVOL,2025-08-14 00:00:00+05:30,9.93,9.97,9.75,9.92,31714
GROWWLOVOL,2025-08-18 00:00:00+05:30,10.09,10.23,9.92,10.15,228086
GROWWLOVOL,2025-08-19 00:00:00+05:30,10.23,10.23,10.01,10.17,65913
GROWWLOVOL,2025-08-20 00:00:00+05:30,10.16,10.25,10.16,10.21,107157
GROWWLOVOL,2025-08-21 00:00:00+05:30,10.2,10.4,10.2,10.25,54552
GROWWLOVOL,2025-08-22 00:00:00+05:30,10.3,10.39,10.04,10.2,33643
GROWWLOVOL,2025-08-25 00:00:00+05:30,10.2,10.4,10.05,10.23,29969
GROWWLOVOL,2025-08-26 00:00:00+05:30,10.23,10.24,10.1,10.19,48439
GROWWLOVOL,2025-08-28 00:00:00+05:30,10.25,10.33,10.09,10.11,25871
GROWWLOVOL,2025-08-29 00:00:00+05:30,10.1,10.18,10.01,10.09,26439
