Symbol,Date,Open,High,Low,Close,Volume
GROWWPOWER,2025-08-07 00:00:00+05:30,10.01,10.01,9.76,9.91,12412758
GROWWPOWER,2025-08-08 00:00:00+05:30,10.11,10.12,9.82,9.85,487945
GROWWPOWER,2025-08-11 00:00:00+05:30,9.75,10.0,9.75,9.89,477894
GROWWPOWER,2025-08-12 00:00:00+05:30,9.9,10.1,9.86,9.95,386762
GROWWPOWER,2025-08-13 00:00:00+05:30,10.13,10.14,9.89,9.89,478214
GROWWPOWER,2025-08-14 00:00:00+05:30,9.94,10.03,9.84,9.89,183540
GROWWPOWER,2025-08-18 00:00:00+05:30,9.93,10.05,9.84,9.86,181255
GROWWPOWER,2025-08-19 00:00:00+05:30,9.89,9.93,9.8,9.9,160909
GROWWPOWER,2025-08-20 00:00:00+05:30,9.98,9.99,9.83,9.94,133216
GROWWPOWER,2025-08-21 00:00:00+05:30,9.9,10.05,9.86,9.87,190262
GROWWPOWER,2025-08-22 00:00:00+05:30,9.91,9.99,9.81,9.85,207811
GROWWPOWER,2025-08-25 00:00:00+05:30,9.9,10.1,9.76,9.84,399456
GROWWPOWER,2025-08-26 00:00:00+05:30,9.89,9.89,9.67,9.68,288098
GROWWPOWER,2025-08-28 00:00:00+05:30,9.89,9.89,9.55,9.58,227323
GROWWPOWER,2025-08-29 00:00:00+05:30,9.89,9.89,9.45,9.57,400369
GROWWPOWER,2025-09-01 00:00:00+05:30,9.89,9.89,9.44,9.74,224087
GROWWPOWER,2025-09-02 00:00:00+05:30,9.98,10.17,9.62,9.89,327754
GROWWPOWER,2025-09-03 00:00:00+05:30,10.09,10.09,9.62,9.89,231033
GROWWPOWER,2025-09-04 00:00:00+05:30,10.09,10.1,9.8,9.81,158159
GROWWPOWER,2025-09-05 00:00:00+05:30,10.05,10.05,9.76,9.82,118195
GROWWPOWER,2025-09-08 00:00:00+05:30,10.06,10.06,9.75,9.84,209852
GROWWPOWER,2025-09-09 00:00:00+05:30,9.9,9.9,9.76,9.82,138118
