Symbol,Date,Open,High,Low,Close,Volume
GROWWSLVR,2025-05-23 00:00:00+05:30,95.49,99.39,94.2,97.88,1344089
GROWWSLVR,2025-05-26 00:00:00+05:30,98.98,100.0,97.11,97.61,141591
GROWWSLVR,2025-05-27 00:00:00+05:30,97.6,97.8,96.91,97.1,120056
GROWWSLVR,2025-05-28 00:00:00+05:30,97.11,98.12,97.11,97.73,27896
GROWWSLVR,2025-05-29 00:00:00+05:30,98.21,99.0,97.0,97.62,15354
GROWWSLVR,2025-05-30 00:00:00+05:30,97.0,97.64,95.6,97.38,42739
GROWWSLVR,2025-06-02 00:00:00+05:30,97.34,97.9,96.99,97.43,41727
GROWWSLVR,2025-06-03 00:00:00+05:30,97.98,100.5,97.43,100.07,69650
GROWWSLVR,2025-06-04 00:00:00+05:30,101.96,104.25,100.2,101.41,170148
GROWWSLVR,2025-06-05 00:00:00+05:30,101.99,104.88,100.81,103.48,40563
GROWWSLVR,2025-06-06 00:00:00+05:30,105.28,106.0,103.61,105.74,109179
GROWWSLVR,2025-06-09 00:00:00+05:30,107.0,110.6,104.3,105.82,98387
GROWWSLVR,2025-06-10 00:00:00+05:30,106.98,106.99,105.71,106.65,59760
GROWWSLVR,2025-06-11 00:00:00+05:30,106.99,107.38,104.4,105.22,150111
GROWWSLVR,2025-06-12 00:00:00+05:30,105.23,106.8,103.6,105.0,75654
GROWWSLVR,2025-06-13 00:00:00+05:30,107.1,107.49,105.52,106.76,74421
GROWWSLVR,2025-06-16 00:00:00+05:30,107.28,107.5,106.0,106.76,62404
GROWWSLVR,2025-06-17 00:00:00+05:30,106.76,107.2,103.0,107.04,275281
GROWWSLVR,2025-06-18 00:00:00+05:30,109.19,110.3,108.52,109.49,324836
GROWWSLVR,2025-06-19 00:00:00+05:30,111.68,111.68,105.6,106.35,101660
GROWWSLVR,2025-06-20 00:00:00+05:30,108.12,108.12,104.01,106.1,89857
GROWWSLVR,2025-06-23 00:00:00+05:30,108.25,108.25,106.0,106.83,45453
GROWWSLVR,2025-06-24 00:00:00+05:30,106.83,106.83,105.45,105.77,91445
GROWWSLVR,2025-06-25 00:00:00+05:30,105.78,106.7,104.0,104.58,95658
GROWWSLVR,2025-06-26 00:00:00+05:30,105.03,107.4,105.02,107.03,69369
GROWWSLVR,2025-06-27 00:00:00+05:30,108.0,111.85,105.0,105.75,86752
GROWWSLVR,2025-06-30 00:00:00+05:30,105.77,107.0,105.0,105.6,104658
GROWWSLVR,2025-07-01 00:00:00+05:30,105.78,106.9,105.04,106.48,48655
GROWWSLVR,2025-07-02 00:00:00+05:30,107.5,107.5,105.0,105.99,64255
GROWWSLVR,2025-07-03 00:00:00+05:30,107.5,107.5,106.0,107.09,66303
GROWWSLVR,2025-07-04 00:00:00+05:30,109.23,109.23,106.06,107.03,37275
GROWWSLVR,2025-07-07 00:00:00+05:30,107.03,108.0,106.0,107.17,135284
GROWWSLVR,2025-07-08 00:00:00+05:30,108.65,108.65,106.5,107.19,111694
GROWWSLVR,2025-07-09 00:00:00+05:30,109.33,109.33,106.5,106.72,57651
GROWWSLVR,2025-07-10 00:00:00+05:30,106.98,107.0,106.01,106.8,19646
GROWWSLVR,2025-07-11 00:00:00+05:30,108.95,109.87,108.25,109.59,414190
GROWWSLVR,2025-07-14 00:00:00+05:30,111.8,114.0,110.65,113.24,506974
GROWWSLVR,2025-07-15 00:00:00+05:30,112.24,112.7,110.0,111.29,97497
GROWWSLVR,2025-07-16 00:00:00+05:30,111.29,111.98,109.2,111.0,120745
GROWWSLVR,2025-07-17 00:00:00+05:30,112.0,112.97,109.42,110.29,160459
GROWWSLVR,2025-07-18 00:00:00+05:30,112.5,112.58,110.5,112.26,166632
GROWWSLVR,2025-07-21 00:00:00+05:30,115.06,115.06,110.05,112.63,86472
GROWWSLVR,2025-07-22 00:00:00+05:30,112.8,114.0,112.64,113.7,88862
GROWWSLVR,2025-07-23 00:00:00+05:30,114.02,116.25,114.02,115.29,239179
GROWWSLVR,2025-07-24 00:00:00+05:30,114.8,115.0,113.39,114.09,151429
GROWWSLVR,2025-07-25 00:00:00+05:30,114.79,114.88,113.55,113.8,117651
GROWWSLVR,2025-07-28 00:00:00+05:30,111.55,113.2,111.3,112.26,113310
GROWWSLVR,2025-07-29 00:00:00+05:30,112.94,113.1,111.82,112.52,153910
GROWWSLVR,2025-07-30 00:00:00+05:30,113.38,113.46,112.4,113.21,80716
GROWWSLVR,2025-07-31 00:00:00+05:30,111.79,111.8,109.89,110.27,146950
GROWWSLVR,2025-08-01 00:00:00+05:30,110.48,110.48,107.53,108.89,109247
GROWWSLVR,2025-08-04 00:00:00+05:30,108.89,112.39,108.89,111.96,141527
GROWWSLVR,2025-08-05 00:00:00+05:30,111.52,112.94,111.5,111.82,39457
GROWWSLVR,2025-08-06 00:00:00+05:30,112.05,113.9,112.05,112.84,170553
GROWWSLVR,2025-08-07 00:00:00+05:30,114.24,114.24,113.01,113.83,76260
GROWWSLVR,2025-08-08 00:00:00+05:30,110.98,114.8,110.98,114.12,40557
GROWWSLVR,2025-08-11 00:00:00+05:30,112.0,113.88,112.0,112.75,57878
GROWWSLVR,2025-08-12 00:00:00+05:30,113.01,113.7,112.21,112.53,29149
GROWWSLVR,2025-08-13 00:00:00+05:30,113.78,114.58,112.82,114.34,78081
GROWWSLVR,2025-08-14 00:00:00+05:30,114.35,114.7,113.34,114.35,95000
GROWWSLVR,2025-08-18 00:00:00+05:30,114.38,116.6,112.5,113.41,184218
GROWWSLVR,2025-08-19 00:00:00+05:30,113.37,113.38,112.21,112.77,28315
GROWWSLVR,2025-08-20 00:00:00+05:30,111.29,113.47,109.82,110.14,334702
GROWWSLVR,2025-08-21 00:00:00+05:30,111.4,112.9,111.4,112.46,173716
GROWWSLVR,2025-08-22 00:00:00+05:30,112.73,113.8,112.73,113.24,88301
GROWWSLVR,2025-08-25 00:00:00+05:30,114.51,116.49,114.5,115.27,187291
GROWWSLVR,2025-08-26 00:00:00+05:30,115.27,116.19,114.56,114.84,137565
GROWWSLVR,2025-08-28 00:00:00+05:30,115.87,116.15,115.1,115.95,96121
GROWWSLVR,2025-08-29 00:00:00+05:30,116.58,117.04,115.56,116.78,66120
GROWWSLVR,2025-09-01 00:00:00+05:30,119.41,122.68,119.41,122.15,201709
GROWWSLVR,2025-09-02 00:00:00+05:30,123.75,123.75,120.73,121.37,289042
GROWWSLVR,2025-09-03 00:00:00+05:30,120.0,124.0,112.58,122.98,139830
GROWWSLVR,2025-09-04 00:00:00+05:30,122.49,122.77,121.51,122.48,227502
GROWWSLVR,2025-09-05 00:00:00+05:30,122.5,122.98,122.03,122.34,111657
GROWWSLVR,2025-09-08 00:00:00+05:30,122.5,123.69,121.53,123.5,179254
GROWWSLVR,2025-09-09 00:00:00+05:30,124.04,146.6,123.51,125.48,255886
GROWWSLVR,2025-09-10 00:00:00+05:30,124.98,127.19,122.84,123.52,423982
GROWWSLVR,2025-09-11 00:00:00+05:30,123.88,124.19,122.57,123.14,140561
GROWWSLVR,2025-09-12 00:00:00+05:30,125.61,128.49,125.28,127.33,193906
GROWWSLVR,2025-09-15 00:00:00+05:30,127.78,129.96,126.0,126.28,759914
GROWWSLVR,2025-09-16 00:00:00+05:30,128.29,128.7,126.94,128.09,277154
GROWWSLVR,2025-09-17 00:00:00+05:30,126.99,127.47,125.0,125.55,300845
GROWWSLVR,2025-09-18 00:00:00+05:30,126.27,127.35,124.65,126.49,364600
GROWWSLVR,2025-09-19 00:00:00+05:30,129.0,129.0,126.79,127.19,243208
GROWWSLVR,2025-09-22 00:00:00+05:30,129.6,132.11,129.6,131.88,411985
