Symbol,Date,Open,High,Low,Close,Volume
GSFC,2003-01-27 00:00:00+05:30,3.93,4.68,3.93,4.41,258804
GSFC,2003-01-28 00:00:00+05:30,4.44,4.55,4.36,4.42,213354
GSFC,2003-01-29 00:00:00+05:30,4.4,4.6,4.38,4.38,116314
GSFC,2003-01-30 00:00:00+05:30,4.31,4.37,4.17,4.28,217949
GSFC,2003-01-31 00:00:00+05:30,4.3,4.35,4.23,4.33,147019
GSFC,2003-02-03 00:00:00+05:30,4.38,4.52,4.32,4.51,159389
GSFC,2003-02-04 00:00:00+05:30,4.57,4.91,4.51,4.75,485754
GSFC,2003-02-05 00:00:00+05:30,4.71,4.83,4.59,4.67,168549
GSFC,2003-02-06 00:00:00+05:30,4.6,4.64,4.41,4.54,134489
GSFC,2003-02-07 00:00:00+05:30,4.4,4.5,4.37,4.39,211614
GSFC,2003-02-10 00:00:00+05:30,4.5,4.5,4.33,4.35,95774
GSFC,2003-02-11 00:00:00+05:30,4.36,4.36,4.27,4.28,28434
GSFC,2003-02-12 00:00:00+05:30,4.35,4.36,4.16,4.2,72334
GSFC,2003-02-14 00:00:00+05:30,4.1,4.16,4.03,4.04,70839
GSFC,2003-02-17 00:00:00+05:30,4.1,4.29,4.1,4.23,116444
GSFC,2003-02-18 00:00:00+05:30,4.56,4.56,4.26,4.31,101039
GSFC,2003-02-19 00:00:00+05:30,4.28,4.53,4.25,4.4,450819
GSFC,2003-02-20 00:00:00+05:30,4.36,4.48,4.36,4.4,152909
GSFC,2003-02-21 00:00:00+05:30,4.4,4.4,4.27,4.31,69314
GSFC,2003-02-24 00:00:00+05:30,4.33,4.38,4.3,4.32,57774
GSFC,2003-02-25 00:00:00+05:30,4.22,4.34,4.22,4.25,90064
GSFC,2003-02-26 00:00:00+05:30,4.3,4.3,4.16,4.17,37484
GSFC,2003-02-27 00:00:00+05:30,4.1,4.25,4.1,4.17,98859
GSFC,2003-02-28 00:00:00+05:30,4.2,4.4,4.1,4.13,157829
GSFC,2003-03-03 00:00:00+05:30,4.22,4.39,4.04,4.1,95674
GSFC,2003-03-04 00:00:00+05:30,4.07,4.1,3.8,3.83,226929
GSFC,2003-03-05 00:00:00+05:30,3.83,3.94,3.77,3.8,102414
GSFC,2003-03-06 00:00:00+05:30,3.78,3.82,3.71,3.72,44349
GSFC,2003-03-07 00:00:00+05:30,3.65,3.7,3.62,3.65,49369
GSFC,2003-03-10 00:00:00+05:30,3.6,3.66,3.54,3.54,39229
GSFC,2003-03-11 00:00:00+05:30,3.5,3.5,3.24,3.4,94899
GSFC,2003-03-12 00:00:00+05:30,3.5,3.5,3.34,3.35,158324
GSFC,2003-03-13 00:00:00+05:30,3.3,3.4,3.25,3.25,73449
GSFC,2003-03-17 00:00:00+05:30,3.26,3.34,3.24,3.3,56834
GSFC,2003-03-19 00:00:00+05:30,3.76,3.76,3.26,3.36,47574
GSFC,2003-03-20 00:00:00+05:30,3.3,3.4,3.25,3.29,169034
GSFC,2003-03-21 00:00:00+05:30,3.29,3.35,3.26,3.29,93124
GSFC,2003-03-24 00:00:00+05:30,3.36,3.36,3.24,3.29,66969
GSFC,2003-03-25 00:00:00+05:30,3.25,3.36,3.21,3.23,100544
GSFC,2003-03-26 00:00:00+05:30,3.24,3.29,3.2,3.21,115979
GSFC,2003-03-27 00:00:00+05:30,3.21,3.21,3.02,3.03,144949
GSFC,2003-03-28 00:00:00+05:30,3.16,3.19,3.08,3.13,33894
GSFC,2003-03-31 00:00:00+05:30,2.62,3.14,2.62,3.11,32684
GSFC,2003-04-01 00:00:00+05:30,3.1,3.23,3.1,3.2,38214
GSFC,2003-04-02 00:00:00+05:30,3.19,3.23,3.18,3.22,51924
GSFC,2003-04-03 00:00:00+05:30,3.27,3.5,3.27,3.43,71839
GSFC,2003-04-04 00:00:00+05:30,3.42,3.55,3.4,3.52,91949
GSFC,2003-04-07 00:00:00+05:30,3.52,3.67,3.51,3.64,69689
GSFC,2003-04-08 00:00:00+05:30,3.6,3.6,3.46,3.51,104029
GSFC,2003-04-09 00:00:00+05:30,3.56,3.58,3.46,3.5,63964
GSFC,2003-04-10 00:00:00+05:30,3.46,3.52,3.01,3.32,126999
GSFC,2003-04-11 00:00:00+05:30,3.39,3.4,3.32,3.36,42034
GSFC,2003-04-15 00:00:00+05:30,3.26,3.38,3.26,3.35,23464
GSFC,2003-04-16 00:00:00+05:30,3.39,3.4,3.33,3.34,69004
GSFC,2003-04-17 00:00:00+05:30,3.3,3.37,3.24,3.29,84234
GSFC,2003-04-21 00:00:00+05:30,3.3,3.32,3.18,3.29,183224
