Symbol,Date,Open,High,Low,Close,Volume
GTLINFRA,2006-11-09 00:00:00+05:30,19.02,33.64,19.02,25.74,38809364
GTLINFRA,2006-11-10 00:00:00+05:30,26.04,26.04,23.14,23.64,8562340
GTLINFRA,2006-11-13 00:00:00+05:30,23.58,27.93,23.14,27.46,20976998
GTLINFRA,2006-11-14 00:00:00+05:30,27.81,28.58,26.04,26.36,13452939
GTLINFRA,2006-11-15 00:00:00+05:30,26.45,26.87,24.41,24.59,4043121
GTLINFRA,2006-11-16 00:00:00+05:30,25.09,26.36,24.56,25.24,6711230
GTLINFRA,2006-11-17 00:00:00+05:30,25.44,25.47,23.55,24.05,3316162
GTLINFRA,2006-11-20 00:00:00+05:30,24.08,24.08,22.78,23.43,2387261
GTLINFRA,2006-11-21 00:00:00+05:30,23.43,25.62,23.43,25.09,4332409
GTLINFRA,2006-11-22 00:00:00+05:30,25.44,25.5,24.26,24.44,2057507
GTLINFRA,2006-11-23 00:00:00+05:30,24.68,25.5,23.82,24.59,3320927
GTLINFRA,2006-11-24 00:00:00+05:30,24.62,25.15,24.35,24.56,1502062
GTLINFRA,2006-11-27 00:00:00+05:30,24.56,24.88,23.97,24.2,828181
GTLINFRA,2006-11-28 00:00:00+05:30,23.91,24.05,23.37,23.46,1028466
GTLINFRA,2006-11-29 00:00:00+05:30,22.49,24.56,22.49,23.67,918773
GTLINFRA,2006-11-30 00:00:00+05:30,23.67,24.08,22.49,23.05,1160391
GTLINFRA,2006-12-01 00:00:00+05:30,23.31,23.64,22.55,22.69,795801
GTLINFRA,2006-12-04 00:00:00+05:30,23.37,23.37,21.84,22.34,1281375
GTLINFRA,2006-12-05 00:00:00+05:30,23.02,25.3,22.22,24.79,5953343
GTLINFRA,2006-12-06 00:00:00+05:30,24.85,25.3,23.46,23.7,2765216
GTLINFRA,2006-12-07 00:00:00+05:30,24.08,24.59,23.26,23.55,1351295
GTLINFRA,2006-12-08 00:00:00+05:30,23.67,24.02,23.08,23.2,856912
GTLINFRA,2006-12-11 00:00:00+05:30,23.55,23.55,22.01,22.4,1058499
GTLINFRA,2006-12-12 00:00:00+05:30,21.45,22.72,20.71,21.48,1231896
GTLINFRA,2006-12-13 00:00:00+05:30,21.6,22.9,20.77,22.31,920698
GTLINFRA,2006-12-14 00:00:00+05:30,23.29,23.49,22.52,23.26,780380
GTLINFRA,2006-12-15 00:00:00+05:30,23.67,23.67,22.78,23.14,775870
GTLINFRA,2006-12-18 00:00:00+05:30,23.17,23.61,22.57,23.23,406386
GTLINFRA,2006-12-19 00:00:00+05:30,23.26,24.73,22.78,23.67,1632564
GTLINFRA,2006-12-20 00:00:00+05:30,24.14,24.71,23.17,23.7,886274
GTLINFRA,2006-12-21 00:00:00+05:30,23.88,23.97,23.26,23.76,594694
GTLINFRA,2006-12-22 00:00:00+05:30,24.26,24.56,23.79,24.29,827544
GTLINFRA,2006-12-26 00:00:00+05:30,24.26,25.09,23.85,24.2,1428834
GTLINFRA,2006-12-27 00:00:00+05:30,24.56,24.76,23.08,23.31,841058
GTLINFRA,2006-12-28 00:00:00+05:30,23.67,23.91,23.31,23.4,616619
GTLINFRA,2006-12-29 00:00:00+05:30,23.61,23.82,23.08,23.17,786270
GTLINFRA,2007-01-02 00:00:00+05:30,23.58,26.24,23.08,25.09,8784473
GTLINFRA,2007-01-03 00:00:00+05:30,26.01,26.48,25.39,25.89,4089314
GTLINFRA,2007-01-04 00:00:00+05:30,26.27,26.27,25.27,25.39,1771041
GTLINFRA,2007-01-05 00:00:00+05:30,25.59,25.59,24.38,24.56,904278
GTLINFRA,2007-01-08 00:00:00+05:30,24.82,25.12,23.73,24.26,1485627
GTLINFRA,2007-01-09 00:00:00+05:30,24.56,25.44,24.02,24.82,896643
GTLINFRA,2007-01-10 00:00:00+05:30,25.27,25.39,24.56,24.76,896951
GTLINFRA,2007-01-11 00:00:00+05:30,24.35,25.12,24.35,24.79,932500
GTLINFRA,2007-01-12 00:00:00+05:30,25.44,25.44,24.71,24.85,624544
GTLINFRA,2007-01-15 00:00:00+05:30,25.06,25.33,24.85,24.91,382729
GTLINFRA,2007-01-16 00:00:00+05:30,24.97,25.06,24.73,24.82,336633
GTLINFRA,2007-01-17 00:00:00+05:30,25.15,25.15,24.47,24.76,321169
GTLINFRA,2007-01-18 00:00:00+05:30,24.5,24.85,24.08,24.2,286155
GTLINFRA,2007-01-19 00:00:00+05:30,24.2,24.44,23.52,23.58,326436
GTLINFRA,2007-01-22 00:00:00+05:30,24.17,24.44,23.76,24.08,322233
GTLINFRA,2007-01-23 00:00:00+05:30,24.62,24.62,23.61,23.7,257229
GTLINFRA,2007-01-24 00:00:00+05:30,24.17,24.17,23.23,23.61,227363
GTLINFRA,2007-01-25 00:00:00+05:30,23.82,23.82,23.26,23.49,141071
GTLINFRA,2007-01-29 00:00:00+05:30,24.17,24.17,23.08,23.17,189576
GTLINFRA,2007-01-31 00:00:00+05:30,23.61,25.12,23.08,23.17,187244
GTLINFRA,2007-02-01 00:00:00+05:30,23.43,23.43,22.9,22.99,144400
GTLINFRA,2007-02-02 00:00:00+05:30,23.08,24.23,22.72,22.93,670343
GTLINFRA,2007-02-05 00:00:00+05:30,23.58,23.58,22.93,23.08,353791
GTLINFRA,2007-02-06 00:00:00+05:30,23.49,23.49,23.02,23.08,347058
GTLINFRA,2007-02-07 00:00:00+05:30,23.52,24.47,23.05,23.76,988264
GTLINFRA,2007-02-08 00:00:00+05:30,24.26,26.63,23.67,23.82,1549285
GTLINFRA,2007-02-09 00:00:00+05:30,24.23,24.23,22.78,23.58,742496
GTLINFRA,2007-02-12 00:00:00+05:30,23.43,23.58,21.48,21.6,713745
GTLINFRA,2007-02-13 00:00:00+05:30,21.72,22.78,21.72,21.95,1069316
GTLINFRA,2007-02-14 00:00:00+05:30,22.16,22.22,21.24,21.89,651284
GTLINFRA,2007-02-15 00:00:00+05:30,22.28,22.49,22.13,22.22,225595
GTLINFRA,2007-02-19 00:00:00+05:30,22.43,22.49,21.81,21.84,234892
GTLINFRA,2007-02-20 00:00:00+05:30,21.84,22.37,21.01,21.63,595254
GTLINFRA,2007-02-21 00:00:00+05:30,21.66,21.89,21.3,21.36,202550
GTLINFRA,2007-02-22 00:00:00+05:30,21.86,21.86,20.89,20.98,251196
GTLINFRA,2007-02-23 00:00:00+05:30,21.24,22.19,20.83,21.69,767457
GTLINFRA,2007-02-26 00:00:00+05:30,21.89,23.34,20.8,22.43,429722
GTLINFRA,2007-02-27 00:00:00+05:30,23.29,23.29,21.54,21.63,370376
GTLINFRA,2007-02-28 00:00:00+05:30,20.95,21.27,19.71,20.44,490141
GTLINFRA,2007-03-01 00:00:00+05:30,20.53,21.01,19.91,20.68,532480
GTLINFRA,2007-03-02 00:00:00+05:30,20.83,20.98,20.12,20.42,172834
GTLINFRA,2007-03-05 00:00:00+05:30,20.12,20.71,18.94,20.15,620548
GTLINFRA,2007-03-06 00:00:00+05:30,20.71,20.71,19.73,20.12,198095
GTLINFRA,2007-03-07 00:00:00+05:30,20.42,20.42,19.08,19.23,444295
GTLINFRA,2007-03-08 00:00:00+05:30,19.53,19.65,18.99,19.41,142262
GTLINFRA,2007-03-09 00:00:00+05:30,19.23,19.76,19.14,19.26,141672
GTLINFRA,2007-03-12 00:00:00+05:30,19.23,19.59,19.05,19.08,205839
GTLINFRA,2007-03-13 00:00:00+05:30,19.59,19.73,18.94,18.99,299453
GTLINFRA,2007-03-14 00:00:00+05:30,18.94,18.94,18.2,18.34,332490
GTLINFRA,2007-03-15 00:00:00+05:30,19.23,19.23,18.34,18.34,123431
GTLINFRA,2007-03-16 00:00:00+05:30,18.49,18.64,18.11,18.37,151256
GTLINFRA,2007-03-19 00:00:00+05:30,18.46,18.64,18.28,18.37,221044
GTLINFRA,2007-03-20 00:00:00+05:30,18.23,18.99,18.23,18.79,232614
GTLINFRA,2007-03-21 00:00:00+05:30,19.17,19.17,18.58,18.67,121092
GTLINFRA,2007-03-22 00:00:00+05:30,18.91,19.11,18.67,18.99,193722
GTLINFRA,2007-03-23 00:00:00+05:30,19.23,19.23,18.58,18.79,149174
GTLINFRA,2007-03-26 00:00:00+05:30,18.58,18.76,18.34,18.37,149870
GTLINFRA,2007-03-28 00:00:00+05:30,18.61,18.61,17.75,18.31,389991
GTLINFRA,2007-03-29 00:00:00+05:30,18.05,18.94,18.05,18.76,102784
GTLINFRA,2007-03-30 00:00:00+05:30,18.37,22.1,18.37,20.5,189054
GTLINFRA,2007-04-02 00:00:00+05:30,19.97,22.78,19.79,20.09,542122
GTLINFRA,2007-04-03 00:00:00+05:30,20.71,21.48,18.88,19.05,345123
GTLINFRA,2007-04-04 00:00:00+05:30,19.44,19.82,18.97,19.11,155670
GTLINFRA,2007-04-05 00:00:00+05:30,19.44,19.44,18.82,18.99,113939
GTLINFRA,2007-04-09 00:00:00+05:30,18.82,19.82,18.58,19.5,171219
GTLINFRA,2007-04-10 00:00:00+05:30,19.82,19.82,19.29,19.53,132445
GTLINFRA,2007-04-11 00:00:00+05:30,19.56,19.88,19.32,19.56,169673
GTLINFRA,2007-04-12 00:00:00+05:30,18.94,20.53,18.94,19.62,340491
GTLINFRA,2007-04-13 00:00:00+05:30,19.41,19.94,19.32,19.47,123181
