Symbol,Date,Open,High,Low,Close,Volume
GUJALKALI,2003-01-27 00:00:00+05:30,19.55,20.59,19.25,20.32,150610
GUJALKALI,2003-01-28 00:00:00+05:30,21.47,21.47,19.25,20.12,20323
GUJALKALI,2003-01-29 00:00:00+05:30,18.84,20.26,18.17,19.75,27466
GUJALKALI,2003-01-30 00:00:00+05:30,19.55,20.12,19.35,19.58,14524
GUJALKALI,2003-01-31 00:00:00+05:30,19.18,19.92,19.11,19.65,9511
GUJALKALI,2003-02-03 00:00:00+05:30,19.85,20.19,19.58,19.99,6279
GUJALKALI,2003-02-04 00:00:00+05:30,20.16,20.19,19.32,19.42,23322
GUJALKALI,2003-02-05 00:00:00+05:30,20.09,20.09,18.27,18.34,21901
GUJALKALI,2003-02-06 00:00:00+05:30,16.83,18.51,16.83,18.14,111430
GUJALKALI,2003-02-07 00:00:00+05:30,18.17,18.37,17.83,18.04,79267
GUJALKALI,2003-02-10 00:00:00+05:30,18.17,18.34,18.0,18.24,86751
GUJALKALI,2003-02-11 00:00:00+05:30,18.24,18.31,17.87,18.17,17986
GUJALKALI,2003-02-12 00:00:00+05:30,17.53,18.27,17.53,17.9,7365
GUJALKALI,2003-02-14 00:00:00+05:30,17.9,18.04,17.57,17.6,5514
GUJALKALI,2003-02-17 00:00:00+05:30,18.71,18.71,17.5,18.07,23075
GUJALKALI,2003-02-18 00:00:00+05:30,18.17,18.84,18.17,18.74,7702
GUJALKALI,2003-02-19 00:00:00+05:30,18.95,19.38,18.51,18.57,14876
GUJALKALI,2003-02-20 00:00:00+05:30,18.17,18.74,18.17,18.57,8322
GUJALKALI,2003-02-21 00:00:00+05:30,18.17,18.47,17.26,17.6,98793
GUJALKALI,2003-02-24 00:00:00+05:30,17.26,17.6,16.83,16.93,23628
GUJALKALI,2003-02-25 00:00:00+05:30,18.1,18.1,16.32,16.39,16298
GUJALKALI,2003-02-26 00:00:00+05:30,16.99,17.33,16.02,16.72,62739
GUJALKALI,2003-02-27 00:00:00+05:30,16.59,16.89,15.92,16.32,26292
GUJALKALI,2003-02-28 00:00:00+05:30,18.17,18.17,15.65,16.22,29949
GUJALKALI,2003-03-03 00:00:00+05:30,18.51,18.51,15.55,15.78,27473
GUJALKALI,2003-03-04 00:00:00+05:30,18.51,18.51,15.08,15.31,25843
GUJALKALI,2003-03-05 00:00:00+05:30,15.14,15.14,14.47,14.47,16329
GUJALKALI,2003-03-06 00:00:00+05:30,13.9,14.4,13.86,13.86,29600
GUJALKALI,2003-03-07 00:00:00+05:30,14.13,14.13,12.82,13.49,24201
GUJALKALI,2003-03-10 00:00:00+05:30,13.46,14.0,13.29,13.29,19289
GUJALKALI,2003-03-11 00:00:00+05:30,13.22,13.46,13.12,13.39,9469
GUJALKALI,2003-03-12 00:00:00+05:30,14.1,14.1,13.33,13.56,12812
GUJALKALI,2003-03-13 00:00:00+05:30,13.49,14.07,13.26,13.66,9497
GUJALKALI,2003-03-17 00:00:00+05:30,13.46,13.96,13.06,13.12,4629
GUJALKALI,2003-03-19 00:00:00+05:30,15.41,15.41,12.85,13.29,6557
GUJALKALI,2003-03-20 00:00:00+05:30,14.1,14.1,12.38,12.72,14435
GUJALKALI,2003-03-21 00:00:00+05:30,15.14,15.14,11.61,12.55,16072
GUJALKALI,2003-03-24 00:00:00+05:30,12.79,13.33,12.28,12.48,6845
GUJALKALI,2003-03-25 00:00:00+05:30,13.59,13.59,12.32,12.48,6695
GUJALKALI,2003-03-26 00:00:00+05:30,12.45,12.62,12.11,12.22,29448
GUJALKALI,2003-03-27 00:00:00+05:30,11.98,12.22,11.98,11.98,5014
GUJALKALI,2003-03-28 00:00:00+05:30,11.54,12.42,11.54,12.11,6527
GUJALKALI,2003-03-31 00:00:00+05:30,12.18,12.55,11.88,11.95,23732
GUJALKALI,2003-04-01 00:00:00+05:30,12.32,12.32,11.81,12.05,1582
GUJALKALI,2003-04-02 00:00:00+05:30,11.51,12.38,11.51,12.05,16768
GUJALKALI,2003-04-03 00:00:00+05:30,11.84,12.79,11.84,12.28,12276
GUJALKALI,2003-04-04 00:00:00+05:30,14.13,14.13,12.28,13.29,21322
GUJALKALI,2003-04-07 00:00:00+05:30,13.53,14.67,13.53,13.73,34089
GUJALKALI,2003-04-08 00:00:00+05:30,14.13,14.13,13.66,13.86,15866
GUJALKALI,2003-04-09 00:00:00+05:30,14.57,14.57,13.63,13.83,9106
GUJALKALI,2003-04-10 00:00:00+05:30,13.46,13.59,12.82,12.92,7747
GUJALKALI,2003-04-11 00:00:00+05:30,13.29,14.0,13.02,13.39,3566
