Symbol,Date,Open,High,Low,Close,Volume
GVPTECH,2022-09-08 00:00:00+05:30,4.15,4.35,4.15,4.35,5500
GVPTECH,2022-09-09 00:00:00+05:30,4.6,4.6,4.6,4.6,500
GVPTECH,2022-09-12 00:00:00+05:30,4.8,4.8,4.8,4.8,500
GVPTECH,2022-09-13 00:00:00+05:30,5.05,5.05,5.05,5.05,1000
GVPTECH,2022-09-14 00:00:00+05:30,5.3,5.3,5.3,5.3,2950
GVPTECH,2022-09-15 00:00:00+05:30,5.55,5.55,5.55,5.55,5000
GVPTECH,2022-09-16 00:00:00+05:30,5.8,5.8,5.8,5.8,1000
GVPTECH,2022-09-19 00:00:00+05:30,6.1,6.1,6.1,6.1,575
GVPTECH,2022-09-20 00:00:00+05:30,6.4,6.4,6.4,6.4,505
GVPTECH,2022-09-21 00:00:00+05:30,6.75,6.75,6.75,6.75,505
GVPTECH,2022-09-22 00:00:00+05:30,37.0,37.0,37.0,37.0,1090
GVPTECH,2022-09-23 00:00:00+05:30,40.7,40.7,37.05,40.7,19800
GVPTECH,2022-09-26 00:00:00+05:30,44.75,44.75,44.75,44.75,231
GVPTECH,2022-09-27 00:00:00+05:30,46.95,46.95,46.95,46.95,190
GVPTECH,2022-09-28 00:00:00+05:30,49.25,49.25,49.25,49.25,50
GVPTECH,2022-09-29 00:00:00+05:30,51.7,51.7,51.7,51.7,251
GVPTECH,2022-09-30 00:00:00+05:30,54.25,54.25,54.25,54.25,10
GVPTECH,2022-10-03 00:00:00+05:30,56.95,56.95,56.95,56.95,150
GVPTECH,2022-10-04 00:00:00+05:30,59.75,59.75,59.75,59.75,552
GVPTECH,2022-10-06 00:00:00+05:30,62.7,62.7,62.7,62.7,50
GVPTECH,2022-10-07 00:00:00+05:30,65.8,65.8,65.8,65.8,61
GVPTECH,2022-10-10 00:00:00+05:30,69.05,69.05,69.05,69.05,686
GVPTECH,2022-10-11 00:00:00+05:30,72.5,72.5,72.5,72.5,44
GVPTECH,2022-10-12 00:00:00+05:30,76.1,76.1,76.1,76.1,600
GVPTECH,2022-10-13 00:00:00+05:30,79.9,79.9,79.9,79.9,101
GVPTECH,2022-10-14 00:00:00+05:30,83.85,83.85,83.85,83.85,322
GVPTECH,2022-10-17 00:00:00+05:30,85.5,85.5,85.5,85.5,109
GVPTECH,2022-10-18 00:00:00+05:30,87.2,87.2,87.2,87.2,20
GVPTECH,2022-10-19 00:00:00+05:30,88.9,88.9,88.9,88.9,1
GVPTECH,2022-10-20 00:00:00+05:30,90.65,90.65,88.95,90.65,7129
GVPTECH,2022-10-21 00:00:00+05:30,92.45,92.45,89.05,90.05,45091
GVPTECH,2022-10-24 00:00:00+05:30,91.85,91.85,88.25,88.55,31164
GVPTECH,2022-10-25 00:00:00+05:30,87.2,89.85,86.8,86.8,13964
GVPTECH,2022-10-27 00:00:00+05:30,85.1,85.1,85.1,85.1,1137
GVPTECH,2022-10-28 00:00:00+05:30,83.4,83.55,83.4,83.4,5652
GVPTECH,2022-10-31 00:00:00+05:30,81.75,81.75,81.75,81.75,1529
GVPTECH,2022-11-01 00:00:00+05:30,80.15,80.15,80.15,80.15,1577
GVPTECH,2022-11-02 00:00:00+05:30,78.55,81.75,78.55,81.75,10451
GVPTECH,2022-11-03 00:00:00+05:30,82.5,83.35,82.5,83.35,8
GVPTECH,2022-11-04 00:00:00+05:30,83.4,85.0,83.4,85.0,2268
GVPTECH,2022-11-07 00:00:00+05:30,86.7,86.7,86.7,86.7,1771
GVPTECH,2022-11-09 00:00:00+05:30,88.4,88.4,88.4,88.4,456
GVPTECH,2022-11-10 00:00:00+05:30,90.15,90.15,86.65,87.05,5164
GVPTECH,2022-11-11 00:00:00+05:30,85.5,85.5,85.35,85.35,505
GVPTECH,2022-11-14 00:00:00+05:30,85.9,87.05,83.65,85.6,3384
GVPTECH,2022-11-15 00:00:00+05:30,87.0,87.3,83.9,84.5,1679
GVPTECH,2022-11-16 00:00:00+05:30,82.85,86.15,82.85,85.0,3060
GVPTECH,2022-11-17 00:00:00+05:30,83.3,86.4,83.3,86.1,7681
GVPTECH,2022-11-18 00:00:00+05:30,87.8,87.8,84.4,87.55,6381
GVPTECH,2022-11-21 00:00:00+05:30,87.5,89.3,86.1,88.5,3860
GVPTECH,2022-11-22 00:00:00+05:30,87.95,90.25,86.95,89.35,7448
GVPTECH,2022-11-23 00:00:00+05:30,87.9,91.1,87.6,87.6,6571
GVPTECH,2022-11-24 00:00:00+05:30,89.3,89.3,85.85,86.25,1139
GVPTECH,2022-11-25 00:00:00+05:30,86.15,86.15,84.55,84.55,1146
GVPTECH,2022-11-28 00:00:00+05:30,84.55,86.2,82.9,84.35,266343
GVPTECH,2022-11-29 00:00:00+05:30,85.4,85.9,84.05,84.6,202751
GVPTECH,2022-11-30 00:00:00+05:30,84.95,86.2,84.6,86.1,181920
GVPTECH,2022-12-01 00:00:00+05:30,87.8,87.8,86.15,87.7,169406
GVPTECH,2022-12-02 00:00:00+05:30,89.0,89.45,87.2,89.45,98522
GVPTECH,2022-12-05 00:00:00+05:30,90.0,91.2,90.0,91.2,64904
GVPTECH,2022-12-06 00:00:00+05:30,18.4,18.55,17.9,18.55,98675
GVPTECH,2022-12-07 00:00:00+05:30,18.55,18.95,18.55,18.95,510280
GVPTECH,2022-12-08 00:00:00+05:30,19.3,19.3,19.3,19.3,589455
GVPTECH,2022-12-09 00:00:00+05:30,19.65,19.7,19.15,19.6,698855
GVPTECH,2022-12-12 00:00:00+05:30,19.65,20.0,19.6,20.0,331190
GVPTECH,2022-12-13 00:00:00+05:30,20.4,20.4,20.3,20.4,331865
GVPTECH,2022-12-14 00:00:00+05:30,20.75,20.8,20.7,20.8,706200
GVPTECH,2022-12-15 00:00:00+05:30,21.2,21.2,21.0,21.2,621095
GVPTECH,2022-12-16 00:00:00+05:30,21.65,21.65,21.6,21.65,447620
GVPTECH,2022-12-19 00:00:00+05:30,21.8,22.05,21.8,22.05,369335
GVPTECH,2022-12-20 00:00:00+05:30,22.3,22.4,21.9,22.4,497390
