Symbol,Date,Open,High,Low,Close,Volume
HEIDELBERG,2003-01-01 00:00:00+05:30,7.2,7.25,7.15,7.25,2125
HEIDELBERG,2003-01-02 00:00:00+05:30,7.25,8.4,7.2,7.65,22191
HEIDELBERG,2003-01-03 00:00:00+05:30,8.0,8.0,7.35,7.55,16077
HEIDELBERG,2003-01-06 00:00:00+05:30,7.2,7.4,7.2,7.25,3250
HEIDELBERG,2003-01-07 00:00:00+05:30,7.15,7.15,7.15,7.15,1102
HEIDELBERG,2003-01-08 00:00:00+05:30,7.15,7.5,7.05,7.35,19535
HEIDELBERG,2003-01-09 00:00:00+05:30,7.4,7.65,7.3,7.4,3925
HEIDELBERG,2003-01-10 00:00:00+05:30,7.45,7.5,7.3,7.3,3925
HEIDELBERG,2003-01-13 00:00:00+05:30,6.65,7.4,6.65,7.15,3275
HEIDELBERG,2003-01-14 00:00:00+05:30,7.0,7.25,7.0,7.15,5275
HEIDELBERG,2003-01-15 00:00:00+05:30,7.6,7.6,7.0,7.0,14641
HEIDELBERG,2003-01-16 00:00:00+05:30,7.0,7.3,7.0,7.25,3969
HEIDELBERG,2003-01-17 00:00:00+05:30,7.1,7.35,6.85,6.9,15172
HEIDELBERG,2003-01-20 00:00:00+05:30,6.75,6.9,6.7,6.85,7250
HEIDELBERG,2003-01-21 00:00:00+05:30,6.7,6.95,6.7,6.8,5600
HEIDELBERG,2003-01-22 00:00:00+05:30,6.7,6.95,6.7,6.9,5800
HEIDELBERG,2003-01-23 00:00:00+05:30,7.15,7.15,6.6,6.7,8885
HEIDELBERG,2003-01-24 00:00:00+05:30,6.8,7.0,6.5,6.6,12553
HEIDELBERG,2003-01-27 00:00:00+05:30,6.5,6.75,6.25,6.35,13870
HEIDELBERG,2003-01-28 00:00:00+05:30,6.6,6.85,6.5,6.6,2458
HEIDELBERG,2003-01-29 00:00:00+05:30,6.75,6.8,6.5,6.55,18111
