Symbol,Date,Open,High,Low,Close,Volume
HUHTAMAKI,2003-01-01 00:00:00+05:30,27.0,27.59,25.2,26.3,90064
HUHTAMAKI,2003-01-02 00:00:00+05:30,26.59,26.85,26.05,26.56,19154
HUHTAMAKI,2003-01-03 00:00:00+05:30,27.99,27.99,26.14,26.33,16934
HUHTAMAKI,2003-01-06 00:00:00+05:30,26.6,26.8,26.0,26.09,13409
HUHTAMAKI,2003-01-07 00:00:00+05:30,26.2,26.74,26.11,26.29,6204
HUHTAMAKI,2003-01-08 00:00:00+05:30,25.7,26.7,25.7,26.13,12524
HUHTAMAKI,2003-01-09 00:00:00+05:30,26.0,26.5,26.0,26.29,16989
HUHTAMAKI,2003-01-10 00:00:00+05:30,26.2,28.15,26.2,27.72,31399
HUHTAMAKI,2003-01-13 00:00:00+05:30,27.2,28.36,26.41,26.68,29529
HUHTAMAKI,2003-01-14 00:00:00+05:30,26.6,27.2,26.4,26.58,35874
HUHTAMAKI,2003-01-15 00:00:00+05:30,26.8,26.8,26.28,26.37,15189
HUHTAMAKI,2003-01-16 00:00:00+05:30,26.97,27.2,26.26,26.79,11619
HUHTAMAKI,2003-01-17 00:00:00+05:30,27.48,27.48,26.8,27.15,5239
HUHTAMAKI,2003-01-20 00:00:00+05:30,27.0,27.0,26.28,26.46,13624
HUHTAMAKI,2003-01-21 00:00:00+05:30,26.6,26.6,26.2,26.28,12774
HUHTAMAKI,2003-01-22 00:00:00+05:30,26.78,26.96,26.0,26.15,25649
HUHTAMAKI,2003-01-23 00:00:00+05:30,26.4,26.5,26.36,26.47,4599
HUHTAMAKI,2003-01-24 00:00:00+05:30,26.4,26.4,25.6,25.83,11149
HUHTAMAKI,2003-01-27 00:00:00+05:30,25.05,25.45,25.0,25.26,29864
HUHTAMAKI,2003-01-28 00:00:00+05:30,25.2,25.8,25.0,25.73,37509
HUHTAMAKI,2003-01-29 00:00:00+05:30,25.63,25.63,25.61,25.61,1029
HUHTAMAKI,2003-01-30 00:00:00+05:30,26.6,26.6,25.61,26.03,140724
HUHTAMAKI,2003-01-31 00:00:00+05:30,26.38,26.82,26.0,26.05,4719
HUHTAMAKI,2003-02-03 00:00:00+05:30,25.8,26.05,25.02,25.52,8444
HUHTAMAKI,2003-02-04 00:00:00+05:30,24.85,26.38,24.85,26.15,29474
HUHTAMAKI,2003-02-05 00:00:00+05:30,25.8,25.8,25.7,25.79,11184
HUHTAMAKI,2003-02-06 00:00:00+05:30,25.2,25.8,24.83,24.85,5894
HUHTAMAKI,2003-02-07 00:00:00+05:30,27.4,27.4,24.7,25.12,18614
HUHTAMAKI,2003-02-10 00:00:00+05:30,25.37,25.37,25.0,25.19,11789
HUHTAMAKI,2003-02-11 00:00:00+05:30,25.01,25.2,25.01,25.2,4569
HUHTAMAKI,2003-02-12 00:00:00+05:30,24.48,25.0,24.48,24.83,5244
HUHTAMAKI,2003-02-14 00:00:00+05:30,24.45,24.79,24.38,24.5,4789
HUHTAMAKI,2003-02-17 00:00:00+05:30,24.6,25.0,23.9,24.92,40114
HUHTAMAKI,2003-02-18 00:00:00+05:30,24.85,25.48,24.85,25.05,33674
HUHTAMAKI,2003-02-19 00:00:00+05:30,24.61,24.89,24.6,24.66,8999
HUHTAMAKI,2003-02-20 00:00:00+05:30,24.1,24.6,24.09,24.32,3549
HUHTAMAKI,2003-02-21 00:00:00+05:30,24.4,24.57,24.02,24.51,12699
HUHTAMAKI,2003-02-24 00:00:00+05:30,24.34,25.18,24.3,24.52,10894
HUHTAMAKI,2003-02-25 00:00:00+05:30,24.6,24.72,24.27,24.28,2394
HUHTAMAKI,2003-02-26 00:00:00+05:30,24.7,24.7,24.07,24.2,11494
HUHTAMAKI,2003-02-27 00:00:00+05:30,24.4,24.4,24.2,24.2,4649
HUHTAMAKI,2003-02-28 00:00:00+05:30,24.85,24.85,23.64,24.13,11544
HUHTAMAKI,2003-03-03 00:00:00+05:30,24.3,24.3,23.8,23.84,8124
HUHTAMAKI,2003-03-04 00:00:00+05:30,24.0,24.06,23.6,24.01,8224
HUHTAMAKI,2003-03-05 00:00:00+05:30,23.42,24.18,22.42,23.87,4554
HUHTAMAKI,2003-03-06 00:00:00+05:30,23.4,23.9,23.4,23.41,82729
HUHTAMAKI,2003-03-07 00:00:00+05:30,23.02,23.3,22.72,22.88,9324
HUHTAMAKI,2003-03-10 00:00:00+05:30,20.82,22.82,20.82,22.82,2424
HUHTAMAKI,2003-03-11 00:00:00+05:30,24.2,24.2,22.4,22.98,5324
HUHTAMAKI,2003-03-12 00:00:00+05:30,23.76,24.0,23.1,23.1,4009
HUHTAMAKI,2003-03-13 00:00:00+05:30,23.2,23.2,22.95,22.96,3404
HUHTAMAKI,2003-03-17 00:00:00+05:30,22.8,23.0,22.2,22.84,4719
HUHTAMAKI,2003-03-19 00:00:00+05:30,22.9,23.0,22.2,22.23,1229
HUHTAMAKI,2003-03-20 00:00:00+05:30,22.6,23.74,22.6,23.56,18319
HUHTAMAKI,2003-03-21 00:00:00+05:30,23.38,23.38,22.92,22.92,1939
HUHTAMAKI,2003-03-24 00:00:00+05:30,23.68,23.68,23.64,23.64,259
HUHTAMAKI,2003-03-25 00:00:00+05:30,22.62,23.5,22.62,22.85,102499
HUHTAMAKI,2003-03-26 00:00:00+05:30,22.61,22.61,22.21,22.44,15769
HUHTAMAKI,2003-03-27 00:00:00+05:30,20.62,22.98,20.62,22.81,1324
HUHTAMAKI,2003-03-28 00:00:00+05:30,23.46,23.46,22.63,22.66,1764
HUHTAMAKI,2003-03-31 00:00:00+05:30,23.0,23.38,21.75,21.87,8004
HUHTAMAKI,2003-04-01 00:00:00+05:30,22.22,23.38,22.22,22.7,2979
HUHTAMAKI,2003-04-02 00:00:00+05:30,23.1,23.1,22.31,22.37,2144
HUHTAMAKI,2003-04-03 00:00:00+05:30,23.36,23.36,22.45,22.45,5959
HUHTAMAKI,2003-04-04 00:00:00+05:30,21.12,23.8,21.12,23.48,4779
HUHTAMAKI,2003-04-07 00:00:00+05:30,24.0,24.1,23.75,24.0,2829
HUHTAMAKI,2003-04-08 00:00:00+05:30,23.8,23.8,23.4,23.48,7914
HUHTAMAKI,2003-04-09 00:00:00+05:30,23.7,23.8,23.2,23.2,12674
HUHTAMAKI,2003-04-10 00:00:00+05:30,22.75,23.2,22.75,22.94,6029
HUHTAMAKI,2003-04-11 00:00:00+05:30,22.8,23.2,22.6,22.72,14609
HUHTAMAKI,2003-04-15 00:00:00+05:30,22.4,22.9,22.4,22.9,884
HUHTAMAKI,2003-04-16 00:00:00+05:30,22.0,22.98,22.0,22.76,5614
HUHTAMAKI,2003-04-17 00:00:00+05:30,22.71,22.71,22.0,22.13,7104
HUHTAMAKI,2003-04-21 00:00:00+05:30,23.1,23.1,22.2,22.22,2874
HUHTAMAKI,2003-04-22 00:00:00+05:30,22.53,22.58,22.4,22.4,7639
HUHTAMAKI,2003-04-23 00:00:00+05:30,22.42,22.42,22.05,22.32,6109
