Symbol,Date,Open,High,Low,Close,Volume
IFGLEXPOR,2017-11-14 09:45:00+05:30,165.0,165.0,156.75,156.9,37816
IFGLEXPOR,2017-11-15 09:16:00+05:30,150.5,159.5,149.1,156.0,57256
IFGLEXPOR,2017-11-16 09:19:00+05:30,155.0,162.5,148.55,160.05,66914
IFGLEXPOR,2017-11-17 09:15:00+05:30,162.5,162.5,152.6,157.1,7672
IFGLEXPOR,2017-11-20 09:35:00+05:30,155.0,157.5,153.6,156.85,16668
IFGLEXPOR,2017-11-21 09:23:00+05:30,155.0,157.55,155.0,155.5,19896
IFGLEXPOR,2017-11-22 09:21:00+05:30,155.0,155.0,150.75,151.6,4002
IFGLEXPOR,2017-11-23 09:15:00+05:30,149.5,152.0,145.0,152.0,9644
IFGLEXPOR,2017-11-24 09:47:00+05:30,150.0,152.45,150.0,150.8,14442
IFGLEXPOR,2017-11-27 09:30:00+05:30,146.4,151.5,146.4,150.0,21764
IFGLEXPOR,2017-11-28 09:15:00+05:30,150.0,169.0,150.0,162.95,70288
IFGLEXPOR,2017-11-29 09:15:00+05:30,168.8,168.8,158.5,162.5,42674
IFGLEXPOR,2017-11-30 09:30:00+05:30,161.35,162.5,155.0,160.0,26500
IFGLEXPOR,2017-12-01 09:21:00+05:30,157.55,162.5,157.5,159.9,17802
IFGLEXPOR,2017-12-04 09:27:00+05:30,156.9,156.9,154.2,155.0,15520
IFGLEXPOR,2017-12-05 09:27:00+05:30,155.0,160.0,153.0,155.5,11690
IFGLEXPOR,2017-12-06 09:15:00+05:30,161.7,174.45,160.0,164.0,78676
IFGLEXPOR,2017-12-07 09:15:00+05:30,166.5,169.5,160.4,163.8,6840
IFGLEXPOR,2017-12-08 09:15:00+05:30,167.5,169.0,160.5,165.8,13020
IFGLEXPOR,2017-12-11 09:15:00+05:30,166.0,172.05,155.55,157.8,18404
IFGLEXPOR,2017-12-12 09:15:00+05:30,162.5,166.5,156.0,161.6,28488
IFGLEXPOR,2017-12-13 09:23:00+05:30,165.0,174.0,162.5,163.7,16916
IFGLEXPOR,2017-12-14 09:21:00+05:30,160.6,167.4,152.5,164.6,98680
