Symbol,Date,Open,High,Low,Close,Volume
INDNIPPON,2003-01-27 00:00:00+05:30,65.36,68.22,65.2,65.4,1494
INDNIPPON,2003-01-28 00:00:00+05:30,66.07,69.29,66.07,69.27,418
INDNIPPON,2003-01-29 00:00:00+05:30,66.07,69.29,66.07,69.27,0
INDNIPPON,2003-01-30 00:00:00+05:30,67.9,67.9,67.9,67.9,458
INDNIPPON,2003-01-31 00:00:00+05:30,67.5,67.86,65.15,65.15,362
INDNIPPON,2003-02-03 00:00:00+05:30,66.07,69.88,66.07,69.65,1338
INDNIPPON,2003-02-04 00:00:00+05:30,70.72,70.72,67.86,69.25,3134
INDNIPPON,2003-02-05 00:00:00+05:30,68.93,69.65,68.43,69.65,922
INDNIPPON,2003-02-06 00:00:00+05:30,69.31,69.65,69.31,69.65,362
INDNIPPON,2003-02-07 00:00:00+05:30,69.68,70.36,69.29,69.29,1412
INDNIPPON,2003-02-10 00:00:00+05:30,69.75,70.95,69.29,69.29,726
INDNIPPON,2003-02-11 00:00:00+05:30,68.77,69.98,68.68,68.72,1200
INDNIPPON,2003-02-12 00:00:00+05:30,69.59,69.59,68.57,69.29,234
INDNIPPON,2003-02-14 00:00:00+05:30,68.82,68.86,68.82,68.86,544
INDNIPPON,2003-02-17 00:00:00+05:30,69.29,70.0,68.84,69.93,3270
INDNIPPON,2003-02-18 00:00:00+05:30,69.82,70.36,69.0,69.29,2530
INDNIPPON,2003-02-19 00:00:00+05:30,69.47,69.47,67.86,68.2,2188
INDNIPPON,2003-02-20 00:00:00+05:30,68.57,69.65,68.22,69.54,6704
INDNIPPON,2003-02-21 00:00:00+05:30,68.61,69.65,68.61,69.34,718
INDNIPPON,2003-02-24 00:00:00+05:30,69.65,71.07,69.29,70.0,7362
INDNIPPON,2003-02-25 00:00:00+05:30,70.72,71.07,69.11,70.9,2944
INDNIPPON,2003-02-26 00:00:00+05:30,69.29,69.4,69.29,69.4,1152
INDNIPPON,2003-02-27 00:00:00+05:30,68.84,70.72,68.61,70.72,9650
INDNIPPON,2003-02-28 00:00:00+05:30,71.43,71.43,69.11,69.11,488
INDNIPPON,2003-03-03 00:00:00+05:30,70.36,70.36,68.65,68.77,2154
INDNIPPON,2003-03-04 00:00:00+05:30,68.65,69.48,68.65,68.77,4148
INDNIPPON,2003-03-05 00:00:00+05:30,68.57,68.57,65.0,65.32,1662
INDNIPPON,2003-03-06 00:00:00+05:30,68.57,68.57,65.0,65.32,0
INDNIPPON,2003-03-07 00:00:00+05:30,65.56,65.56,63.93,64.65,3042
INDNIPPON,2003-03-10 00:00:00+05:30,61.82,65.72,61.81,64.29,2668
INDNIPPON,2003-03-11 00:00:00+05:30,66.07,66.07,64.29,64.31,382
INDNIPPON,2003-03-12 00:00:00+05:30,66.43,66.79,66.09,66.79,262
INDNIPPON,2003-03-13 00:00:00+05:30,64.29,65.36,63.93,65.36,2826
INDNIPPON,2003-03-17 00:00:00+05:30,69.65,69.65,65.36,65.36,2840
INDNIPPON,2003-03-19 00:00:00+05:30,64.31,66.07,64.29,66.07,100
INDNIPPON,2003-03-20 00:00:00+05:30,65.72,65.72,65.72,65.72,344
INDNIPPON,2003-03-21 00:00:00+05:30,65.36,65.36,64.34,64.41,484
INDNIPPON,2003-03-24 00:00:00+05:30,63.04,64.32,63.04,64.29,1376
INDNIPPON,2003-03-25 00:00:00+05:30,63.93,64.29,63.22,63.32,2426
INDNIPPON,2003-03-26 00:00:00+05:30,65.0,65.0,64.29,64.29,556
INDNIPPON,2003-03-27 00:00:00+05:30,63.06,63.93,61.13,61.38,1020
INDNIPPON,2003-03-28 00:00:00+05:30,60.93,60.93,55.84,57.59,7130
