Symbol,Date,Open,High,Low,Close,Volume
INFOMEDIA,2007-01-02 00:00:00+05:30,151.0,152.9,146.0,148.7,8434
INFOMEDIA,2007-01-03 00:00:00+05:30,149.0,149.4,146.35,147.85,4788
INFOMEDIA,2007-01-04 00:00:00+05:30,150.0,150.0,145.1,147.7,5562
INFOMEDIA,2007-01-05 00:00:00+05:30,149.5,157.0,149.5,150.45,19941
INFOMEDIA,2007-01-08 00:00:00+05:30,149.95,149.95,147.15,148.1,6838
INFOMEDIA,2007-01-09 00:00:00+05:30,147.5,149.95,147.25,147.8,2075
INFOMEDIA,2007-01-10 00:00:00+05:30,147.2,154.0,147.1,151.1,21710
INFOMEDIA,2007-01-11 00:00:00+05:30,153.8,165.4,152.0,163.2,71929
INFOMEDIA,2007-01-12 00:00:00+05:30,162.5,169.0,162.0,164.85,37798
INFOMEDIA,2007-01-15 00:00:00+05:30,165.5,166.0,161.1,162.45,14494
INFOMEDIA,2007-01-16 00:00:00+05:30,163.0,165.0,160.05,161.7,5670
INFOMEDIA,2007-01-17 00:00:00+05:30,162.1,179.0,162.0,173.75,58534
INFOMEDIA,2007-01-18 00:00:00+05:30,179.0,181.0,171.0,173.0,34663
INFOMEDIA,2007-01-19 00:00:00+05:30,170.8,174.5,162.1,164.45,9965
INFOMEDIA,2007-01-22 00:00:00+05:30,167.1,168.75,162.5,163.65,8697
INFOMEDIA,2007-01-23 00:00:00+05:30,163.6,164.8,160.1,161.55,2387
INFOMEDIA,2007-01-24 00:00:00+05:30,164.25,177.0,164.25,173.8,32740
INFOMEDIA,2007-01-25 00:00:00+05:30,177.8,178.5,172.5,174.0,26722
INFOMEDIA,2007-01-29 00:00:00+05:30,173.9,174.7,168.1,173.15,27633
INFOMEDIA,2007-01-31 00:00:00+05:30,159.9,176.0,159.9,170.5,19105
INFOMEDIA,2007-02-01 00:00:00+05:30,176.0,176.0,167.0,169.6,5742
INFOMEDIA,2007-02-02 00:00:00+05:30,173.0,176.0,164.5,165.65,9100
INFOMEDIA,2007-02-05 00:00:00+05:30,174.8,174.8,165.0,166.95,4157
INFOMEDIA,2007-02-06 00:00:00+05:30,169.0,170.8,163.1,164.05,3890
INFOMEDIA,2007-02-07 00:00:00+05:30,165.0,177.4,163.3,174.35,58852
INFOMEDIA,2007-02-08 00:00:00+05:30,177.0,180.0,174.0,176.15,45261
INFOMEDIA,2007-02-09 00:00:00+05:30,175.75,188.0,175.75,180.3,96573
INFOMEDIA,2007-02-12 00:00:00+05:30,175.0,183.0,162.1,164.7,30016
INFOMEDIA,2007-02-13 00:00:00+05:30,161.05,173.0,161.05,166.8,8549
INFOMEDIA,2007-02-14 00:00:00+05:30,175.0,175.0,165.0,169.75,6923
INFOMEDIA,2007-02-15 00:00:00+05:30,171.0,177.0,169.0,175.25,16217
INFOMEDIA,2007-02-19 00:00:00+05:30,175.0,176.75,171.1,173.85,13497
INFOMEDIA,2007-02-20 00:00:00+05:30,174.0,174.0,165.2,166.45,4749
INFOMEDIA,2007-02-21 00:00:00+05:30,169.8,170.4,165.4,165.85,7345
INFOMEDIA,2007-02-22 00:00:00+05:30,168.9,169.1,161.1,165.9,5130
INFOMEDIA,2007-02-23 00:00:00+05:30,164.5,165.0,155.55,157.1,4571
INFOMEDIA,2007-02-26 00:00:00+05:30,155.5,167.9,155.5,158.3,2019
INFOMEDIA,2007-02-27 00:00:00+05:30,157.5,164.0,157.5,158.5,3463
INFOMEDIA,2007-02-28 00:00:00+05:30,137.0,158.5,137.0,155.05,4700
INFOMEDIA,2007-03-01 00:00:00+05:30,153.0,165.0,153.0,156.05,1852
INFOMEDIA,2007-03-02 00:00:00+05:30,146.0,156.0,146.0,152.9,3353
INFOMEDIA,2007-03-05 00:00:00+05:30,145.15,148.95,141.1,142.85,3649
INFOMEDIA,2007-03-06 00:00:00+05:30,144.5,148.0,142.55,146.7,3845
INFOMEDIA,2007-03-07 00:00:00+05:30,147.1,148.0,143.5,143.95,3994
INFOMEDIA,2007-03-08 00:00:00+05:30,141.5,146.0,140.0,145.3,5740
INFOMEDIA,2007-03-09 00:00:00+05:30,143.0,148.0,140.05,144.7,1365
INFOMEDIA,2007-03-12 00:00:00+05:30,145.0,148.25,145.0,145.95,2883
INFOMEDIA,2007-03-13 00:00:00+05:30,149.0,149.0,146.05,146.95,437
INFOMEDIA,2007-03-14 00:00:00+05:30,143.0,144.9,143.0,144.1,1636
INFOMEDIA,2007-03-15 00:00:00+05:30,146.95,149.0,145.0,145.25,4678
INFOMEDIA,2007-03-16 00:00:00+05:30,142.05,147.85,142.05,146.35,1091
INFOMEDIA,2007-03-19 00:00:00+05:30,143.25,146.0,143.25,145.9,2324
INFOMEDIA,2007-03-20 00:00:00+05:30,154.0,154.0,146.0,148.45,1043
INFOMEDIA,2007-03-21 00:00:00+05:30,148.85,148.85,143.55,147.2,762
INFOMEDIA,2007-03-22 00:00:00+05:30,147.55,148.9,146.0,146.35,1259
INFOMEDIA,2007-03-23 00:00:00+05:30,145.15,148.0,145.0,145.2,2525
INFOMEDIA,2007-03-26 00:00:00+05:30,145.1,145.4,143.75,144.0,3114
INFOMEDIA,2007-03-28 00:00:00+05:30,141.2,145.9,140.0,140.25,3419
INFOMEDIA,2007-03-29 00:00:00+05:30,137.55,141.25,137.55,141.25,494
INFOMEDIA,2007-03-30 00:00:00+05:30,143.0,145.95,141.15,141.65,618
INFOMEDIA,2007-04-02 00:00:00+05:30,140.0,141.3,139.25,140.35,2150
INFOMEDIA,2007-04-03 00:00:00+05:30,138.25,140.8,138.0,139.05,2013
INFOMEDIA,2007-04-04 00:00:00+05:30,138.7,142.5,138.7,140.1,2040
INFOMEDIA,2007-04-05 00:00:00+05:30,141.65,141.9,139.7,141.1,1325
INFOMEDIA,2007-04-09 00:00:00+05:30,141.25,144.35,141.05,143.6,2874
INFOMEDIA,2007-04-10 00:00:00+05:30,144.95,149.9,144.0,147.15,4355
INFOMEDIA,2007-04-11 00:00:00+05:30,148.0,149.3,145.0,146.8,3525
INFOMEDIA,2007-04-12 00:00:00+05:30,147.0,153.9,145.0,152.55,7415
INFOMEDIA,2007-04-13 00:00:00+05:30,153.0,183.1,152.05,183.1,390058
INFOMEDIA,2007-04-16 00:00:00+05:30,198.3,198.3,187.8,192.95,515185
INFOMEDIA,2007-04-17 00:00:00+05:30,190.0,190.0,176.0,178.45,150109
INFOMEDIA,2007-04-18 00:00:00+05:30,180.5,212.0,172.0,199.3,798121
INFOMEDIA,2007-04-19 00:00:00+05:30,194.0,206.9,192.0,198.6,265016
INFOMEDIA,2007-04-20 00:00:00+05:30,204.9,204.9,192.0,195.25,41226
INFOMEDIA,2007-04-23 00:00:00+05:30,200.0,203.0,193.6,197.8,25410
INFOMEDIA,2007-04-24 00:00:00+05:30,192.4,195.0,190.0,193.6,7982
INFOMEDIA,2007-04-25 00:00:00+05:30,195.0,203.3,193.0,202.5,35166
INFOMEDIA,2007-04-26 00:00:00+05:30,206.0,209.8,192.4,193.95,35098
INFOMEDIA,2007-04-27 00:00:00+05:30,187.05,193.0,187.05,189.1,4520
INFOMEDIA,2007-04-30 00:00:00+05:30,180.1,198.6,180.1,198.6,12551
INFOMEDIA,2007-05-03 00:00:00+05:30,202.0,204.5,190.5,193.2,10252
INFOMEDIA,2007-05-04 00:00:00+05:30,197.5,197.5,189.6,190.5,4291
