Symbol,Date,Open,High,Low,Close,Volume
INTERNET,2025-07-08 00:00:00+05:30,14.7,14.7,13.31,13.45,54573
INTERNET,2025-07-09 00:00:00+05:30,13.97,13.97,13.41,13.51,102811
INTERNET,2025-07-10 00:00:00+05:30,13.78,16.12,13.48,15.22,147799
INTERNET,2025-07-11 00:00:00+05:30,15.22,15.22,13.35,13.38,869595
INTERNET,2025-07-14 00:00:00+05:30,13.45,13.65,13.33,13.62,289582
INTERNET,2025-07-15 00:00:00+05:30,13.56,13.68,13.56,13.6,218983
INTERNET,2025-07-16 00:00:00+05:30,13.66,13.66,13.52,13.53,25870
INTERNET,2025-07-17 00:00:00+05:30,13.57,13.58,13.48,13.48,47038
INTERNET,2025-07-18 00:00:00+05:30,13.46,13.47,13.3,13.35,59083
INTERNET,2025-07-21 00:00:00+05:30,13.6,13.7,13.3,13.65,141703
INTERNET,2025-07-22 00:00:00+05:30,13.79,14.29,13.79,14.13,791944
INTERNET,2025-07-23 00:00:00+05:30,14.41,14.41,14.09,14.21,84180
INTERNET,2025-07-24 00:00:00+05:30,14.21,14.32,14.17,14.27,34699
INTERNET,2025-07-25 00:00:00+05:30,14.12,14.21,14.04,14.06,86267
INTERNET,2025-07-28 00:00:00+05:30,14.04,14.18,13.91,13.96,43418
INTERNET,2025-07-29 00:00:00+05:30,14.38,14.38,13.81,14.03,117019
INTERNET,2025-07-30 00:00:00+05:30,13.95,14.04,13.9,13.99,114005
INTERNET,2025-07-31 00:00:00+05:30,13.98,14.07,13.83,14.0,31059
INTERNET,2025-08-01 00:00:00+05:30,14.05,14.05,13.83,13.86,73294
INTERNET,2025-08-04 00:00:00+05:30,13.87,13.97,13.79,13.93,20488
INTERNET,2025-08-05 00:00:00+05:30,13.93,13.93,13.73,13.74,36018
INTERNET,2025-08-06 00:00:00+05:30,13.75,14.0,13.5,13.63,12936
INTERNET,2025-08-07 00:00:00+05:30,13.56,13.87,13.56,13.81,40510
INTERNET,2025-08-08 00:00:00+05:30,13.8,13.88,13.65,13.66,26692
INTERNET,2025-08-11 00:00:00+05:30,13.88,14.0,13.6,13.96,153319
INTERNET,2025-08-12 00:00:00+05:30,14.14,14.14,13.89,13.91,49864
INTERNET,2025-08-13 00:00:00+05:30,14.14,14.25,14.07,14.19,57870
INTERNET,2025-08-14 00:00:00+05:30,14.44,14.44,14.17,14.27,42064
INTERNET,2025-08-18 00:00:00+05:30,14.45,14.59,14.34,14.35,141689
INTERNET,2025-08-19 00:00:00+05:30,14.36,14.66,14.35,14.63,47672
INTERNET,2025-08-20 00:00:00+05:30,14.99,15.0,14.63,14.77,198086
INTERNET,2025-08-21 00:00:00+05:30,14.84,14.84,14.69,14.72,46817
INTERNET,2025-08-22 00:00:00+05:30,14.99,14.99,14.4,14.6,38095
INTERNET,2025-08-25 00:00:00+05:30,14.67,14.73,14.58,14.65,61041
INTERNET,2025-08-26 00:00:00+05:30,14.95,14.95,14.42,14.44,53798
INTERNET,2025-08-28 00:00:00+05:30,14.87,14.87,14.23,14.26,67342
INTERNET,2025-08-29 00:00:00+05:30,14.23,14.26,14.08,14.15,1960590
INTERNET,2025-09-01 00:00:00+05:30,14.23,14.43,14.13,14.41,52877
INTERNET,2025-09-02 00:00:00+05:30,14.41,14.7,14.36,14.42,46754
INTERNET,2025-09-03 00:00:00+05:30,14.85,14.85,14.47,14.59,84493
INTERNET,2025-09-04 00:00:00+05:30,14.88,14.88,14.45,14.47,110663
INTERNET,2025-09-05 00:00:00+05:30,14.57,14.7,14.54,14.62,52087
INTERNET,2025-09-08 00:00:00+05:30,14.9,14.9,14.59,14.6,96337
INTERNET,2025-09-09 00:00:00+05:30,14.19,14.86,14.19,14.57,268523
INTERNET,2025-09-10 00:00:00+05:30,14.86,14.86,14.52,14.55,38062
INTERNET,2025-09-11 00:00:00+05:30,14.51,14.64,14.49,14.52,58519
INTERNET,2025-09-12 00:00:00+05:30,14.56,14.57,14.37,14.38,295989
INTERNET,2025-09-15 00:00:00+05:30,14.48,14.52,14.4,14.49,45809
INTERNET,2025-09-16 00:00:00+05:30,14.5,14.56,14.48,14.55,87342
INTERNET,2025-09-17 00:00:00+05:30,14.58,14.59,14.53,14.55,22552
INTERNET,2025-09-18 00:00:00+05:30,14.59,14.69,14.56,14.68,207005
INTERNET,2025-09-19 00:00:00+05:30,14.68,14.7,14.65,14.67,104707
INTERNET,2025-09-22 00:00:00+05:30,14.66,14.81,14.6,14.71,257051
INTERNET,2025-09-23 00:00:00+05:30,15.0,15.0,14.58,14.61,78303
INTERNET,2025-09-24 00:00:00+05:30,14.58,14.6,14.41,14.44,229495
