Symbol,Date,Open,High,Low,Close,Volume
JAYSREETEA,2003-01-01 00:00:00+05:30,18.52,19.12,18.52,18.57,1372
JAYSREETEA,2003-01-02 00:00:00+05:30,18.27,18.5,18.27,18.5,1010
JAYSREETEA,2003-01-03 00:00:00+05:30,18.85,18.85,18.25,18.32,1402
JAYSREETEA,2003-01-06 00:00:00+05:30,18.55,18.55,18.55,18.55,1900
JAYSREETEA,2003-01-07 00:00:00+05:30,18.25,18.5,18.0,18.07,3502
JAYSREETEA,2003-01-08 00:00:00+05:30,18.23,18.23,18.0,18.0,610
JAYSREETEA,2003-01-09 00:00:00+05:30,18.25,18.25,17.77,18.23,346
JAYSREETEA,2003-01-10 00:00:00+05:30,17.88,18.23,17.88,18.0,1416
JAYSREETEA,2003-01-13 00:00:00+05:30,17.7,17.75,17.68,17.75,684
JAYSREETEA,2003-01-14 00:00:00+05:30,17.77,17.85,17.75,17.75,1100
JAYSREETEA,2003-01-15 00:00:00+05:30,18.0,18.25,17.65,17.65,420
JAYSREETEA,2003-01-16 00:00:00+05:30,17.75,18.0,17.75,18.0,2810
JAYSREETEA,2003-01-17 00:00:00+05:30,18.2,18.2,17.62,17.7,1060
JAYSREETEA,2003-01-20 00:00:00+05:30,19.25,19.25,17.5,17.68,2054
JAYSREETEA,2003-01-21 00:00:00+05:30,17.6,17.98,17.45,17.75,2902
JAYSREETEA,2003-01-22 00:00:00+05:30,17.95,17.95,17.75,17.75,352
JAYSREETEA,2003-01-23 00:00:00+05:30,17.38,17.7,17.38,17.43,604
JAYSREETEA,2003-01-24 00:00:00+05:30,17.5,17.7,17.5,17.5,870
JAYSREETEA,2003-01-27 00:00:00+05:30,17.0,17.0,16.93,16.95,700
JAYSREETEA,2003-01-28 00:00:00+05:30,16.8,16.8,16.07,16.45,2610
JAYSREETEA,2003-01-29 00:00:00+05:30,16.93,17.7,16.93,17.57,2560
JAYSREETEA,2003-01-30 00:00:00+05:30,17.0,17.23,16.75,17.18,1600
JAYSREETEA,2003-01-31 00:00:00+05:30,17.5,17.5,16.5,16.7,1360
JAYSREETEA,2003-02-03 00:00:00+05:30,17.48,17.48,17.0,17.0,120
JAYSREETEA,2003-02-04 00:00:00+05:30,17.35,17.35,16.93,16.95,978
JAYSREETEA,2003-02-05 00:00:00+05:30,17.35,17.35,17.27,17.27,20
JAYSREETEA,2003-02-06 00:00:00+05:30,17.5,17.5,17.4,17.4,2020
JAYSREETEA,2003-02-07 00:00:00+05:30,17.05,17.07,17.05,17.07,440
JAYSREETEA,2003-02-10 00:00:00+05:30,17.02,17.38,17.02,17.12,1402
JAYSREETEA,2003-02-11 00:00:00+05:30,17.0,17.0,16.55,16.55,340
JAYSREETEA,2003-02-12 00:00:00+05:30,16.8,16.8,16.65,16.75,1472
JAYSREETEA,2003-02-14 00:00:00+05:30,17.25,17.25,16.12,16.35,512
JAYSREETEA,2003-02-17 00:00:00+05:30,17.43,17.45,17.0,17.45,40
JAYSREETEA,2003-02-18 00:00:00+05:30,17.0,17.4,17.0,17.05,550
JAYSREETEA,2003-02-19 00:00:00+05:30,16.95,17.23,16.88,17.2,470
JAYSREETEA,2003-02-20 00:00:00+05:30,17.07,17.07,16.35,16.95,740
JAYSREETEA,2003-02-21 00:00:00+05:30,16.75,16.88,16.27,16.62,1406
JAYSREETEA,2003-02-24 00:00:00+05:30,16.5,17.0,16.5,16.57,1418
JAYSREETEA,2003-02-25 00:00:00+05:30,16.52,16.95,16.5,16.6,260
JAYSREETEA,2003-02-26 00:00:00+05:30,17.0,17.0,16.5,16.55,1030
JAYSREETEA,2003-02-27 00:00:00+05:30,16.65,16.68,16.65,16.68,100
JAYSREETEA,2003-02-28 00:00:00+05:30,16.65,17.5,16.07,16.3,4212
JAYSREETEA,2003-03-03 00:00:00+05:30,16.52,16.73,16.32,16.32,900
JAYSREETEA,2003-03-04 00:00:00+05:30,16.15,16.5,16.12,16.15,1034
JAYSREETEA,2003-03-05 00:00:00+05:30,16.4,16.4,15.53,15.57,1610
JAYSREETEA,2003-03-06 00:00:00+05:30,16.45,16.45,15.75,16.25,4764
JAYSREETEA,2003-03-07 00:00:00+05:30,16.57,16.57,15.5,16.38,110
JAYSREETEA,2003-03-10 00:00:00+05:30,14.88,16.5,14.85,15.2,2404
JAYSREETEA,2003-03-11 00:00:00+05:30,16.02,16.02,16.0,16.0,146
JAYSREETEA,2003-03-12 00:00:00+05:30,16.0,16.0,15.72,15.72,520
JAYSREETEA,2003-03-13 00:00:00+05:30,15.75,15.75,15.12,15.35,620
JAYSREETEA,2003-03-17 00:00:00+05:30,15.25,15.25,14.6,14.9,8680
JAYSREETEA,2003-03-19 00:00:00+05:30,14.62,14.88,14.53,14.65,10302
JAYSREETEA,2003-03-20 00:00:00+05:30,15.0,15.32,15.0,15.0,1110
JAYSREETEA,2003-03-21 00:00:00+05:30,15.0,15.0,14.68,14.68,310
JAYSREETEA,2003-03-24 00:00:00+05:30,15.0,15.0,15.0,15.0,0
JAYSREETEA,2003-03-25 00:00:00+05:30,14.15,14.15,14.15,14.15,400
JAYSREETEA,2003-03-26 00:00:00+05:30,15.0,15.0,14.45,14.53,1820
JAYSREETEA,2003-03-27 00:00:00+05:30,14.97,14.97,14.32,14.75,120
JAYSREETEA,2003-03-28 00:00:00+05:30,14.0,14.85,14.0,14.62,1284
JAYSREETEA,2003-03-31 00:00:00+05:30,14.62,14.85,14.5,14.5,710
JAYSREETEA,2003-04-01 00:00:00+05:30,14.75,14.93,14.5,14.5,1020
JAYSREETEA,2003-04-02 00:00:00+05:30,14.75,14.95,14.35,14.95,810
JAYSREETEA,2003-04-03 00:00:00+05:30,14.5,15.0,14.5,14.97,4682
JAYSREETEA,2003-04-04 00:00:00+05:30,14.9,15.55,14.9,15.1,1802
JAYSREETEA,2003-04-07 00:00:00+05:30,15.0,16.0,15.0,15.12,1630
JAYSREETEA,2003-04-08 00:00:00+05:30,15.5,15.5,15.5,15.5,1600
JAYSREETEA,2003-04-09 00:00:00+05:30,15.15,15.5,15.15,15.5,1610
JAYSREETEA,2003-04-10 00:00:00+05:30,15.47,16.23,15.47,15.88,472
JAYSREETEA,2003-04-11 00:00:00+05:30,16.0,16.0,16.0,16.0,40
JAYSREETEA,2003-04-15 00:00:00+05:30,16.48,16.5,15.5,15.5,810
JAYSREETEA,2003-04-16 00:00:00+05:30,15.5,15.65,15.5,15.5,4220
JAYSREETEA,2003-04-17 00:00:00+05:30,15.5,15.65,15.5,15.5,0
JAYSREETEA,2003-04-21 00:00:00+05:30,16.23,16.25,16.23,16.23,240
JAYSREETEA,2003-04-22 00:00:00+05:30,16.23,16.25,16.0,16.0,800
JAYSREETEA,2003-04-23 00:00:00+05:30,15.62,16.4,15.55,16.23,1118
JAYSREETEA,2003-04-24 00:00:00+05:30,16.0,16.45,16.0,16.12,1496
JAYSREETEA,2003-04-25 00:00:00+05:30,17.12,17.12,16.0,16.8,2244
JAYSREETEA,2003-04-28 00:00:00+05:30,16.5,16.73,16.1,16.35,1400
JAYSREETEA,2003-04-29 00:00:00+05:30,15.78,16.62,15.78,16.55,3740
JAYSREETEA,2003-04-30 00:00:00+05:30,16.6,16.6,16.3,16.35,3140
JAYSREETEA,2003-05-02 00:00:00+05:30,16.25,16.93,16.25,16.75,2562
JAYSREETEA,2003-05-05 00:00:00+05:30,17.43,17.5,17.12,17.25,2300
JAYSREETEA,2003-05-06 00:00:00+05:30,17.48,17.5,17.0,17.3,450
JAYSREETEA,2003-05-07 00:00:00+05:30,17.12,17.25,16.75,17.02,2498
JAYSREETEA,2003-05-08 00:00:00+05:30,17.1,17.3,16.93,17.12,1740
JAYSREETEA,2003-05-09 00:00:00+05:30,17.12,17.25,16.75,17.1,2542
JAYSREETEA,2003-05-12 00:00:00+05:30,17.0,17.43,17.0,17.43,1766
JAYSREETEA,2003-05-13 00:00:00+05:30,16.75,17.3,16.75,17.0,3310
JAYSREETEA,2003-05-14 00:00:00+05:30,17.1,17.52,17.1,17.45,2310
JAYSREETEA,2003-05-15 00:00:00+05:30,17.62,18.48,17.62,18.25,2680
JAYSREETEA,2003-05-16 00:00:00+05:30,18.8,19.15,18.5,18.68,12972
JAYSREETEA,2003-05-19 00:00:00+05:30,18.25,19.0,18.25,19.0,1022
JAYSREETEA,2003-05-20 00:00:00+05:30,18.88,18.88,18.55,18.65,1324
JAYSREETEA,2003-05-21 00:00:00+05:30,19.0,19.12,18.7,19.12,3500
JAYSREETEA,2003-05-22 00:00:00+05:30,19.9,21.0,19.3,20.85,8572
JAYSREETEA,2003-05-23 00:00:00+05:30,21.25,21.98,20.8,20.98,15690
JAYSREETEA,2003-05-26 00:00:00+05:30,20.5,20.98,20.35,20.95,7250
JAYSREETEA,2003-05-27 00:00:00+05:30,21.0,21.0,20.55,20.8,9578
JAYSREETEA,2003-05-28 00:00:00+05:30,20.25,20.45,19.77,20.25,2686
JAYSREETEA,2003-05-29 00:00:00+05:30,19.85,20.5,19.85,20.23,2600
JAYSREETEA,2003-05-30 00:00:00+05:30,19.25,21.0,19.25,20.52,5704
JAYSREETEA,2003-06-02 00:00:00+05:30,20.1,20.98,19.75,19.85,4080
JAYSREETEA,2003-06-03 00:00:00+05:30,19.12,20.35,19.12,20.18,2428
JAYSREETEA,2003-06-04 00:00:00+05:30,19.8,20.12,19.75,20.12,2972
JAYSREETEA,2003-06-05 00:00:00+05:30,19.75,20.23,19.75,19.75,1900
JAYSREETEA,2003-06-06 00:00:00+05:30,19.93,19.93,19.62,19.65,2010
JAYSREETEA,2003-06-09 00:00:00+05:30,19.98,20.5,19.52,19.93,5404
JAYSREETEA,2003-06-10 00:00:00+05:30,20.3,20.3,19.88,20.07,3130
JAYSREETEA,2003-06-11 00:00:00+05:30,19.8,20.0,19.52,19.57,3838
JAYSREETEA,2003-06-12 00:00:00+05:30,19.75,20.25,19.75,20.2,3100
JAYSREETEA,2003-06-13 00:00:00+05:30,20.25,20.25,19.77,20.0,4812
JAYSREETEA,2003-06-16 00:00:00+05:30,19.3,19.95,19.3,19.8,3708
JAYSREETEA,2003-06-17 00:00:00+05:30,19.6,20.0,19.6,19.95,6120
JAYSREETEA,2003-06-18 00:00:00+05:30,20.0,20.82,19.68,20.62,7100
JAYSREETEA,2003-06-19 00:00:00+05:30,20.25,20.75,19.95,20.25,6834
JAYSREETEA,2003-06-20 00:00:00+05:30,20.45,20.45,19.27,19.93,2052
JAYSREETEA,2003-06-23 00:00:00+05:30,20.0,20.0,19.75,19.75,1960
JAYSREETEA,2003-06-24 00:00:00+05:30,20.0,20.0,19.35,19.57,2514
JAYSREETEA,2003-06-25 00:00:00+05:30,20.5,20.5,19.25,20.32,17038
JAYSREETEA,2003-06-26 00:00:00+05:30,21.8,21.8,19.8,20.02,4656
JAYSREETEA,2003-06-27 00:00:00+05:30,20.25,20.25,19.88,20.23,3330
JAYSREETEA,2003-06-30 00:00:00+05:30,20.0,20.7,20.0,20.18,5386
JAYSREETEA,2003-07-01 00:00:00+05:30,20.7,20.7,20.15,20.25,4510
JAYSREETEA,2003-07-02 00:00:00+05:30,20.45,20.93,20.15,20.52,13888
