Symbol,Date,Open,High,Low,Close,Volume
JINDWORLD,2010-11-25 00:00:00+05:30,6.8,7.35,5.1,5.45,15680700
JINDWORLD,2010-11-26 00:00:00+05:30,5.3,5.6,4.85,5.2,2184450
JINDWORLD,2010-11-29 00:00:00+05:30,4.8,5.1,4.45,4.5,733900
JINDWORLD,2010-11-30 00:00:00+05:30,4.4,5.45,4.1,4.85,3824450
JINDWORLD,2010-12-01 00:00:00+05:30,4.85,5.2,4.8,4.9,653750
JINDWORLD,2010-12-02 00:00:00+05:30,4.9,5.1,4.85,4.9,391550
JINDWORLD,2010-12-03 00:00:00+05:30,4.85,4.9,4.65,4.65,167650
JINDWORLD,2010-12-06 00:00:00+05:30,4.7,4.8,4.6,4.65,141550
JINDWORLD,2010-12-07 00:00:00+05:30,4.55,4.7,4.5,4.55,108900
JINDWORLD,2010-12-08 00:00:00+05:30,4.55,4.55,4.4,4.5,91150
JINDWORLD,2010-12-09 00:00:00+05:30,4.4,4.5,3.9,4.15,65750
JINDWORLD,2010-12-10 00:00:00+05:30,3.95,4.25,3.8,4.2,21950
JINDWORLD,2010-12-13 00:00:00+05:30,4.0,4.4,3.85,4.25,186450
JINDWORLD,2010-12-14 00:00:00+05:30,4.35,5.0,4.25,4.35,107200
JINDWORLD,2010-12-15 00:00:00+05:30,4.8,4.8,4.3,4.4,44600
JINDWORLD,2010-12-16 00:00:00+05:30,4.35,4.35,4.25,4.3,17350
JINDWORLD,2010-12-20 00:00:00+05:30,4.35,4.35,4.25,4.25,1450
JINDWORLD,2010-12-21 00:00:00+05:30,4.35,4.5,4.25,4.45,74650
JINDWORLD,2010-12-22 00:00:00+05:30,4.45,5.3,4.4,5.1,1288150
JINDWORLD,2010-12-23 00:00:00+05:30,4.6,5.5,4.6,4.95,4098300
JINDWORLD,2010-12-24 00:00:00+05:30,4.7,5.95,4.5,5.95,18207600
JINDWORLD,2010-12-27 00:00:00+05:30,6.2,7.1,6.05,6.25,29723600
JINDWORLD,2010-12-28 00:00:00+05:30,6.3,6.5,5.85,6.2,30660100
JINDWORLD,2010-12-29 00:00:00+05:30,6.15,6.8,6.15,6.8,20098150
