Symbol,Date,Open,High,Low,Close,Volume
JKIL,2008-02-12 00:00:00+05:30,54.5,59.5,42.1,51.67,40903858
JKIL,2008-02-13 00:00:00+05:30,52.5,56.0,49.15,50.92,10605862
JKIL,2008-02-14 00:00:00+05:30,53.85,54.5,50.9,51.9,3043542
JKIL,2008-02-15 00:00:00+05:30,50.0,51.45,48.35,50.15,2098040
JKIL,2008-02-18 00:00:00+05:30,51.9,59.88,50.02,59.23,10052380
JKIL,2008-02-19 00:00:00+05:30,59.95,62.9,54.6,55.5,7108078
JKIL,2008-02-20 00:00:00+05:30,55.5,56.8,53.5,54.12,2319938
JKIL,2008-02-21 00:00:00+05:30,55.5,57.35,53.77,54.75,1235708
JKIL,2008-02-22 00:00:00+05:30,54.0,54.8,52.0,52.8,447764
JKIL,2008-02-25 00:00:00+05:30,54.4,54.4,49.75,50.23,568988
JKIL,2008-02-26 00:00:00+05:30,51.42,55.3,50.25,52.2,2153140
JKIL,2008-02-27 00:00:00+05:30,52.65,56.5,52.27,52.9,2367068
JKIL,2008-02-28 00:00:00+05:30,53.5,55.5,52.5,53.42,1001674
JKIL,2008-02-29 00:00:00+05:30,52.95,53.98,50.7,51.42,356092
JKIL,2008-03-03 00:00:00+05:30,50.0,51.25,47.5,48.15,472240
JKIL,2008-03-04 00:00:00+05:30,50.0,50.0,45.1,46.6,385496
JKIL,2008-03-05 00:00:00+05:30,46.9,47.5,44.0,44.75,211362
JKIL,2008-03-07 00:00:00+05:30,42.55,43.5,39.17,40.83,294482
JKIL,2008-03-10 00:00:00+05:30,39.12,44.5,37.05,42.0,351098
JKIL,2008-03-11 00:00:00+05:30,39.23,47.15,39.23,45.83,562358
JKIL,2008-03-12 00:00:00+05:30,47.5,49.35,43.4,44.08,267158
JKIL,2008-03-13 00:00:00+05:30,42.5,43.5,40.0,40.58,183204
JKIL,2008-03-14 00:00:00+05:30,39.55,41.98,38.5,41.02,253078
JKIL,2008-03-17 00:00:00+05:30,39.9,39.9,35.45,37.38,122960
JKIL,2008-03-18 00:00:00+05:30,34.5,39.0,34.15,36.67,116900
JKIL,2008-03-19 00:00:00+05:30,38.98,41.25,35.83,39.15,358342
JKIL,2008-03-24 00:00:00+05:30,40.5,40.5,36.0,36.33,89820
JKIL,2008-03-25 00:00:00+05:30,32.0,39.23,32.0,37.67,113504
JKIL,2008-03-26 00:00:00+05:30,38.48,40.48,37.0,38.5,176106
JKIL,2008-03-27 00:00:00+05:30,38.0,40.7,37.2,39.55,127624
JKIL,2008-03-28 00:00:00+05:30,40.25,41.3,38.5,40.7,139560
JKIL,2008-03-31 00:00:00+05:30,40.48,44.23,39.65,40.23,384954
JKIL,2008-04-01 00:00:00+05:30,41.02,42.0,40.2,41.0,74298
JKIL,2008-04-02 00:00:00+05:30,42.9,42.92,40.02,40.52,73994
JKIL,2008-04-03 00:00:00+05:30,41.0,41.5,39.05,39.73,58724
JKIL,2008-04-04 00:00:00+05:30,40.0,45.75,39.5,43.92,876014
JKIL,2008-04-07 00:00:00+05:30,47.85,47.85,43.0,44.08,417312
JKIL,2008-04-08 00:00:00+05:30,43.0,47.9,43.0,45.9,410816
JKIL,2008-04-09 00:00:00+05:30,44.0,48.65,44.0,47.25,495988
JKIL,2008-04-10 00:00:00+05:30,47.75,48.75,46.3,46.42,195244
JKIL,2008-04-11 00:00:00+05:30,46.8,47.9,45.3,45.9,119012
JKIL,2008-04-15 00:00:00+05:30,44.85,47.8,44.5,46.02,134462
JKIL,2008-04-16 00:00:00+05:30,46.25,47.33,44.12,44.52,157438
JKIL,2008-04-17 00:00:00+05:30,46.0,47.5,45.25,46.02,198270
JKIL,2008-04-21 00:00:00+05:30,46.92,50.95,46.0,50.02,624892
JKIL,2008-04-22 00:00:00+05:30,49.85,51.23,48.25,49.0,181526
JKIL,2008-04-23 00:00:00+05:30,49.5,52.65,48.6,51.35,381632
JKIL,2008-04-24 00:00:00+05:30,52.0,54.25,51.15,51.98,400874
JKIL,2008-04-25 00:00:00+05:30,53.62,53.62,50.55,51.05,121756
JKIL,2008-04-28 00:00:00+05:30,53.0,55.6,51.58,52.67,964924
JKIL,2008-04-29 00:00:00+05:30,53.5,53.85,52.12,52.92,179094
JKIL,2008-04-30 00:00:00+05:30,52.5,55.0,52.5,53.05,346468
JKIL,2008-05-02 00:00:00+05:30,53.48,54.5,52.55,52.77,165836
JKIL,2008-05-05 00:00:00+05:30,53.05,55.75,53.0,53.45,241156
JKIL,2008-05-06 00:00:00+05:30,53.6,54.12,51.25,51.98,115658
JKIL,2008-05-07 00:00:00+05:30,46.83,53.5,46.83,52.92,83770
JKIL,2008-05-08 00:00:00+05:30,51.58,56.95,51.58,55.95,692514
JKIL,2008-05-09 00:00:00+05:30,55.0,57.25,51.75,52.45,233932
JKIL,2008-05-12 00:00:00+05:30,52.45,52.77,49.25,50.98,108778
JKIL,2008-05-13 00:00:00+05:30,52.15,54.7,51.0,51.27,136694
JKIL,2008-05-14 00:00:00+05:30,51.62,53.25,51.35,52.42,63764
JKIL,2008-05-15 00:00:00+05:30,52.25,53.62,52.25,53.1,50820
JKIL,2008-05-16 00:00:00+05:30,53.02,56.85,53.02,56.3,437828
JKIL,2008-05-20 00:00:00+05:30,52.52,61.25,52.52,59.62,1521122
JKIL,2008-05-21 00:00:00+05:30,59.45,63.77,57.62,62.55,1392006
JKIL,2008-05-22 00:00:00+05:30,60.1,65.85,60.1,60.65,1003190
JKIL,2008-05-23 00:00:00+05:30,61.45,62.95,56.5,57.1,372756
JKIL,2008-05-26 00:00:00+05:30,55.05,56.5,53.58,54.15,292204
JKIL,2008-05-27 00:00:00+05:30,53.77,55.38,52.62,53.2,70712
JKIL,2008-05-28 00:00:00+05:30,53.5,53.75,52.0,53.17,76170
JKIL,2008-05-29 00:00:00+05:30,53.05,54.5,50.5,51.73,69006
JKIL,2008-05-30 00:00:00+05:30,53.0,53.25,49.25,51.8,139302
JKIL,2008-06-02 00:00:00+05:30,53.0,55.5,51.38,53.92,236014
JKIL,2008-06-03 00:00:00+05:30,51.55,53.75,50.75,53.08,87026
JKIL,2008-06-04 00:00:00+05:30,52.5,53.75,45.17,49.52,68236
JKIL,2008-06-05 00:00:00+05:30,52.45,52.45,47.52,50.25,54570
JKIL,2008-06-06 00:00:00+05:30,52.5,52.5,49.0,49.77,37746
JKIL,2008-06-09 00:00:00+05:30,48.3,48.3,44.55,45.2,62664
JKIL,2008-06-10 00:00:00+05:30,44.5,49.95,44.0,45.77,39712
JKIL,2008-06-11 00:00:00+05:30,46.5,47.3,44.05,44.58,286788
JKIL,2008-06-12 00:00:00+05:30,44.5,45.75,40.33,44.85,50040
JKIL,2008-06-13 00:00:00+05:30,45.0,47.17,44.55,45.1,51032
JKIL,2008-06-16 00:00:00+05:30,45.7,46.83,45.42,46.2,20196
JKIL,2008-06-17 00:00:00+05:30,45.62,47.25,45.5,46.52,24094
JKIL,2008-06-18 00:00:00+05:30,46.05,49.48,46.05,48.1,118266
JKIL,2008-06-19 00:00:00+05:30,47.0,48.0,45.5,46.3,34274
JKIL,2008-06-20 00:00:00+05:30,46.0,47.77,42.55,43.25,31900
JKIL,2008-06-23 00:00:00+05:30,40.4,43.75,40.0,42.67,79018
JKIL,2008-06-24 00:00:00+05:30,42.0,45.0,42.0,43.7,117134
JKIL,2008-06-25 00:00:00+05:30,43.45,45.25,41.88,44.5,85124
JKIL,2008-06-26 00:00:00+05:30,44.75,45.88,43.25,44.42,29050
JKIL,2008-06-27 00:00:00+05:30,42.5,44.0,41.58,43.3,43682
JKIL,2008-06-30 00:00:00+05:30,43.0,43.0,40.75,42.65,52494
JKIL,2008-07-01 00:00:00+05:30,41.35,42.98,40.02,41.42,27074
JKIL,2008-07-02 00:00:00+05:30,40.33,41.0,37.5,39.9,106858
JKIL,2008-07-03 00:00:00+05:30,41.45,41.75,35.58,36.15,23828
JKIL,2008-07-04 00:00:00+05:30,36.08,42.0,36.0,40.42,102292
JKIL,2008-07-07 00:00:00+05:30,40.0,42.95,40.0,41.7,26926
JKIL,2008-07-08 00:00:00+05:30,40.75,45.9,39.77,43.15,39934
JKIL,2008-07-09 00:00:00+05:30,43.5,47.0,43.5,44.95,58496
JKIL,2008-07-10 00:00:00+05:30,43.08,46.25,43.08,44.85,66292
JKIL,2008-07-11 00:00:00+05:30,45.0,45.2,42.55,44.15,65900
JKIL,2008-07-14 00:00:00+05:30,44.0,44.25,42.88,43.42,10516
JKIL,2008-07-15 00:00:00+05:30,43.0,43.0,41.0,41.23,6386
JKIL,2008-07-16 00:00:00+05:30,41.5,42.9,39.02,39.92,12846
JKIL,2008-07-17 00:00:00+05:30,42.92,42.92,40.4,40.77,6730
JKIL,2008-07-18 00:00:00+05:30,40.5,41.75,40.5,41.4,7948
JKIL,2008-07-21 00:00:00+05:30,39.77,41.5,39.77,40.8,14034
JKIL,2008-07-22 00:00:00+05:30,40.38,42.98,40.25,41.9,9204
JKIL,2008-07-23 00:00:00+05:30,42.95,50.3,42.95,50.3,153892
JKIL,2008-07-24 00:00:00+05:30,54.5,54.5,47.1,47.88,171004
JKIL,2008-07-25 00:00:00+05:30,47.0,50.5,45.85,48.0,92114
JKIL,2008-07-28 00:00:00+05:30,47.5,50.02,47.5,48.42,52234
JKIL,2008-07-29 00:00:00+05:30,48.25,48.25,45.55,46.8,16668
JKIL,2008-07-30 00:00:00+05:30,47.75,48.9,45.0,46.0,18626
JKIL,2008-07-31 00:00:00+05:30,48.67,49.0,45.52,46.38,18984
JKIL,2008-08-01 00:00:00+05:30,47.5,47.95,45.52,46.27,22374
JKIL,2008-08-04 00:00:00+05:30,38.33,46.98,38.15,45.9,24482
JKIL,2008-08-05 00:00:00+05:30,44.5,46.88,44.5,46.65,17846
JKIL,2008-08-06 00:00:00+05:30,47.75,48.5,45.05,45.5,56672
JKIL,2008-08-07 00:00:00+05:30,46.05,46.75,45.55,46.38,6310
JKIL,2008-08-08 00:00:00+05:30,42.5,47.1,42.5,45.52,17412
JKIL,2008-08-11 00:00:00+05:30,45.55,48.73,45.55,46.4,70148
JKIL,2008-08-12 00:00:00+05:30,46.3,47.0,43.0,45.92,31464
JKIL,2008-08-13 00:00:00+05:30,46.25,46.45,45.0,45.17,14362
JKIL,2008-08-14 00:00:00+05:30,45.98,45.98,44.0,44.15,13362
JKIL,2008-08-18 00:00:00+05:30,42.77,45.5,42.77,44.45,29636
JKIL,2008-08-19 00:00:00+05:30,44.95,45.0,42.55,42.73,15546
JKIL,2008-08-20 00:00:00+05:30,43.0,45.45,43.0,44.95,38952
JKIL,2008-08-21 00:00:00+05:30,44.5,45.75,43.5,44.1,22516
JKIL,2008-08-22 00:00:00+05:30,44.5,44.5,43.0,43.33,10490
JKIL,2008-08-25 00:00:00+05:30,44.75,44.75,38.3,41.83,28710
JKIL,2008-08-26 00:00:00+05:30,41.0,43.88,41.0,43.05,8162
JKIL,2008-08-27 00:00:00+05:30,42.5,47.5,42.5,45.42,84104
JKIL,2008-08-28 00:00:00+05:30,47.75,52.35,43.62,44.23,119994
JKIL,2008-08-29 00:00:00+05:30,44.5,46.5,43.9,44.27,15110
JKIL,2008-09-01 00:00:00+05:30,44.5,45.23,43.75,44.75,8268
JKIL,2008-09-02 00:00:00+05:30,44.75,45.65,44.5,44.88,15284
JKIL,2008-09-04 00:00:00+05:30,44.5,45.55,44.5,44.77,8172
