Symbol,Date,Open,High,Low,Close,Volume
KANANIIND,2011-12-14 00:00:00+05:30,13.5,13.9,13.2,13.4,220746
KANANIIND,2011-12-15 00:00:00+05:30,13.2,13.2,13.05,13.05,66020
KANANIIND,2011-12-16 00:00:00+05:30,13.3,13.8,12.3,13.0,73566
KANANIIND,2011-12-19 00:00:00+05:30,13.2,13.55,12.8,13.35,99768
KANANIIND,2011-12-20 00:00:00+05:30,13.1,14.45,12.85,13.2,66074
KANANIIND,2011-12-21 00:00:00+05:30,14.35,14.35,12.8,13.3,68044
KANANIIND,2011-12-22 00:00:00+05:30,13.8,13.8,12.2,12.75,26904
KANANIIND,2011-12-23 00:00:00+05:30,13.1,13.1,13.1,13.1,218
KANANIIND,2011-12-26 00:00:00+05:30,13.2,13.2,12.75,12.75,4288
KANANIIND,2011-12-27 00:00:00+05:30,12.75,13.25,12.75,13.2,558
KANANIIND,2011-12-28 00:00:00+05:30,12.9,12.9,12.65,12.65,1098
KANANIIND,2011-12-29 00:00:00+05:30,12.9,12.9,12.65,12.65,0
KANANIIND,2011-12-30 00:00:00+05:30,12.7,12.7,12.3,12.5,658
KANANIIND,2012-01-02 00:00:00+05:30,12.65,12.65,12.65,12.65,42
KANANIIND,2012-01-03 00:00:00+05:30,12.7,12.7,12.35,12.35,1372
KANANIIND,2012-01-04 00:00:00+05:30,11.2,12.9,11.2,12.7,602
KANANIIND,2012-01-05 00:00:00+05:30,12.7,12.7,12.7,12.7,118
KANANIIND,2012-01-06 00:00:00+05:30,12.9,12.9,12.8,12.85,272
KANANIIND,2012-01-09 00:00:00+05:30,12.8,12.8,12.8,12.8,0
KANANIIND,2012-01-10 00:00:00+05:30,12.8,12.8,12.8,12.8,0
KANANIIND,2012-01-11 00:00:00+05:30,12.45,14.55,12.2,13.4,690
KANANIIND,2012-01-12 00:00:00+05:30,13.65,13.65,12.85,13.65,372
KANANIIND,2012-01-13 00:00:00+05:30,13.7,13.7,12.7,13.65,712
KANANIIND,2012-01-16 00:00:00+05:30,13.2,13.2,13.1,13.1,602
