Symbol,Date,Open,High,Low,Close,Volume
KAPSTON,2016-01-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-01-07 12:55:00+05:30,560.0,575.0,545.25,545.25,712
KAPSTON,2016-01-12 15:14:00+05:30,555.0,555.0,555.0,555.0,40
KAPSTON,2016-01-19 11:54:00+05:30,540.25,540.25,538.5,538.5,298
KAPSTON,2016-01-21 15:22:00+05:30,545.0,545.0,544.95,545.0,300
KAPSTON,2016-01-25 13:21:00+05:30,550.0,550.0,550.0,550.0,58
KAPSTON,2016-01-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-02-02 09:18:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-02-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-02-22 09:38:00+05:30,539.5,550.0,539.5,550.0,152
KAPSTON,2016-02-23 15:15:00+05:30,550.0,550.0,550.0,550.0,400
KAPSTON,2016-02-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-03-01 09:41:00+05:30,540.05,549.5,540.05,549.5,60
KAPSTON,2016-03-02 09:20:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-03-04 13:35:00+05:30,592.45,592.5,592.45,592.5,66
KAPSTON,2016-03-10 09:17:00+05:30,524.5,524.5,520.0,520.0,48
KAPSTON,2016-03-11 11:11:00+05:30,510.0,510.0,510.0,510.0,60
KAPSTON,2016-03-15 11:19:00+05:30,510.0,510.0,510.0,510.0,20
KAPSTON,2016-03-18 12:18:00+05:30,510.0,512.5,510.0,512.25,60
KAPSTON,2016-03-23 15:18:00+05:30,512.5,512.5,512.5,512.5,234
KAPSTON,2016-03-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-03-29 13:01:00+05:30,501.0,501.0,501.0,501.0,40
KAPSTON,2016-04-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-04-13 10:45:00+05:30,501.35,510.0,501.35,510.0,120
KAPSTON,2016-04-25 14:08:00+05:30,510.0,517.5,505.65,517.5,230
KAPSTON,2016-04-27 14:41:00+05:30,512.5,512.5,512.5,512.5,2
KAPSTON,2016-04-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-05-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-05-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-05-13 11:22:00+05:30,557.5,557.5,557.5,557.5,40
KAPSTON,2016-06-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-06-02 09:49:00+05:30,507.7,512.5,507.7,510.3,640
KAPSTON,2016-06-10 14:04:00+05:30,511.3,511.3,511.3,511.3,50
KAPSTON,2016-06-13 12:07:00+05:30,513.5,513.5,511.0,511.0,1200
KAPSTON,2016-06-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-07-04 09:45:00+05:30,508.0,512.5,508.0,512.5,100
KAPSTON,2016-07-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-07-07 10:00:00+05:30,520.0,520.0,517.5,519.3,340
KAPSTON,2016-07-11 14:10:00+05:30,518.5,518.5,518.5,518.5,102
KAPSTON,2016-07-25 14:21:00+05:30,529.5,529.5,527.5,527.5,200
KAPSTON,2016-07-27 15:29:00+05:30,525.0,525.0,525.0,525.0,472
KAPSTON,2016-07-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-08-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-08-02 15:28:00+05:30,526.25,526.25,526.25,526.25,54
KAPSTON,2016-08-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-08-08 14:48:00+05:30,526.5,526.5,526.5,526.5,40
KAPSTON,2016-08-18 10:49:00+05:30,570.0,570.0,530.0,535.0,10
KAPSTON,2016-08-19 11:50:00+05:30,525.0,525.0,525.0,525.0,540
KAPSTON,2016-08-24 15:20:00+05:30,535.0,535.0,535.0,535.0,28
KAPSTON,2016-08-25 14:15:00+05:30,532.0,532.0,532.0,532.0,100
KAPSTON,2016-08-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-09-01 11:15:00+05:30,519.5,527.35,519.5,527.3,800
KAPSTON,2016-09-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-09-06 14:37:00+05:30,527.35,527.35,527.35,527.35,20
KAPSTON,2016-09-07 10:13:00+05:30,569.5,569.5,569.5,569.5,2
KAPSTON,2016-09-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-10-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-10-05 11:26:00+05:30,571.5,571.5,549.5,553.35,290
KAPSTON,2016-10-24 10:38:00+05:30,544.5,544.5,544.5,544.5,2
KAPSTON,2016-11-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-11-18 11:13:00+05:30,522.65,536.5,521.55,534.0,1012
KAPSTON,2016-11-23 12:30:00+05:30,535.0,535.0,535.0,535.0,98
KAPSTON,2016-11-25 10:27:00+05:30,540.0,540.0,540.0,540.0,258
KAPSTON,2016-11-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2016-12-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2016-12-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2016-12-06 12:32:00+05:30,540.5,540.5,540.5,540.5,40
KAPSTON,2016-12-28 09:45:00+05:30,534.5,540.0,534.5,540.0,40
KAPSTON,2016-12-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2017-01-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2017-01-04 13:19:00+05:30,550.0,574.5,550.0,574.5,100
KAPSTON,2017-01-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2017-01-06 11:38:00+05:30,540.0,540.5,540.0,540.5,4
KAPSTON,2017-01-23 09:41:00+05:30,540.5,540.5,540.5,540.5,100
KAPSTON,2017-02-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2017-02-10 09:33:00+05:30,585.0,585.0,585.0,585.0,72
KAPSTON,2017-02-21 13:26:00+05:30,547.5,547.5,547.5,547.5,100
KAPSTON,2017-02-22 14:30:00+05:30,540.0,540.0,540.0,540.0,20
KAPSTON,2017-02-23 13:48:00+05:30,545.0,547.5,545.0,547.5,270
KAPSTON,2017-03-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2017-03-14 09:19:00+05:30,502.55,512.5,501.0,507.5,1140
KAPSTON,2017-03-15 10:41:00+05:30,501.0,501.0,500.0,500.0,752
KAPSTON,2017-03-16 09:31:00+05:30,500.0,500.0,500.0,500.0,10
KAPSTON,2017-03-17 09:49:00+05:30,500.0,500.0,500.0,500.0,94
KAPSTON,2017-03-21 14:48:00+05:30,505.0,505.0,505.0,505.0,100
KAPSTON,2017-03-22 09:39:00+05:30,510.0,510.0,508.75,508.75,320
KAPSTON,2017-03-23 09:38:00+05:30,500.5,508.75,500.5,508.75,312
KAPSTON,2017-03-24 10:07:00+05:30,505.0,508.5,505.0,508.5,572
KAPSTON,2017-03-29 09:15:00+05:30,756.0,756.0,756.0,756.0,0
KAPSTON,2017-04-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2017-04-11 13:51:00+05:30,500.0,500.0,496.5,497.9,1000
KAPSTON,2017-04-13 12:30:00+05:30,500.0,500.0,500.0,500.0,202
KAPSTON,2017-04-20 11:56:00+05:30,500.0,500.0,500.0,500.0,100
KAPSTON,2017-04-24 13:16:00+05:30,498.0,500.0,498.0,500.0,60
KAPSTON,2017-05-02 09:15:00+05:30,599.5,599.5,599.5,599.5,0
KAPSTON,2017-05-05 09:15:00+05:30,477.5,477.5,477.5,477.5,0
KAPSTON,2018-04-04 09:44:00+05:30,46.25,46.5,46.05,46.2,283200
KAPSTON,2018-04-05 09:16:00+05:30,46.15,46.5,46.15,46.3,362400
KAPSTON,2018-04-06 09:27:00+05:30,46.15,46.35,44.0,45.8,796800
KAPSTON,2018-04-09 10:00:00+05:30,45.95,46.1,45.5,45.75,379200
KAPSTON,2018-04-10 09:15:00+05:30,47.25,47.25,45.0,45.1,508800
KAPSTON,2018-04-11 09:27:00+05:30,46.9,47.35,46.75,46.9,386400
KAPSTON,2018-04-12 10:09:00+05:30,46.8,49.25,46.7,47.05,98400
KAPSTON,2018-04-13 09:21:00+05:30,47.05,47.25,46.75,47.1,79200
KAPSTON,2018-04-16 09:15:00+05:30,49.2,49.2,47.0,47.2,115200
KAPSTON,2018-04-17 11:30:00+05:30,47.3,47.7,46.05,46.95,40800
KAPSTON,2018-04-18 10:11:00+05:30,40.1,40.55,40.1,40.1,45600
KAPSTON,2018-04-19 09:55:00+05:30,40.3,40.3,39.8,40.25,21600
KAPSTON,2018-04-20 11:12:00+05:30,41.0,41.0,39.6,40.3,19200
KAPSTON,2018-04-23 10:23:00+05:30,40.3,40.4,39.8,40.3,21600
KAPSTON,2018-04-24 10:13:00+05:30,40.5,40.6,39.8,40.45,26400
KAPSTON,2018-04-25 11:14:00+05:30,40.2,41.9,40.2,41.9,19200
KAPSTON,2018-04-26 09:28:00+05:30,42.7,42.7,39.95,40.6,93600
KAPSTON,2018-04-27 10:17:00+05:30,41.0,41.25,40.4,40.6,40800
KAPSTON,2018-04-30 09:50:00+05:30,40.6,40.65,40.4,40.4,122400
KAPSTON,2018-05-02 09:36:00+05:30,40.65,40.65,40.2,40.5,43200
KAPSTON,2018-05-03 11:45:00+05:30,40.6,40.6,40.2,40.6,7200
KAPSTON,2018-05-04 09:45:00+05:30,40.25,41.0,40.25,40.6,31200
KAPSTON,2018-05-07 12:21:00+05:30,40.65,41.25,40.6,40.6,96000
KAPSTON,2018-05-08 09:47:00+05:30,40.8,40.8,40.2,40.65,48000
KAPSTON,2018-05-09 11:21:00+05:30,40.3,41.0,40.2,40.7,31200
KAPSTON,2018-05-10 12:01:00+05:30,40.4,40.7,40.2,40.55,16800
KAPSTON,2018-05-11 14:30:00+05:30,40.2,40.7,40.1,40.7,12000
KAPSTON,2018-05-14 09:21:00+05:30,40.2,40.65,40.1,40.2,40800
KAPSTON,2018-05-15 09:44:00+05:30,40.4,40.8,40.2,40.65,28800
KAPSTON,2018-05-16 11:21:00+05:30,40.2,40.65,40.2,40.2,12000
KAPSTON,2018-05-17 15:29:00+05:30,40.6,40.6,40.6,40.6,4800
KAPSTON,2018-05-18 09:41:00+05:30,40.6,41.0,40.6,41.0,7200
KAPSTON,2018-05-21 11:49:00+05:30,40.2,40.8,40.2,40.7,67200
KAPSTON,2018-05-22 10:46:00+05:30,41.0,46.7,40.65,42.5,86400
KAPSTON,2018-05-23 10:23:00+05:30,41.5,41.5,40.6,41.0,31200
KAPSTON,2018-05-24 09:56:00+05:30,40.6,41.9,40.6,41.9,12000
KAPSTON,2018-05-25 11:15:00+05:30,40.85,41.9,40.6,41.9,28800
KAPSTON,2018-05-28 13:26:00+05:30,42.1,43.6,41.9,42.5,36000
KAPSTON,2018-05-29 12:52:00+05:30,41.9,43.6,41.9,42.5,9600
KAPSTON,2018-05-30 11:55:00+05:30,43.15,44.65,42.3,43.75,124800
KAPSTON,2018-05-31 09:37:00+05:30,43.4,43.4,40.8,41.25,40800
KAPSTON,2018-06-01 09:42:00+05:30,41.05,42.7,40.5,41.45,40800
KAPSTON,2018-06-04 10:03:00+05:30,40.85,41.0,40.7,40.9,16800
KAPSTON,2018-06-05 09:15:00+05:30,40.85,41.2,40.4,41.2,69600
KAPSTON,2018-06-06 09:29:00+05:30,40.65,42.7,40.5,41.2,43200
KAPSTON,2018-06-07 15:14:00+05:30,41.8,41.8,41.8,41.8,12000
KAPSTON,2018-06-08 11:35:00+05:30,42.7,43.4,41.45,43.4,16800
KAPSTON,2018-06-11 10:04:00+05:30,42.7,43.5,41.0,42.7,33600
KAPSTON,2018-06-12 11:39:00+05:30,42.1,42.95,41.9,42.95,36000
KAPSTON,2018-06-13 10:03:00+05:30,42.3,42.3,41.9,42.3,16800
KAPSTON,2018-06-14 15:01:00+05:30,42.3,42.3,42.3,42.3,2400
KAPSTON,2018-06-18 14:36:00+05:30,41.0,42.1,41.0,42.0,9600
KAPSTON,2018-06-19 12:54:00+05:30,42.0,42.0,42.0,42.0,7200
KAPSTON,2018-06-21 13:48:00+05:30,42.3,42.3,42.3,42.3,2400
KAPSTON,2018-06-22 12:54:00+05:30,41.7,41.9,41.7,41.9,4800
KAPSTON,2018-06-25 15:03:00+05:30,41.45,41.45,41.45,41.45,2400
KAPSTON,2018-06-26 13:37:00+05:30,40.7,42.3,40.7,41.5,7200
KAPSTON,2018-06-27 09:50:00+05:30,40.85,41.1,40.85,41.1,4800
KAPSTON,2018-06-28 12:05:00+05:30,41.2,41.2,41.15,41.15,12000
KAPSTON,2018-06-29 14:55:00+05:30,40.85,41.45,40.85,41.45,4800
KAPSTON,2018-07-02 14:49:00+05:30,41.45,41.45,41.45,41.45,21600
