Symbol,Date,Open,High,Low,Close,Volume
KERNEX,2007-01-02 00:00:00+05:30,158.0,158.0,155.5,156.6,8984
KERNEX,2007-01-03 00:00:00+05:30,158.0,172.3,157.35,172.3,98761
KERNEX,2007-01-04 00:00:00+05:30,178.25,182.0,172.1,175.95,137855
KERNEX,2007-01-05 00:00:00+05:30,172.0,185.9,172.0,180.9,74835
KERNEX,2007-01-08 00:00:00+05:30,181.5,190.0,176.5,186.15,100371
KERNEX,2007-01-09 00:00:00+05:30,188.0,189.0,179.15,180.75,45493
KERNEX,2007-01-10 00:00:00+05:30,181.75,184.0,174.0,175.9,26378
KERNEX,2007-01-11 00:00:00+05:30,176.0,182.5,175.0,179.85,24517
KERNEX,2007-01-12 00:00:00+05:30,181.0,188.45,180.5,184.65,36470
KERNEX,2007-01-15 00:00:00+05:30,184.0,193.9,184.0,190.05,67744
KERNEX,2007-01-16 00:00:00+05:30,191.1,199.55,186.3,196.9,125338
KERNEX,2007-01-17 00:00:00+05:30,198.35,206.75,197.1,206.75,82069
KERNEX,2007-01-18 00:00:00+05:30,217.05,217.1,213.0,217.1,32242
KERNEX,2007-01-19 00:00:00+05:30,225.0,228.0,209.0,223.0,305465
KERNEX,2007-01-22 00:00:00+05:30,226.5,229.5,212.0,218.1,123721
KERNEX,2007-01-23 00:00:00+05:30,214.0,216.9,207.2,207.2,71902
KERNEX,2007-01-24 00:00:00+05:30,207.25,207.25,196.85,197.45,35227
KERNEX,2007-01-25 00:00:00+05:30,196.85,200.75,187.6,187.6,117068
KERNEX,2007-01-29 00:00:00+05:30,190.0,191.8,185.0,187.8,14977
KERNEX,2007-01-31 00:00:00+05:30,189.0,194.45,181.1,181.85,13580
KERNEX,2007-02-01 00:00:00+05:30,180.0,184.8,177.25,180.95,15251
KERNEX,2007-02-02 00:00:00+05:30,180.05,182.0,177.0,178.25,12597
KERNEX,2007-02-05 00:00:00+05:30,179.0,183.9,179.0,180.25,8900
KERNEX,2007-02-06 00:00:00+05:30,182.0,183.75,179.0,182.2,6967
KERNEX,2007-02-07 00:00:00+05:30,184.35,184.35,177.4,177.95,9152
KERNEX,2007-02-08 00:00:00+05:30,179.45,179.8,172.1,177.3,12050
KERNEX,2007-02-09 00:00:00+05:30,178.1,178.85,170.0,170.9,12123
KERNEX,2007-02-12 00:00:00+05:30,170.0,170.0,162.35,164.25,9369
KERNEX,2007-02-13 00:00:00+05:30,163.0,172.4,161.0,162.9,4331
KERNEX,2007-02-14 00:00:00+05:30,166.0,166.0,160.0,164.8,4997
KERNEX,2007-02-15 00:00:00+05:30,160.0,173.05,160.0,173.05,6975
KERNEX,2007-02-19 00:00:00+05:30,175.0,181.7,173.6,181.7,10123
KERNEX,2007-02-20 00:00:00+05:30,189.0,189.0,176.0,177.05,7153
KERNEX,2007-02-21 00:00:00+05:30,174.15,177.85,171.0,176.2,4273
KERNEX,2007-02-22 00:00:00+05:30,173.85,176.8,171.5,172.45,4869
KERNEX,2007-02-23 00:00:00+05:30,172.0,172.0,164.0,165.05,12024
KERNEX,2007-02-26 00:00:00+05:30,171.9,173.3,166.2,169.05,17691
KERNEX,2007-02-27 00:00:00+05:30,172.5,172.5,160.75,161.5,11831
KERNEX,2007-02-28 00:00:00+05:30,153.9,164.7,153.9,156.3,5874
KERNEX,2007-03-01 00:00:00+05:30,155.0,157.0,148.5,151.75,12050
KERNEX,2007-03-02 00:00:00+05:30,150.55,158.0,150.55,152.75,8201
KERNEX,2007-03-05 00:00:00+05:30,150.0,150.0,145.15,145.15,6767
KERNEX,2007-03-06 00:00:00+05:30,144.0,146.8,137.9,137.95,141067
KERNEX,2007-03-07 00:00:00+05:30,142.0,142.85,131.1,131.1,8194
KERNEX,2007-03-08 00:00:00+05:30,134.0,134.7,129.4,132.8,18733
KERNEX,2007-03-09 00:00:00+05:30,135.0,135.1,133.0,133.75,9777
KERNEX,2007-03-12 00:00:00+05:30,136.0,140.45,136.0,140.35,17872
KERNEX,2007-03-13 00:00:00+05:30,141.1,147.4,141.1,147.35,26951
KERNEX,2007-03-14 00:00:00+05:30,142.0,147.15,140.5,143.45,16588
KERNEX,2007-03-15 00:00:00+05:30,147.0,148.0,138.0,140.6,6048
KERNEX,2007-03-16 00:00:00+05:30,141.4,141.5,134.0,135.85,6284
