Symbol,Date,Open,High,Low,Close,Volume
KHAITANLTD,2007-01-02 00:00:00+05:30,83.4,87.0,81.05,84.65,1185
KHAITANLTD,2007-01-03 00:00:00+05:30,86.9,87.0,82.3,83.0,1379
KHAITANLTD,2007-01-04 00:00:00+05:30,80.3,85.9,80.0,81.45,2276
KHAITANLTD,2007-01-05 00:00:00+05:30,80.0,84.0,80.0,80.3,7392
KHAITANLTD,2007-01-08 00:00:00+05:30,80.1,82.0,80.1,80.1,1140
KHAITANLTD,2007-01-09 00:00:00+05:30,80.1,80.2,80.1,80.1,3050
KHAITANLTD,2007-01-10 00:00:00+05:30,80.5,82.85,80.25,80.25,6125
KHAITANLTD,2007-01-11 00:00:00+05:30,80.25,81.5,80.25,80.25,7069
KHAITANLTD,2007-01-12 00:00:00+05:30,80.25,84.0,80.25,80.3,8370
KHAITANLTD,2007-01-15 00:00:00+05:30,80.5,84.25,80.5,83.0,2060
KHAITANLTD,2007-01-16 00:00:00+05:30,83.5,85.0,80.5,83.85,3920
KHAITANLTD,2007-01-17 00:00:00+05:30,85.9,88.05,85.15,88.05,6519
KHAITANLTD,2007-01-18 00:00:00+05:30,85.1,89.0,84.0,84.0,2416
KHAITANLTD,2007-01-19 00:00:00+05:30,88.2,88.2,84.0,88.0,2835
KHAITANLTD,2007-01-22 00:00:00+05:30,91.7,91.7,85.3,90.0,1747
KHAITANLTD,2007-01-23 00:00:00+05:30,92.0,92.0,85.6,87.8,2824
KHAITANLTD,2007-01-24 00:00:00+05:30,85.0,88.0,84.0,84.75,2401
KHAITANLTD,2007-01-25 00:00:00+05:30,87.0,87.0,81.0,84.0,525
KHAITANLTD,2007-01-29 00:00:00+05:30,81.55,88.2,81.5,83.5,1515
KHAITANLTD,2007-01-31 00:00:00+05:30,82.3,85.5,82.3,82.55,5125
KHAITANLTD,2007-02-01 00:00:00+05:30,80.0,86.45,79.5,80.6,13461
KHAITANLTD,2007-02-02 00:00:00+05:30,81.0,81.3,81.0,81.2,1602
KHAITANLTD,2007-02-05 00:00:00+05:30,80.7,81.75,80.5,80.5,7968
KHAITANLTD,2007-02-06 00:00:00+05:30,80.5,80.5,80.0,80.05,5320
KHAITANLTD,2007-02-07 00:00:00+05:30,82.5,82.5,80.0,81.05,1884
KHAITANLTD,2007-02-08 00:00:00+05:30,83.5,83.9,78.55,79.95,2652
KHAITANLTD,2007-02-09 00:00:00+05:30,80.0,80.0,75.95,75.95,2617
KHAITANLTD,2007-02-12 00:00:00+05:30,73.0,73.0,72.5,72.5,157
KHAITANLTD,2007-02-13 00:00:00+05:30,69.0,73.0,68.9,68.9,1253
KHAITANLTD,2007-02-14 00:00:00+05:30,67.5,67.5,65.45,67.1,1185
