Symbol,Date,Open,High,Low,Close,Volume
KITEX,2012-09-25 00:00:00+05:30,14.95,15.95,14.75,14.9,250513
KITEX,2012-09-26 00:00:00+05:30,16.65,16.65,14.3,14.8,154071
KITEX,2012-09-27 00:00:00+05:30,15.15,15.2,14.4,14.55,105434
KITEX,2012-09-28 00:00:00+05:30,14.3,14.7,13.85,14.25,47720
KITEX,2012-10-01 00:00:00+05:30,14.5,15.35,13.1,14.0,89016
KITEX,2012-10-03 00:00:00+05:30,14.5,14.5,13.65,14.05,63255
KITEX,2012-10-04 00:00:00+05:30,13.6,14.75,13.55,14.6,267639
KITEX,2012-10-05 00:00:00+05:30,15.25,15.7,14.6,15.45,306706
KITEX,2012-10-08 00:00:00+05:30,15.35,15.55,15.35,15.45,68593
KITEX,2012-10-09 00:00:00+05:30,15.1,16.65,15.1,16.2,424956
KITEX,2012-10-10 00:00:00+05:30,16.4,16.45,15.75,15.95,23630
KITEX,2012-10-11 00:00:00+05:30,15.4,16.05,15.25,15.45,28131
KITEX,2012-10-12 00:00:00+05:30,15.5,15.95,15.15,15.25,39067
KITEX,2012-10-15 00:00:00+05:30,15.25,15.35,14.75,14.8,43771
KITEX,2012-10-16 00:00:00+05:30,15.45,15.45,14.75,15.0,31842
KITEX,2012-10-17 00:00:00+05:30,15.2,15.2,14.55,14.7,15209
KITEX,2012-10-18 00:00:00+05:30,14.3,14.9,14.3,14.6,9643
KITEX,2012-10-19 00:00:00+05:30,14.6,15.2,14.3,15.0,18878
KITEX,2012-10-22 00:00:00+05:30,14.45,15.2,14.3,14.95,44419
KITEX,2012-10-23 00:00:00+05:30,14.6,15.25,14.6,14.9,49028
KITEX,2012-10-25 00:00:00+05:30,14.8,15.1,14.55,14.6,96004
KITEX,2012-10-26 00:00:00+05:30,15.25,15.25,14.55,15.1,54605
KITEX,2012-10-29 00:00:00+05:30,15.25,15.25,14.65,14.75,59487
KITEX,2012-10-30 00:00:00+05:30,14.7,15.0,14.1,14.6,49982
KITEX,2012-10-31 00:00:00+05:30,14.65,14.65,14.0,14.1,20150
KITEX,2012-11-01 00:00:00+05:30,14.95,14.95,13.6,13.85,21749
KITEX,2012-11-02 00:00:00+05:30,14.25,15.35,14.05,15.1,71092
KITEX,2012-11-05 00:00:00+05:30,14.35,16.2,14.35,15.45,40180
KITEX,2012-11-06 00:00:00+05:30,15.5,15.5,14.8,14.95,13777
KITEX,2012-11-07 00:00:00+05:30,14.95,15.25,14.9,14.9,4191
