Symbol,Date,Open,High,Low,Close,Volume
KRITINUT,2022-10-07 00:00:00+05:30,57.0,57.45,51.95,54.5,58312
KRITINUT,2022-10-10 00:00:00+05:30,54.2,55.75,51.25,53.25,28373
KRITINUT,2022-10-11 00:00:00+05:30,53.7,54.1,46.5,51.35,36500
KRITINUT,2022-10-12 00:00:00+05:30,52.7,53.0,51.9,52.3,13074
KRITINUT,2022-10-13 00:00:00+05:30,53.15,53.15,50.1,51.5,22361
KRITINUT,2022-10-14 00:00:00+05:30,52.9,52.9,50.75,51.45,16244
KRITINUT,2022-10-17 00:00:00+05:30,52.0,52.5,51.1,51.7,22191
KRITINUT,2022-10-18 00:00:00+05:30,52.75,53.4,51.65,52.85,15934
KRITINUT,2022-10-19 00:00:00+05:30,52.1,53.5,50.95,51.6,21981
KRITINUT,2022-10-20 00:00:00+05:30,51.55,53.0,50.45,52.25,15836
KRITINUT,2022-10-21 00:00:00+05:30,51.85,52.4,50.8,51.15,13345
KRITINUT,2022-10-24 00:00:00+05:30,52.2,52.95,51.05,52.35,9347
KRITINUT,2022-10-25 00:00:00+05:30,53.4,53.4,48.55,50.55,32548
KRITINUT,2022-10-27 00:00:00+05:30,51.6,52.85,50.0,50.8,11296
KRITINUT,2022-10-28 00:00:00+05:30,51.85,51.85,50.2,50.35,16367
KRITINUT,2022-10-31 00:00:00+05:30,50.35,51.95,50.35,51.35,31052
KRITINUT,2022-11-01 00:00:00+05:30,51.35,52.6,50.8,51.7,28007
KRITINUT,2022-11-02 00:00:00+05:30,52.75,52.75,51.0,51.3,9398
KRITINUT,2022-11-03 00:00:00+05:30,53.0,53.0,50.85,51.25,9779
KRITINUT,2022-11-04 00:00:00+05:30,51.3,51.8,50.8,51.1,16252
KRITINUT,2022-11-07 00:00:00+05:30,51.15,52.4,51.0,51.8,11017
KRITINUT,2022-11-09 00:00:00+05:30,52.5,53.05,50.5,51.5,31624
KRITINUT,2022-11-10 00:00:00+05:30,53.8,60.0,53.1,56.5,395870
KRITINUT,2022-11-11 00:00:00+05:30,59.0,59.0,54.05,54.75,77596
KRITINUT,2022-11-14 00:00:00+05:30,55.0,56.4,54.0,54.3,33123
KRITINUT,2022-11-15 00:00:00+05:30,55.65,56.0,53.2,54.9,24151
KRITINUT,2022-11-16 00:00:00+05:30,55.8,56.05,44.0,53.05,48398
KRITINUT,2022-11-17 00:00:00+05:30,54.8,54.8,53.1,53.8,23289
KRITINUT,2022-11-18 00:00:00+05:30,54.2,54.95,52.3,52.6,29632
KRITINUT,2022-11-21 00:00:00+05:30,52.05,54.2,52.0,52.9,46876
KRITINUT,2022-11-22 00:00:00+05:30,54.0,54.8,52.0,52.65,28450
