Symbol,Date,Open,High,Low,Close,Volume
LAXMICOT,2017-03-31 09:15:00+05:30,20.6,21.35,19.5,19.9,1596000
LAXMICOT,2017-04-03 09:18:00+05:30,20.25,20.3,19.9,20.0,186000
LAXMICOT,2017-04-05 09:21:00+05:30,20.0,20.1,19.7,19.7,96000
LAXMICOT,2017-04-06 09:48:00+05:30,19.65,19.8,19.65,19.75,66000
LAXMICOT,2017-04-07 09:49:00+05:30,19.75,19.75,19.55,19.6,66000
LAXMICOT,2017-04-10 09:40:00+05:30,19.45,19.5,19.0,19.5,84000
LAXMICOT,2017-04-11 09:29:00+05:30,19.0,19.2,18.8,18.8,24000
LAXMICOT,2017-04-12 09:24:00+05:30,18.5,19.0,18.0,18.0,54000
LAXMICOT,2017-04-13 09:44:00+05:30,18.4,18.8,18.4,18.5,84000
LAXMICOT,2017-04-17 10:55:00+05:30,19.1,19.1,18.5,18.5,18000
LAXMICOT,2017-04-19 14:47:00+05:30,18.3,18.7,18.3,18.7,12000
LAXMICOT,2017-04-20 09:29:00+05:30,19.0,19.0,18.2,18.45,24000
LAXMICOT,2017-04-21 15:24:00+05:30,18.75,18.75,18.75,18.75,6000
LAXMICOT,2017-04-24 13:46:00+05:30,19.0,19.0,19.0,19.0,6000
LAXMICOT,2017-04-25 10:45:00+05:30,19.15,19.15,18.45,18.7,18000
LAXMICOT,2017-04-26 10:57:00+05:30,18.95,18.95,18.0,18.7,54000
LAXMICOT,2017-04-27 10:57:00+05:30,18.5,18.5,18.5,18.5,6000
LAXMICOT,2017-04-28 09:34:00+05:30,18.0,18.5,18.0,18.5,18000
LAXMICOT,2017-05-02 10:32:00+05:30,17.3,17.7,17.3,17.65,24000
LAXMICOT,2017-05-03 10:18:00+05:30,17.5,17.5,17.5,17.5,12000
LAXMICOT,2017-05-04 12:09:00+05:30,17.45,17.45,17.2,17.2,18000
LAXMICOT,2017-05-05 11:46:00+05:30,17.85,17.85,17.3,17.3,18000
LAXMICOT,2017-05-08 09:36:00+05:30,17.5,18.0,17.5,18.0,30000
LAXMICOT,2017-05-09 09:29:00+05:30,17.6,18.4,17.6,18.4,24000
LAXMICOT,2017-05-10 14:55:00+05:30,18.15,18.15,18.15,18.15,6000
LAXMICOT,2017-05-11 14:51:00+05:30,18.45,18.45,18.45,18.45,6000
LAXMICOT,2017-05-12 14:42:00+05:30,17.8,17.8,17.8,17.8,6000
LAXMICOT,2017-05-16 09:26:00+05:30,17.7,17.9,17.3,17.9,36000
LAXMICOT,2017-05-17 10:20:00+05:30,18.0,18.4,18.0,18.35,24000
LAXMICOT,2017-05-19 10:31:00+05:30,18.45,18.95,18.45,18.7,24000
LAXMICOT,2017-05-22 09:26:00+05:30,19.4,19.45,18.9,18.9,36000
LAXMICOT,2017-05-23 15:01:00+05:30,18.6,18.6,18.4,18.5,12000
LAXMICOT,2017-05-24 12:52:00+05:30,18.0,18.0,18.0,18.0,6000
LAXMICOT,2017-05-25 15:23:00+05:30,17.55,17.55,17.55,17.55,18000
LAXMICOT,2017-05-26 10:14:00+05:30,18.0,18.0,18.0,18.0,24000
LAXMICOT,2017-05-29 10:18:00+05:30,18.25,18.75,17.8,17.8,78000
LAXMICOT,2017-05-30 10:16:00+05:30,17.2,17.8,17.15,17.45,48000
LAXMICOT,2017-05-31 10:34:00+05:30,17.1,17.7,17.1,17.7,12000
LAXMICOT,2017-06-01 13:15:00+05:30,17.85,17.85,17.2,17.45,18000
LAXMICOT,2017-06-05 09:55:00+05:30,17.5,17.5,17.25,17.25,12000
LAXMICOT,2017-06-06 14:39:00+05:30,17.4,17.4,17.1,17.1,12000
LAXMICOT,2017-06-07 10:08:00+05:30,17.05,17.05,16.15,16.15,42000
LAXMICOT,2017-06-09 09:25:00+05:30,16.15,16.5,16.15,16.5,12000
LAXMICOT,2017-06-15 10:30:00+05:30,15.7,16.1,15.7,16.05,72000
LAXMICOT,2017-06-16 11:35:00+05:30,16.8,17.2,16.8,17.2,30000
LAXMICOT,2017-06-19 14:29:00+05:30,16.65,16.9,16.05,16.9,36000
LAXMICOT,2017-06-20 09:26:00+05:30,16.4,16.85,16.0,16.3,162000
LAXMICOT,2017-06-21 09:49:00+05:30,16.5,16.95,16.35,16.7,60000
LAXMICOT,2017-06-22 11:51:00+05:30,16.3,16.85,16.3,16.8,24000
LAXMICOT,2017-06-27 10:57:00+05:30,16.5,16.8,16.5,16.8,18000
LAXMICOT,2017-06-28 09:22:00+05:30,16.75,16.8,16.7,16.8,36000
LAXMICOT,2017-06-29 13:30:00+05:30,16.35,16.7,16.0,16.35,48000
LAXMICOT,2017-06-30 15:28:00+05:30,16.9,16.9,16.9,16.9,6000
LAXMICOT,2017-07-03 14:09:00+05:30,17.45,17.45,17.45,17.45,12000
LAXMICOT,2017-07-04 11:30:00+05:30,17.5,18.0,17.5,18.0,18000
LAXMICOT,2017-07-05 09:49:00+05:30,17.1,17.1,17.0,17.0,18000
LAXMICOT,2017-07-10 13:10:00+05:30,16.1,17.2,16.1,16.3,24000
LAXMICOT,2017-07-11 09:48:00+05:30,17.2,17.25,16.4,17.25,18000
LAXMICOT,2017-07-12 10:16:00+05:30,16.8,16.8,16.5,16.5,24000
LAXMICOT,2017-07-13 09:49:00+05:30,16.25,17.25,16.25,16.9,78000
LAXMICOT,2017-07-17 09:43:00+05:30,16.25,16.25,16.2,16.2,12000
LAXMICOT,2017-07-19 11:09:00+05:30,16.7,16.7,16.7,16.7,6000
LAXMICOT,2017-07-20 12:12:00+05:30,17.0,17.0,16.85,16.85,12000
LAXMICOT,2017-07-21 11:26:00+05:30,16.95,17.0,16.5,16.8,36000
LAXMICOT,2017-07-25 13:15:00+05:30,16.3,16.3,16.0,16.0,24000
LAXMICOT,2017-07-26 09:24:00+05:30,16.4,16.4,16.4,16.4,6000
LAXMICOT,2017-07-27 09:21:00+05:30,16.45,16.5,15.85,15.85,54000
LAXMICOT,2017-08-01 11:25:00+05:30,16.1,16.1,15.0,15.0,18000
LAXMICOT,2017-08-02 10:25:00+05:30,14.55,14.55,14.3,14.3,18000
LAXMICOT,2017-08-03 10:13:00+05:30,14.35,14.35,14.0,14.0,30000
LAXMICOT,2017-08-04 14:26:00+05:30,14.85,15.0,14.85,15.0,24000
LAXMICOT,2017-08-07 11:21:00+05:30,15.0,15.75,15.0,15.75,18000
LAXMICOT,2017-08-08 09:33:00+05:30,15.75,16.0,15.75,16.0,12000
LAXMICOT,2017-08-09 10:39:00+05:30,15.85,16.4,15.85,16.4,18000
LAXMICOT,2017-08-10 10:13:00+05:30,16.25,16.25,15.85,15.85,18000
LAXMICOT,2017-08-11 12:38:00+05:30,16.0,16.15,16.0,16.15,12000
LAXMICOT,2017-08-17 09:26:00+05:30,16.2,16.2,16.15,16.15,12000
LAXMICOT,2017-08-23 12:35:00+05:30,15.9,15.9,15.9,15.9,6000
LAXMICOT,2017-08-28 14:23:00+05:30,15.0,15.0,15.0,15.0,6000
LAXMICOT,2017-08-29 11:26:00+05:30,15.0,15.9,15.0,15.9,12000
LAXMICOT,2017-08-30 09:46:00+05:30,15.5,16.0,15.5,16.0,12000
LAXMICOT,2017-08-31 15:04:00+05:30,15.5,15.5,15.5,15.5,6000
LAXMICOT,2017-09-12 12:05:00+05:30,14.8,14.8,14.8,14.8,6000
LAXMICOT,2017-09-13 09:54:00+05:30,14.6,15.0,14.0,15.0,30000
LAXMICOT,2017-09-14 12:14:00+05:30,15.0,15.0,15.0,15.0,6000
LAXMICOT,2017-09-15 10:13:00+05:30,15.0,15.0,15.0,15.0,6000
LAXMICOT,2017-09-18 14:49:00+05:30,15.0,15.0,15.0,15.0,6000
LAXMICOT,2017-09-20 12:22:00+05:30,15.0,15.0,15.0,15.0,6000
LAXMICOT,2017-09-21 09:17:00+05:30,16.9,16.9,15.5,15.5,48000
LAXMICOT,2017-09-22 09:15:00+05:30,16.6,16.6,15.95,16.4,36000
LAXMICOT,2017-09-25 09:35:00+05:30,16.5,16.5,15.55,15.55,12000
LAXMICOT,2017-09-27 14:54:00+05:30,15.5,15.8,15.5,15.8,12000
LAXMICOT,2017-09-28 10:01:00+05:30,16.0,16.0,16.0,16.0,6000
LAXMICOT,2017-10-03 10:47:00+05:30,16.45,16.7,16.45,16.7,12000
LAXMICOT,2017-10-04 14:55:00+05:30,15.5,15.5,15.5,15.5,6000
